time	Pancreatic_cancer_cells__C	Pancreatic_stellate_cells__P	CD8__T_cells__T	NK_cells__N	helper_T_cells__H
27.722772277227723	1412179056.864665	88367689.54553288	88102069.03213702	248057481.8321333	526659663.2666582
28.712871287128714	1432080364.5602136	96323729.42149821	85560034.74394403	244763962.77373353	513243843.9337605
29.7029702970297	1452413248.7033126	104815095.86252993	83193544.27163786	241508843.39870664	500480553.0310299
30.693069306930692	1473188189.6296065	113844940.04922524	80987462.56200288	238292076.1167002	488323322.0241546
31.683168316831683	1494416037.1789358	123410321.1139111	78928303.43439108	235113577.56792104	476729992.5961279
32.67326732673267	1516107987.7561507	133501488.0242741	77004011.27417679	231973232.4407519	465662228.2237365
33.663366336633665	1538275555.6173234	144101273.3384784	75203776.54498047	228870896.8691574	455085090.69066143
34.65346534653465	1560930538.520855	155184645.3076274	73517879.15104455	225806401.46369642	444966671.6936691
35.64356435643565	1584084978.175494	166718463.6759375	71937554.8474996	222779554.02210668	435277771.3555699
36.633663366336634	1607751116.230244	178661479.41263855	70454880.8209102	219790141.95881167	425991616.82101035
37.62376237623762	1631941346.863766	190964609.32127434	69062677.29067841	216837934.4871329	417083615.2228596
38.613861386138616	1656668167.3180766	203571503.11807597	67754422.56067233	213922684.58330253	408531136.2192217
39.603960396039604	1681944127.957584	216419403.85125473	66524179.413980566	211044130.7573814	400313320.0556569
40.59405940594059	1707781783.5919564	229440283.53831667	65366531.11074899	208201998.65289596	392410907.719011
41.584158415841586	1734193647.859498	242562216.6027941	64276525.55308314	205396002.4940703	384806090.27500314
42.57425742574257	1761192152.4145627	255710935.841289	63249626.42280167	202625846.39710313	377482374.90925664
43.56435643564356	1788789612.5032556	268811501.1953088	62281670.30060189	199891225.5597413	370424465.56353134
44.554455445544555	1816998200.180859	281790002.6018596	61368828.90864143	197191827.3422358	363618156.2895634
45.54455445544554	1845829926.126496	294575215.75428116	60507575.794916995	194527332.25030014	357050235.80397075
46.53465346534654	1875296630.695332	307100131.2329692	59694656.91665193	191897414.82864457	350708402.0258924
47.524752475247524	1905409984.0089757	319303291.06571	58927064.49527504	189301744.4764709	344581185.1112937
48.51485148514851	1936181494.9430947	331129879.07328737	58202013.82865284	186739986.19003552	338657878.2577798
49.504950495049506	1967622528.1915104	342532530.069179	57516922.64953616	184211801.24003702	332928475.28750277
50.495049504950494	1999744328.3610978	353471843.0444595	56869392.72359424	181716847.78971395	327383614.2601553
51.48514851485149	2032558049.8186054	363916602.0952433	56257193.414749876	179254781.4591021	322014526.4430142
52.475247524752476	2066074790.897806	373843725.0206285	55678246.9849733	176825255.84027207	316812990.05658066
53.46534653465346	2100305631.0397315	383237972.61600477	55130615.42461699	174427922.96793255	311771288.281674
54.45544554455446	2135261669.4926836	392091460.48636365	54612488.635765366	172062433.749349	306882171.0770197
55.445544554455445	2170954064.3240495	400403019.4192826	54122173.81327194	169728438.3571538	302138820.4097843
56.43564356435643	2207394070.6600585	408177451.28108317	53658085.88720888	167425586.5882915	297534818.5481542
57.42574257425743	2244593077.2591033	415424724.72525555	53218738.90963173	165153528.191949	293064119.1135231
58.415841584158414	2282562640.7681913	422159150.2306449	52802738.27135228	162911913.16944712	288721020.5908255
59.4059405940594	2321314517.1702166	428398567.3181987	52408773.662762	160700392.04829323	284500142.07242244
60.396039603960396	2360860690.053698	434163570.60119605	52035612.714089565	158518616.1319904	280396401.07165337
61.386138613861384	2401213395.7233267	439476793.6116799	51682095.20155667	156366237.72902685	276404993.0894283
62.37623762376238	2442385145.0315247	444362263.0815379	51347127.792440966	154242910.3616148	272521372.8695854
63.366336633663366	2484388742.083807	448844830.79842335	51029679.25807226	152148288.95632452	268741237.14670223
64.35643564356435	2527237300.004365	452949685.3414509	50728776.105513684	150082030.0181048	265060508.74925402
65.34653465346534	2570944253.9885817	456701942.3771132	50443498.58719266	148043791.7889469	261475321.94410932
66.33663366336634	2615523371.9209156	460126309.46129405	50172977.04704522	146033234.39252335	257982008.90377894
67.32673267326733	2660988762.8379765	463246819.436242	49916388.57033014	144050019.9658814	254577087.20105225
68.31683168316832	2707354883.5169706	466086625.5349048	49672953.90623147	142093812.77923965	251257248.2396725
69.3069306930693	2754636543.470348	468667850.5228135	49441934.63647596	140164279.34481847	248019346.5407592
70.29702970297029	2802848908.6001863	471011482.3498029	49222630.56622889	138261088.5155563	244860389.8122683
71.2871287128713	2852007503.7344484	473137309.2972221	49014377.31597438	136383911.57450232	241777529.73468336
72.27722772277228	2902128214.272509	475063887.43427724	48816544.09574034	134532422.31558532	238768053.404357
73.26732673267327	2953227287.1114607	476808534.4906176	48628531.644870825	132706297.1164201	235829375.3797712
74.25742574257426	3005321331.0167093	478387344.58994335	48449770.3224697	130905215.00374486	232959030.28194958
75.24752475247524	3058427316.572071	479815219.0928861	48279718.335216776	129128857.71203835	230154665.90446535
76.23762376237623	3112562575.821937	481105909.50299793	48117860.09065437	127376909.73582079	227414036.79253614
77.22772277227723	3167744801.699827	482272069.0012113	47963704.66529356	125649058.37609951	224734998.25442266
78.21782178217822	3223992047.318027	483325309.796346	47816784.37797099	123944993.78138748	222115500.7714353
79.20792079207921	3281322725.179085	484276263.97594035	47676653.45985872	122264408.9836857	219553584.77601892
80.1980198019802	3339755606.355902	485134646.005636	47542886.8142218	120606999.92974535	217047375.77333838
81.18811881188118	3399309819.673615	485909315.43789685	47415078.85774778	118972465.508009	214595079.7760913
82.17821782178218	3460004850.91757	486608338.7679334	47292842.43052272	117360507.57189636	212194979.0032997
83.16831683168317	3521860542.0867457	487239049.5257819	47175807.788058124	115770830.95869692	209845427.8958457
84.15841584158416	3584897090.7027144	487808105.93226624	47063621.655479416	114203143.50511527	207544849.3727508
85.14851485148515	3649135049.1729746	488321545.8905363	46955946.333802424	112657156.06000361	205291731.28931022
86.13861386138613	3714595324.2103176	488784838.9376002	46852458.86546095	111132582.49389696	203084623.12469214
87.12871287128712	3781299176.3076057	489202934.93840575	46752850.25488964	109629139.70558578	200922132.88222924
88.11881188118812	3849268219.2557836	489580309.5855555	46656824.73491281	108146547.62621845	198802924.16726068
89.10891089108911	3918524419.6957183	489921006.74376154	46564099.0764681	106684529.22107382	196725713.43266883
90.0990099009901	3989090096.6950474	490228677.51444644	46474401.94250196	105242810.48897229	194689267.39484194
91.08910891089108	4060987921.3342934	490506616.2903116	46387473.28062335	103821120.45962852	192692400.5988171
92.07920792079207	4134240916.2889566	490757794.01899076	46303063.750527605	102419191.18916906	190733973.11706725
93.06930693069307	4208872455.393111	490984888.54610044	46220934.187644325	101036757.75375287	188812888.38712907
94.05940594059406	4284906263.1670036	491190312.3989749	46140855.09850534	99673558.24155183	186928091.17027587
95.04950495049505	4362366414.296353	491376238.2735926	46062606.18462179	98329333.74327277	185078565.6186441
96.03960396039604	4441277333.042893	491544622.1087537	45985975.89648643	97003828.34115678	183263333.45656356
97.02970297029702	4521663792.574311	491697224.11496663	45910761.013567924	95696789.09669234	181481452.2596367
98.01980198019803	4603550914.189391	491835627.92988384	45836766.24863681	94407966.03713137	179732013.82577693
99.00990099009901	4686964166.432862	491961257.9572034	45763803.87609379	93137112.14086033	178014142.6354148
100.0	4771929364.07438	492075395.05315566	45691693.38280512	91883983.32171404	176326994.39542434
