time	Per	dClk	dClkF	EmptySet
40.0	5.525159863412936e-16	4.321740242562968e-15	3.7692242562216735e-15	0.0
41.0	5.471969899353513e-16	4.408165852656124e-15	3.860968862720773e-15	0.0
42.0	5.418779935294087e-16	4.494591462749286e-15	3.952713469219878e-15	0.0
43.0	5.365589971234664e-16	4.581017072842442e-15	4.044458075718975e-15	0.0
44.0	5.312400007175234e-16	4.667442682935604e-15	4.13620268221808e-15	0.0
45.0	5.259210043115811e-16	4.753868293028759e-15	4.227947288717179e-15	0.0
46.0	5.206020079056384e-16	4.840293903121922e-15	4.3196918952162846e-15	0.0
47.0	5.152830114996958e-16	4.926719513215078e-15	4.411436501715382e-15	0.0
48.0	5.099640150937535e-16	5.01314512330824e-15	4.5031811082144864e-15	0.0
49.0	5.046450186878109e-16	5.099570733401396e-15	4.594925714713584e-15	0.0
50.0	4.993260222818682e-16	5.1859963434945585e-15	4.686670321212691e-15	0.0
51.0	4.940070258759258e-16	5.272421953587714e-15	4.7784149277117884e-15	0.0
52.0	4.886880294699831e-16	5.3588475636808766e-15	4.870159534210894e-15	0.0
53.0	4.833690330640407e-16	5.4452731737740325e-15	4.961904140709991e-15	0.0
54.0	4.780500366580982e-16	5.5316987838671916e-15	5.053648747209093e-15	0.0
55.0	4.727310402521557e-16	5.618124393960351e-15	5.145393353708195e-15	0.0
56.0	4.674120438462129e-16	5.70455000405351e-15	5.237137960207296e-15	0.0
57.0	4.620930474402704e-16	5.790975614146669e-15	5.328882566706398e-15	0.0
58.0	4.56774051034328e-16	5.877401224239828e-15	5.4206271732055e-15	0.0
59.0	4.514550546283853e-16	5.963826834332987e-15	5.512371779704601e-15	0.0
60.0	4.461360582224429e-16	6.050252444426143e-15	5.6041163862037e-15	0.0
61.0	4.408170618165004e-16	6.136678054519301e-15	5.695860992702801e-15	0.0
62.0	4.3549806541055776e-16	6.223103664612464e-15	5.7876055992019065e-15	0.0
63.0	4.301790690046151e-16	6.309529274705623e-15	5.879350205701007e-15	0.0
64.0	4.248600725986726e-16	6.395954884798779e-15	5.971094812200107e-15	0.0
65.0	4.195410761927302e-16	6.482380494891938e-15	6.062839418699208e-15	0.0
66.0	4.1422207978678773e-16	6.568806104985097e-15	6.154584025198309e-15	0.0
67.0	4.089030833808449e-16	6.655231715078259e-15	6.246328631697414e-15	0.0
68.0	4.0358408697490243e-16	6.7416573251714144e-15	6.338073238196513e-15	0.0
69.0	3.9826509056895997e-16	6.828082935264574e-15	6.4298178446956145e-15	0.0
70.0	3.929460941630173e-16	6.914508545357733e-15	6.521562451194716e-15	0.0
71.0	3.8762709775707486e-16	7.000934155450892e-15	6.613307057693818e-15	0.0
72.0	3.823081013511324e-16	7.087359765544048e-15	6.7050516641929165e-15	0.0
73.0	3.7698910494518975e-16	7.17378537563721e-15	6.796796270692021e-15	0.0
74.0	3.716701085392471e-16	7.26021098573037e-15	6.888540877191123e-15	0.0
75.0	3.6635111213330464e-16	7.346636595823529e-15	6.980285483690225e-15	0.0
76.0	3.610321157273622e-16	7.433062205916688e-15	7.072030090189325e-15	0.0
77.0	3.5571311932141953e-16	7.519487816009844e-15	7.163774696688423e-15	0.0
78.0	3.5039412291547707e-16	7.605913426103003e-15	7.255519303187524e-15	0.0
79.0	3.450751265095344e-16	7.692339036196165e-15	7.34726390968663e-15	0.0
80.0	3.3975613010359196e-16	7.778764646289324e-15	7.439008516185731e-15	0.0
81.0	3.344371336976493e-16	7.86519025638248e-15	7.53075312268483e-15	0.0
82.0	3.2911813729170685e-16	7.951615866475639e-15	7.622497729183931e-15	0.0
83.0	3.237991408857644e-16	8.038041476568798e-15	7.714242335683032e-15	0.0
84.0	3.1848014447982174e-16	8.124467086661957e-15	7.805986942182136e-15	0.0
85.0	3.131611480738791e-16	8.210892696755116e-15	7.897731548681237e-15	0.0
86.0	3.0784215166793663e-16	8.297318306848275e-15	7.989476155180338e-15	0.0
87.0	3.0252315526199417e-16	8.383743916941434e-15	8.08122076167944e-15	0.0
88.0	2.972041588560515e-16	8.470169527034593e-15	8.172965368178541e-15	0.0
89.0	2.9188516245010906e-16	8.556595137127749e-15	8.264709974677641e-15	0.0
90.0	2.865661660441666e-16	8.643020747220908e-15	8.35645458117674e-15	0.0
91.0	2.8124716963822376e-16	8.72944635731407e-15	8.448199187675846e-15	0.0
92.0	2.7592817323228135e-16	8.81587196740723e-15	8.53994379417495e-15	0.0
93.0	2.7060917682633884e-16	8.902297577500385e-15	8.631688400674046e-15	0.0
94.0	2.652901804203964e-16	8.988723187593546e-15	8.723433007173149e-15	0.0
95.0	2.599711840144538e-16	9.075148797686703e-15	8.81517761367225e-15	0.0
96.0	2.546521876085111e-16	9.161574407779866e-15	8.906922220171354e-15	0.0
97.0	2.493331912025686e-16	9.248000017873025e-15	8.998666826670456e-15	0.0
98.0	2.4401419479662617e-16	9.33442562796618e-15	9.090411433169554e-15	0.0
99.0	2.386951983906835e-16	9.42085123805934e-15	9.182156039668656e-15	0.0
100.0	2.3337620198474105e-16	9.507276848152499e-15	9.273900646167757e-15	0.0
