time	TGF_beta_ex	T1R_surf	T1R_endo	T2R_surf	T2R_endo	LRC_surf	LRC_endo	Smad2c	Smad2n	Smad4c	Smad4n	PSmad2c	PSmad2_PSmad2_c	PSmad2_Smad4_c	PSmad2n	PSmad2_PSmad2_n	PSmad2_Smad4_n	TGF_beta_endo	TGF_beta_ns	AA	empty_degraded
31.683168316831683	1.1303387990819041e-10	8.581266592065075e-12	2.884643693490181e-11	7.422485805729538e-12	1.6816712782880213e-11	-1.4181854589860275e-12	2.9405789591860327e-13	6.341884853732477e-11	1.5953968002684822e-11	8.014108987025485e-11	3.899166906466636e-11	2.9962715115305174e-12	2.977183348970125e-12	9.650820916928428e-14	6.564764971980452e-12	1.2324955763865381e-11	4.823498280409003e-11	1.7102628975053646e-13	2.780630162635197e-12	0.0	0.0
32.67326732673267	1.1754466178412117e-10	9.629847062774883e-12	3.254898845505032e-11	8.44145155248952e-12	2.0143575123146785e-11	-8.715401573990844e-13	9.68327825699538e-13	6.643094855011993e-11	1.642604252747871e-11	8.14752288593461e-11	3.920659670612205e-11	2.9444285713227668e-12	2.806168890216316e-12	-2.4005250887861557e-14	6.3420383042513575e-12	1.1665701197765036e-11	4.680642952410739e-11	2.203198667721277e-13	2.889568237368809e-12	0.0	0.0
33.663366336633665	1.2205544366005193e-10	1.067842753348469e-11	3.6251539975198826e-11	9.460417299249502e-12	2.3470437463413354e-11	-3.2489485581214117e-13	1.6425977554804728e-12	6.944304856291509e-11	1.68981170522726e-11	8.280936784843733e-11	3.942152434757774e-11	2.8925856311150153e-12	2.6351544314625063e-12	-1.4451871094500742e-13	6.119311636522264e-12	1.1006446631664693e-11	4.537787624412476e-11	2.6961344379371887e-13	2.998506312102421e-12	0.0	0.0
34.65346534653465	1.2656622553598274e-10	1.1727008004194503e-11	3.9954091495347356e-11	1.0479383046009492e-11	2.6797299803679945e-11	2.2175044577480606e-13	2.3168676852614116e-12	7.245514857571028e-11	1.737019157706649e-11	8.414350683752857e-11	3.9636451989033426e-11	2.8407426909072646e-12	2.464139972708696e-12	-2.650321710021541e-13	5.896584968793168e-12	1.0347192065564345e-11	4.3949322964142106e-11	3.1890702081531045e-13	3.107444386836034e-12	0.0	0.0
35.64356435643565	1.310770074119135e-10	1.277558847490431e-11	4.365664301549586e-11	1.1498348792769471e-11	3.0124162143946513e-11	7.683957473617493e-13	2.9911376150423464e-12	7.546724858850544e-11	1.784226610186038e-11	8.54776458266198e-11	3.9851379630489107e-11	2.788899750699514e-12	2.293125513954887e-12	-3.8554563105930004e-13	5.673858301064074e-12	9.687937499464001e-12	4.2520769684159466e-11	3.682005978369016e-13	3.2163824615696463e-12	0.0	0.0
36.633663366336634	1.355877892878443e-10	1.3824168945614125e-11	4.73591945356444e-11	1.251731453952946e-11	3.345102448421311e-11	1.3150410489486967e-12	3.665407544823286e-12	7.847934860130063e-11	1.8314340626654274e-11	8.681178481571105e-11	4.00663072719448e-11	2.7370568104917624e-12	2.1221110552010766e-12	-5.060590911164468e-13	5.451131633334978e-12	9.02868293336365e-12	4.1092216404176826e-11	4.174941748584932e-13	3.3253205363032596e-12	0.0	0.0
37.62376237623762	1.4009857116377504e-10	1.487274941632393e-11	5.106174605579291e-11	1.3536280286289443e-11	3.6777886824479676e-11	1.8616863505356397e-12	4.339677474604221e-12	8.149144861409579e-11	1.878641515144816e-11	8.814592380480227e-11	4.028123491340048e-11	2.6852138702840117e-12	1.9510965964472674e-12	-6.265725511735927e-13	5.228404965605884e-12	8.369428367263307e-12	3.966366312419418e-11	4.667877518800844e-13	3.4342586110368717e-12	0.0	0.0
38.613861386138616	1.4460935303970582e-10	1.592132988703374e-11	5.476429757594141e-11	1.4555246033049425e-11	4.0104749164746245e-11	2.4083316521225833e-12	5.013947404385156e-12	8.450354862689095e-11	1.9258489676242052e-11	8.948006279389352e-11	4.049616255485617e-11	2.6333709300762606e-12	1.7800821376934581e-12	-7.470860112307386e-13	5.00567829787679e-12	7.710173801162963e-12	3.823510984421154e-11	5.160813289016756e-13	3.543196685770484e-12	0.0	0.0
39.603960396039604	1.4866261461601381e-10	1.6713235984683772e-11	5.815118582968448e-11	1.5311230999255088e-11	4.305905222798431e-11	2.7185464368001813e-12	5.367315802346071e-12	8.760825026560747e-11	1.97467030458081e-11	9.087172980493884e-11	4.079071186856912e-11	2.5347033997376703e-12	1.617462403643064e-12	-8.58285095347373e-13	4.766195651371972e-12	7.088519363488314e-12	3.666009252174086e-11	5.398317199456499e-13	3.641976582194017e-12	0.0	0.0
40.59405940594059	1.5141489674537109e-10	1.6775277015832857e-11	6.06404714588239e-11	1.5319418347024373e-11	4.495396631419877e-11	2.356460465894737e-12	4.808186333574004e-12	9.09762687717442e-11	2.0280807942730223e-11	9.242698032090776e-11	4.131166897057896e-11	2.302888051865445e-12	1.4787134449680106e-12	-9.429983346397015e-13	4.479066629353924e-12	6.57378257367514e-12	3.466859813988869e-11	4.909489185522263e-13	3.711871243993492e-12	0.0	0.0
