time	Ca_cyt	Ca_er	IP3_cyt	Na_cyt	ATP_cyt	ADP_cyt
14.0	6.504153659680013e-14	6.383986916048194e-12	2.521176184897101e-13	7.53171479145925e-09	7.233206453490247e-10	2.3326793546509753e-09
15.0	6.505233155285772e-14	6.383986114879397e-12	2.521174676518923e-13	7.531726005497683e-09	7.241170133292204e-10	2.3318829866707795e-09
16.0	6.506340039297604e-14	6.3839853358844156e-12	2.521173200153674e-13	7.53173690589062e-09	7.24912958362451e-10	2.331087041637549e-09
17.0	6.507471677402861e-14	6.383984579598579e-12	2.521171756571848e-13	7.531747508077814e-09	7.257084837425876e-10	2.330291516257412e-09
18.0	6.508625661438513e-14	6.383983846498227e-12	2.521170346458845e-13	7.53175782603158e-09	7.265035924702816e-10	2.3294964075297184e-09
19.0	6.509799729537652e-14	6.383983137022106e-12	2.521168970445835e-13	7.531767872858626e-09	7.272982873729261e-10	2.328701712627074e-09
20.0	6.510991842330639e-14	6.383982451550755e-12	2.5211676290800243e-13	7.531777660208691e-09	7.280925709868576e-10	2.3279074290131425e-09
21.0	6.512200057684995e-14	6.38398179043991e-12	2.521166322872849e-13	7.531787199232778e-09	7.288864457481436e-10	2.3271135542518566e-09
22.0	6.513422629120816e-14	6.383981153994849e-12	2.5211650522629633e-13	7.531796499841559e-09	7.296799138450234e-10	2.3263200861549763e-09
23.0	6.5146579021413e-14	6.383980542498104e-12	2.521163817656214e-13	7.531805571494129e-09	7.304729773749778e-10	2.325527022625022e-09
24.0	6.515904372874441e-14	6.383979956193156e-12	2.5211626194021315e-13	7.53181442271248e-09	7.312656382480965e-10	2.3247343617519033e-09
25.0	6.517160636990579e-14	6.383979395298551e-12	2.5211614578142723e-13	7.531823061479836e-09	7.320578982664612e-10	2.323942101733539e-09
26.0	6.518425401831747e-14	6.3839788600043345e-12	2.521160333165103e-13	7.531831495121408e-09	7.328497591004676e-10	2.3231502408995325e-09
27.0	6.519697479670926e-14	6.383978350473995e-12	2.5211592456887816e-13	7.531839730366485e-09	7.336412223011618e-10	2.3223587776988383e-09
28.0	6.520975761178583e-14	6.38397786685141e-12	2.521158195591192e-13	7.531847773507501e-09	7.344322893321218e-10	2.321567710667878e-09
29.0	6.522259244751223e-14	6.3839774092531236e-12	2.5211571830387964e-13	7.531855630218676e-09	7.35222961533136e-10	2.3207770384668637e-09
30.0	6.523546979030153e-14	6.3839769777835014e-12	2.521156208180504e-13	7.531863305915551e-09	7.360132401921779e-10	2.319986759807822e-09
31.0	6.524838118748174e-14	6.383976572519996e-12	2.5211552711264113e-13	7.531870805404477e-09	7.36803126475242e-10	2.319196873524758e-09
32.0	6.526131853721948e-14	6.383976193531812e-12	2.5211543719747306e-13	7.53187813332275e-09	7.375926215144418e-10	2.3184073784855584e-09
33.0	6.527427465800463e-14	6.383975840864957e-12	2.521153510790218e-13	7.531885293786643e-09	7.383817263375631e-10	2.317618273662437e-09
34.0	6.528724268181878e-14	6.383975514558067e-12	2.521152687627024e-13	7.531892290757391e-09	7.391704419413125e-10	2.316829558058687e-09
35.0	6.530021650602914e-14	6.383975214630661e-12	2.521151902511713e-13	7.531899127770923e-09	7.399587692372283e-10	2.316041230762772e-09
36.0	6.53131903246085e-14	6.383974941095263e-12	2.521151155460793e-13	7.531905808211342e-09	7.40746709106416e-10	2.315253290893584e-09
37.0	6.532615895457535e-14	6.3839746939489745e-12	2.521150446468527e-13	7.531912335122027e-09	7.415342623617389e-10	2.314465737638261e-09
38.0	6.533911750183594e-14	6.383974473182088e-12	2.5211497755193713e-13	7.53191871139585e-09	7.423214297858902e-10	2.3136785702141098e-09
39.0	6.535206156772508e-14	6.3839742787727635e-12	2.521149142580292e-13	7.531924939657962e-09	7.431082121079305e-10	2.3128917878920694e-09
40.0	6.536498703994719e-14	6.383974110692402e-12	2.5211485476085255e-13	7.531931022383294e-09	7.438946100268051e-10	2.312105389973195e-09
41.0	6.537789018742445e-14	6.3839739689032085e-12	2.5211479905480485e-13	7.531936961842836e-09	7.446806242005854e-10	2.3113193757994143e-09
42.0	6.539076756758871e-14	6.383973853360567e-12	2.5211474713330177e-13	7.531942760155548e-09	7.454662552568617e-10	2.3105337447431384e-09
43.0	6.540361597139619e-14	6.383973764014393e-12	2.5211469898897114e-13	7.531948419316e-09	7.462515037982459e-10	2.309748496201754e-09
44.0	6.541643249955036e-14	6.383973700807235e-12	2.521146546133792e-13	7.531953941154536e-09	7.470363703944237e-10	2.3089636296055764e-09
45.0	6.542921461218616e-14	6.383973663672999e-12	2.5211461399684795e-13	7.531959327310208e-09	7.478208555767439e-10	2.308179144423256e-09
46.0	6.54419597381165e-14	6.383973652546935e-12	2.5211457712989313e-13	7.531964579443696e-09	7.486049598807776e-10	2.3073950401192223e-09
47.0	6.54546657163546e-14	6.383973667354352e-12	2.5211454400159894e-13	7.531969698996575e-09	7.493886837981976e-10	2.3066113162018024e-09
48.0	6.546733067754306e-14	6.383973708013659e-12	2.52114514600055e-13	7.531974687256096e-09	7.5017202778973e-10	2.30582797221027e-09
49.0	6.547995263067719e-14	6.383973774446896e-12	2.521144889138762e-13	7.53197954557874e-09	7.50954992329813e-10	2.305045007670187e-09
50.0	6.549252994017108e-14	6.383973866567582e-12	2.5211446693044956e-13	7.531984275132586e-09	7.51737577855134e-10	2.3042624221448658e-09
51.0	6.550506114781203e-14	6.383973984285252e-12	2.52114448636589e-13	7.531988876993492e-09	7.525197847838419e-10	2.303480215216158e-09
52.0	6.551754481027567e-14	6.3839741275095116e-12	2.521144340191194e-13	7.531993352228245e-09	7.5330161353211e-10	2.3026983864678895e-09
53.0	6.552997965292031e-14	6.383974296146237e-12	2.521144230643294e-13	7.531997701817763e-09	7.540830644988572e-10	2.3019169355011428e-09
54.0	6.554236449460957e-14	6.3839744900994454e-12	2.521144157582405e-13	7.532001926694945e-09	7.548641380732827e-10	2.301135861926717e-09
55.0	6.555469851232287e-14	6.383974709264051e-12	2.5211441208556236e-13	7.532006027585737e-09	7.556448346028665e-10	2.3003551653971335e-09
56.0	6.556698072212785e-14	6.383974953539957e-12	2.521144120317251e-13	7.532010005316952e-09	7.564251544552911e-10	2.299574845544709e-09
57.0	6.557921021082626e-14	6.383975222825723e-12	2.5211441558196717e-13	7.532013860677725e-09	7.572050979905522e-10	2.2987949020094475e-09
58.0	6.559138611067603e-14	6.383975517019232e-12	2.521144227214302e-13	7.532017594433453e-09	7.579846655637521e-10	2.2980153344362478e-09
59.0	6.560350755609297e-14	6.383975836018833e-12	2.521144334353242e-13	7.532021207350469e-09	7.587638575300456e-10	2.2972361424699543e-09
60.0	6.561557380934199e-14	6.383976179720046e-12	2.521144477084526e-13	7.532024700126316e-09	7.595426742306829e-10	2.296457325769317e-09
61.0	6.56275850083242e-14	6.383976547996014e-12	2.521144655223913e-13	7.532028072975692e-09	7.603211159101177e-10	2.295678884089882e-09
62.0	6.563954016816167e-14	6.383976940749723e-12	2.521144868630236e-13	7.532031326736508e-09	7.610991829374216e-10	2.2949008170625786e-09
63.0	6.565143876197985e-14	6.3839773578726876e-12	2.5211451171457813e-13	7.53203446199474e-09	7.61876875631089e-10	2.294123124368911e-09
64.0	6.566328028645665e-14	6.383977799256288e-12	2.521145400612661e-13	7.532037479324766e-09	7.626541943071488e-10	2.2933458056928514e-09
65.0	6.567506482691662e-14	6.383978264777312e-12	2.521145718851942e-13	7.532040378983986e-09	7.634311392181296e-10	2.2925688607818705e-09
66.0	6.568679192164802e-14	6.383978754327017e-12	2.5211460717055817e-13	7.532043161526508e-09	7.642077106757083e-10	2.2917922893242915e-09
67.0	6.569846134210008e-14	6.383979267791161e-12	2.5211464590076115e-13	7.532045827381504e-09	7.649839089664445e-10	2.2910160910335555e-09
68.0	6.571007292355017e-14	6.383979805054332e-12	2.52114688059039e-13	7.53204837694472e-09	7.657597343700635e-10	2.2902402656299365e-09
69.0	6.572162646535418e-14	6.383980366001924e-12	2.521147336287441e-13	7.532050810606719e-09	7.665351871644961e-10	2.2894648128355038e-09
70.0	6.573312185683295e-14	6.383980950517776e-12	2.52114782593006e-13	7.532053128723243e-09	7.673102676208643e-10	2.2886897323791358e-09
71.0	6.574455903831485e-14	6.383981558484922e-12	2.5211483493483915e-13	7.532055331625322e-09	7.680849760052416e-10	2.2879150239947586e-09
72.0	6.575593796291196e-14	6.383982189786323e-12	2.521148906372489e-13	7.532057419629204e-09	7.688593125803819e-10	2.287140687419618e-09
73.0	6.576725856403497e-14	6.383982844306208e-12	2.5211494968342394e-13	7.532059393078422e-09	7.696332776146168e-10	2.286366722385383e-09
74.0	6.577852078352525e-14	6.383983521929049e-12	2.5211501205659064e-13	7.532061252314272e-09	7.704068713756779e-10	2.285593128624322e-09
75.0	6.578972462235423e-14	6.38398422253779e-12	2.5211507773975444e-13	7.532062997624188e-09	7.711800941199199e-10	2.28481990588008e-09
76.0	6.580087006354078e-14	6.3839849460164465e-12	2.521151467160766e-13	7.532064629315104e-09	7.719529461075812e-10	2.284047053892419e-09
77.0	6.581195712901376e-14	6.38398569224855e-12	2.521152189686503e-13	7.532066147675826e-09	7.727254275951698e-10	2.2832745724048304e-09
78.0	6.582298591579536e-14	6.383986461116335e-12	2.521152944803819e-13	7.532067552960556e-09	7.734975388322725e-10	2.2825024611677277e-09
79.0	6.583395640671055e-14	6.383987252505088e-12	2.5211537323461986e-13	7.532068845477473e-09	7.742692800788009e-10	2.281730719921199e-09
80.0	6.58448686298997e-14	6.383988066299503e-12	2.5211545521462755e-13	7.53207002551482e-09	7.750406515906226e-10	2.2809593484093777e-09
81.0	6.585572262949475e-14	6.383988902384261e-12	2.521155404036677e-13	7.532071093350749e-09	7.758116536213705e-10	2.2801883463786294e-09
82.0	6.586651861266145e-14	6.3839897606398756e-12	2.5211562878440243e-13	7.532072049151197e-09	7.765822864016156e-10	2.2794177135983845e-09
83.0	6.587725659538506e-14	6.383990640952687e-12	2.5211572034033575e-13	7.532072893214784e-09	7.773525501887917e-10	2.2786474498112082e-09
84.0	6.58879366703642e-14	6.38399154320729e-12	2.52115815054721e-13	7.532073625787014e-09	7.781224452293092e-10	2.277877554770691e-09
85.0	6.589855893640775e-14	6.383992467288525e-12	2.521159129108475e-13	7.532074247108824e-09	7.788919717684494e-10	2.2771080282315506e-09
86.0	6.590912356103468e-14	6.3839934130796154e-12	2.521160138917724e-13	7.532074757377014e-09	7.796611300422967e-10	2.276338869957703e-09
87.0	6.591963065922756e-14	6.3839943804657456e-12	2.5211611798083666e-13	7.532075156820141e-09	7.804299202931959e-10	2.275570079706804e-09
88.0	6.593008036955797e-14	6.383995369331804e-12	2.5211622516133933e-13	7.532075445650459e-09	7.811983427599544e-10	2.2748016572400457e-09
89.0	6.594047284255513e-14	6.383996379562715e-12	2.5211633541658593e-13	7.532075624070951e-09	7.819663976792734e-10	2.2740336023207265e-09
90.0	6.595080821981175e-14	6.383997411044206e-12	2.521164487299983e-13	7.53207569230238e-09	7.827340852914805e-10	2.2732659147085194e-09
91.0	6.596108665740571e-14	6.3839984636618905e-12	2.521165650849835e-13	7.532075650548807e-09	7.835014058331845e-10	2.2724985941668155e-09
92.0	6.597130832234995e-14	6.383999537301402e-12	2.5211668446495154e-13	7.53207549900211e-09	7.842683595382306e-10	2.2717316404617693e-09
93.0	6.598147338175436e-14	6.384000631848789e-12	2.5211680685337354e-13	7.532075237857013e-09	7.850349466408977e-10	2.2709650533591024e-09
94.0	6.599158200007083e-14	6.3840017471906665e-12	2.521169322338034e-13	7.532074867313301e-09	7.858011673763712e-10	2.2701988326236286e-09
95.0	6.600163434127945e-14	6.384002883214093e-12	2.521170605898599e-13	7.532074387572576e-09	7.865670219800452e-10	2.2694329780199547e-09
96.0	6.601163057850527e-14	6.384004039806103e-12	2.521171919051591e-13	7.532073798825656e-09	7.873325106848171e-10	2.268667489315183e-09
97.0	6.602157088114102e-14	6.3840052168542945e-12	2.5211732616339905e-13	7.532073101268317e-09	7.880976337244516e-10	2.267902366275548e-09
98.0	6.603145542437274e-14	6.384006414246484e-12	2.521174633483105e-13	7.532072295090454e-09	7.888623913312851e-10	2.267137608668715e-09
99.0	6.604128439963703e-14	6.38400763187041e-12	2.521176034436134e-13	7.532071380465224e-09	7.896267837339402e-10	2.2663732162660593e-09
100.0	6.605105797316094e-14	6.384008869614912e-12	2.521177464331878e-13	7.532070357590801e-09	7.903908111660927e-10	2.265609188833907e-09
