time	EGF	NGF	freeEGFReceptor	boundEGFReceptor	freeNGFReceptor	boundNGFReceptor	SosInactive	SosActive	P90RskInactive	P90RskActive	RasInactive	RasActive	RasGapActive	Raf1Inactive	Raf1Active	BRafInactive	BRafActive	MekInactive	MekActive	ErkInactive	ErkActive	PI3KInactive	PI3KActive	AktInactive	AktActive	C3GInactive	C3GActive	Rap1Inactive	Rap1Active	RapGapActive	PP2AActive	Raf1PPtase
25.742574257425744	9922004.465015857	448535.17298877105	4.4650158815601655	79995.53498411839	2535.1729887707033	7464.827011229301	55749.20830013713	64250.791699863104	89313.28550537529	30686.714494624564	107573.21076454637	12426.7892354538	120000.0	119409.0416709682	590.9583290318678	119315.89381544759	684.1061845526034	455202.21864528966	144797.78135471052	102777.78228297236	497222.2177170261	3.132989112468764e-39	119999.99999999994	95613.23520754173	24386.764792458303	3.203005957433911e-29	119999.99999999993	105544.62439152887	14455.375608471062	120000.0	120000.0	120000.0
26.73267326732673	9922004.465015857	448436.503176067	4.465015881560166	79995.53498411839	2436.5031760666616	7563.496823933342	57086.43080667066	62913.569193329575	88218.39780297304	31781.602197026823	107826.85542931627	12173.144570683893	120000.0	119432.2527649667	567.7472350333697	119315.89381544759	684.1061845526034	456220.5580598928	143779.4419401074	103483.53717395493	496516.4628260435	-8.689513307572588e-40	119999.99999999994	94758.36768302013	25241.6323169799	-1.9665132503450414e-30	119999.99999999993	105544.62439152887	14455.375608471062	120000.0	120000.0	120000.0
27.722772277227723	9922004.465015857	448344.3995258567	4.465015881560166	79995.53498411839	2344.399525856385	7655.600474143619	58364.8770350467	61635.12296495353	87137.03227820397	32862.9677217959	108069.57097708616	11930.429022913995	120000.0	119453.78541823332	546.2145817667376	119315.89381544759	684.1061845526034	457157.08689364756	142842.9131063527	104139.71320044628	495860.2867995522	-4.627352182814483e-40	119999.99999999994	93910.18365248504	26089.816347515003	-3.915079269194351e-32	119999.99999999993	105544.62439152888	14455.375608471064	120000.0	120000.0	120000.0
28.712871287128714	9922004.465015857	448258.4229119782	4.465015881560167	79995.53498411839	2258.4229119779293	7741.577088022076	59588.300151714095	60411.69984828614	86068.93703323568	33931.062966764206	108302.04008880071	11697.959911199447	120000.0	119473.81308269413	526.1869173059148	119315.89381544759	684.1061845526033	458021.3346433982	141978.66535660202	104751.3683147267	495248.63168527174	-3.1003895851253695e-42	119999.99999999994	93068.64585432514	26931.354145674875	-4.028248982500432e-32	119999.99999999993	105544.62439152888	14455.375608471064	120000.0	120000.0	120000.0
29.7029702970297	9922004.465015857	448178.16385392897	4.4650158815601655	79995.53498411839	2178.1638539286637	7821.8361460713395	60760.10127757252	59239.898722427715	85013.87575441498	34986.124245584935	108524.88241781651	11475.117582183684	120000.0	119492.48561889755	507.51438110248466	119315.89381544759	684.1061845526032	458821.3885085768	141178.61149142336	105322.89339325651	494677.10660674196	-2.029487469167024e-42	119999.99999999994	92233.71701660089	27766.28298339914	-7.013938973098815e-33	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
30.693069306930692	9922004.465015857	448103.24047985615	4.465015881560165	79995.53498411839	2103.240479855826	7896.759520144178	61883.37558544147	58116.624414558755	83971.62576519397	36028.374234806	108738.6627877529	11261.337212247285	120000.0	119509.93325944705	490.06674055298845	119315.89381544759	684.1061845526032	459564.150943099	140435.84905690112	105858.111143761	494141.88885623746	-2.067353394280571e-44	119999.99999999994	91405.3598603783	28594.640139621737	-2.156825422646689e-34	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
31.683168316831683	9922004.465015857	448033.2966340534	4.4650158815601655	79995.53498411839	2033.296634053088	7966.703365946918	62960.95076441672	57039.04923558351	82941.97637352845	37058.0236264715	108943.89803729884	11056.10196270134	120000.0	119526.26978773937	473.7302122607354	119315.89381544759	684.1061845526032	460255.5472002427	139744.45279975748	106360.36144763797	493639.63855236047	-1.474862102321608e-46	119999.99999999994	90583.53710303789	29416.462896962174	3.409869895119542e-37	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
32.67326732673267	9922004.465015857	447968.0001178159	4.465015881560166	79995.53498411839	1968.0001178156058	8031.999882184398	63995.419367587594	56004.58063241263	81924.72746815895	38075.272531840965	109141.06278097483	10858.937219025374	120000.0	119541.59511029208	458.40488970801897	119315.89381544759	684.106184552603	460900.69265441335	139099.30734558683	106832.57392768013	493167.4260723183	-2.9849565181397682e-46	119999.99999999994	89768.21146155825	30231.78853844181	-9.762481495152144e-39	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
33.663366336633665	9922004.465015857	447907.0410551932	4.4650158815601655	79995.53498411839	1907.0410551929117	8092.958944807092	64989.16617347089	55010.833826529335	80919.68832479314	39080.311675206794	109330.59427591793	10669.405724082271	120000.0	119555.99735295036	444.002647049713	119315.89381544759	684.1061845526032	461504.02783887193	138495.97216112833	107277.32903681822	492722.67096318025	-1.5577518088868995e-47	119999.99999999994	88959.34565577106	31040.654344229006	-1.4418626072902238e-40	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
34.65346534653465	9922004.465015857	447850.13037200394	4.4650158815601655	79995.53498411839	1850.1303720036917	8149.869627996311	65944.39143424344	54055.60856575675	79926.67658606858	40073.32341393131	109512.89656926603	10487.10343073419	120000.0	119569.55458277107	430.44541722898396	119315.89381544759	684.1061845526032	462069.4279578561	137930.57204214425	107696.90929673518	492303.0907032633	-1.1141415546344076e-48	119999.99999999994	88156.90241159151	31843.097588408556	2.1002925153030513e-42	119999.99999999993	105544.62439152888	14455.37560847106	120000.0	120000.0	120000.0
