time	Cyclin_B1_Cdk1_complex_phosphorylated	Cyclin_B1_Cdk1_complex_unphosphorylated	Plx1_active	APC_C_active	APC_C_total	Plx1_total	Cyclin_B1_Cdk1_complex_total
45.54455445544554	19.25445338050168	31.457847463003755	0.02090904310317854	0.0017049095744971128	1.0	1.0	50.71230084350543
46.53465346534654	19.786202302658474	32.378930733382155	0.023442246439764933	0.0014749756536226702	1.0	1.0	52.16513303604063
47.524752475247524	20.353128004179563	33.26836606743821	0.026400289692977964	0.0012799731396546477	1.0	1.0	53.621494071617775
48.51485148514851	20.9677149101846	34.11319184594276	0.029874852057286606	0.0011172413497288962	1.0	1.0	55.08090675612736
49.504950495049506	21.649299096210967	34.89357542609812	0.034000756553142907	0.000986159897007785	1.0	1.0	56.542874522309084
50.495049504950494	22.429821072331013	35.57700484129353	0.03898840119648081	0.0008894607233722448	1.0	1.0	58.00682591362454
51.48514851485149	23.36697338244218	36.10502942974291	0.04519401410532772	0.0008364017040946326	1.0	1.0	59.472002812185096
52.475247524752476	24.579112623038302	36.358093915056685	0.05329646068298715	0.0008513927168036327	1.0	1.0	60.93720653809498
53.46534653465346	26.35733037127857	36.04278297724912	0.06485090059305744	0.0010029184425136386	1.0	1.0	62.40011334852769
54.45544554455446	29.562894128725343	34.291913668368345	0.08463824529892736	0.0015450177516508773	1.0	1.0	63.854807797093684
55.445544554455445	35.59984440277988	29.676396440039824	0.13101404035495745	0.004235637505341615	1.0	1.0	65.2762408428197
56.43564356435643	42.41831925344303	24.017529866078846	0.23810540467785335	0.0299376624542196	1.0	1.0	66.43584911952188
57.42574257425743	46.65903216283057	18.730320850953735	0.3923262294358596	0.2035363742064939	1.0	1.0	65.3893530137843
58.415841584158414	44.49138345093451	13.442781001442023	0.5079914883302584	0.5257646001683356	1.0	1.0	57.93416445237653
59.4059405940594	37.00377861757129	9.266213897849108	0.5352158720954261	0.7262517248476849	1.0	1.0	46.2699925154204
60.396039603960396	28.227639089369653	7.161352836659283	0.504119914661054	0.7984703555205761	1.0	1.0	35.388991926028936
61.386138613861384	20.392531097751213	6.582779592878379	0.45344151328564025	0.8096338335056353	1.0	1.0	26.97531069062959
62.37623762376238	14.953708762275433	5.948657527884251	0.4024206848993105	0.7923660352243701	1.0	1.0	20.902366290159684
63.366336633663366	11.481751724911287	5.165456855126718	0.35601854556804163	0.7589471558097167	1.0	1.0	16.647208580038004
64.35643564356435	9.322630567501804	4.397615193240553	0.3147167729558394	0.7146074890496077	1.0	1.0	13.720245760742358
65.34653465346534	8.013764517737414	3.731221592028839	0.2781409364041572	0.6627208407910177	1.0	1.0	11.744986109766252
66.33663366336634	7.260300425728874	3.1896313021771046	0.24579617103251067	0.6062762878566966	1.0	1.0	10.449931727905978
67.32673267326733	6.879039304321999	2.7656476110961887	0.21720691912218057	0.5480358897577878	1.0	1.0	9.644686915418188
68.31683168316832	6.756291799255606	2.44123941853049	0.19194257801403786	0.4903613144898964	1.0	1.0	9.197531217786096
69.3069306930693	6.820754843473238	2.1970618618648627	0.16961953472435612	0.43506668480763905	1.0	1.0	9.0178167053381
70.29702970297029	7.026858336313774	2.016232904236199	0.14989799887525454	0.38338476319772863	1.0	1.0	9.043091240549973
71.2871287128713	7.344714692365311	1.8853260581536864	0.13247786515071688	0.3360265391591143	1.0	1.0	9.230040750518997
72.27722772277228	7.754089400806083	1.7941833484083953	0.1170946964598403	0.2932881076762646	1.0	1.0	9.548272749214478
73.26732673267327	8.240785494471492	1.7353279030602098	0.10351613128533535	0.255166593737001	1.0	1.0	9.976113397531702
74.25742574257426	8.794467681157725	1.7033201742667006	0.09153879914046112	0.22146298394781816	1.0	1.0	10.497787855424425
75.24752475247524	9.407342136342814	1.694190869253268	0.0809857633629674	0.1918631433567132	1.0	1.0	11.101533005596082
76.23762376237623	10.073344303795894	1.7049880080754056	0.07170449257167984	0.16599647901211276	1.0	1.0	11.7783323118713
77.22772277227723	10.787629464131744	1.7334349759578849	0.0635653593450974	0.14347554636020193	1.0	1.0	12.521064440089628
78.21782178217822	11.546246293059534	1.7776812684225969	0.05646066682857431	0.12392101169638191	1.0	1.0	13.323927561482131
79.20792079207921	12.34592447899675	1.836123798195539	0.05030420736168358	0.10697613103963284	1.0	1.0	14.182048277192289
80.1980198019802	13.183937691999473	1.907277372426075	0.04503136080899668	0.09231412730547678	1.0	1.0	15.091215064425548
81.18811881188118	14.058021760576093	1.989674564866162	0.04059974408973185	0.07964099103095314	1.0	1.0	16.047696325442256
82.17821782178218	14.966340980501498	2.0817753451480865	0.036990430256988116	0.06869548242693008	1.0	1.0	17.048116325649584
83.16831683168317	15.907507340060532	2.181863500085743	0.0342097693492286	0.05924753813644637	1.0	1.0	18.089370840146273
84.15841584158416	16.880671936668318	2.2878980654191636	0.03229187935057427	0.051095867557559516	1.0	1.0	19.16857000208748
85.14851485148515	17.88572855353168	2.397270937031244	0.03130196211381342	0.044065244029024626	1.0	1.0	20.282999490562926
86.13861386138613	18.92370000786811	2.5063934359398172	0.03134079802903089	0.03800382525324789	1.0	1.0	21.430093443807927
87.12871287128712	19.99742159406764	2.609991901969195	0.03255120896199786	0.032780767650793206	1.0	1.0	22.607413496036834
88.11881188118812	21.112688351874763	2.6999393434311902	0.03512817760332939	0.02828445892047105	1.0	1.0	23.812627695305952
89.10891089108911	22.28005897778549	2.763420222427979	0.03933604771271551	0.024422000308162932	1.0	1.0	25.04347920021347
90.0990099009901	23.517350374340094	2.780372449363534	0.045539221619484975	0.021121491951414908	1.0	1.0	26.297722823703626
91.08910891089108	24.851907272344082	2.7210664204006325	0.0542564735337638	0.018341325809929684	1.0	1.0	27.572973692744714
92.07920792079207	26.318136314325773	2.5481775025972366	0.0662465020078247	0.016098535301593303	1.0	1.0	28.86631381692301
93.06930693069307	27.937250833957993	2.2359542617324277	0.08259148577029171	0.014551831037142117	1.0	1.0	30.17320509569042
94.05940594059406	29.667582835796697	1.816780957546967	0.10459857106800385	0.014239923310170634	1.0	1.0	31.484363793343665
95.04950495049505	31.376162055323313	1.400719593996581	0.13321478811956128	0.016701271629611904	1.0	1.0	32.7768816493199
96.03960396039604	32.90316825820495	1.0884581435913927	0.16814525404722133	0.025725084129342123	1.0	1.0	33.991626401796346
97.02970297029702	34.09279684597697	0.895766026565988	0.20734915195939435	0.04873914600716371	1.0	1.0	34.98856287254296
98.01980198019803	34.70827531869702	0.7890121306589414	0.246728608498964	0.09548792127974776	1.0	1.0	35.49728744935596
99.00990099009901	34.415927796636794	0.7365712912025831	0.28001525856611564	0.16970136942174024	1.0	1.0	35.152499087839374
100.0	32.98834159434285	0.7278949398862812	0.3004984206827083	0.2587927794485686	1.0	1.0	33.71623653422913
