time	agonist	DR	DRG_GDP	DRG	GDP	DRG_GTP	GTP	Recptor	G_GDP	G_GTP
19.0	9.8495868934667e-09	8.118628165913212e-11	3.912473292362896e-11	7.230653332291291e-14	4.678133392227898e-11	3.320346914735204e-11	9.999953290972611e-06	8.495868934667029e-10	9.195646510475373e-10	8.034853109243944e-12
20.0	9.848006819512043e-09	8.077644718093887e-11	3.9100727218492216e-11	7.435779701379507e-14	5.0565660270308874e-11	3.527619686904463e-11	9.999949508697527e-06	8.480068195120449e-10	9.166733340268587e-10	8.875396182394904e-12
21.0	9.846575577002772e-09	8.046794297980546e-11	3.888773304214482e-11	7.614439612792675e-14	5.441296110704599e-11	3.727337429183173e-11	9.999945663183288e-06	8.465755770027741e-10	9.140233648740978e-10	9.73939440084959e-12
22.0	9.846241616218201e-09	8.056312083051231e-11	3.8763773943793056e-11	7.698506491691504e-14	5.80848691543399e-11	3.823745394676748e-11	9.99994199211591e-06	8.462416162182032e-10	9.125520805682737e-10	1.0369712977669677e-11
23.0	9.84590765543363e-09	8.065829868121915e-11	3.8639814845441294e-11	7.782573370590332e-14	6.17567772016338e-11	3.920153360170324e-11	9.999938321048531e-06	8.459076554336324e-10	9.110807962624496e-10	1.1000031554489765e-11
24.0	9.84557369464906e-09	8.075347653192599e-11	3.851585574708953e-11	7.866640249489161e-14	6.542868524892771e-11	4.016561325663899e-11	9.999934649981153e-06	8.455736946490615e-10	9.096095119566255e-10	1.163035013130985e-11
25.0	9.84523973386449e-09	8.084865438263282e-11	3.839189664873777e-11	7.95070712838799e-14	6.910059329622162e-11	4.112969291157474e-11	9.999930978913774e-06	8.452397338644906e-10	9.081382276508014e-10	1.2260668708129938e-11
26.0	9.844905773079918e-09	8.094383223333966e-11	3.826793755038601e-11	8.034774007286819e-14	7.277250134351555e-11	4.20937725665105e-11	9.999927307846396e-06	8.449057730799198e-10	9.066669433449773e-10	1.2890987284950027e-11
27.0	9.844571812295347e-09	8.103901008404651e-11	3.814397845203425e-11	8.118840886185647e-14	7.644440939080946e-11	4.305785222144625e-11	9.999923636779017e-06	8.44571812295349e-10	9.051956590391531e-10	1.3521305861770113e-11
28.0	9.844237851510777e-09	8.113418793475335e-11	3.802001935368249e-11	8.202907765084476e-14	8.011631743810337e-11	4.4021931876382004e-11	9.999919965711639e-06	8.442378515107781e-10	9.037243747333291e-10	1.41516244385902e-11
29.0	9.843903890726206e-09	8.122936578546018e-11	3.789606025533073e-11	8.286974643983304e-14	8.378822548539728e-11	4.4986011531317755e-11	9.99991629464426e-06	8.439038907262072e-10	9.02253090427505e-10	1.4781943015410288e-11
30.0	9.843569929941634e-09	8.132454363616702e-11	3.777210115697897e-11	8.371041522882132e-14	8.74601335326912e-11	4.595009118625351e-11	9.999912623576882e-06	8.435699299416364e-10	9.007818061216808e-10	1.5412261592230375e-11
31.0	9.843235969157064e-09	8.141972148687387e-11	3.764814205862721e-11	8.455108401780961e-14	9.11320415799851e-11	4.6914170841189265e-11	9.999908952509504e-06	8.432359691570655e-10	8.993105218158568e-10	1.6042580169050462e-11
32.0	9.842902008372493e-09	8.151489933758071e-11	3.752418296027545e-11	8.53917528067979e-14	9.480394962727901e-11	4.7878250496125016e-11	9.999905281442126e-06	8.429020083724947e-10	8.978392375100326e-10	1.667289874587055e-11
33.0	9.842568047587923e-09	8.161007718828754e-11	3.7400223861923685e-11	8.623242159578618e-14	9.847585767457294e-11	4.8842330151060774e-11	9.999901610374745e-06	8.425680475879238e-10	8.963679532042085e-10	1.7303217322690637e-11
34.0	9.84223408680335e-09	8.170525503899438e-11	3.7276264763571924e-11	8.707309038477447e-14	1.0214776572186685e-10	4.9806409805996525e-11	9.999897939307367e-06	8.42234086803353e-10	8.948966688983845e-10	1.7933535899510725e-11
35.0	9.84190012601878e-09	8.180043288970123e-11	3.715230566522016e-11	8.791375917376276e-14	1.0581967376916076e-10	5.077048946093228e-11	9.999894268239989e-06	8.419001260187821e-10	8.934253845925603e-10	1.8563854476330812e-11
36.0	9.84156616523421e-09	8.189561074040807e-11	3.70283465668684e-11	8.875442796275103e-14	1.0949158181645467e-10	5.1734569115868035e-11	9.99989059717261e-06	8.415661652342112e-10	8.919541002867362e-10	1.91941730531509e-11
37.0	9.84123220444964e-09	8.19907885911149e-11	3.690438746851664e-11	8.959509675173932e-14	1.1316348986374858e-10	5.2698648770803786e-11	9.999886926105232e-06	8.412322044496404e-10	8.904828159809121e-10	1.9824491629970987e-11
38.0	9.840898243665067e-09	8.208596644182174e-11	3.678042837016488e-11	9.043576554072761e-14	1.168353979110425e-10	5.366272842573954e-11	9.999883255037854e-06	8.408982436650696e-10	8.89011531675088e-10	2.0454810206791074e-11
39.0	9.840854328524642e-09	8.216609509146652e-11	3.6700409622620524e-11	9.101194044675765e-14	1.2045396585804126e-10	5.4318535993149963e-11	9.999879637046081e-06	8.408543285246435e-10	8.879744710419417e-10	2.0915500115501062e-11
40.0	9.841094487506741e-09	8.223148437621225e-11	3.6663426572564054e-11	9.132906692633624e-14	1.2402029188211287e-10	5.467241824455999e-11	9.999876071037184e-06	8.410944875067431e-10	8.873626941918344e-10	2.1210053707319714e-11
41.0	9.84133464648884e-09	8.2296873660958e-11	3.6626443522507584e-11	9.164619340591484e-14	1.2758661790618448e-10	5.502630049597002e-11	9.999872505028286e-06	8.413346464888427e-10	8.867509173417272e-10	2.1504607299138366e-11
42.0	9.841574805470941e-09	8.236226294570373e-11	3.6589460472451113e-11	9.196331988549343e-14	1.311529439302561e-10	5.538018274738005e-11	9.999868939019388e-06	8.415748054709423e-10	8.8613914049162e-10	2.1799160890957018e-11
43.0	9.84181496445304e-09	8.242765223044948e-11	3.655247742239464e-11	9.228044636507202e-14	1.3471926995432772e-10	5.573406499879008e-11	9.99986537301049e-06	8.418149644530419e-10	8.855273636415127e-10	2.209371448277567e-11
44.0	9.84205512343514e-09	8.249304151519522e-11	3.651549437233817e-11	9.259757284465062e-14	1.3828559597839933e-10	5.6087947250200106e-11	9.999861807001593e-06	8.420551234351416e-10	8.849155867914055e-10	2.2388268074594322e-11
45.0	9.84229528241724e-09	8.255843079994096e-11	3.64785113222817e-11	9.291469932422921e-14	1.418519220024709e-10	5.6441829501610133e-11	9.999858240992695e-06	8.422952824172412e-10	8.843038099412983e-10	2.2682821666412974e-11
46.0	9.842535441399339e-09	8.26238200846867e-11	3.644152827222523e-11	9.32318258038078e-14	1.4541824802654252e-10	5.679571175302016e-11	9.999854674983798e-06	8.425354413993408e-10	8.83692033091191e-10	2.2977375258231626e-11
47.0	9.842775600381438e-09	8.268920936943245e-11	3.640454522216876e-11	9.35489522833864e-14	1.4898457405061415e-10	5.7149594004430195e-11	9.9998511089749e-06	8.427756003814405e-10	8.830802562410838e-10	2.327192885005028e-11
48.0	9.843015759363539e-09	8.275459865417818e-11	3.636756217211229e-11	9.3866078762965e-14	1.5255090007468576e-10	5.750347625584022e-11	9.999847542966002e-06	8.4301575936354e-10	8.824684793909765e-10	2.3566482441868933e-11
49.0	9.843255918345638e-09	8.281998793892393e-11	3.633057912205582e-11	9.418320524254358e-14	1.5611722609875737e-10	5.785735850725025e-11	9.999843976957105e-06	8.432559183456397e-10	8.818567025408693e-10	2.3861036033687586e-11
50.0	9.843496077327737e-09	8.288537722366966e-11	3.629359607199936e-11	9.450033172212217e-14	1.5968355212282897e-10	5.821124075866028e-11	9.999840410948207e-06	8.434960773277393e-10	8.812449256907621e-10	2.4155589625506238e-11
51.0	9.843736236309836e-09	8.295076650841541e-11	3.625661302194289e-11	9.481745820170077e-14	1.6324987814690058e-10	5.856512301007031e-11	9.99983684493931e-06	8.43736236309839e-10	8.806331488406548e-10	2.445014321732489e-11
52.0	9.843976395291937e-09	8.301615579316115e-11	3.621962997188642e-11	9.513458468127936e-14	1.668162041709722e-10	5.891900526148034e-11	9.999833278930412e-06	8.439763952919386e-10	8.800213719905476e-10	2.4744696809143542e-11
53.0	9.844216554274036e-09	8.308154507790689e-11	3.618264692182995e-11	9.545171116085795e-14	1.703825301950438e-10	5.927288751289036e-11	9.999829712921514e-06	8.442165542740382e-10	8.794095951404403e-10	2.5039250400962194e-11
54.0	9.844456713256135e-09	8.314693436265263e-11	3.6145663871773477e-11	9.576883764043654e-14	1.739488562191154e-10	5.962676976430039e-11	9.999826146912616e-06	8.444567132561378e-10	8.787978182903331e-10	2.5333803992780846e-11
55.0	9.844696872238236e-09	8.321232364739837e-11	3.6108680821717006e-11	9.608596412001514e-14	1.77515182243187e-10	5.998065201571042e-11	9.999822580903719e-06	8.446968722382374e-10	8.781860414402259e-10	2.5628357584599498e-11
56.0	9.844937031220335e-09	8.327771293214411e-11	3.6071697771660536e-11	9.640309059959373e-14	1.8108150826725862e-10	6.033453426712046e-11	9.999819014894821e-06	8.449370312203371e-10	8.775742645901186e-10	2.592291117641815e-11
57.0	9.845177190202434e-09	8.334310221688986e-11	3.6034714721604066e-11	9.672021707917232e-14	1.8464783429133023e-10	6.068841651853049e-11	9.999815448885923e-06	8.451771902024367e-10	8.769624877400113e-10	2.6217464768236802e-11
58.0	9.845417349184535e-09	8.340849150163559e-11	3.5997731671547595e-11	9.703734355875092e-14	1.8821416031540183e-10	6.104229876994051e-11	9.999811882877027e-06	8.454173491845363e-10	8.763507108899041e-10	2.6512018360055454e-11
59.0	9.845657508166634e-09	8.347388078638134e-11	3.5960748621491125e-11	9.735447003832951e-14	1.9178048633947344e-10	6.139618102135054e-11	9.99980831686813e-06	8.45657508166636e-10	8.757389340397969e-10	2.6806571951874106e-11
60.0	9.845897667148734e-09	8.353927007112708e-11	3.5923765571434655e-11	9.76715965179081e-14	1.9534681236354505e-10	6.175006327276057e-11	9.999804750859232e-06	8.458976671487355e-10	8.751271571896897e-10	2.7101125543692758e-11
61.0	9.846137826130834e-09	8.360465935587282e-11	3.5886782521378185e-11	9.798872299748669e-14	1.9891313838761666e-10	6.21039455241706e-11	9.999801184850334e-06	8.461378261308352e-10	8.745153803395824e-10	2.739567913551141e-11
62.0	9.846377985112933e-09	8.367004864061856e-11	3.5849799471321714e-11	9.83058494770653e-14	2.0247946441168826e-10	6.245782777558062e-11	9.999797618841437e-06	8.463779851129348e-10	8.739036034894751e-10	2.7690232727330062e-11
63.0	9.846618144095033e-09	8.37354379253643e-11	3.5812816421265244e-11	9.862297595664388e-14	2.0604579043575987e-10	6.281171002699065e-11	9.999794052832539e-06	8.466181440950345e-10	8.732918266393679e-10	2.7984786319148714e-11
64.0	9.846858303077132e-09	8.380082721011004e-11	3.5775833371208774e-11	9.894010243622247e-14	2.0961211645983148e-10	6.316559227840068e-11	9.999790486823641e-06	8.468583030771341e-10	8.726800497892607e-10	2.8279339910967366e-11
65.0	9.847098462059232e-09	8.386621649485579e-11	3.5738850321152303e-11	9.925722891580106e-14	2.131784424839031e-10	6.351947452981072e-11	9.999786920814744e-06	8.470984620592337e-10	8.720682729391535e-10	2.857389350278602e-11
66.0	9.847338621041332e-09	8.393160577960152e-11	3.570186727109583e-11	9.957435539537966e-14	2.167447685079747e-10	6.387335678122075e-11	9.999783354805846e-06	8.473386210413333e-10	8.714564960890463e-10	2.886844709460467e-11
67.0	9.84757878002343e-09	8.399699506434727e-11	3.566488422103936e-11	9.989148187495825e-14	2.2031109453204633e-10	6.422723903263077e-11	9.999779788796948e-06	8.475787800234329e-10	8.708447192389389e-10	2.9163000686423326e-11
68.0	9.84783182031759e-09	8.402530600656112e-11	3.566500978448858e-11	1.0001106151546407e-13	2.2388546108311097e-10	6.434660296712011e-11	9.999776214549978e-06	8.47831820317591e-10	8.706197778304056e-10	2.926832665420788e-11
69.0	9.848085442455089e-09	8.405194213594675e-11	3.5666811528092924e-11	1.0012171804998235e-13	2.2746019082133108e-10	6.445537380982563e-11	9.999772639930897e-06	8.480854424550897e-10	8.704123096128436e-10	2.936510529137985e-11
70.0	9.848339064592587e-09	8.407857826533239e-11	3.5668613271697274e-11	1.0023237458450063e-13	2.3103492055955116e-10	6.456414465253114e-11	9.999769065311814e-06	8.483390645925883e-10	8.702048413952815e-10	2.946188392855181e-11
71.0	9.848592686730086e-09	8.410521439471802e-11	3.567041501530162e-11	1.0034303111901891e-13	2.3460965029777124e-10	6.467291549523666e-11	9.999765490692732e-06	8.48592686730087e-10	8.699973731777195e-10	2.955866256572378e-11
72.0	9.848846308867585e-09	8.413185052410366e-11	3.567221675890596e-11	1.004536876535372e-13	2.381843800359913e-10	6.478168633794216e-11	9.999761916073651e-06	8.488463088675855e-10	8.697899049601574e-10	2.965544120289575e-11
73.0	9.849099931005082e-09	8.41584866534893e-11	3.5674018502510313e-11	1.0056434418805548e-13	2.4175910977421145e-10	6.489045718064767e-11	9.999758341454569e-06	8.490999310050842e-10	8.695824367425954e-10	2.9752219840067714e-11
74.0	9.84935355314258e-09	8.418512278287493e-11	3.567582024611466e-11	1.0067500072257377e-13	2.4533383951243153e-10	6.499922802335318e-11	9.999754766835488e-06	8.493535531425829e-10	8.693749685250333e-10	2.984899847723968e-11
75.0	9.849607175280079e-09	8.421175891226056e-11	3.5677621989719e-11	1.0078565725709205e-13	2.4890856925065167e-10	6.51079988660587e-11	9.999751192216405e-06	8.496071752800814e-10	8.691675003074712e-10	2.9945777114411644e-11
76.0	9.849860797417578e-09	8.42383950416462e-11	3.5679423733323346e-11	1.0089631379161032e-13	2.5248329898887175e-10	6.52167697087642e-11	9.999747617597325e-06	8.498607974175801e-10	8.689600320899092e-10	3.0042555751583615e-11
77.0	9.850114419555076e-09	8.426503117103184e-11	3.5681225476927696e-11	1.0100697032612861e-13	2.5605802872709183e-10	6.532554055146971e-11	9.999744042978242e-06	8.501144195550787e-10	8.687525638723471e-10	3.013933438875558e-11
78.0	9.850368041692575e-09	8.429166730041747e-11	3.568302722053204e-11	1.011176268606469e-13	2.596327584653119e-10	6.543431139417523e-11	9.999740468359161e-06	8.503680416925774e-10	8.685450956547851e-10	3.0236113025927546e-11
79.0	9.850621663830074e-09	8.431830342980311e-11	3.5684828964136385e-11	1.0122828339516518e-13	2.63207488203532e-10	6.554308223688074e-11	9.999736893740079e-06	8.506216638300759e-10	8.68337627437223e-10	3.033289166309951e-11
80.0	9.850875285967572e-09	8.434493955918874e-11	3.568663070774073e-11	1.0133893992968347e-13	2.6678221794175207e-10	6.565185307958626e-11	9.999733319120998e-06	8.508752859675746e-10	8.68130159219661e-10	3.042967030027148e-11
81.0	9.851128908105071e-09	8.437157568857438e-11	3.568843245134508e-11	1.0144959646420175e-13	2.703569476799722e-10	6.576062392229177e-11	9.999729744501916e-06	8.511289081050733e-10	8.679226910020989e-10	3.052644893744345e-11
82.0	9.85138253024257e-09	8.439821181796001e-11	3.5690234194949424e-11	1.0156025299872002e-13	2.739316774181923e-10	6.586939476499727e-11	9.999726169882833e-06	8.513825302425719e-10	8.677152227845369e-10	3.062322757461541e-11
83.0	9.851636152380068e-09	8.442484794734565e-11	3.569203593855377e-11	1.0167090953323831e-13	2.775064071564124e-10	6.597816560770279e-11	9.999722595263753e-06	8.516361523800705e-10	8.675077545669748e-10	3.072000621178738e-11
84.0	9.851889774517567e-09	8.445148407673128e-11	3.569383768215811e-11	1.0178156606775659e-13	2.810811368946325e-10	6.60869364504083e-11	9.99971902064467e-06	8.518897745175691e-10	8.673002863494128e-10	3.081678484895935e-11
85.0	9.852143396655066e-09	8.447812020611692e-11	3.569563942576246e-11	1.0189222260227488e-13	2.846558666328526e-10	6.619570729311381e-11	9.99971544602559e-06	8.521433966550678e-10	8.670928181318507e-10	3.0913563486131314e-11
86.0	9.852397018792564e-09	8.450475633550255e-11	3.569744116936681e-11	1.0200287913679316e-13	2.8823059637107266e-10	6.630447813581933e-11	9.999711871406507e-06	8.523970187925665e-10	8.668853499142886e-10	3.101034212330328e-11
87.0	9.852650640930063e-09	8.453139246488819e-11	3.569924291297115e-11	1.0211353567131145e-13	2.9180532610929274e-10	6.641324897852483e-11	9.999708296787426e-06	8.52650640930065e-10	8.666778816967266e-10	3.1107120760475244e-11
88.0	9.852904263067562e-09	8.455802859427383e-11	3.57010446565755e-11	1.0222419220582972e-13	2.9538005584751287e-10	6.652201982123034e-11	9.999704722168344e-06	8.529042630675637e-10	8.664704134791645e-10	3.1203899397647216e-11
89.0	9.85315788520506e-09	8.458466472365946e-11	3.5702846400179846e-11	1.0233484874034801e-13	2.9895478558573295e-10	6.663079066393586e-11	9.999701147549263e-06	8.531578852050623e-10	8.662629452616025e-10	3.130067803481918e-11
90.0	9.853411507342559e-09	8.46113008530451e-11	3.570464814378419e-11	1.0244550527486629e-13	3.0252951532395303e-10	6.673956150664137e-11	9.99969757293018e-06	8.53411507342561e-10	8.660554770440404e-10	3.1397456671991146e-11
91.0	9.853665129480058e-09	8.463793698243073e-11	3.5706449887388534e-11	1.0255616180938458e-13	3.0610424506217317e-10	6.684833234934689e-11	9.9996939983111e-06	8.536651294800596e-10	8.658480088264784e-10	3.149423530916311e-11
92.0	9.853918751617556e-09	8.466457311181637e-11	3.5708251630992885e-11	1.0266681834390286e-13	3.0967897480039325e-10	6.695710319205239e-11	9.999690423692017e-06	8.539187516175582e-10	8.656405406089163e-10	3.159101394633508e-11
93.0	9.854172373755055e-09	8.4691209241202e-11	3.571005337459723e-11	1.0277747487842115e-13	3.1325370453861333e-10	6.70658740347579e-11	9.999686849072935e-06	8.541723737550569e-10	8.654330723913543e-10	3.168779258350705e-11
94.0	9.854425995892554e-09	8.471784537058764e-11	3.571185511820157e-11	1.0288813141293942e-13	3.168284342768334e-10	6.717464487746341e-11	9.999683274453854e-06	8.544259958925554e-10	8.652256041737922e-10	3.178457122067901e-11
95.0	9.854679618030053e-09	8.474448149997327e-11	3.571365686180592e-11	1.029987879474577e-13	3.204031640150535e-10	6.728341572016893e-11	9.999679699834772e-06	8.546796180300541e-10	8.650181359562301e-10	3.188134985785098e-11
96.0	9.854933240167551e-09	8.477111762935891e-11	3.571545860541027e-11	1.0310944448197599e-13	3.239778937532736e-10	6.739218656287444e-11	9.999676125215691e-06	8.549332401675528e-10	8.648106677386681e-10	3.197812849502295e-11
97.0	9.85518686230505e-09	8.479775375874454e-11	3.571726034901461e-11	1.0322010101649428e-13	3.275526234914937e-10	6.750095740557996e-11	9.999672550596608e-06	8.551868623050514e-10	8.64603199521106e-10	3.2074907132194914e-11
98.0	9.855440484442549e-09	8.482438988813018e-11	3.5719062092618956e-11	1.0333075755101256e-13	3.311273532297138e-10	6.760972824828546e-11	9.999668975977528e-06	8.5544048444255e-10	8.64395731303544e-10	3.217168576936688e-11
99.0	9.855694106580047e-09	8.485102601751582e-11	3.57208638362233e-11	1.0344141408553085e-13	3.347020829679339e-10	6.771849909099097e-11	9.999665401358445e-06	8.556941065800486e-10	8.641882630859819e-10	3.2268464406538844e-11
100.0	9.855947728717546e-09	8.487766214690145e-11	3.572266557982765e-11	1.0355207062004912e-13	3.38276812706154e-10	6.782726993369649e-11	9.999661826739364e-06	8.559477287175473e-10	8.639807948684199e-10	3.2365243043710816e-11
