time	Glcin	MgATP	Glc6P	MgADP	Fru6P	Fru16P2	GraP	DHAP	Phi	NAD	Gri13P2	NADH	Gri3P	Gri23P2f	Gri2P	PEP	Pyr	Lac	NADPHf	NADPf	AMPf	ADPf	GlcA6P	Rul5P	GSSG	GSH	Xul5P	Rib5P	Sed7P	E4P	MgAMP	ATPf	Mgf	MgGri23P2	P1NADP	P1f	P1NADPH	P2NADP	P2f	P2NADPH	PRPP	Lacex	Pyrex	Glcout	Phiex
49.0	4.566797764394876	1.4177066542466312	0.03949123662708908	0.1368588578322688	0.015345094982362544	0.00968054059832535	0.006061858138020797	0.14920820840670393	0.9992249347316579	0.06534362836944412	0.0004805748302748162	0.0001563716305558931	0.06577121397521736	2.060829805422421	0.008443136407682801	0.01094138700865563	0.08399000448735207	1.680305324658547	0.004889177214767325	2.3435723103264507e-05	0.07225971859199098	0.18712362902412477	0.025054034191420403	0.0047217129798931105	0.00018674296816367396	3.114026514063672	0.012743132678555303	0.01400466075152486	0.015414337608369907	0.006271260117441016	0.002413800033433588	0.18363734027060338	0.5558503458720981	0.6871703420176676	5.738952004973914e-06	4.897610352952783e-05	0.02394528494446532	0.0020239953822832227	0.0008636368390958588	0.021112367777705685	1.0	1.68	0.084	5.0	1.0
50.0	4.566798053414649	1.4177065015791979	0.039491253413175643	0.13685878092783088	0.01534510165925658	0.00968054215999225	0.006061859082823722	0.1492082314441093	0.9992249527554882	0.0653436283780157	0.00048057494431250286	0.0001563716219843223	0.06577120015324935	2.0608341227387457	0.008443134811247218	0.010941385562590038	0.0839900045763966	1.6803053244608135	0.004889177216554172	2.3435722596400096e-05	0.07225971536217865	0.18712370565785152	0.025054057877910502	0.0047217140525975315	0.0001867429680990851	3.114026514063801	0.012743135574622717	0.014004663966634533	0.015414347509434536	0.006271262401676488	0.002413797580586851	0.1836374988912955	0.55584980588022	0.6871711140342898	5.738951878788997e-06	4.897610351192255e-05	0.023945284944609097	0.0020239953415502054	0.0008636368403934036	0.02111236781714116	1.0	1.68	0.084	5.0	1.0
51.0	4.566798288254555	1.4177063738177613	0.0394912691395584	0.136858716409902	0.015345107900776561	0.009680543370220101	0.006061859819215285	0.14920824937383098	0.9992249689932449	0.06534362838535637	0.0004805750365731595	0.00015637161464364394	0.06577118809140287	2.060837741194233	0.008443133425319589	0.010941384334930885	0.08399000465029165	1.6803053242912642	0.004889177218920255	2.3435721925220743e-05	0.0722597125764231	0.18712376980440587	0.025054077381889563	0.004721715116503174	0.00018674296801108147	3.1140265140639767	0.012743138446688432	0.014004667168788752	0.015414356852713194	0.006271264362559351	0.002413795521836319	0.18363763186766255	0.5558493532163749	0.6871717610363743	5.738951711694417e-06	4.8976103488609805e-05	0.02394528494479947	0.0020239952876155757	0.0008636368421114807	0.021112367869357714	1.0	1.68	0.084	5.0	1.0
52.0	4.566798498989319	1.4177062672665028	0.039491279466419914	0.1368586619804566	0.015345112022169012	0.00968054452846958	0.006061860533486006	0.14920826681362112	0.9992249807529932	0.06534362839133365	0.00048057512011569323	0.00015637160866637355	0.06577117862142921	2.0608407784077647	0.008443132327221554	0.010941383324076967	0.083990004713489	1.6803053241535355	0.0048891772195344615	2.3435721751051284e-05	0.07225970995365714	0.18712382335844224	0.02505409448389965	0.004721715709792004	0.0001867429679920205	3.114026514064015	0.01274314004894908	0.014004668927844034	0.015414362776591806	0.006271265909345632	0.002413793783694945	0.1836377436540833	0.555848973128422	0.6871723038430984	5.738951668338053e-06	4.8976103482558514e-05	0.023945284944848842	0.002023995273615018	0.0008636368425574398	0.02111236788291232	1.0	1.68	0.084	5.0	1.0
53.0	4.566798667971599	1.4177061771609079	0.03949128999215746	0.13685861660112145	0.015345116203278355	0.009680545371291855	0.006061861056416193	0.14920827954979496	0.9992249920080535	0.06534362839650847	0.0004805751853648844	0.00015637160349155088	0.0657711701999466	2.06084332635322	0.008443131360487835	0.01094138247142094	0.08399000476570437	1.680305324034039	0.00488917722080934	2.343572138944004e-05	0.07225970804958985	0.187123868586435	0.025054108279230016	0.0047217164166091785	0.00018674296794491996	3.114026514064109	0.012743141957296015	0.014004671047302623	0.015414368896208815	0.006271267223207664	0.0024137923361463084	0.18363783726075222	0.5558486544280578	0.6871727594756889	5.7389515783125974e-06	4.897610346999723e-05	0.02394528494495138	0.002023995244556432	0.0008636368434830787	0.02111236791104527	1.0	1.68	0.084	5.0	1.0
54.0	4.566798821839827	1.4177061009781369	0.039491296313357994	0.136858578651046	0.015345118733593196	0.009680546224297168	0.006061861576757541	0.14920829226336607	0.9992249997730367	0.06534362840061674	0.0004805752449716865	0.00015637159938327883	0.06577116386266163	2.0608454666760854	0.008443130623006922	0.010941381782233956	0.08399000481072096	1.680305323939482	0.004889177220649759	2.343572143476447e-05	0.07225970665120218	0.18712390678659924	0.025054120437290467	0.004721716761515659	0.00018674296795344268	3.114026514064092	0.012743142888913676	0.014004672061469395	0.0154143724483836	0.006271268251601959	0.002413791127624488	0.18363791579880037	0.5558483868939468	0.6871731423506067	5.738951589599372e-06	4.897610347156985e-05	0.02394528494493849	0.002023995248195314	0.0008636368433671369	0.02111236790752233	1.0	1.68	0.084	5.0	1.0
55.0	4.566798945528117	1.4177060368596504	0.03949130285137242	0.13685854684510262	0.01534512133673724	0.00968054685196938	0.006061861965144649	0.14920830173337837	0.9992250072147459	0.06534362840419254	0.0004805752920485902	0.00015637159580747384	0.06577115818311224	2.0608472640038547	0.008443129968949564	0.010941381197240245	0.08399000484797442	1.6803053238570025	0.004889177220974211	2.343572134275076e-05	0.07225970553686198	0.18712393892497592	0.02505413027238716	0.004721717183787333	0.0001867429679419	3.1140265140641152	0.012743144029181235	0.01400467332038541	0.015414376170478555	0.006271269126093189	0.002413790114861009	0.18363798171054455	0.5558481622465026	0.6871734639346824	5.738951566692277e-06	4.897610346837305e-05	0.02394528494496457	0.0020239952408008396	0.0008636368436026742	0.02111236791468127	1.0	1.68	0.084	5.0	1.0
56.0	4.566799050075042	1.4177059830470156	0.03949130811851322	0.13685852013967814	0.015345123435920887	0.009680547398161037	0.0060618623008594375	0.14920830992335238	0.9992250132812315	0.06534362840716637	0.0004805753321528731	0.0001563715928336414	0.06577115348927927	2.0608487727751337	0.008443129427004733	0.01094138070708514	0.08399000487936222	1.6803053237884424	0.004889177221137742	2.3435721296373895e-05	0.07225970459663118	0.18712396589883917	0.02505413857773689	0.004721717513213598	0.00018674296793651043	3.114026514064126	0.012743144918761398	0.014004674300814408	0.01541437917345006	0.006271269862848082	0.002413789264536896	0.1836380370444919	0.5558479736668949	0.6871737338821622	5.7389515551470646e-06	4.897610346676185e-05	0.023945284944977715	0.002023995237073424	0.000863636843721405	0.021112367918289958	1.0	1.68	0.084	5.0	1.0
57.0	4.566799135891336	1.4177059381779982	0.03949131285717343	0.13685849763519836	0.015345125322029647	0.009680547848874907	0.006061862577475577	0.14920831666873105	0.9992250185261952	0.06534362840968401	0.0004805753655531665	0.00015637159031600998	0.06577114945888184	2.0608500384770183	0.00844312896208816	0.010941380288301793	0.08399000490552143	1.6803053237303696	0.004889177221463615	2.3435721203937227e-05	0.07225970369538663	0.18712398841201183	0.025054145501095547	0.00472171781604244	0.00018674296792490263	3.1140265140641494	0.012743145736433795	0.014004675205597715	0.015414381914018869	0.006271270504422677	0.002413788547112237	0.18363808352306993	0.5558478153904086	0.6871739602492389	5.738951532134854e-06	4.897610346355113e-05	0.023945284945003933	0.0020239952296448806	0.0008636368439580396	0.021112367925481868	1.0	1.68	0.084	5.0	1.0
58.0	4.566799208653438	1.4177059000543262	0.039491316852149676	0.13685847857379096	0.015345126912240986	0.009680548232792813	0.006061862812390004	0.14920832239737344	0.9992250229598082	0.065343628411814	0.0004805753938797602	0.00015637158818601577	0.06577114605524513	2.060851111974005	0.008443128569364433	0.010941379934113715	0.08399000492773014	1.6803053236812417	0.004889177221694699	2.343572113837564e-05	0.0722597029592076	0.1871240075352404	0.025054151355559804	0.00472171807141243	0.00018674296791666728	3.114026514064166	0.012743146425956886	0.014004675968703426	0.015414384226609634	0.006271271047625163	0.0024137879396544737	0.18363812292858103	0.555847681167661	0.6871741522641486	5.738951515813227e-06	4.897610346127435e-05	0.023945284945022547	0.0020239952243761893	0.0008636368441258796	0.021112367930582715	1.0	1.68	0.084	5.0	1.0
