time	Th	T	Cs	Cp	C
50.495049504950494	1.3696350593339252e-06	980392156.7505882	0.022222466949070423	0.3235290757803622	0.022222369552874155
51.48514851485149	1.3696350592846905e-06	980392156.7856025	0.02222246694907041	0.3235290757803624	0.022222369552874145
52.475247524752476	1.3696350592553864e-06	980392156.8064424	0.022222466949070402	0.3235290757803623	0.022222369552874138
53.46534653465346	1.3696350592260924e-06	980392156.8272781	0.022222466949070402	0.3235290757803625	0.022222369552874148
54.45544554455446	1.3696350592054976e-06	980392156.8419242	0.0222224669490704	0.32352907578036255	0.022222369552874145
55.445544554455445	1.3696350591830572e-06	980392156.8578829	0.0222224669490704	0.3235290757803625	0.02222236955287414
56.43564356435643	1.3696350591658427e-06	980392156.8701253	0.0222224669490704	0.3235290757803625	0.02222236955287414
57.42574257425743	1.3696350591629806e-06	980392156.8721606	0.022222466949070402	0.3235290757803625	0.022222369552874138
58.415841584158414	1.3696350591542475e-06	980392156.8783715	0.0222224669490704	0.32352907578036244	0.022222369552874138
59.4059405940594	1.3696350591559894e-06	980392156.8771325	0.022222466949070395	0.3235290757803625	0.02222236955287414
60.396039603960396	1.3696350591626547e-06	980392156.8723922	0.022222466949070395	0.32352907578036255	0.02222236955287414
61.386138613861384	1.3696350591681778e-06	980392156.8684644	0.022222466949070395	0.3235290757803625	0.022222369552874138
62.37623762376238	1.3696350591750955e-06	980392156.8635446	0.022222466949070395	0.3235290757803625	0.022222369552874138
63.366336633663366	1.3696350591814205e-06	980392156.8590463	0.022222466949070395	0.32352907578036255	0.022222369552874134
64.35643564356435	1.3696350591855112e-06	980392156.8561372	0.022222466949070395	0.32352907578036255	0.022222369552874134
65.34653465346534	1.3696350591890861e-06	980392156.8535948	0.022222466949070395	0.3235290757803626	0.022222369552874138
66.33663366336634	1.3696350591965004e-06	980392156.8483219	0.0222224669490704	0.3235290757803626	0.02222236955287413
67.32673267326733	1.3696350592046717e-06	980392156.8425106	0.022222466949070402	0.32352907578036255	0.022222369552874124
68.31683168316832	1.369635059212425e-06	980392156.8369963	0.022222466949070405	0.32352907578036255	0.022222369552874117
69.3069306930693	1.3696350592180337e-06	980392156.8330076	0.02222246694907041	0.3235290757803625	0.02222236955287411
70.29702970297029	1.3696350592192183e-06	980392156.8321652	0.02222246694907041	0.32352907578036244	0.022222369552874113
71.2871287128713	1.3696350592131474e-06	980392156.8364829	0.022222466949070405	0.3235290757803625	0.022222369552874127
72.27722772277228	1.3696350592134972e-06	980392156.8362342	0.022222466949070405	0.32352907578036244	0.02222236955287413
73.26732673267327	1.369635059221872e-06	980392156.830278	0.02222246694907041	0.32352907578036233	0.02222236955287412
74.25742574257426	1.3696350592294892e-06	980392156.8248607	0.022222466949070416	0.3235290757803622	0.02222236955287411
75.24752475247524	1.3696350592349479e-06	980392156.8209785	0.02222246694907042	0.32352907578036216	0.022222369552874103
76.23762376237623	1.3696350592365392e-06	980392156.819847	0.02222246694907042	0.32352907578036216	0.022222369552874103
77.22772277227723	1.3696350592322444e-06	980392156.8229018	0.022222466949070416	0.3235290757803623	0.02222236955287411
78.21782178217822	1.3696350592197362e-06	980392156.8317983	0.022222466949070405	0.3235290757803625	0.022222369552874134
79.20792079207921	1.3696350592163079e-06	980392156.8342367	0.022222466949070402	0.32352907578036255	0.02222236955287414
80.1980198019802	1.3696350592165662e-06	980392156.8340532	0.022222466949070402	0.32352907578036255	0.02222236955287414
81.18811881188118	1.3696350592160588e-06	980392156.8344141	0.022222466949070402	0.32352907578036255	0.022222369552874138
82.17821782178218	1.3696350592144702e-06	980392156.835544	0.022222466949070402	0.32352907578036255	0.022222369552874138
83.16831683168317	1.369635059211435e-06	980392156.8377023	0.0222224669490704	0.3235290757803625	0.022222369552874134
84.15841584158416	1.3696350592065386e-06	980392156.8411846	0.0222224669490704	0.3235290757803625	0.022222369552874138
85.14851485148515	1.369635059199315e-06	980392156.8463217	0.022222466949070395	0.3235290757803625	0.02222236955287414
86.13861386138613	1.3696350591956604e-06	980392156.8489206	0.022222466949070395	0.3235290757803625	0.022222369552874138
