time	S	C	V_C
90.0990099009901	784419547.6571028	286196.7428988651	410801.82988573395
91.08910891089108	784425607.3668106	280644.8823625951	402421.0207076492
92.07920792079207	784431551.2578931	275199.1919503033	394238.0019094309
93.06930693069307	784437381.3882579	269857.7796479897	386245.78172480164
94.05940594059406	784443099.7936041	264618.7744185598	378437.7895573908
95.04950495049505	784448708.4862361	259480.32723033888	370807.8419141447
96.03960396039604	784454209.4540477	254440.61193530782	363350.1113489705
97.02970297029702	784459604.6596586	249497.82601178632	356059.09814528807
98.01980198019803	784464896.0396904	244650.19118494747	348929.6044904489
99.00990099009901	784470085.5041656	239895.9539373136	341956.7109173333
100.0	784475174.9360192	235233.3859202521	335135.7548089913
