time	r0	r1	r2	r11	r12	r22	r1x2	r11x2	r1x22	r1x22d	r11x22	rend	rendP	iendIR	iend	rPbasal	IRS	IRSiP	X	X_P	PI3K	PI3K_	PDK1	PDK1_	PKC	PKC_P	PKB	PKB_P	mTOR	mTOR_	GLUT4_C	GLUT4_M
9.900990099009901	9.909013202969003	0.07781598309153803	0.012667093139498594	0.0001527742371063041	4.9738276527647254e-05	4.044388387311869e-06	3.9115322364074756e-06	1.5359478260203944e-08	2.4996576638842776e-09	8.605804557995349e-19	2.848190760992051e-13	3.5066083329326735e-05	0.00021993067660105694	2.019968793869072e-05	3.2139985763422458e-06	3.849309475952595e-05	9.999816405967486	0.00018359403247425465	9.922950074453823	0.07704992554618303	9.974949173035847	0.025050826964160715	8.618939434203972	1.381060565796034	3.4989293427314056e-05	9.99996501070659	9.89904849594705	0.10095150405297919	0.019616009031893318	9.980383990968125	9.992974245219468	0.007025754780544076
10.89108910891089	9.900114319410903	0.08616167198446775	0.013175814079433567	0.00018746972090332616	5.733595480051541e-05	4.380166617971082e-06	4.292245435243241e-06	1.8678832517649085e-08	2.855698719684671e-09	1.108759106371623e-18	3.6827944702960407e-13	3.5344644585631276e-05	0.00022114708062135808	2.207718987161423e-05	3.5198831407680295e-06	3.8458525738718914e-05	9.999815398096802	0.00018460190315783932	9.92275611295541	0.07724388704459142	9.974811999944693	0.025188000055314245	8.612426522384176	1.3875734776158306	3.482506328732814e-05	9.999965174936731	9.89857724976848	0.10142275023155177	0.019525044186657466	9.98047495581336	9.992943595930386	0.007056404069631495
11.881188118811881	9.88879888122312	0.09682251000491088	0.013768045111906426	0.00023700226771842826	6.740330322123018e-05	4.788752576653197e-06	4.776473383369991e-06	2.33846898613391e-08	3.3245148382844673e-09	1.4732042598082337e-18	4.915182138867521e-13	3.570124934526477e-05	0.00022270568327861423	2.4468452603062634e-05	3.911699453862018e-06	3.8414569247827886e-05	9.999814106607387	0.00018589339257448054	9.922511913231975	0.07748808676802511	9.974636231068866	0.025363768931143213	8.604095444557265	1.3959045554427427	3.461722006172928e-05	9.999965382779955	9.89797451430374	0.10202548569629118	0.019409920228716356	9.9805900797713	9.992903986555023	0.007096013444992384
12.871287128712872	9.874754349749889	0.11008543407505958	0.014463194101717342	0.0003068153909393895	8.06203063600876e-05	5.2925831302710916e-06	5.37755273595155e-06	2.9976433719691786e-08	3.937441039752867e-09	2.0077577466442662e-18	6.733664467279677e-13	3.6146621070980705e-05	0.00022463104177303464	2.743589506649051e-05	4.401715233820439e-06	3.836001118082696e-05	9.99981251113092	0.00018748886904533434	9.922204740130038	0.07779525986996473	9.974419098518602	0.025580901481402612	8.593826012356582	1.406173987643426	3.43644078400243e-05	9.999965635592176	9.897231644046807	0.10276835595322614	0.01926988441379522	9.98073011558622	9.992854760958586	0.007145239041426952
13.861386138613861	9.857718186172866	0.12618465687690208	0.01528179708674823	0.0004038135420967175	9.780971176135524e-05	5.919439301936246e-06	6.106607114494309e-06	3.908608934971741e-08	4.732452457754934e-09	2.7891450838473208e-18	9.408557967316445e-13	3.6690015326146476e-05	0.00022693824514105068	3.102789008951444e-05	5.000734327788426e-06	3.829383166327244e-05	9.999810599143892	0.00018940085607168345	9.921822858612948	0.07817714138705686	9.974158903411132	0.025841096588875696	8.581552119547167	1.4184478804528422	3.4067052100351456e-05	9.999965932947912	9.896343921327112	0.10365607867292075	0.01910517032830254	9.980894829671712	9.992795518284277	0.00720448171573894
14.85148514851485	9.83749503305686	0.1452850377952338	0.016244892693537027	0.0005364163324881762	0.00011995863583376761	6.703440382294671e-06	6.971799374215088e-06	5.148418004086458e-08	5.75518967560131e-09	3.924608696737944e-18	1.331997891847954e-12	3.733865197946054e-05	0.00022963043021855136	3.5274391766180696e-05	5.717484760024395e-06	3.821527179667151e-05	9.999808368027185	0.00019163197277747445	9.9213560116599	0.0786439883401011	9.973855296036591	0.02614470396341721	8.567274605071894	1.4327253949281142	3.372756542120714e-05	9.999966272434591	9.895311484773988	0.10468851522604229	0.01891711199584669	9.981082888004167	9.992726180408113	0.007273819591903929
15.841584158415841	9.813972951800718	0.16746668746852544	0.017373299857043743	0.0007144262808041005	0.0001482331383266682	7.686104412233283e-06	7.977630020577051e-06	6.806919274859231e-08	7.059687139638133e-09	5.560585286722832e-18	1.8989172684911942e-12	3.8097155466938834e-05	0.0002326968855749469	4.018309062199531e-05	6.557997161472857e-06	3.812389673543854e-05	9.999805826638795	0.0001941733611664198	9.920795949294005	0.07920405070599452	9.973509489536193	0.026490510463813968	8.551070353930774	1.448929646069234	3.335037104465962e-05	9.999966649628965	9.89413998281928	0.10586001718074958	0.018708157175831953	9.981291842824183	9.992647042938817	0.007352957061199465
16.831683168316832	9.787136002063784	0.19271351759531846	0.01868684571787209	0.000948669550181095	0.00018398113275262337	8.917392428455945e-06	9.124400324135865e-06	8.98368934341825e-08	8.708595714284875e-09	7.891775760315423e-18	2.7110613750112275e-12	3.896708638269117e-05	0.00023611221660793668	4.573686191673436e-05	7.525060128619111e-06	3.801964455378159e-05	9.999802996007642	0.00019700399231679735	9.920136950055426	0.07986304994457714	9.973124353725902	0.026875646274102553	8.533095124631112	1.4669048753688945	3.294170201655699e-05	9.99996705829799	9.89284077071599	0.10715922928403807	0.01848175640190806	9.981518243598108	9.992558797648773	0.007441202351245447
17.821782178217823	9.75707026005398	0.22090857245512924	0.02020361171928838	0.0012504112486556404	0.00022872014642800876	1.0456635220961851e-05	1.0407966559610488e-05	1.17829407534569e-07	1.0772738286099303e-08	1.1169599844741339e-17	3.858075934720627e-12	3.994666414648954e-05	0.00023983700336822601	5.189328019063547e-05	8.617860859160604e-06	3.790284962491128e-05	9.9997999087905	0.000200091209459481	9.91937625788823	0.0806237421117709	9.972704340416836	0.02729565958316885	8.513577992553762	1.4864220074462438	3.2509169764040685e-05	9.99996749083024	9.891430499347154	0.10856950065286974	0.018242124297998062	9.981757875702018	9.99246251482709	0.007537485172926916
18.81188118811881	9.723961392288723	0.2518378992212697	0.021939271779517152	0.0016305990533533204	0.0002841084160961455	1.2373235130158392e-05	1.1819866849973955e-05	1.5306858728746638e-07	1.3329922497586544e-08	1.5708768907182535e-17	5.451851852411585e-12	4.1030757540296035e-05	0.00024382009276652334	5.858664735258711e-05	9.831899991782437e-06	3.7774233196209495e-05	9.999796607374087	0.0002033926258682246	9.918514352588044	0.0814856474119542	9.972255224313773	0.027744775686229243	8.492807013780833	1.5071929862191724	3.20611547308648e-05	9.999967938845277	9.88993006890696	0.11006993109306192	0.017993902252180356	9.982006097747837	9.992359581178945	0.0076404188210702955
