time	EGFR_active	D_SOS	A_SOS	Raf	Ras_active	Mek_active	ERK	ERK_active	IGFR_active	PI3KCA	PI3KCA_active	AKT_active	AKT	PP2A	Ras	Raf_active	Mek	RasGapActive	RafPP	P90RskInactive	P90Rsk_Active
15.841584158415841	5827.626846147261	119331.51747358512	668.4825264150126	119996.23495211649	131.57526840909185	131.91597916967373	593598.0725511091	6401.927448890528	582.7626846147258	0.306056193916745	119999.69394380604	48413.86156542938	551586.1384345709	120000.0	119868.42473159099	3.765047883379003	599868.0840208285	120000.0	120000.0	118030.87337172983	1969.1266282704935
16.831683168316832	5713.363350191265	119346.74004706163	653.2599529384929	119996.3852301913	128.57763388724615	124.62362134521958	594865.2123935206	5134.78760647886	571.3363350191262	0.31842006870743267	119999.68157993122	51241.2668645581	548758.7331354422	120000.0	119871.42236611282	3.6147698085638797	599875.376378653	120000.0	120000.0	118024.38247673748	1975.617523262845
17.821782178217823	5601.340242450366	119360.59413750855	639.4058624915818	119996.52229203672	125.84983901768365	118.65276478388547	595822.8092599241	4177.190740075668	560.1340242450362	0.33128339810561375	119999.66871660182	54046.16482955625	545953.835170444	120000.0	119874.15016098238	3.477707963184275	599881.3472352144	120000.0	120000.0	118021.04625007056	1978.9537499297205
18.81188118811881	5491.513595165196	119373.4029433502	626.5970566499307	119996.64863113458	123.32812718453027	113.55084280437933	596548.0713241681	3451.9286758316907	549.1513595165194	0.3446663571328516	119999.65533364282	56828.69499942712	543171.305000573	120000.0	119876.67187281551	3.351368865330554	599886.449157194	120000.0	120000.0	118020.08827292983	1979.9117270704508
19.801980198019802	5383.840341877144	119385.39935745059	614.6006425495276	119996.76608014925	120.9665589082235	109.04935457917902	597099.244884393	2900.7551156070945	538.3840341877143	0.3585899357062711	119999.64141006424	59588.99647449431	540411.003525506	120000.0	119879.03344109181	3.233919850648947	599890.9506454192	120000.0	120000.0	118020.92635832078	1979.0736416795125
20.792079207920793	5278.2782605406355	119396.7525301459	603.24746985425	119996.87600830832	118.73177010671515	104.98428378394333	597520.0877101051	2479.9122898947858	527.8278260540633	0.37307597147376986	119999.62692402849	62327.207915062405	537672.7920849379	120000.0	119881.26822989332	3.1239916915620087	599895.0157162143	120000.0	120000.0	118023.12447071256	1976.8755292877572
21.78217821782178	5174.785956966555	119407.58619784721	592.4138021529685	119996.9794557499	116.59935565410254	101.25206402329303	597843.3775841657	2156.622415834111	517.4785956966554	0.3881471840046634	119999.61185281596	65043.46754004983	534956.5324599505	120000.0	119883.40064434591	3.0205442499959165	599898.7479359749	120000.0	120000.0	118026.35617619146	1973.643823808864
22.77227722772277	5073.3228485903055	119417.99150265807	582.0084973420834	119997.07722625537	114.55134013221989	97.78489274217209	598093.6185994287	1906.3814005708152	507.3322848590302	0.40382721072640754	119999.59617278924	67737.9131255957	532262.0868744045	120000.0	119885.4486598678	2.9227737445324604	599902.2151072558	120000.0	120000.0	118030.37704208639	1969.6229579139267
23.762376237623762	4973.849148558091	119428.03605514835	571.9639448517979	119997.16995200544	112.57438990273612	94.5366695286069	598289.1053921152	1710.8946078843512	497.38491485580823	0.4201406428682782	119999.57985935712	70410.68200364201	529589.3179963583	120000.0	119887.42561009726	2.83004799443703	599905.4633304696	120000.0	120000.0	118035.00389129929	1964.9961087010308
24.752475247524753	4876.325850125258	119437.77039504197	562.2296049582175	119997.25813924598	110.65853858761838	91.47483367023547	598443.4855481321	1556.5144518676148	487.63258501252494	0.43711306728381777	119999.56288693268	73061.91106049147	526938.088939509	120000.0	119889.3414614124	2.7418607539390356	599908.5251663277	120000.0	120000.0	118040.09926003033	1959.9007399699433
