time	Susceptible	Exposed	Infected	Recovered	Total_population
39.603960396039604	187570125.0600019	28658788.720894467	62731928.39077487	51092117.828328766	330052960.0
40.59405940594059	182538723.51157868	29059390.846960064	64721938.642803274	53732906.99865797	330052960.0
41.584158415841586	177533853.34360084	29406375.290111843	66674674.27248538	56438057.093801975	330052960.0
42.57425742574257	172568939.29178745	29697758.609376173	68582003.9289111	59204258.169925265	330052960.0
43.56435643564356	167657167.32367137	29932067.849471364	70435911.26251268	62027813.56434461	330052960.0
44.554455445544555	162811352.09755954	30108366.944349874	72228585.9679106	64904654.99018003	330052960.0
45.54455445544554	158043811.13950253	30226272.648327075	73952513.87783238	67830362.33433802	330052960.0
46.53465346534654	153366248.40741342	30285959.45408019	75600564.1619118	70800187.9765946	330052960.0
47.524752475247524	148789649.60055006	30288153.330334667	77166071.72449121	73809085.34462409	330052960.0
48.51485148514851	144324191.18811998	30234114.487516206	78642912.99947898	76851741.32488482	330052960.0
49.504950495049506	139979164.67310232	30125609.754546747	80025573.51266113	79922612.05968979	330052960.0
50.495049504950494	135762917.1156718	29964875.488366287	81309205.80948187	83015961.58647998	330052960.0
51.48514851485149	131682808.43714754	29754572.230593055	82489676.61687732	86125902.71538201	330052960.0
52.475247524752476	127745185.5157414	29497732.565714844	83563602.42202191	89246439.49652177	330052960.0
53.46534653465346	123955372.62035178	29197703.79806282	84528372.97699715	92371510.60458817	330052960.0
54.45544554455446	120317677.30761082	28858087.158982635	85382162.57242596	95495032.96098046	330052960.0
55.445544554455445	116835410.5402274	28482675.275880653	86123929.25817432	98610944.92571753	330052960.0
56.43564356435643	113510919.5090588	28075389.581485327	86753402.48909056	101713248.42036523	330052960.0
57.42574257425743	110345631.42911613	27640219.22967399	87271059.9538434	104796049.38736638	330052960.0
58.415841584158414	107340106.45361401	27181162.916954815	87678094.57996006	107853596.04947105	330052960.0
59.4059405940594	104494097.80297914	26702174.80496575	87976372.89189215	110880314.50016287	330052960.0
60.396039603960396	101806617.22023737	26207115.50639992	88168386.04037753	113870841.23298512	330052960.0
61.386138613861384	99276003.94574828	25699708.852137096	88257194.90385306	116820052.29826151	330052960.0
62.37623762376238	96899995.52988826	25183504.915248778	88246370.69750762	119723088.85735528	330052960.0
63.366336633663366	94675798.96677127	24661849.528132077	88139932.51656306	122575378.98853356	330052960.0
64.35643564356435	92600160.82118598	24137860.317485116	87942283.18534829	125372655.67598058	330052960.0
65.34653465346534	90669435.22288728	23614409.092126112	87658144.69792473	128110970.98706186	330052960.0
66.33663366336634	88879648.81075028	23094110.25681105	87292494.42071933	130786706.51171935	330052960.0
67.32673267326733	87226561.91040266	22579314.80249087	86850503.0924203	133396580.19468622	330052960.0
68.31683168316832	85705725.4211993	22072109.32739803	86337475.50843266	135937649.74297005	330052960.0
69.3069306930693	84312533.06457315	21574319.481613904	85758794.6215928	138407312.8322202	330052960.0
70.29702970297029	83042268.80000134	21087517.196216766	85119869.63729799	140803304.366484	330052960.0
71.2871287128713	81890149.35196272	20613031.048528705	84426088.52898736	143123691.07052127	330052960.0
72.27722772277228	80851361.90303087	20151959.13034438	83682775.25890875	145366863.70771602	330052960.0
73.26732673267327	79921097.09136088	19705183.818939257	82895151.86867724	147531527.2210226	330052960.0
74.25742574257426	79094577.57246521	19273387.882876705	82068305.43157561	149616689.11308247	330052960.0
75.24752475247524	78367082.33208962	18857071.44026271	81207159.90018104	151621646.32746664	330052960.0
76.23762376237623	77733967.13701782	18456569.302914612	80316452.60938093	153545970.95068663	330052960.0
77.22772277227723	77190681.41817163	18072068.33161187	79400715.26262511	155389494.9875914	330052960.0
78.21782178217822	76732781.92155534	17703624.484655175	78464259.12999175	157152294.46379772	330052960.0
79.20792079207921	76355943.47132327	17351179.29420546	77511164.14465636	158834673.08981493	330052960.0
80.1980198019802	76055967.16719985	17014575.566808153	76545271.56975359	160437145.6962384	330052960.0
81.18811881188118	75828786.33937365	16693572.15543585	75570179.87526451	161960421.629926	330052960.0
82.17821782178218	75670470.54624285	16387857.692494346	74589243.48422608	163405388.27703676	330052960.0
83.16831683168317	75577227.90170111	16097063.220961621	73605574.02031745	164773094.85701984	330052960.0
84.15841584158416	75545405.9741467	15820773.685665818	72622043.72866297	166064736.61152455	330052960.0
