time	T	I	VI	VNI
56.43564356435643	25542784.162767336	14509620.35945264	4207789.904259989	2805193.26950666
57.42574257425743	25542784.163451098	14509620.358973997	4207789.904103537	2805193.2694023587
58.415841584158414	25542784.164333235	14509620.35842386	4207789.9039209625	2805193.2692806413
59.4059405940594	25542784.164504744	14509620.358375655	4207789.903902266	2805193.2692681774
60.396039603960396	25542784.164719455	14509620.358322527	4207789.903880927	2805193.26925395
61.386138613861384	25542784.16453771	14509620.358488135	4207789.903933487	2805193.269288991
62.37623762376238	25542784.164149787	14509620.358754886	4207789.904020875	2805193.26934725
63.366336633663366	25542784.163806047	14509620.358968142	4207789.9040917	2805193.269394466
64.35643564356435	25542784.163516898	14509620.359117024	4207789.904142554	2805193.2694283687
65.34653465346534	25542784.163324222	14509620.35920139	4207789.904172196	2805193.26944813
66.33663366336634	25542784.163314737	14509620.359179594	4207789.904166235	2805193.269444155
67.32673267326733	25542784.163352218	14509620.359131692	4207789.904151464	2805193.2694343077
68.31683168316832	25542784.163433418	14509620.35907888	4207789.904134037	2805193.269422691
69.3069306930693	25542784.163576774	14509620.358989809	4207789.904104461	2805193.269402974
70.29702970297029	25542784.163699694	14509620.358920401	4207789.904081093	2805193.269387396
71.2871287128713	25542784.163714845	14509620.358921811	4207789.904081062	2805193.2693873756
72.27722772277228	25542784.16369652	14509620.358943114	4207789.9040876785	2805193.2693917863
73.26732673267327	25542784.163675882	14509620.35896177	4207789.904093605	2805193.269395737
74.25742574257426	25542784.163620014	14509620.358997867	4207789.904105526	2805193.2694036844
75.24752475247524	25542784.163542606	14509620.359042915	4207789.904120626	2805193.26941375
76.23762376237623	25542784.163451687	14509620.359088138	4207789.904136161	2805193.269424107
77.22772277227723	25542784.163385652	14509620.35911744	4207789.904146431	2805193.2694309535
78.21782178217822	25542784.163387436	14509620.359113133	4207789.904145148	2805193.269430098
79.20792079207921	25542784.163327254	14509620.359118795	4207789.90414849	2805193.2694323263
80.1980198019802	25542784.163233813	14509620.359125072	4207789.9041529605	2805193.269435306
81.18811881188118	25542784.16314176	14509620.359123033	4207789.904155013	2805193.269436674
82.17821782178218	25542784.16307732	14509620.359109662	4207789.904153035	2805193.269435355
83.16831683168317	25542784.163081817	14509620.359080236	4207789.904144492	2805193.2694296595
84.15841584158416	25542784.16321452	14509620.359027846	4207789.904125711	2805193.2694171397
85.14851485148515	25542784.163247857	14509620.358987259	4207789.904113149	2805193.2694087657
86.13861386138613	25542784.16315113	14509620.358965157	4207789.9041096	2805193.2694063983
87.12871287128712	25542784.16305602	14509620.358945044	4207789.904106572	2805193.269404379
88.11881188118812	25542784.162994556	14509620.358924948	4207789.904102586	2805193.2694017207
89.10891089108911	25542784.163013592	14509620.358900854	4207789.904095151	2805193.269396764
90.0990099009901	25542784.163176995	14509620.358866345	4207789.904080602	2805193.2693870664
91.08910891089108	25542784.163332034	14509620.358840594	4207789.904068799	2805193.2693791986
92.07920792079207	25542784.163288713	14509620.358846685	4207789.904071782	2805193.2693811865
93.06930693069307	25542784.16324673	14509620.35886008	4207789.904076814	2805193.2693845406
94.05940594059406	25542784.163222004	14509620.358877547	4207789.904082517	2805193.2693883423
95.04950495049505	25542784.163236707	14509620.35889419	4207789.904086855	2805193.2693912345
96.03960396039604	25542784.163320027	14509620.35890323	4207789.904087054	2805193.2693913677
97.02970297029702	25542784.163445078	14509620.358909067	4207789.904085142	2805193.269390094
98.01980198019803	25542784.16345166	14509620.358943311	4207789.904094746	2805193.269396497
99.00990099009901	25542784.16345585	14509620.35897958	4207789.904104997	2805193.2694033314
100.0	25542784.163458448	14509620.359014854	4207789.90411501	2805193.2694100062
