time	GTPgS_C	KCNQsites_M	PIP2_M	GGDPbS_M	ATP_C	oxoM_EX	GDPbS_C	GGTPMg_M	GDP_C	GGDPAlF4Mg_M	ip3_C	AlF4_C	G_M	GGTP_M	GGDPAlF4_M	GGTPgS_M	PI_M	PIP_M	PIP2xKCNQ_M	GGTPgSMg_M	GGDP_M	Mg2_C	GTP_C
20.0	0.0	24.704223922892	687.860910141182	0.0	2998.746534725529	2.71722338378723e-23	0.0	0.1116390084734605	0.2382528453605899	0.0	0.07366230269941329	0.0	0.004681908749579489	0.03177589376958697	0.0	0.0	199702.49001560727	644.0971109312895	15.295776077107943	0.0	200.0649031890111	2100.0	96.22390777456131
21.0	0.0	24.28794016470222	713.9971575046773	0.0	2998.697407696282	1.104334922701998e-22	0.0	0.11163891519858869	0.2384523713419487	0.0	0.058308283445261934	0.0	0.004680384193519064	0.03177589158441734	0.0	0.0	199687.62688517087	628.0057427828971	15.712059835297719	0.0	200.06490480902718	2100.0	96.25524445890883
22.0	0.0	23.89073715067767	739.0206349615122	0.0	2998.6491236397633	7.879630149742569e-23	0.0	0.11163890362879339	0.23865189732316627	0.0	0.04708306274495284	0.0	0.004678873267182483	0.03177588939777006	0.0	0.0	199672.76492128565	612.884469581362	16.10926284932227	0.0	200.06490633370998	2100.0	96.2863210892833
23.0	0.0	23.515207613890144	762.9970380542673	0.0	2998.6016317459375	8.73044899474976e-23	0.0	0.11163888291644826	0.23885142330417064	0.0	0.038907758419088716	0.0	0.004677375842584755	0.031775887230393866	0.0	0.0	199657.9041228446	598.6769691077138	16.484792386109795	0.0	200.06490785401425	2100.0	96.31713982379652
24.0	0.0	23.16216451497633	785.9866141331956	0.0	2998.5548841547547	8.322997902464869e-23	0.0	0.11163887822328734	0.2390509492849545	0.0	0.032984109681415665	0.0	0.004675891790193251	0.03177588507635182	0.0	0.0	199643.04448880206	585.3301901890512	16.83783548502361	0.0	200.06490934491387	2100.0	96.34770280265077
25.0	0.0	22.831321493208616	808.0450743354304	0.0	2998.5088357850414	8.368188351322157e-23	0.0	0.11163886952195233	0.23925047526548562	0.0	0.02872172265123445	0.0	0.004674420983014751	0.03177588294005536	0.0	0.0	199628.18601817024	572.7941564722205	17.168678506791323	0.0	200.06491082655867	2100.0	96.37801214828743
26.0	0.0	22.52175328170419	829.2242599173674	0.0	2998.46344417352	8.555793121395126e-23	0.0	0.11163886243862235	0.23945000124574625	0.0	0.02568390615356646	0.0	0.004672963294755256	0.03177588082003725	0.0	0.0	199613.32871001566	561.0217841586967	17.47824671829575	0.0	200.06491229345025	2100.0	96.40806996553434
27.0	0.0	22.232196360618897	849.5726369085394	0.0	2998.418669323368	8.624112581647876e-23	0.0	0.11163885486984387	0.23964952722571453	0.0	0.023547760508256563	0.0	0.004671518600655653	0.03177587871659664	0.0	0.0	199598.47256345616	549.9687121960754	17.767803639381043	0.0	200.06491374781655	2100.0	96.437878341752
28.0	0.0	21.961241231693638	869.13566639507	0.0	2998.374473561611	8.618843059025439e-23	0.0	0.11163884750689364	0.23984905320537034	0.0	0.022074563208433987	0.0	0.004670086777207372	0.03177587662939619	0.0	0.0	199583.61757765783	539.593143450716	18.0387587683063	0.0	200.06491518909016	2100.0	96.46743934697852
29.0	0.0	21.707450949776185	887.9560902517745	0.0	2998.330821404833	8.592746759848584e-23	0.0	0.11163884027279997	0.2400485791846933	0.0	0.021087879090817087	0.0	0.004668667702225746	0.03177587455827768	0.0	0.0	199568.76375183224	529.8556958253176	18.292549050223755	0.0	200.06491661747035	2100.0	96.49675503407336
