time	FeDuo	FeRBC	FeSpleen	FeLiver	Tf	Fe2Tf	Fe1Tf	NTBI	FeRest	FeBM	Hepcidin	FeOutside
19.801980198019802	1.81563034671133e-06	2.514627140766258e-05	2.9418842382451597e-06	3.1538810366416696e-06	2.9787527862173032e-08	8.372565496966966e-09	1.2149906545588276e-08	2.063576335880894e-11	5.567239445832368e-06	3.963752429785835e-07	1.43e-10	0.0
20.792079207920793	1.8606571104097328e-06	2.498853844086788e-05	2.959223931155867e-06	3.199561764402161e-06	2.974679893538347e-08	8.404981462787537e-09	1.2158219500136744e-08	2.0704186470146725e-11	5.580385568278305e-06	3.975327236528174e-07	1.43e-10	0.0
21.78217821782178	1.9041986162357568e-06	2.483558979271685e-05	2.972199397182216e-06	3.244960083599712e-06	2.971168183025701e-08	8.432229677472652e-09	1.2166088386983138e-08	2.076232338988645e-11	5.593564327956208e-06	3.985251901724918e-07	1.43e-10	0.0
22.77227722772277	1.9463139065250996e-06	2.4687140883031572e-05	2.981146613629398e-06	3.2900496265747107e-06	2.9683550515923485e-08	8.456835238049145e-09	1.216961413541476e-08	2.0811379242009852e-11	5.606710252795917e-06	3.993716214256271e-07	1.43e-10	0.0
23.762376237623762	1.987058104400767e-06	2.4542938063650646e-05	2.986366432422489e-06	3.3348080362144833e-06	2.96599089842171e-08	8.477119098873195e-09	1.2172971804473203e-08	2.0852510645064835e-11	5.619767733382886e-06	4.000856174480268e-07	1.43e-10	0.0
24.752475247524753	2.0264832236856425e-06	2.4402748389793453e-05	2.9881337405792496e-06	3.3792157941196003e-06	2.9638084066617044e-08	8.491025134425488e-09	1.2180890693124445e-08	2.0886969853870568e-11	5.632688282228725e-06	4.0067921626885967e-07	1.43e-10	0.0
25.742574257425744	2.0646399766403873e-06	2.4266343404180446e-05	2.9867215396145e-06	3.423253277799189e-06	2.9623564214564802e-08	8.504804874439225e-09	1.2181630797896272e-08	2.0913361242998458e-11	5.645423603846906e-06	4.0116230171107554e-07	1.43e-10	0.0
26.73267326732673	2.101574025736735e-06	2.413353257612397e-05	2.982353877518418e-06	3.4669065234135785e-06	2.9615188286063373e-08	8.517617690284323e-09	1.2177193887943678e-08	2.0932211909880872e-11	5.657939227200372e-06	4.0154209966555855e-07	1.43e-10	0.0
27.722772277227723	2.137329246774909e-06	2.4004133217607717e-05	2.9752470156007597e-06	3.5101621866391407e-06	2.9611750143672085e-08	8.528571485296112e-09	1.2169678197912354e-08	2.094408919673275e-11	5.670202612559275e-06	4.018245409284414e-07	1.43e-10	0.0
28.712871287128714	2.1719503826359815e-06	2.3877943527071843e-05	2.965644698458973e-06	3.5530032198485763e-06	2.9609108107008808e-08	8.534147984968866e-09	1.2166743701572962e-08	2.0951005390344603e-11	5.682173040658637e-06	4.0201679349011715e-07	1.43e-10	0.0
29.7029702970297	2.2054749162129292e-06	2.3754823466503028e-05	2.953711493763542e-06	3.5954219403462754e-06	2.9604370168525183e-08	8.531412412716828e-09	1.2174217188451748e-08	2.0953814497861035e-11	5.693832239133257e-06	4.0212035839291373e-07	1.43e-10	0.0
30.693069306930692	2.237941599168915e-06	2.3634612415349147e-05	2.939634957008267e-06	3.6374075274060333e-06	2.9600635478266904e-08	8.524025953254042e-09	1.2185338314047294e-08	2.0951980408022323e-11	5.705154621456905e-06	4.0214172874039546e-07	1.43e-10	0.0
31.683168316831683	2.2693886241958294e-06	2.3517146959169584e-05	2.923603190235077e-06	3.678948769531575e-06	2.9606489763586664e-08	8.521482643263004e-09	1.2182027287838046e-08	2.0943460587779103e-11	5.716113798082702e-06	4.020902966199124e-07	1.43e-10	0.0
32.67326732673267	2.299848633491175e-06	2.340230594927043e-05	2.905757156042198e-06	3.7200398806238035e-06	2.962190909233569e-08	8.523962847936786e-09	1.216412767795512e-08	2.0928515375756692e-11	5.7266970453687e-06	4.019678835744394e-07	1.43e-10	0.0
33.663366336633665	2.3293567933273003e-06	2.328994461715249e-05	2.8862705417674012e-06	3.760670937623158e-06	2.963610127541798e-08	8.520477062650508e-09	1.2153421223541302e-08	2.0910290867229785e-11	5.736881790797203e-06	4.0177782313184796e-07	1.43e-10	0.0
34.65346534653465	2.3579454568490388e-06	2.3179934455292055e-05	2.8652955432043653e-06	3.8008342816697907e-06	2.9642005334934903e-08	8.503896918982887e-09	1.2164097303316305e-08	2.0890901178507197e-11	5.7466512130897376e-06	4.0152307037327204e-07	1.43e-10	0.0
35.64356435643565	2.385644319738206e-06	2.3072162126402383e-05	2.842964474038266e-06	3.840524329817804e-06	2.963561056432127e-08	8.470244304092043e-09	1.2204144758649224e-08	2.087161244067411e-11	5.755993786087967e-06	4.0120617587983157e-07	1.43e-10	0.0
