time	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s119
23.762376237623762	1500000.0	2828718.449064809	129.86144316560663	4978.455209647077	0.0	7.695820429832969	-100.43440473574802	92.73858430591507	13613.030121037495	57834.53287421926	-71287.12871287111	23.762376237623762	-23.762376237623762	0.0
24.752475247524753	1500000.0	2828361.5204479056	131.9469110296576	5055.013681076872	0.0	7.974317026245716	-108.47073982952479	100.49642280327907	14233.219344446361	60462.92535812329	-74257.42574257407	24.752475247524753	-24.752475247524753	0.0
25.742574257425744	1500000.0	2827961.7701431746	134.1658992890068	5136.363774199276	0.0	8.24866693695211	-116.77660949472545	108.52794255777334	14860.753329205458	63121.86962641644	-77227.72277227702	25.742574257425744	-25.742574257425744	0.0
26.73267326732673	1500000.0	2827517.209139646	136.51915719147448	5222.51239932745	0.0	8.518931904182654	-125.3480004860518	116.82906858186917	15496.028066119181	65812.95103970339	-80198.01980197997	26.732673267326735	-26.732673267326735	0.0
27.722772277227723	1500000.0	2827025.8972943053	139.00725239750378	5313.458500861634	0.0	8.785172750857486	-134.18095931356962	125.39578656271212	16139.441547806857	68537.71223631936	-83168.31683168293	27.722772277227723	-27.722772277227723	0.0
28.712871287128714	1500000.0	2826485.9457209813	141.6305669660064	5409.192958303319	0.0	9.047449394272672	-143.27159135299175	134.22414195871906	16791.396006091352	71297.64860905152	-86138.61386138588	28.712871287128714	-28.712871287128714	0.0
29.7029702970297	1500000.0	2825895.5186910345	144.3892893720962	5509.698353270716	0.0	9.305820859583871	-152.61605996918212	143.31023910959823	17452.300551817465	74094.20400560161	-89108.91089108883	29.702970297029704	-29.702970297029704	0.0
30.693069306930692	1500000.0	2825252.8350822865	147.2834029761614	5614.948619738248	0.0	9.560345293089625	-162.21058565272997	152.65024035964035	18122.57418796181	76928.76662783705	-92079.20792079178	30.693069306930692	-30.693069306930692	0.0
31.683168316831683	1500000.0	2824556.1694156104	150.3126714415188	5724.908597667628	0.0	9.811079975316975	-172.05144516937466	162.24036519405766	18802.64915530305	79802.66511048011	-95049.50495049474	31.683168316831683	-31.683168316831683	0.0
32.67326732673267	1500000.0	2823803.8525173594	153.47662161625428	5839.533510722944	0.0	10.058081333912337	-182.13497072209867	172.07688938818632	19492.974561049265	82717.16476945809	-98019.80198019769	32.67326732673267	-32.67326732673267	0.0
33.663366336633665	1500000.0	2822994.2718464322	156.7745245045254	5958.768392629541	0.0	10.301404956340386	-192.45754912569896	182.1561441693585	20194.020229114314	85673.464017228	-100990.09900990066	33.66336633663366	-33.66336633663366	0.0
