time	RuBP_ch	PGA_ch	ATP_ch	BPGA_ch	GAP_ch	Pi_ch	DHAP_ch	FBP_ch	F6P_ch	E4P_ch	X5P_ch	SBP_ch	S7P_ch	R5P_ch	Ru5P_ch	G6P_ch	ADP_ch	G1P_ch	x_CO2	x_NADPH_ch	x_Pi_cyt	x_GAP_cyt	x_NADP_ch	x_PGA_cyt	x_DHAP_cyt	x_Proton_ch	x_Starch_ch
10.0	0.3719616331568289	1.0550600813306208	0.4974284811782884	0.07668709909585888	0.010057291287053554	0.7409349542751046	0.22125614430508997	0.015798841403625846	1.9245696355410469	0.729287987651166	0.0022294262010594036	2.0976717938626597	0.0009817238809661484	0.0037341021157279108	0.0014936090554747235	4.42651023284846	0.0021215188217206856	0.2567375952982693	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
11.0	0.3719616331568249	1.055060081330722	0.4974284811782882	0.07668709909585895	0.01005729128705373	0.7409349542752818	0.22125614430509383	0.01579884140362681	1.9245696355410578	0.7292879876511269	0.0022294262010594717	2.0976717938625815	0.000981723880966161	0.003734102115728025	0.001493609055474769	4.426510232848485	0.0021215188217208994	0.2567375952982707	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
12.0	0.37196163315682085	1.0550600813308235	0.497428481178288	0.07668709909585901	0.010057291287053903	0.7409349542754589	0.22125614430509766	0.015798841403627778	1.9245696355410684	0.7292879876510878	0.0022294262010595397	2.097671793862504	0.0009817238809661736	0.003734102115728139	0.0014936090554748145	4.42651023284851	0.002121518821721113	0.25673759529827217	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
13.0	0.37196163315681685	1.0550600813309248	0.49742848117828775	0.07668709909585908	0.010057291287054078	0.740934954275636	0.2212561443051015	0.015798841403628743	1.9245696355410793	0.7292879876510486	0.002229426201059608	2.0976717938624256	0.0009817238809661862	0.003734102115728253	0.0014936090554748603	4.426510232848535	0.0021215188217213266	0.2567375952982736	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
14.0	0.37196163315681285	1.055060081331026	0.49742848117828753	0.07668709909585913	0.010057291287054251	0.7409349542758131	0.22125614430510535	0.015798841403629707	1.9245696355410902	0.7292879876510096	0.002229426201059676	2.0976717938623475	0.0009817238809661987	0.003734102115728367	0.0014936090554749058	4.426510232848559	0.0021215188217215404	0.25673759529827506	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
15.0	0.3719616331568088	1.0550600813311275	0.49742848117828736	0.0766870990958592	0.010057291287054427	0.7409349542759903	0.22125614430510918	0.01579884140363067	1.9245696355411008	0.7292879876509705	0.002229426201059744	2.0976717938622693	0.0009817238809662113	0.003734102115728481	0.0014936090554749516	4.4265102328485835	0.002121518821721754	0.2567375952982765	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
16.0	0.3719616331568048	1.0550600813312287	0.49742848117828714	0.07668709909585927	0.0100572912870546	0.7409349542761674	0.221256144305113	0.015798841403631636	1.9245696355411117	0.7292879876509314	0.002229426201059812	2.097671793862191	0.000981723880966224	0.003734102115728595	0.0014936090554749971	4.426510232848608	0.0021215188217219676	0.25673759529827794	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
17.0	0.37196163315680075	1.05506008133133	0.4974284811782869	0.07668709909585933	0.010057291287054775	0.7409349542763446	0.22125614430511684	0.0157988414036326	1.9245696355411224	0.7292879876508922	0.00222942620105988	2.0976717938621134	0.0009817238809662365	0.003734102115728709	0.0014936090554750429	4.426510232848633	0.0021215188217221814	0.2567375952982794	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
18.0	0.37196163315679676	1.0550600813314313	0.4974284811782867	0.0766870990958594	0.01005729128705495	0.7409349542765218	0.2212561443051207	0.015798841403633565	1.9245696355411333	0.7292879876508531	0.0022294262010599483	2.0976717938620353	0.0009817238809662488	0.0037341021157288232	0.0014936090554750884	4.426510232848658	0.002121518821722395	0.25673759529828083	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
19.0	0.37196163315679276	1.0550600813315327	0.4974284811782865	0.07668709909585947	0.010057291287055124	0.7409349542766989	0.22125614430512452	0.015798841403634533	1.9245696355411441	0.729287987650814	0.0022294262010600164	2.097671793861957	0.0009817238809662614	0.0037341021157289373	0.0014936090554751342	4.426510232848683	0.0021215188217226085	0.2567375952982823	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
