time	TGFb_R1_surface	TGFb_R2_surface	TGFb_R1_endo	TGFb_R2_endo	TGFb	TGFb_In	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	pS2_c	S2_c	S4_c	pS2_pS2_S4_c	pS2_pS2_pS2_c	Smad7mRNA	Smad7mRNA1	S7	pS2_n	pS2_pS2_S4_n	pS2_pS2_pS2_n	S2_n	S4_n
12.871287128712872	3.9940795964047906	2.644117125676599	12.841934031423728	9.650261390180479	199.0704307496225	0.26100617732111075	29.907740417767688	35.25595540670091	3.040494944433305	5.9236925411832795	1.1357489799033444	1357.1617245978775	469.5521233165022	413.6934414805092	26.19286546285409	0.205743734061937	2.616705503146571	0.7484901500445262	0.3411018114251296	147.93202315945555	19.061093757168553	247.40053517953535	520.2331622015329
13.861386138613861	4.04684291499449	2.627048993805001	12.884070341428478	9.641996293750955	198.99910701337902	0.26333212612488144	29.700259383840063	35.477943955056716	3.062629300639353	5.950992853528319	1.154234231544233	1327.1441527991649	454.8522214259127	414.86634315413005	29.511726264074117	0.2716795876970331	3.313162274052195	0.7476308251580676	0.34325862370058174	152.34583516914307	23.329614870913808	243.79789490200943	529.3463504088143
14.85148514851485	4.097077700866118	2.6109248512749983	12.938045059158595	9.635480465995876	198.92780879222073	0.26539625159007085	29.50338818334556	35.68156837568132	3.082764448603959	5.985309302501045	1.167613873389312	1301.460734923504	443.48658808699753	414.61202612814867	32.623787294943156	0.3521187804735669	4.05226115792294	0.748138551077919	0.34431326832635273	155.6078897830161	27.95097988457709	240.59691806147805	537.7042461598381
15.841584158415841	4.145082744810483	2.5956015094830387	13.00015389945249	9.629616462520096	198.85653606956774	0.26725807847864763	29.31542183322274	35.86801316937767	3.1011491826550954	6.028147217817336	1.1766924500499383	1279.170921585508	434.88600691697604	413.3773469937563	35.47435966063195	0.44666187316655753	4.8160052451472914	0.7501494452139734	0.34460643002326974	157.94401606133994	32.87588140679807	237.7025806380571	545.2033801859284
16.831683168316832	4.1911071320028	2.580948951548199	13.067547721300055	9.62377021661178	198.7852888275783	0.268956178097721	29.13480591923262	36.037997963650966	3.1179408031282008	6.080940352852167	1.1822291565169338	1259.5317966357038	428.557066561124	411.4996627287965	38.028010261324624	0.55447321777485	5.589422425583074	0.7537990573414256	0.3443984273396553	159.55364474094608	38.052147001528915	235.04518476624162	551.8003761271342
17.821782178217823	4.235355662539449	2.5668545180186375	13.138018939858995	9.617545363957083	198.71406704715463	0.27051567596229403	28.960188566129617	36.191950192561414	3.1332373831720366	6.145015285904192	1.1849075379715623	1241.9700157385541	424.07987123443377	409.2261305678373	40.266811445113255	0.6744119102803668	6.360712797714785	0.7592155983071845	0.34388348313722805	160.60650651114523	43.42694329737237	232.57503032166306	557.4982418445844
18.81188118811881	4.277997387418062	2.553222425308519	13.209845861141085	9.610669696217672	198.6428707080215	0.27195302335138555	28.790417060730533	36.33012497805992	3.1470992983963924	6.22156740766266	1.185319908099983	1226.0527096721278	421.1023298873439	406.73214524377556	42.18748043082923	0.8051485088343289	7.121009670830841	0.7665158655968562	0.343202684960883	161.2425822804051	48.948635928532504	230.25770140124212	562.3336927464758
19.801980198019802	4.31917414970793	2.539971595950022	13.281678650162991	9.602938729781561	198.5716997888435	0.2732790694354466	28.62451403462949	36.45268691129084	3.159563730101261	6.311647130469044	1.1839639559792459	1211.459888015889	419.3326330267305	404.13786018701455	43.79809335887846	0.9452609756039981	7.863960711860889	0.7758031597864761	0.342455260480224	161.57411270667768	54.56823051612028	228.07009646014814	566.3661442375778
20.792079207920793	4.359007905887054	2.527033143011449	13.352455315077796	9.59418807436677	198.50055426736176	0.27450106395846363	28.461649019709665	36.55976446068872	3.1706544359447566	6.416154414040045	1.1812477709196956	1197.9597605800757	418.5311127773589	401.52224108306183	45.11487630378342	1.0933086497108733	8.58525689539471	0.787166608823607	0.3417081097179322	161.68876270082313	60.240387085991884	225.99721524080525	569.6686335967569
21.78217821782178	4.397606510468229	2.5143480574749737	13.421339383144975	9.584280103680564	198.42943412053557	0.2756239751262755	28.301111919350152	36.65148488214639	3.1803882696465764	6.535839632989955	1.1774996581750152	1185.387623326909	418.5022809974304	398.9345043235535	46.15937511403512	1.247885954421817	9.282180917448455	0.8006814380602959	0.3410036944405673	161.65328195614063	65.92404718434065	224.0296476448047	572.3206828808761
