time	BLL	IL	AL	A	BL	B	DLL	D	ILL	DL	I	ALL	L
10.0	3.004943869808963e-14	1.783052598340456e-13	-2.463491836884888e-13	-1.0980652974116042e-15	-5.898749045111651e-12	-2.057267488940514e-11	1.3452832257833553e-11	3.073178879451215e-17	2.3445168744049164e-11	2.170135408299571e-14	3.0991293517710943e-16	1.1604475322886585e-12	-4.114778776942147e-11
11.0	2.5972547213238617e-14	1.615691806616885e-13	-2.232263761138573e-13	-9.94998767217913e-16	-5.345081231730975e-12	-1.8641683571684776e-11	1.4092421581119932e-11	2.7847242688731473e-17	2.096637524135745e-11	1.9664422333198533e-14	2.8082390142691486e-16	9.993372242629115e-13	-3.7548937500799754e-11
12.0	2.2770302940531105e-14	1.5100632191174721e-13	-2.0863257999728403e-13	-9.29949054738455e-16	-4.995637735957922e-12	-1.7422951980293147e-11	1.3931748765819112e-11	2.602668158261737e-17	1.8314045009563224e-11	1.8378827101927155e-14	2.6246456187239464e-16	8.696661168588704e-13	-3.2792394762649225e-11
13.0	1.956805866782358e-14	1.4044346316180592e-13	-1.9403878388071072e-13	-8.648993422589969e-16	-4.646194240184869e-12	-1.6204220388901517e-11	1.3771075950518287e-11	2.4206120476503266e-17	1.5661714777768996e-11	1.7093231870655774e-14	2.4410522231787436e-16	7.399950094548289e-13	-2.8035852024498693e-11
14.0	1.636581439511606e-14	1.2988060441186462e-13	-1.7944498776413743e-13	-7.998496297795387e-16	-4.296750744411816e-12	-1.4985488797509887e-11	1.361040313521747e-11	2.238555937038916e-17	1.3009384545974772e-11	1.58076366393844e-14	2.257458827633541e-16	6.103239020507875e-13	-2.327930928634816e-11
15.0	1.3163570122408546e-14	1.1931774566192333e-13	-1.6485119164756415e-13	-7.347999173000806e-16	-3.9473072486387625e-12	-1.3766757206118258e-11	1.3449730319916645e-11	2.0564998264275058e-17	1.0357054314180547e-11	1.452204140811302e-14	2.0738654320883384e-16	4.806527946467464e-13	-1.8522766548197632e-11
16.0	9.961325849701027e-15	1.0875488691198204e-13	-1.5025739553099086e-13	-6.697502048206225e-16	-3.59786375286571e-12	-1.2548025614726627e-11	1.3289057504615825e-11	1.8744437158160953e-17	7.70472408238632e-12	1.3236446176841639e-14	1.8902720365431359e-16	3.50981687242705e-13	-1.37662238100471e-11
17.0	6.759081576993506e-15	9.819202816204074e-14	-1.3566359941441755e-13	-6.047004923411645e-16	-3.248420257092656e-12	-1.1329294023334997e-11	1.3128384689315003e-11	1.6923876052046848e-17	5.052393850592094e-12	1.1950850945570261e-14	1.706678640997933e-16	2.2131057983866367e-13	-9.009681071896568e-12
18.0	3.556837304285988e-15	8.762916941209944e-14	-1.2106980329784427e-13	-5.396507798617064e-16	-2.8989767613196027e-12	-1.0110562431943367e-11	1.2967711874014183e-11	1.5103314945932742e-17	2.400063618797869e-12	1.0665255714298883e-14	1.5230852454527304e-16	9.163947243462237e-14	-4.253138333746037e-12
19.0	3.545930315784684e-16	7.706631066215813e-14	-1.0647600718127096e-13	-4.746010673822483e-16	-2.5495332655465492e-12	-8.891830840551738e-12	1.2807039058713361e-11	1.3282753839818639e-17	-2.52266612996357e-13	9.379660483027504e-15	1.3394918499075279e-16	-3.803163496941896e-14	5.034044044044942e-13
20.0	-2.8476512411290507e-15	6.650345191221684e-14	-9.188221106469767e-14	-4.0955135490279017e-16	-2.200089769773496e-12	-7.673099249160108e-12	1.264636624341254e-11	1.1462192733704533e-17	-2.9045968447905827e-12	8.094065251756126e-15	1.155898454362325e-16	-1.6770274237346026e-13	5.2599471425550255e-12
21.0	-4.408961780320225e-15	5.388290932900154e-14	-7.444549714869952e-14	-3.318297387376375e-16	-1.7825736833847943e-12	-6.216954293133876e-12	1.144613336556849e-11	9.286979047011253e-18	-4.0066768402934364e-12	6.55803093372327e-15	9.365403700126337e-17	-2.2543450240801702e-13	1.1174812842941826e-11
22.0	-5.900732136374007e-15	4.117516535082312e-14	-5.688830486091925e-14	-2.5357110728356506e-16	-1.3621727879868322e-12	-4.750748133221869e-12	1.0201845572126674e-11	7.096735743399329e-18	-5.043059676222698e-12	5.011383402248316e-15	7.156666345683745e-17	-2.8011758638169507e-13	1.7138766443272988e-11
23.0	-7.392502492427789e-15	2.8467421372644646e-14	-3.933111257313887e-14	-1.753124758294926e-16	-9.41771892588867e-13	-3.28454197330986e-12	8.957557778684856e-12	4.906492439787405e-18	-6.07944251215196e-12	3.4647358707733546e-15	4.947928991241144e-17	-3.348006703553731e-13	2.3102720043604163e-11
24.0	-8.88427284848157e-15	1.57596773944662e-14	-2.177392028535855e-14	-9.705384437541994e-17	-5.213709971909027e-13	-1.8183358133978497e-12	7.71326998524304e-12	2.7162491361754746e-18	-7.115825348081224e-12	1.9180883392983965e-15	2.7391916367985473e-17	-3.8948375432905137e-13	2.9066673643935325e-11
25.0	-1.0376043204535349e-14	3.0519334162877776e-15	-4.216727997578224e-15	-1.8795212921347672e-17	-1.009701017929392e-13	-3.5212965348584314e-13	6.468982191801225e-12	5.260058325635505e-19	-8.152208184010486e-12	3.714408078234415e-16	5.3045428235595616e-18	-4.441668383027293e-13	3.503062724426649e-11
26.0	-1.1867813560589131e-14	-9.655810561890695e-15	1.3340464290202101e-14	5.946341853272479e-17	3.194307936050251e-13	1.1140765064261667e-12	5.2246943983594065e-12	-1.6642374710483799e-18	-9.188591019939751e-12	-1.1752067236515167e-15	-1.6782830720866402e-17	-4.988499222764075e-13	4.099458084459765e-11
27.0	-1.335958391664291e-14	-2.2363554540069116e-14	3.0897656577982424e-14	1.3772204998679725e-16	7.398316890029886e-13	2.5802826663381733e-12	3.9804066049175945e-12	-3.8544807746602976e-18	-1.0224973855869013e-11	-2.7218542551264748e-15	-3.8870204265292316e-17	-5.535330062500854e-13	4.695853444492881e-11
28.0	-1.485135427269669e-14	-3.507129851824759e-14	4.845484886576275e-14	2.159806814408697e-16	1.160232584400953e-12	4.046488826250183e-12	2.736118811475776e-12	-6.044724078272228e-18	-1.1261356691798276e-11	-4.268501786601433e-15	-6.095757780971833e-17	-6.082160902237636e-13	5.292248804525998e-11
29.0	-1.634312462875047e-14	-4.777904249642601e-14	6.601204115354307e-14	2.942393128949422e-16	1.5806334797989165e-12	5.51269498616219e-12	1.4918310180339606e-12	-8.234967381884152e-18	-1.2297739527727538e-11	-5.815149318076388e-15	-8.304495135414424e-17	-6.628991741974416e-13	5.888644164559114e-11
30.0	-1.7834894984804252e-14	-6.048678647460448e-14	8.356923344132342e-14	3.7249794434901464e-16	2.001034375196881e-12	6.9789011460741995e-12	2.4754322459214525e-13	-1.0425210685496082e-17	-1.33341223636568e-11	-7.361796849551346e-15	-1.0513232489857021e-16	-7.175822581711198e-13	6.485039524592231e-11
31.0	-1.932666534085803e-14	-7.319453045278293e-14	1.0112642572910375e-13	4.507565758030871e-16	2.4214352705948443e-12	8.44510730598621e-12	-9.967445688496717e-13	-1.2615453989108005e-17	-1.4370505199586064e-11	-8.908444381026304e-15	-1.2721969844299617e-16	-7.722653421447978e-13	7.081434884625347e-11
32.0	-2.0818435696911812e-14	-8.590227443096138e-14	1.1868361801688407e-13	5.290152072571596e-16	2.841836165992808e-12	9.911313465898216e-12	-2.241032362291487e-12	-1.4805697292719933e-17	-1.5406888035515328e-11	-1.0455091912501262e-14	-1.493070719874221e-16	-8.269484261184759e-13	7.677830244658464e-11
33.0	-2.231020605296559e-14	-9.861001840913982e-14	1.362408103046644e-13	6.07273838711232e-16	3.262237061390772e-12	1.1377519625810224e-11	-3.485320155733302e-12	-1.699594059633186e-17	-1.644327087144459e-11	-1.2001739443976217e-14	-1.7139444553184807e-16	-8.81631510092154e-13	8.27422560469158e-11
34.0	-2.380197640901937e-14	-1.1131776238731827e-13	1.5379800259244474e-13	6.855324701653045e-16	3.682637956788736e-12	1.2843725785722232e-11	-4.729607949175119e-12	-1.9186183899943785e-17	-1.7479653707373854e-11	-1.3548386975451174e-14	-1.9348181907627401e-16	-9.36314594065832e-13	8.870620964724696e-11
35.0	-2.529374676507315e-14	-1.2402550636549672e-13	1.7135519488022507e-13	7.637911016193769e-16	4.1030388521867e-12	1.430993194563424e-11	-5.973895742616935e-12	-2.1376427203555712e-17	-1.8516036543303116e-11	-1.509503450692613e-14	-2.1556919262069995e-16	-9.9099767803951e-13	9.467016324757812e-11
36.0	-2.6785517121126933e-14	-1.367332503436752e-13	1.889123871680054e-13	8.420497330734495e-16	4.523439747584664e-12	1.5776138105546252e-11	-7.21818353605875e-12	-2.356667050716764e-17	-1.9552419379232377e-11	-1.6641682038401092e-14	-2.376565661651259e-16	-1.0456807620131881e-12	1.0063411684790928e-10
37.0	-2.827728747718071e-14	-1.494409943218536e-13	2.064695794557857e-13	9.203083645275219e-16	4.943840642982628e-12	1.724234426545826e-11	-8.462471329500567e-12	-2.5756913810779563e-17	-2.0588802215161642e-11	-1.8188329569876047e-14	-2.597439397095519e-16	-1.1003638459868664e-12	1.0659807044824045e-10
38.0	-2.976905783323449e-14	-1.6214873830003208e-13	2.240267717435661e-13	9.985669959815943e-16	5.364241538380592e-12	1.870855042537027e-11	-9.706759122942384e-12	-2.7947157114391493e-17	-2.1625185051090904e-11	-1.9734977101351005e-14	-2.818313132539778e-16	-1.1550469299605444e-12	1.1256202404857161e-10
39.0	-3.126082818928827e-14	-1.748564822782105e-13	2.415839640313464e-13	1.0768256274356668e-15	5.784642433778556e-12	2.0174756585282275e-11	-1.0951046916384199e-11	-3.013740041800342e-17	-2.2661567887020166e-11	-2.1281624632825963e-14	-3.039186867984038e-16	-1.2097300139342225e-12	1.1852597764890277e-10
40.0	-3.2752598545342054e-14	-1.8756422625638898e-13	2.5914115631912674e-13	1.1550842588897393e-15	6.20504332917652e-12	2.1640962745194285e-11	-1.2195334709826016e-11	-3.232764372161534e-17	-2.369795072294943e-11	-2.282827216430092e-14	-3.2600606034282975e-16	-1.2644130979079005e-12	1.2448993124923393e-10
41.0	-3.4244368901395836e-14	-2.0027197023456742e-13	2.7669834860690706e-13	1.2333428903438117e-15	6.6254442245744835e-12	2.310716890510629e-11	-1.3439622503267831e-11	-3.451788702522727e-17	-2.4734333558878692e-11	-2.4374919695775876e-14	-3.480934338872557e-16	-1.3190961818815788e-12	1.304538848495651e-10
42.0	-3.146058542637834e-14	-1.9327414428659804e-13	2.670300654951311e-13	1.1902479091389638e-15	6.3939406579779665e-12	2.2299767142987628e-11	-1.3686904034772807e-11	-3.331177603722614e-17	-2.264873871609957e-11	-2.352322044779845e-14	-3.359304864143983e-16	-1.2055461974416112e-12	1.2880798777965415e-10
43.0	-2.68628188477321e-14	-1.7791586439377662e-13	2.4581086890773617e-13	1.0956664044040323e-15	5.885854518465537e-12	2.0527745002365436e-11	-1.3511187146699382e-11	-3.066469867566413e-17	-1.923858687255776e-11	-2.1653978044837754e-14	-3.0923620427146715e-16	-1.02062020988452e-12	1.239334702590685e-10
44.0	-2.2265052269085864e-14	-1.625575845009552e-13	2.245916723203412e-13	1.0010848996691007e-15	5.377768378953107e-12	1.8755722861743244e-11	-1.333547025862596e-11	-2.8017621314102116e-17	-1.5828435029015948e-11	-1.9784735641877058e-14	-2.82541922128536e-16	-8.356942223274287e-13	1.1905895273848285e-10
45.0	-1.766728569043962e-14	-1.4719930460813375e-13	2.0337247573294623e-13	9.06503394934169e-16	4.869682239440677e-12	1.698370072112105e-11	-1.3159753370552536e-11	-2.537054395254011e-17	-1.2418283185474135e-11	-1.791549323891636e-14	-2.558476399856048e-16	-6.507682347703375e-13	1.1418443521789719e-10
46.0	-1.3069519111793383e-14	-1.3184102471531232e-13	1.8215327914555128e-13	8.119218901992374e-16	4.3615960999282474e-12	1.5211678580498856e-11	-1.2984036482479113e-11	-2.2723466590978098e-17	-9.008131341932325e-12	-1.6046250835955663e-14	-2.2915335784267366e-16	-4.658422472132462e-13	1.0930991769731154e-10
47.0	-8.471752533147141e-15	-1.164827448224909e-13	1.6093408255815634e-13	7.173403854643056e-16	3.853509960415817e-12	1.3439656439876664e-11	-1.2808319594405692e-11	-2.0076389229416088e-17	-5.597979498390514e-12	-1.4177008432994967e-14	-2.024590756997425e-16	-2.80916259656155e-13	1.044354001767259e-10
48.0	-3.8739859545009e-15	-1.0112446492966945e-13	1.3971488597076137e-13	6.22758880729374e-16	3.345423820903387e-12	1.1667634299254471e-11	-1.2632602706332269e-11	-1.7429311867854077e-17	-2.1878276548487016e-12	-1.2307766030034268e-14	-1.7576479355681134e-16	-9.599027209906369e-14	9.956088265614025e-11
49.0	7.237806241453402e-16	-8.576618503684802e-14	1.1849568938336642e-13	5.281773759944424e-16	2.8373376813909573e-12	9.895612158632277e-12	-1.2456885818258846e-11	-1.4782234506292066e-17	1.2223241886931095e-12	-1.043852362707357e-14	-1.490705114138802e-16	8.893571545802753e-14	9.46863651355546e-11
50.0	4.2353227801966384e-15	-7.017753067947618e-14	9.695820380430862e-14	4.3217714523320915e-16	2.321630214784339e-12	8.097009651295618e-12	-1.2086690592402352e-11	-1.2095450989232e-17	3.8041653840116324e-12	-8.54124259126973e-15	-1.2197581474171942e-16	2.276053405607268e-13	9.033539698758797e-11
51.0	5.974182908043615e-15	-5.4212912879770715e-14	7.490128120693372e-14	3.338616009166406e-16	1.793484996558529e-12	6.25502887203127e-12	-1.1399113205832227e-11	-9.343868350741462e-18	5.034231228553272e-12	-6.598203441854599e-15	-9.422765491311296e-17	2.9078612495303524e-13	8.683884395349092e-11
52.0	7.713043035890594e-15	-3.8248295080065234e-14	5.284435860955882e-14	2.3554605660007204e-16	1.265339778332719e-12	4.413048092766924e-12	-1.0711535819262102e-11	-6.5922857122509214e-18	6.2642970730949136e-12	-4.655164292439469e-15	-6.64794950845065e-17	3.539669093453437e-13	8.334229091939386e-11
53.0	9.451903163737572e-15	-2.228367728035974e-14	3.078743601218391e-14	1.3723051228350336e-16	7.371945601069085e-13	2.5710673135025743e-12	-1.0023958432691976e-11	-3.840703073760379e-18	7.494362917636553e-12	-2.7121251430243375e-15	-3.873133525590003e-17	4.171476937376522e-13	7.984573788529681e-11
54.0	1.119076329158455e-14	-6.31905948065426e-15	8.730513414808996e-15	3.8914967966934726e-17	2.090493418810989e-13	7.290865342382274e-13	-9.336381046121853e-12	-1.089120435269838e-18	8.724428762178195e-12	-7.690859936092074e-16	-1.0983175427293588e-17	4.803284781299607e-13	7.634918485119976e-11
55.0	1.2929623419431528e-14	9.645558319051228e-15	-1.3326409182565905e-14	-5.94005763496339e-17	-3.190958763447111e-13	-1.1128942450261187e-12	-8.648803659551727e-12	1.6624622032207014e-18	9.954494606719835e-12	1.1739531558059219e-15	1.6764984401312853e-17	5.435092625222691e-13	7.285263181710271e-11
56.0	1.4668483547278505e-14	2.5610176118756715e-14	-3.538333177994081e-14	-1.5771612066620254e-16	-8.472410945705212e-13	-2.954875024290467e-12	-7.961226272981604e-12	4.414044841711243e-18	1.1184560451261474e-11	3.1169923052210536e-15	4.451314422991932e-17	6.066900469145776e-13	6.935607878300566e-11
57.0	1.640734367512548e-14	4.15747939184622e-14	-5.744025437731572e-14	-2.5603166498277117e-16	-1.3753863127963311e-12	-4.796855803554814e-12	-7.273648886411478e-12	7.165627480201783e-18	1.2414626295803116e-11	5.060031454636183e-15	7.226130405852577e-17	6.698708313068861e-13	6.585952574890862e-11
58.0	1.8133505653786853e-14	5.754071100923013e-14	-7.949897208227516e-14	-3.543552107491924e-16	-1.9035745140938748e-12	-6.638986493596759e-12	-6.546039259879489e-12	9.917434058814925e-18	1.361571115627708e-11	7.003228740103951e-15	1.000117221920156e-16	7.32487001837096e-13	6.234409646357628e-11
59.0	1.9652573004628582e-14	7.352781829039908e-14	-1.0158696626931522e-13	-4.528092524843455e-16	-2.432463728043937e-12	-8.48356208456378e-12	-5.165542215307364e-12	1.2672892885930003e-17	1.4344143977338835e-11	8.949005072839426e-15	1.2779897111103723e-16	7.858948620912221e-13	5.852081363462488e-11
60.0	2.1171640355470305e-14	8.951492557156808e-14	-1.2367496045635528e-13	-5.512632942194989e-16	-2.9613529419939977e-12	-1.0328137675530795e-11	-3.7850451707352385e-12	1.542835171304508e-17	1.5072576798400592e-11	1.0894781405574895e-14	1.5558622003005878e-16	8.393027223453478e-13	5.469753080567348e-11
61.0	2.2690707706312034e-14	1.0550203285273704e-13	-1.4576295464339535e-13	-6.497173359546522e-16	-3.4902421559440596e-12	-1.2172713266497816e-11	-2.4045481261631133e-12	1.818381054016016e-17	1.5801009619462352e-11	1.2840557738310368e-14	1.8337346894908042e-16	8.927105825994741e-13	5.087424797672209e-11
62.0	2.4209775057153756e-14	1.2148914013390602e-13	-1.678509488304354e-13	-7.481713776898053e-16	-4.019131369894122e-12	-1.401728885746483e-11	-1.0240510815909914e-12	2.093926936727523e-17	1.652944244052411e-11	1.4786334071045845e-14	2.1116071786810196e-16	9.461184428535997e-13	4.70509651477707e-11
63.0	2.5728842407995482e-14	1.3747624741507497e-13	-1.8993894301747547e-13	-8.466254194249586e-16	-4.548020583844183e-12	-1.586186444843185e-11	3.5644596298113705e-13	2.3694728194390315e-17	1.7257875261585867e-11	1.673211040378132e-14	2.3894796678712355e-16	9.995263031077258e-13	4.3227682318819295e-11
64.0	2.7247909758837208e-14	1.5346335469624394e-13	-2.1202693720451553e-13	-9.450794611601117e-16	-5.0769097977942444e-12	-1.7706440039398867e-11	1.736943007553259e-12	2.645018702150539e-17	1.7986308082647624e-11	1.8677886736516792e-14	2.667352157061451e-16	1.0529341633618517e-12	3.940439948986791e-11
65.0	2.8766977109678937e-14	1.6945046197741294e-13	-2.341149313915556e-13	-1.043533502895265e-15	-5.605799011744307e-12	-1.9551015630365885e-11	3.117440052125384e-12	2.9205645848620465e-17	1.871474090370938e-11	2.0623663069252267e-14	2.945224646251667e-16	1.1063420236159777e-12	3.558111666091651e-11
66.0	3.028604446052066e-14	1.8543756925858188e-13	-2.5620292557859565e-13	-1.1419875446304182e-15	-6.134688225694368e-12	-2.13955912213329e-11	4.497937096697509e-12	3.196110467573554e-17	1.9443173724771138e-11	2.256943940198774e-14	3.223097135441882e-16	1.1597498838701036e-12	3.1757833831965114e-11
67.0	3.180511181136239e-14	2.0142467653975088e-13	-2.7829091976563577e-13	-1.2404415863655715e-15	-6.663577439644429e-12	-2.3240166812299922e-11	5.8784341412696345e-12	3.471656350285062e-17	2.0171606545832895e-11	2.4515215734723214e-14	3.5009696246320986e-16	1.2131577441242295e-12	2.7934551003013714e-11
68.0	3.332417916220411e-14	2.1741178382091985e-13	-3.003789139526758e-13	-1.3388956281007246e-15	-7.192466653594491e-12	-2.5084742403266937e-11	7.258931185841758e-12	3.747202232996569e-17	2.0900039366894652e-11	2.6460992067458686e-14	3.778842113822314e-16	1.2665656043783556e-12	2.4111268174062327e-11
69.0	3.484324651304584e-14	2.333988911020888e-13	-3.2246690813971584e-13	-1.437349669835878e-15	-7.721355867544552e-12	-2.6929317994233955e-11	8.639428230413883e-12	4.0227481157080776e-17	2.162847218795641e-11	2.8406768400194158e-14	4.05671460301253e-16	1.3199734646324814e-12	2.0287985345110927e-11
70.0	3.636231386388756e-14	2.4938599838325775e-13	-3.445549023267559e-13	-1.535803711571031e-15	-8.250245081494614e-12	-2.8773893585200967e-11	1.0019925274986008e-11	4.298293998419585e-17	2.2356905009018166e-11	3.035254473292963e-14	4.334587092202745e-16	1.3733813248866075e-12	1.6464702516159533e-11
71.0	3.788138121472929e-14	2.6537310566442674e-13	-3.6664289651379596e-13	-1.6342577533061842e-15	-8.779134295444676e-12	-3.0618469176167985e-11	1.1400422319558132e-11	4.5738398811310926e-17	2.3085337830079924e-11	3.229832106566511e-14	4.612459581392961e-16	1.4267891851407332e-12	1.2641419687208136e-11
72.0	3.9400448565571014e-14	2.8136021294559574e-13	-3.88730890700836e-13	-1.7327117950413373e-15	-9.308023509394737e-12	-3.2463044767135006e-11	1.2780919364130257e-11	4.8493857638426004e-17	2.3813770651141684e-11	3.424409739840058e-14	4.890332070583177e-16	1.4801970453948594e-12	8.818136858256743e-12
73.0	4.091951591641274e-14	2.973473202267647e-13	-4.108188848878761e-13	-1.8311658367764908e-15	-9.836912723344798e-12	-3.430762035810203e-11	1.4161416408702382e-11	5.124931646554107e-17	2.454220347220344e-11	3.618987373113605e-14	5.168204559773393e-16	1.5336049056489853e-12	4.994854029305346e-12
74.0	4.2438583267254465e-14	3.1333442750793363e-13	-4.329068790749162e-13	-1.929619878511644e-15	-1.036580193729486e-11	-3.615219594906904e-11	1.5541913453274507e-11	5.400477529265616e-17	2.5270636293265198e-11	3.813565006387153e-14	5.446077048963608e-16	1.5870127659031112e-12	1.1715712003539524e-12
75.0	4.3957650618096194e-14	3.2932153478910263e-13	-4.549948732619563e-13	-2.028073920246797e-15	-1.0894691151244922e-11	-3.799677154003606e-11	1.6922410497846633e-11	5.676023411977123e-17	2.5999069114326955e-11	4.0081426396607e-14	5.723949538153824e-16	1.6404206261572373e-12	-2.6517116285974428e-12
76.0	4.547671796893792e-14	3.453086420702716e-13	-4.770828674489963e-13	-2.1265279619819505e-15	-1.1423580365194983e-11	-3.984134713100307e-11	1.8302907542418758e-11	5.951569294688632e-17	2.6727501935388712e-11	4.202720272934248e-14	6.00182202734404e-16	1.6938284864113629e-12	-6.474994457548837e-12
77.0	4.6995785319779646e-14	3.6129574935144057e-13	-4.991708616360364e-13	-2.2249820037171037e-15	-1.1952469579145045e-11	-4.1685922721970094e-11	1.968340458699088e-11	6.227115177400139e-17	2.745593475645047e-11	4.3972979062077946e-14	6.279694516534256e-16	1.747236346665489e-12	-1.0298277286500232e-11
78.0	4.7560880686340246e-14	3.639715336776819e-13	-5.028677602987007e-13	-2.2414603944365185e-15	-1.2040990517374744e-11	-4.1994651900285315e-11	2.1117585644286742e-11	6.273233670843427e-17	2.7876718085375144e-11	4.4298646323651683e-14	6.326202419516039e-16	1.7696444089568597e-12	-1.2819124267680266e-11
79.0	4.7401126441528495e-14	3.565330720619925e-13	-4.925906862837497e-13	-2.1956518210104095e-15	-1.1794909623709818e-11	-4.11364100420484e-11	2.2592557035471707e-11	6.145028015685481e-17	2.806374233280801e-11	4.33933178642166e-14	6.196914247600633e-16	1.7684981196779827e-12	-1.4350350868335297e-11
80.0	4.7241372196716743e-14	3.490946104463031e-13	-4.823136122687986e-13	-2.1498432475843e-15	-1.1548828730044894e-11	-4.027816818381148e-11	2.406752842665667e-11	6.016822360527536e-17	2.8250766580240887e-11	4.248798940478151e-14	6.067626075685228e-16	1.7673518303991056e-12	-1.5881577468990324e-11
81.0	4.708161795190499e-14	3.4165614883061373e-13	-4.720365382538476e-13	-2.104034674158191e-15	-1.1302747836379968e-11	-3.941992632557456e-11	2.5542499817841632e-11	5.88861670536959e-17	2.843779082767376e-11	4.158266094534642e-14	5.938337903769822e-16	1.7662055411202283e-12	-1.7412804069645355e-11
82.0	4.6921863707093235e-14	3.3421768721492434e-13	-4.617594642388966e-13	-2.058226100732082e-15	-1.1056666942715042e-11	-3.856168446733764e-11	2.7017471209026594e-11	5.760411050211644e-17	2.8624815075106634e-11	4.0677332485911336e-14	5.809049731854416e-16	1.7650592518413516e-12	-1.8944030670300385e-11
83.0	4.6762109462281483e-14	3.2677922559923495e-13	-4.5148239022394547e-13	-2.012417527305973e-15	-1.0810586049050116e-11	-3.7703442609100725e-11	2.849244260021156e-11	5.632205395053697e-17	2.8811839322539512e-11	3.977200402647625e-14	5.679761559939011e-16	1.7639129625624743e-12	-2.0475257270955416e-11
84.0	4.660235521746973e-14	3.1934076398354557e-13	-4.412053162089944e-13	-1.966608953879864e-15	-1.0564505155385191e-11	-3.684520075086381e-11	2.996741399139652e-11	5.5039997398957516e-17	2.8998863569972378e-11	3.8866675567041166e-14	5.550473388023604e-16	1.7627666732835973e-12	-2.2006483871610444e-11
85.0	4.6442600972657975e-14	3.119023023678562e-13	-4.309282421940434e-13	-1.920800380453755e-15	-1.0318424261720265e-11	-3.598695889262688e-11	3.144238538258148e-11	5.375794084737805e-17	2.918588781740525e-11	3.796134710760608e-14	5.421185216108199e-16	1.76162038400472e-12	-2.3537710472265474e-11
86.0	4.6282846727846223e-14	3.044638407521668e-13	-4.206511681790923e-13	-1.874991807027646e-15	-1.0072343368055339e-11	-3.5128717034389965e-11	3.2917356773766445e-11	5.247588429579859e-17	2.937291206483813e-11	3.705601864817099e-14	5.291897044192793e-16	1.7604740947258433e-12	-2.5068937072920505e-11
87.0	4.612309248303447e-14	2.970253791364774e-13	-4.103740941641413e-13	-1.829183233601537e-15	-9.826262474390415e-12	-3.4270475176153047e-11	3.4392328164951404e-11	5.1193827744219134e-17	2.9559936312271e-11	3.6150690188735904e-14	5.162608872277387e-16	1.759327805446966e-12	-2.660016367357553e-11
