time	S	E	I	M	N
50.495049504950494	1.3333333333131712	5.225549418007292e-11	6.364439469974877e-12	2.2000000004687097	1.3333333333717912
51.48514851485149	1.3333333333281583	1.0036031505252266e-11	1.222335326699516e-12	2.2000000000849136	1.3333333333394166
52.475247524752476	1.3333333333443307	-3.387976279206613e-11	-4.1263734717335146e-12	2.1999999996861908	1.3333333333063244
53.46534653465346	1.333333333347343	-3.9509144293567755e-11	-4.8120035276701315e-12	2.1999999996373836	1.333333333303022
54.45544554455446	1.3333333333450825	-3.047267390242906e-11	-3.7114160645774e-12	2.199999999722367	1.3333333333108983
55.445544554455445	1.333333333337909	-9.074998987577834e-12	-1.10529881779327e-12	2.1999999999193385	1.3333333333277286
56.43564356435643	1.3333333333332542	2.8971759495638473e-12	3.5285396298461245e-13	2.2000000000287856	1.3333333333365043
57.42574257425743	1.3333333333311128	6.77451952054562e-12	8.251015962830357e-13	2.2000000000632727	1.3333333333387125
58.415841584158414	1.3333333333328383	2.279005012978756e-13	2.7764573969324364e-14	2.2000000000022126	1.333333333333094
59.4059405940594	1.3333333333348079	-5.532457343312465e-12	-6.738181950736699e-13	2.199999999948869	1.3333333333286015
60.396039603960396	1.333333333336686	-9.796640490121848e-12	-1.1931791408544578e-12	2.199999999909905	1.333333333325696
61.386138613861384	1.3333333333360153	-6.6032106409948155e-12	-8.042418351103731e-13	2.1999999999397697	1.333333333328608
62.37623762376238	1.3333333333343773	-1.207221125426829e-12	-1.470402828495118e-13	2.199999999989846	1.333333333333023
63.366336633663366	1.3333333333306416	9.515206834843808e-12	1.1588964027632356e-12	2.200000000088696	1.3333333333413158
64.35643564356435	1.3333333333264739	2.103318732851553e-11	2.561727212262339e-12	2.2000000001945597	1.3333333333500688
65.34653465346534	1.3333333333249011	2.45243997755383e-11	2.9869404822210667e-12	2.200000000226156	1.3333333333524124
66.33663366336634	1.3333333333213337	3.367730814802478e-11	4.101718461717658e-12	2.200000000309556	1.3333333333591126
67.32673267326733	1.3333333333221487	2.99169495696248e-11	3.6437333943168804e-12	2.2000000002739175	1.3333333333557094
68.31683168316832	1.33333333332246	2.812199798634686e-11	3.4251208632761066e-12	2.2000000002563844	1.333333333354007
69.3069306930693	1.3333333333242166	2.2660450482477562e-11	2.759934589400986e-12	2.200000000205419	1.333333333349637
70.29702970297029	1.3333333333271937	1.4239877669139642e-11	1.7343527939266634e-12	2.200000000127699	1.333333333343168
71.2871287128713	1.333333333329963	6.957486068193041e-12	8.473932785923663e-13	2.2000000000608533	1.333333333337768
72.27722772277228	1.333333333331963	2.144245276509783e-12	2.6116202019482586e-13	2.200000000017181	1.3333333333343684
73.26732673267327	1.3333333333357547	-7.020929530730017e-12	-8.551132229229174e-13	2.1999999999338287	1.3333333333278787
74.25742574257426	1.33333333333944	-1.57285047586369e-11	-1.915654914628755e-12	2.1999999998549047	1.3333333333217958
75.24752475247524	1.3333333333418893	-2.1278547530709877e-11	-2.5916236031729767e-12	2.1999999998050317	1.333333333318019
76.23762376237623	1.3333333333415636	-1.9980458362730148e-11	-2.4335213466240456e-12	2.199999999817875	1.3333333333191495
77.22772277227723	1.3333333333420585	-2.0650909278749254e-11	-2.5151780020703715e-12	2.199999999812744	1.3333333333188926
78.21782178217822	1.3333333333437551	-2.429140052114499e-11	-2.9585718430615055e-12	2.199999999780385	1.3333333333165052
79.20792079207921	1.333333333344452	-2.562062275565107e-11	-3.120464172503238e-12	2.1999999997689703	1.333333333315711
80.1980198019802	1.3333333333434658	-2.306403464145166e-11	-2.8090835613192627e-12	2.1999999997927726	1.3333333333175927
81.18811881188118	1.333333333340903	-1.7007325718125933e-11	-2.071405231255139e-12	2.1999999998492763	1.3333333333218242
82.17821782178218	1.3333333333396782	-1.4783793787655576e-11	-1.8005894413403399e-12	2.199999999876042	1.333333333323094
83.16831683168317	1.3333333333379906	-1.2097849276002153e-11	-1.4734543774611819e-12	2.19999999991138	1.3333333333244193
84.15841584158416	1.3333333333358384	-9.106490866924393e-12	-1.1091219220143695e-12	2.199999999955257	1.3333333333256228
85.14851485148515	1.3333333333332194	-5.981620521035179e-12	-7.285291370011662e-13	2.200000000007677	1.3333333333265092
86.13861386138613	1.333333333331073	-3.100905333419382e-12	-3.776729771001575e-13	2.2000000000499185	1.3333333333275945
87.12871287128712	1.3333333333295128	-6.890697848346717e-13	-8.392393555815116e-14	2.2000000000798	1.3333333333287398
88.11881188118812	1.3333333333287052	1.00355285107891e-12	1.2222850975200188e-13	2.2000000000941267	1.333333333329831
89.10891089108911	1.3333333333289954	1.6757390312030451e-12	2.0409691199759478e-13	2.200000000086205	1.3333333333308752
90.0990099009901	1.3333333333300221	1.604711052127546e-12	1.954455911218547e-13	2.2000000000635014	1.3333333333318222
91.08910891089108	1.333333333330609	1.7344285694961877e-12	2.112440902655788e-13	2.2000000000498314	1.3333333333325545
92.07920792079207	1.3333333333314215	1.5317526201224064e-12	1.8655889567269776e-13	2.2000000000322655	1.3333333333331396
93.06930693069307	1.3333333333323139	1.1262356757931408e-12	1.3716894388186897e-13	2.2000000000141227	1.3333333333335773
94.05940594059406	1.3333333333331048	6.85840106986252e-13	8.353131690324928e-14	2.199999999999509	1.3333333333338742
95.04950495049505	1.3333333333340331	-1.8658094334732636e-14	-2.272882772873381e-15	2.199999999981524	1.3333333333340123
96.03960396039604	1.3333333333347823	-6.833645233270656e-13	-8.323061549844227e-14	2.199999999967449	1.3333333333340156
97.02970297029702	1.3333333333351687	-1.1284623754856105e-12	-1.3744111341436045e-13	2.1999999999609527	1.3333333333339028
98.01980198019803	1.333333333335003	-1.1647297420133683e-12	-1.4185814716352554e-13	2.1999999999657076	1.3333333333336965
99.00990099009901	1.333333333334614	-1.050446331782114e-12	-1.2793886473711194e-13	2.1999999999749744	1.3333333333334356
100.0	1.3333333333343986	-1.099439326198261e-12	-1.339058136128929e-13	2.1999999999805873	1.3333333333331654
