time	comp1	BLL	IL	AL	A	BL	B	DLL	D	ILL	DL	I	ALL	kf_0	kr_0	kf_1	kr_1	kf_2	kr_2	kf_3	kr_3	kf_4	kr_4	kf_5	kr_5	kf_6	kr_6	kf_7	kr_7	kf_8	kr_8	kf_9	kr_9	kf_10	kr_10	kf_11	kr_11	kf_12	kr_12	kf_13	kr_13	kf_14	kr_14	kf_15	kr_15	kf_16	kr_16	t2	React0	React1	React2	React3	React4	React5	React6	React7	React8	React9	React10	React11	React12	React13	React14	React15	React16
10.0	1.0E-16	9.207083067537218E-25	5.17597148056335E-24	4.617490373473981E-25	1.31327032917608E-27	9.81485788016364E-24	2.617336930933593E-23	6.048440500160432E-22	4.3011132509943176E-27	9.704770340917727E-22	3.225834936539081E-24	6.901307212647654E-27	3.947179035315195E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.2448866986846003E-24	-9.046087814088867E-24	-9.00404459471091E-24	-4.970069515328012E-26	1.0551018718631494E-23	-4.970012806025979E-26	1.0739162089402264E-23	3.5715689561964837E-29	1.409481108433433E-25	6.053650946654879E-29	1.5952801516562385E-25	3.3494094487029274E-24	6.826630274660511E-33	4.680275806669132E-30	3.3990402473118953E-28	2.549275721043206E-25	4.7798038844569394E-23
11.0	1.0E-16	8.796489642980315E-25	4.94518959669229E-24	4.411571276395049E-25	1.2547042906290173E-27	9.377158592015344E-24	2.5006151969042586E-23	6.515235447771917E-22	4.633056324561615E-27	9.27206221648886E-22	3.4747922417918254E-24	6.593597446200269E-27	3.771153482684505E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.1871710050128172E-24	-8.645540745485548E-24	-8.605449850591311E-24	-4.748471091827092E-26	1.0080369651374815E-23	-4.748427551038711E-26	1.0260087229751383E-23	3.395183164661339E-29	1.3462184734753646E-25	5.762007660263129E-29	1.5233908539958806E-25	3.19365700130324E-24	6.517542658251497E-33	4.470205537112845E-30	3.241202047205395E-28	2.4308972914446427E-25	4.557848282871167E-23
12.0	1.0E-16	8.404962588622062E-25	4.7251243306860816E-24	4.215214265557876E-25	1.1988578323412738E-27	8.959784365508551E-24	2.3893135686491275E-23	6.960354243896831E-22	4.9495852459741404E-27	8.859447383347574E-22	3.712188932924903E-24	6.300176530874946E-27	3.6033018757385445E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.1321354054108848E-24	-8.263593532473494E-24	-8.225364303619765E-24	-4.537162841818376E-26	9.631575706061E-24	-4.537131858047004E-26	9.803258753253417E-24	3.2269880509654325E-29	1.2858935106497584E-25	5.483907165079068E-29	1.4548398173860336E-25	3.045137096555356E-24	6.222812250298442E-33	4.269889021350781E-30	3.090693242485783E-28	2.3180158981479425E-25	4.3461994407470247E-23
13.0	1.0E-16	8.031616535975989E-25	4.515278044270965E-24	4.027975314661881E-25	1.145604667524435E-27	8.561791383394147E-24	2.2831803574199784E-23	7.384803445152103E-22	5.251415788825529E-27	8.465992786782344E-22	3.938561840133705E-24	6.020380947705512E-27	3.4432446480552823E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.0796554461654089E-24	-7.899382470361169E-24	-7.862928459007567E-24	-4.335666929456002E-26	9.20362201532933E-24	-4.3356479196015783E-26	9.367643623883886E-24	3.0666032674045953E-29	1.2283698057205875E-25	5.218720581275165E-29	1.3894720257235353E-25	2.903513881686443E-24	5.9417667183994656E-33	4.0788749602286426E-30	2.94717348438685E-28	2.210376280053878E-25	4.144378752049347E-23
14.0	1.0E-16	7.675607229658258E-25	4.315176207568732E-24	3.8494310162778447E-25	1.0948243736622176E-27	8.182279655661504E-24	2.1819755619248415E-23	7.789542867559419E-22	5.5392304889528266E-27	8.090808699531484E-22	4.154422865296177E-24	5.753577988978754E-27	3.290619858815377E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.029612453217095E-24	-7.552083960960226E-24	-7.517322732860146E-24	-4.1435277077404754E-26	8.795540838379473E-24	-4.1435201157805294E-26	8.952256775866111E-24	2.9136661332643566E-29	1.1735172791063055E-25	4.965848236514632E-29	1.3271396614192795E-25	2.768467101025137E-24	5.6737734348220855E-33	3.896729672877436E-30	2.810318228621943E-28	2.107735029400812E-25	3.951929835355029E-23
15.0	1.0E-16	7.33612961823967E-25	4.124366326032881E-24	3.679177624379921E-25	1.04640212019423E-27	7.820390984355154E-24	2.0854703256034827E-23	8.175487756997643E-22	5.813680187869326E-27	7.733046709825199E-22	4.360260139547439E-24	5.4991643274798674E-27	3.14508237433123E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	9.818932632460821E-25	-7.220912650740682E-24	-7.18776559960083E-24	-3.9603106881562243E-26	8.40640937255149E-24	-3.960313983887704E-26	8.556158886071642E-24	2.767830807904029E-29	1.1212118916138247E-25	4.724718305162548E-29	1.267701770969305E-25	2.639691370404743E-24	5.418220947657503E-33	3.72304590585612E-30	2.679818001485502E-28	2.0098600413418715E-25	3.7684175018286283E-23
16.0	1.0E-16	7.012416033764955E-25	3.942416917213092E-24	3.5168301413457636E-25	1.0002284088470696E-27	7.475307022912634E-24	1.9934464191089647E-23	8.543510858867814E-22	6.075385504526335E-27	7.391897802854049E-22	4.556539127101117E-24	5.256564652175825E-27	3.006303087588503E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	9.363899678652837E-25	-6.90511965497823E-24	-6.873511824656239E-24	-3.785601558153155E-26	8.035347666571148E-24	-3.7856152359942695E-26	8.178454249903183E-24	2.6287675106923025E-29	1.071335363982519E-25	4.494785514968287E-29	1.211023946205617E-25	2.516895486522639E-24	5.174537509666322E-33	3.557423181987235E-30	2.5553777000335968E-28	1.9165299890813327E-25	3.593426771120611E-23
17.0	1.0E-16	6.703734455808819E-25	3.7689165350347674E-24	3.3620214473531744E-25	9.561988260235354E-28	7.146247425619917E-24	1.9056957468209607E-23	8.894444391650925E-22	6.324938238732041E-27	7.066590531326522E-22	4.743703677813489E-24	5.025230367252273E-27	2.87396817402939E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	8.92999669479741E-25	-6.603990864234511E-24	-6.5738507792727216E-24	-3.619005244253662E-26	7.681516630697576E-24	-3.619028822099497E-26	7.818288755819451E-24	2.4961617748241557E-29	1.0237749093370088E-25	4.275529914014784E-29	1.1569780203555794E-25	2.3998017684297597E-24	4.9421672554769054E-33	3.399492872532134E-30	2.436715924761352E-28	1.827533823383622E-25	3.42656193296345E-23
18.0	1.0E-16	6.409386856142572E-25	3.603472839387263E-24	3.214401470204228E-25	9.142138066899383E-28	6.832468082999035E-24	1.8220198762746986E-23	9.229081928821295E-22	6.562902709401028E-27	6.756389270978841E-22	4.922177030870623E-24	4.8046383515621396E-27	2.747778381894465E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	8.516242486818898E-25	-6.316845329562667E-24	-6.288104833539003E-24	-3.460145018663857E-26	7.344116139270621E-24	-3.460178036795948E-26	7.474847953915902E-24	2.3697137368719766E-29	9.78422978209915E-26	4.066455694937898E-29	1.1054417782155642E-25	2.28814542960686E-24	4.7205913774090604E-33	3.248898546026613E-30	2.3235643432682573E-28	1.742670295323184E-25	3.267445652343566E-23
19.0	1.0E-16	6.128707620268011E-25	3.4457117089168325E-24	3.073636393699555E-25	8.741784092275687E-28	6.533259439137448E-24	1.7422295894413978E-23	9.548180193371183E-22	6.78981703066065E-27	6.460592557092147E-22	5.0923627718681616E-24	4.594289775680631E-27	2.6274483555183014E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	8.121701423479018E-25	-6.043033722644804E-24	-6.01562782407783E-24	-3.308661647370971E-26	7.022383221370708E-24	-3.308703667419162E-26	7.147355214190328E-24	2.249137456247524E-29	9.35177015314655E-26	3.8670900737544434E-29	1.0562986797832763E-25	2.1816739791964154E-24	4.5093016556944355E-33	3.1052973235336233E-30	2.2156670834723877E-28	1.6617475011959982E-25	3.1157181162256194E-23
20.0	1.0E-16	5.861062042249184E-25	3.2952763950180424E-24	2.939407902772655E-25	8.36002100739191E-28	6.2479448871541524E-24	1.6661444548455105E-23	9.852460769004602E-22	7.006194328699979E-27	6.178531498255377E-22	5.254645745448028E-24	4.393708973891628E-27	2.512705990048622E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	7.745481320989983E-25	-5.781936867467832E-24	-5.755803592798941E-24	-3.164212577800113E-26	6.715590335496333E-24	-3.164263181750601E-26	6.835069970332369E-24	2.1341602717215877E-29	8.939392276074922E-26	3.6769822207371885E-29	1.0094375967232661E-25	2.0801466510387217E-24	4.3078242812781594E-33	2.968359878643273E-30	2.1127801550014145E-28	1.584582448563645E-25	2.971036219899634E-23
21.0	1.0E-16	1.0234918989902622E-28	-1.3364579756256649E-24	-8.069276502561825E-28	4.290224533620169E-26	-7.080806859027813E-29	6.2304421375594445E-22	3.114311545866349E-24	9.756324252811613E-22	2.2095503873011746E-24	2.3717144360773363E-23	3.414784319893876E-23	6.723689148373019E-27	0.0	8000.0	0.0	16000.0	30000.0	700.0	0.0	8.64	0.0	17.28	0.54	10800.0	130.0	2740.0	0.0	4.0	0.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	0.0	4.0	0.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	5.66464548722225E-25	-1.6375870383844196E-24	-1.6361067068903273E-24	6.971854898213418E-27	-1.1618534848388577E-25	-1.2690037420276822E-22	2.201776712785204E-24	5.3458319025026595E-24	-1.7676403098409397E-23	-1.268677593309078E-22	2.3094193637310716E-24	-1.6552620307464912E-24	-9.486857744309345E-23	-2.4914492366930788E-23	5.366332496095447E-25	-9.528347201421127E-26	1.0674034551001911E-25
22.0	1.0E-16	3.63242508777232E-30	-1.5705643069976646E-25	-9.87994575036469E-29	3.323543419422454E-26	-2.617933314204773E-29	6.576864705140103E-22	9.11723793350207E-26	1.0014373838142215E-21	7.941366035374363E-26	2.1820515698622913E-25	1.1889392758428807E-24	2.386445271660638E-28	0.0	8000.0	0.0	16000.0	30000.0	700.0	0.0	8.64	0.0	17.28	0.54	10800.0	130.0	2740.0	0.0	4.0	0.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	0.0	4.0	0.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	2.094346651363818E-25	-5.811880140435713E-26	-5.807841638307504E-26	8.536273128315093E-28	-4.123777429429582E-27	-3.791995220059439E-24	2.673072002515263E-25	6.282257227990658E-25	-6.353092828299491E-25	-3.7918948380261496E-24	2.713170201861462E-25	-5.955217434321107E-26	-8.728206279449165E-25	-7.293790346801656E-25	-1.1422778967849218E-24	-8.114667723371798E-27	3.861276162485157E-27
23.0	1.0E-16	1.298922321719952E-31	-6.929059846275109E-27	-4.373239392324777E-30	3.3087607962890174E-26	-1.2195900959161742E-30	6.594667268680453E-22	2.6632051701815225E-27	1.0005751507851307E-21	2.8544084134400987E-27	3.8549805846980405E-29	5.042856666939595E-25	8.533967639760559E-30	0.0	8000.0	0.0	16000.0	30000.0	700.0	0.0	8.64	0.0	17.28	0.54	10800.0	130.0	2740.0	0.0	4.0	0.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	0.0	4.0	0.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	9.756720767329394E-27	-2.0782757147519233E-27	-2.0770103826725356E-27	3.778478834968608E-29	-1.4746696081506245E-28	-1.2341334904694382E-24	1.1824129222500785E-26	2.7716239385100436E-26	-2.283526730752079E-26	-1.234202516566472E-24	1.1969755330581042E-26	-2.141391462091269E-27	-1.5419922338792162E-28	-2.130564136145218E-26	-1.1754758976074587E-24	-3.4649925208077186E-28	1.3952457446778712E-28
24.0	1.0E-16	4.6593193810620916E-33	-2.6418737578714163E-28	-1.6687944016862618E-31	3.314158288237521E-26	-4.7123747536463716E-32	6.606533588444632E-22	7.758004679655684E-29	9.994024487440239E-22	1.0260337861792614E-28	-8.303315769242433E-29	4.890988713660222E-25	3.06122734273459E-31	0.0	8000.0	0.0	16000.0	30000.0	700.0	0.0	8.64	0.0	17.28	0.54	10800.0	130.0	2740.0	0.0	4.0	0.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	0.0	4.0	0.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	3.7698998029170973E-28	-7.454911009699347E-29	-7.450633255955855E-29	1.4418383630569304E-30	-5.2898008482453716E-30	-1.1762813536421022E-24	4.511235788822955E-28	1.0567495031485665E-27	-8.208270289434091E-28	-1.1763405961261316E-24	4.563734769822792E-28	-7.6986281995051E-29	3.3213263076969733E-28	-6.206403743724547E-28	-1.1748279949245275E-24	-1.3109729000126174E-29	5.037072874740439E-30
25.0	1.0E-16	1.6734847084317628E-34	-9.674783109534784E-30	-6.112835370047026E-33	3.3200042726577876E-26	-1.7326985921513032E-33	6.61827725119304E-22	2.252148985595771E-30	9.982283029573367E-22	3.688311647406519E-30	-3.524888565418293E-30	4.886602389330876E-25	1.0995044596052105E-32	0.0	8000.0	0.0	16000.0	30000.0	700.0	0.0	8.64	0.0	17.28	0.54	10800.0	130.0	2740.0	0.0	4.0	0.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	0.0	4.0	0.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.3861588737210426E-29	-2.6775755334908204E-30	-2.676077091941186E-30	5.28148975972063E-32	-1.899943706197804E-31	-1.1734898826168824E-24	1.652391809694918E-29	3.8699132438139135E-29	-2.950649317925215E-29	-1.1735484518961635E-24	1.671278282849509E-29	-2.7676315424782384E-30	1.4099554261673173E-29	-1.8017191884766167E-29	-1.1734409516021495E-24	-4.795092891982373E-31	1.81713003587611E-31
26.0	1.0E-16	6.013902140562558E-36	-3.498886961685783E-31	-2.2108900686935666E-34	3.3258546801255514E-26	-6.274457723124065E-35	6.630004777087933E-22	6.5095923900402E-32	9.970555624052199E-22	1.3258988243793206E-31	-1.1654376081046119E-31	4.885827102209803E-25	3.951231456342218E-34	0.0	8000.0	0.0	16000.0	30000.0	700.0	0.0	8.64	0.0	17.28	0.54	10800.0	130.0	2740.0	0.0	4.0	0.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	0.0	4.0	0.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	5.019566178499251E-31	-9.622243424900091E-32	-9.616913772707856E-32	1.910209019351242E-33	-6.827727956559353E-33	-1.1720474908111408E-24	5.976270837819761E-31	1.3995547846743132E-30	-1.0607190595034565E-30	-1.1721059642417324E-24	6.044177145469695E-31	-9.949534186204054E-32	4.6617504324184475E-31	-5.20767391203216E-31	-1.1720375393752147E-24	-1.7354582295456364E-32	6.551379013216122E-33
