time	comp1	BLL	IL	AL	A	BL	B	DLL	D	ILL	DL	I	ALL	L	kf_0	kr_0	kf_1	kr_1	kf_2	kr_2	kf_3	kr_3	kf_4	kr_4	kf_5	kr_5	kf_6	kr_6	kf_7	kr_7	kf_8	kr_8	kf_9	kr_9	kf_10	kr_10	kf_11	kr_11	kf_12	kr_12	kf_13	kr_13	kf_14	kr_14	kf_15	kr_15	kf_16	kr_16	React0	React1	React2	React3	React4	React5	React6	React7	React8	React9	React10	React11	React12	React13	React14	React15	React16
10.0	1.0E-16	5.457610529901443E-26	3.802989702934099E-25	3.3989758709919055E-26	1.1974153091635193E-28	7.21677277721294E-25	2.3872745942488418E-24	3.635853575957293E-23	3.978398746487661E-28	5.748221157166237E-23	2.405400200942377E-25	6.289950015612314E-28	2.339749366348851E-24	8.061533483680957E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.1000111302118506E-25	-5.438539699411325E-25	-5.413974737625152E-25	-4.0814069928837365E-27	6.705676408291873E-25	-4.0802530022262326E-27	6.861072385900079E-25	3.398672507226084E-30	1.1239851158130703E-26	6.466853213127949E-30	1.2976502081360017E-26	2.3439595393049984E-25	-2.391896118921314E-31	-7.215333537454414E-29	3.097234222848305E-29	1.872630049055741E-26	2.830480335671631E-24
11.0	1.0E-16	5.217821855395211E-26	3.637001874343977E-25	3.250601871504404E-26	1.1454813114060302E-28	6.901731251207201E-25	2.283735361805093E-24	3.9123649796607415E-23	4.283493279511351E-28	5.495705366868195E-23	2.5890993882485194E-25	6.017193349091195E-28	2.2369490678205433E-24	8.05915049227258E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.0508862778257586E-25	-5.20134702740351E-25	-5.177908558169598E-25	-3.903813456772034E-27	6.411546174363279E-25	-3.902720943762451E-27	6.560149864729515E-25	3.25250523713144E-30	1.075234077765701E-26	6.1678709097724E-30	1.2406145357772131E-26	2.237678847784788E-25	-2.4613280184126797E-31	-7.423267395100148E-29	2.957194755191462E-29	1.7874317445130062E-26	2.700904303678169E-24
12.0	1.0E-16	4.9890206831602897E-26	3.47853023273376E-25	3.10894530224676E-26	1.0958702250831287E-28	6.600953627579644E-25	2.1848271500984704E-24	4.1762178144124506E-23	4.574959317709987E-28	5.2547615558496033E-23	2.764491028123056E-25	5.756637781680536E-28	2.1388592522087565E-24	8.056874267354926E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.0039121031401037E-25	-4.975079749025172E-25	-4.952715980427563E-25	-3.734215609138787E-27	6.130842282615401E-25	-3.733182036604743E-27	6.272958769741508E-25	3.1111976480070257E-30	1.0286336963344247E-26	5.88181306524253E-30	1.1861382000307704E-26	2.136164417933414E-25	-2.5121762516149413E-31	-7.575072284153226E-29	2.823419379027749E-29	1.7060912240294032E-26	2.577266164151852E-24
13.0	1.0E-16	4.7707026109063895E-26	3.327237557508901E-25	2.973704881462463E-26	1.0484803459043717E-28	6.313800086699995E-25	2.0903472071938026E-24	4.427992183668016E-23	4.853391997405348E-28	5.0248583788005084E-23	2.931946918873033E-25	5.507749008305586E-28	2.045263675111738E-24	8.054700118437455E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	9.589984780207094E-26	-4.759231530292985E-25	-4.737893062995807E-25	-3.5722587682982024E-27	5.862952854397729E-25	-3.571281692067978E-27	5.9988737502844885E-25	2.97468212313172E-30	9.840924006677271E-27	5.608152325322716E-30	1.1341083963750251E-26	2.0392063395063846E-25	-2.5465948580545523E-31	-7.677295701533288E-29	2.6956338001839296E-29	1.628435415727974E-26	2.459293283196238E-24
14.0	1.0E-16	4.5623864724984485E-26	3.182801487904172E-25	2.844592594797827E-26	1.0032142322657184E-28	6.0396589907979065E-25	2.0001012782491877E-24	4.6682415543818577E-23	5.119361648323322E-28	4.8054889771237166E-23	3.09182255556953E-25	5.270015126777597E-28	1.9559560538520055E-24	8.052623553040397E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	9.160587035971076E-26	-4.5533197528044425E-25	-4.532959468692488E-25	-3.417603525884363E-27	5.607293809472577E-25	-3.416680592414255E-27	5.737297829123269E-25	2.842881384645721E-30	9.415222340003915E-27	5.346380148643894E-30	1.0844171172042655E-26	1.9466036233800384E-25	-2.566532089610814E-31	-7.735853736154938E-29	2.5735752236089184E-29	1.5542988732852516E-26	2.346725589909276E-24
15.0	1.0E-16	4.363613260760846E-26	3.0449138912211273E-25	2.721333131998332E-26	9.599785430225844E-29	5.777945686859153E-25	1.913903282206727E-24	4.8974939845407476E-23	5.373414725474313E-28	4.5961698429815467E-23	3.2444578162694883E-25	5.042945784423615E-28	1.8707396056602646E-24	8.050640269029436E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	8.75009410034825E-26	-4.356884383368164E-25	-4.337457339314554E-25	-3.269925128801148E-27	5.363307610552805E-25	-3.269054072758408E-27	5.487661124146989E-25	2.715709938800509E-30	9.008387355093441E-27	5.096006380059334E-30	1.0369609629192754E-26	1.8581638505476027E-25	-2.573748176701071E-31	-7.756086312416563E-29	2.456991915506116E-29	1.48352345181533E-26	2.2393149936762847E-24
16.0	1.0E-16	4.173945100756837E-26	2.913280255984042E-25	2.6036633457468823E-26	9.18683880003224E-29	5.528101356626833E-25	1.8315749979238717E-24	5.116253293751567E-23	5.616074714930279E-28	4.39643973665215E-23	3.3901776217661174E-25	4.826071349743838E-28	1.7894266074995298E-24	8.048746147186966E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	8.357704565448371E-26	-4.169486899549366E-25	-4.150950226197659E-25	-3.1289128827689704E-27	5.130462063863454E-25	-3.128091524591207E-27	5.249419626842584E-25	2.5930753865438125E-30	8.619608239313265E-27	4.8565588021557104E-30	9.916409589532876E-27	1.7737028310817593E-25	-2.5698317031481203E-31	-7.742808274757381E-29	2.3456427782927556E-29	1.4159579965308277E-26	2.136824828801056E-24
17.0	1.0E-16	3.9929642711526196E-26	2.787619109191973E-25	2.491331731931769E-26	8.792446352582769E-29	5.28959191218814E-25	1.752945759737937E-24	5.32500017955552E-23	5.847843013411184E-28	4.205858654644683E-23	3.529292569687946E-25	4.6189421090418955E-28	1.7118379765043913E-24	8.046937244018182E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	7.982648317386123E-26	-3.990709267577234E-25	-3.9730220728804675E-25	-2.9942695770145384E-27	4.908249173332279E-25	-2.9934958204529092E-27	5.022054035153575E-25	2.4748796040717754E-30	8.248106830482767E-27	4.6275826771365774E-30	9.483623789052758E-27	1.6930442746588917E-25	-2.556214791561893E-31	-7.700356321753052E-29	2.2392969383600134E-29	1.3514580437597314E-26	2.0390293251676755E-24
18.0	1.0E-16	3.820272271374557E-26	2.6676614568594395E-25	2.384097930631698E-26	8.415788430235628E-29	5.061906935626455E-25	1.677852162418808E-24	5.524193282013275E-23	6.0691997816887725E-28	4.0240068461497506E-23	3.662099543758125E-25	4.421127487899699E-28	1.6378028700529885E-24	8.045209784789556E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	7.62418554687888E-26	-3.820152969879101E-25	-3.8032762472475338E-25	-2.865710929627437E-27	4.696184046063568E-25	-2.8649827592914516E-27	4.805068638353997E-25	2.3610198059214817E-30	7.893136492860566E-27	4.408640281931345E-30	9.07034573684955E-27	1.6160194724678796E-25	-2.5341869536516323E-31	-7.632631836336652E-29	2.1377333465695842E-29	1.2898855339046225E-26	1.945713103690716E-24
19.0	1.0E-16	3.6554889323796423E-26	2.5531502470528924E-25	2.2817322471171715E-26	8.056080363600622E-29	4.844558661244462E-25	1.6061377754386476E-24	5.714270198984051E-23	6.280604771900985E-28	3.85048387552048E-23	3.7888822990156823E-25	4.232215297300936E-28	1.5671583045370771E-24	8.043560156796656E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	7.281605772651591E-26	-3.6574380799120973E-25	-3.6413346206147603E-25	-2.7429650530939596E-27	4.493803846839758E-25	-2.7422805319974016E-27	4.597990251675131E-25	2.2513894967249685E-30	7.553981014349981E-27	4.1993104387725514E-30	8.675708065555309E-27	1.5424669902564755E-25	-2.504907810609354E-31	-7.543140425296654E-29	2.0407403913876563E-29	1.2311085359382582E-26	1.856670695372432E-24
20.0	1.0E-16	3.4982515689654686E-26	2.4438398546453614E-25	2.1840151921805184E-26	7.712571084234218E-29	4.637080998892086E-25	1.5376528664642027E-24	5.895648454406146E-23	6.482498128946295E-28	3.684907728592275E-23	3.9099120237890393E-25	4.051811004146797E-28	1.4997487919411328E-24	8.041984902857959E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	6.954226874599498E-26	-3.502202381801152E-25	-3.4868366915229367E-25	-2.625771939505557E-27	4.300666799494586E-25	-2.6251292066259684E-27	4.400367198509233E-25	2.145879324197873E-30	7.22995352682848E-27	3.999188043238587E-30	8.298880939539985E-27	1.472232372252315E-25	-2.469418834111461E-31	-7.435027774181581E-29	1.9481155245260432E-29	1.1750009830372123E-26	1.771706082843264E-24
21.0	1.0E-16	3.3482141716475723E-26	2.3394955870280493E-25	2.090737041121028E-26	7.384541783052876E-29	4.439028596963651E-25	1.4722541339572625E-24	6.068726421776528E-23	6.675301166195159E-28	3.526913960756641E-23	4.025447879199621E-25	3.8795370258550164E-28	1.4354259933849555E-24	8.040480715030837E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	6.641394141790866E-26	-3.3541005326217125E-25	-3.3394387519727176E-25	-2.5138829649285694E-27	4.1163512330935257E-25	-2.5132802327889274E-27	4.211768338112911E-25	2.0443778406419043E-30	6.920395450405814E-27	3.8078835916405034E-30	7.939070519643535E-27	1.4051678557031784E-25	-2.4286539739352515E-31	-7.311112723936601E-29	1.8596648989331662E-29	1.1214424189636292E-26	1.690632263317002E-24
22.0	1.0E-16	3.2050466362274024E-26	2.239893210034125E-25	2.0016974107257194E-26	7.071304613797041E-29	4.249975943658915E-25	1.4098044487507185E-24	6.23388420492261E-23	6.859417115815181E-28	3.376154884805836E-23	4.1357375169597385E-25	3.715032048686417E-28	1.3740483888251577E-24	8.039044428545639E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	6.342479336326167E-26	-3.212803265213841E-25	-3.198813093897054E-25	-2.4070604124196477E-27	3.9404546709452003E-25	-2.4064959646923523E-27	4.031782136811884E-25	1.946772180902075E-30	6.624675463728417E-27	3.625022709297062E-30	7.595517483117525E-27	1.341132095758783E-25	-2.3834495626195758E-31	-7.173917340573153E-29	1.7752030189534263E-29	1.0703177548135457E-26	1.6132708319438467E-24
23.0	1.0E-16	3.068434029265998E-26	2.1448184933474914E-25	1.9167048536016687E-26	6.772201440802681E-29	4.069516505135829E-25	1.3501726044525635E-24	6.391484478059975E-23	7.0352318540592835E-28	3.232298796661988E-23	4.241017576214463E-25	3.5579503694033803E-28	1.3154809621502912E-24	8.037673015953492E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	6.05687977427345E-26	-3.0779966294558406E-25	-3.0646472540448723E-25	-2.305077013160997E-27	3.7725929605479807E-25	-2.3045492023052383E-27	3.8600157808004607E-25	1.852948662734387E-30	6.342188498297186E-27	3.450245681263863E-30	7.267495597467826E-27	1.279989900437192E-25	-2.3345532258543944E-31	-7.025694596205661E-29	1.6945524024529788E-29	1.021517035759172E-26	1.5394515845942743E-24
24.0	1.0E-16	2.938075887764737E-26	2.0540667746869484E-25	1.8355764692309778E-26	6.486602630269927E-29	3.8972618992153524E-25	1.2932330765167144E-24	6.541873287035156E-23	7.203114601911463E-28	3.095029237195918E-23	4.341514160161875E-25	3.407961259829971E-28	1.2595949009413479E-24	8.036363581483218E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	5.784017424560815E-26	-2.949381270122077E-25	-2.93664329522449E-25	-2.2077155051930432E-27	3.612399442665782E-25	-2.207222750126223E-27	3.6960943287079492E-25	1.762793317855788E-30	6.07235475989032E-27	3.283206986766051E-30	6.95431034682007E-27	1.2216119754002355E-25	-2.282632121199678E-31	-6.86845337346414E-29	1.617543254692048E-29	9.749352174215318E-27	1.4690121391535373E-24
25.0	1.0E-16	2.8136855514368164E-26	1.9674425420741742E-25	1.758137531135197E-26	6.213905884161953E-29	3.7328411033324713E-25	1.238865789808261E-24	6.685380813562733E-23	7.36341860152422E-28	2.9640442884279663E-23	4.437443293170098E-25	3.2647483538540674E-28	1.2062673102046576E-24	8.03511335560259E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	5.523338027553926E-26	-2.8266717395487812E-25	-2.8145171221551054E-25	-2.114768209219338E-27	3.4595241577939263E-25	-2.1143089930299386E-27	3.5396599021773576E-25	1.6761923621136288E-30	5.814618776328877E-27	3.1235748384834277E-30	6.655297609430376E-27	1.1658746782663093E-25	-2.22828044888537E-31	-6.703981564082666E-29	1.544013153708743E-29	9.30471951519046E-27	1.4017975744512304E-24
