time	extracellular	cytosol	intravesicular	EC	Z	A	Y	GP	v0	v1	beta	Vm2	K2	Vm3	m	Ka	Ky	Kz	Kf	K	V4	Vm5	n	K5	Kd	epsilon	Vpm1	gamma	Ka5	K1	Ka6	Vpm2	alpha	G	Ka1	Kp2	Ka2	p	vin	R2	R3	Rkf	Rkz	R4	R5	R6	R7	R8
20.0	1.0	1.0	1.0	1000.0	0.19876949832843516	0.7172298660542102	1.4528359707206757	0.15187257692300896	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.7881068065805	2.662537842992782	1.4528359707206757	1.9876949832843516	1.0	0.5856598676998018	0.07172298660542102	1.640270513298873	1.9898136985318866
21.0	1.0	1.0	1.0	1000.0	0.1534322086412058	0.5946254729393927	1.2420912724899889	0.29632073392477776	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.2111681769701645	1.6565348430637377	1.2420912724899889	1.534322086412058	1.0	0.16605395942556522	0.05946254729393927	1.4188010108808067	2.4673410655758565
22.0	1.0	1.0	1.0	1000.0	0.13778476136951884	0.4233682066385381	0.9391236709259247	0.5582626053765553	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	3.9299380970036264	1.2862759502251537	0.9391236709259247	1.3778476136951885	1.0	0.0633065134933073	0.04233682066385381	1.2875914151575034	2.7986803179997968
23.0	1.0	1.0	1.0	1000.0	0.28289370609953646	0.2566841822865935	0.5641215730654366	0.877145097568807	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.333546960787697	3.1480116378936804	0.5641215730654366	2.8289370609953646	1.0	0.37109825159387727	0.025668418228659354	1.5847636843679378	2.962281476086756
24.0	1.0	1.0	1.0	1000.0	0.6754790046044303	0.2483074497457732	0.5274985863670113	0.992369897348063	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.871319713143562	7.950442128953996	0.5274985863670113	6.754790046044303	1.0	1.5514910167843763	0.024830744974577323	2.9514469379389756	2.9979045277601126
25.0	1.0	1.0	1.0	1000.0	0.35004632352687065	0.6158934260512935	1.3902126847280862	0.19788739310117875	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.54728061179319	6.374082684931364	1.3902126847280862	3.5004632352687066	1.0	3.04993157686586	0.061589342605129355	3.7390393901707752	2.192198838747385
26.0	1.0	1.0	1.0	1000.0	0.19568178598815025	0.7138573502392893	1.4463366944600562	0.155301473513695	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.757541756932852	2.5906312732309265	1.4463366944600562	1.9568178598815025	1.0	0.5486031812653238	0.07138573502392893	1.6218441787277926	2.0074105156612108
27.0	1.0	1.0	1.0	1000.0	0.152024677714256	0.5873567546970531	1.2297620782786403	0.30622543821478737	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.187940889817354	1.6269756469479095	1.2297620782786403	1.52024677714256	1.0	0.15727327142062764	0.05873567546970531	1.41252253732268	2.4876431927792857
28.0	1.0	1.0	1.0	1000.0	0.1387102016749796	0.41501987187701833	0.923108635338032	0.5724347830370579	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	3.9480529108222955	1.2953036806389582	0.923108635338032	1.387102016749796	1.0	0.0628348101123833	0.04150198718770184	1.2815294697371435	2.8092460885060824
29.0	1.0	1.0	1.0	1000.0	0.29676425788511296	0.25125338576012196	0.5492969380681629	0.8896912698471486	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.38818602358903	3.2824143309498974	0.5492969380681629	2.9676425788511294	1.0	0.41421884329638375	0.025125338576012197	1.6553738987571964	2.9665626846936153
