time	cell	C	M	X	MI	XI	V1	V3	VM1	VM3	Kc	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7
10.0	1.0	0.24685388566397445	0.009560325109327824	9.679292186693326E-5	0.9904396748906639	0.9999032070781259	0.9915750205055743	0.009560325109327824	3.0	1.0	0.5	0.025	0.0024685388566397445	2.2384636453925574E-5	0.9865944323016006	0.9849016114897563	0.009512756721437384	0.009495473266302373
11.0	1.0	0.2692485740512491	0.01140273998032726	1.1587885399775515E-4	0.9885972600196652	0.9998841211459947	1.0500451341752286	0.01140273998032726	3.0	1.0	0.5	0.025	0.002692485740512491	2.6966611939165863E-5	1.0447610760541624	1.0427593189311557	0.011346003388811995	0.011325410286758717
12.0	1.0	0.2914154348120931	0.01359611708631548	1.3878366157757806E-4	0.986403882913676	0.9998612163384174	1.1046616808071892	0.01359611708631548	3.0	1.0	0.5	0.025	0.002914154348120931	3.246764334902657E-5	1.0990904817235185	1.0966899990364598	0.013528465370510098	0.013503551688238635
13.0	1.0	0.31335568156473276	0.016247528305815058	1.6674066082182138E-4	0.9837524716941785	0.9998332593391749	1.1557883789361358	0.016247528305815058	3.0	1.0	0.5	0.025	0.0031335568156473275	3.918422296803554E-5	1.149943698836597	1.1470177663936851	0.0161666814182603	0.01613596189239539
14.0	1.0	0.33507015779534916	0.01950995137142512	2.0155166954706878E-4	0.9804900486285673	0.9997984483304483	1.2037437381786962	0.01950995137142512	3.0	1.0	0.5	0.025	0.0033507015779534917	4.7549722383299224E-5	1.1976364023418002	1.1940018408708937	0.01941286746666869	0.01937418700722232
15.0	1.0	0.35655916697781914	0.023607435327602243	2.459289717927554E-4	0.9763925646723904	0.9997540710282015	1.2488074871787076	0.023607435327602243	3.0	1.0	0.5	0.025	0.0035655916697781916	5.8216767116508424E-5	1.242445061315029	1.2378303956956418	0.023489956652927933	0.023439982995872615
16.0	1.0	0.3778221946301457	0.02887614619338148	3.0409333568975075E-4	0.9711238538066118	0.9996959066643026	1.2912257070100654	0.02887614619338148	3.0	1.0	0.5	0.025	0.0037782219463014573	7.220135842943553E-5	1.284611660534433	1.2786052770823941	0.02873244029191497	0.02866591106566624
17.0	1.0	0.39885743978792276	0.035830655633800536	3.828346250793486E-4	0.9641693443661921	0.9996171653749101	1.3312147915759462	0.035830655633800536	3.0	1.0	0.5	0.025	0.003988574397879228	9.113866910101443E-5	1.3243469784361976	1.3163144851930488	0.03565232573426896	0.03556068983576708
18.0	1.0	0.4196610050638481	0.04526610179525125	4.934139958938505E-4	0.9547338982047391	0.9995065860040941	1.368964225143088	0.04526610179525125	3.0	1.0	0.5	0.025	0.004196610050638481	1.1774219856006575E-4	1.3618322262228464	1.3507940792673814	0.045040786688183024	0.04490959504077623
19.0	1.0	0.44022547321004857	0.05839757435469074	6.549746168716362E-4	0.9416024256453015	0.9993450253831176	1.404637990844036	0.05839757435469074	3.0	1.0	0.5	0.025	0.004402254732100486	1.5662785277928786E-4	1.3972186247364196	1.3816989439053344	0.05810684968896934	0.05791136665030443
