time	cell	D	DR	DRG_GDP	G_GDP	DRG	GDP	DRG_GTP	GTP	G_GTP	R	Reaction_1	Reaction_2	Reaction_3	Reaction_4	Reaction_5	Reaction_6
39.0	1.0	3.099990002823351E-5	4.3761821280709846E-13	8.58136100727658E-12	9.998790166303876E-7	4.805439763688462E-11	1.755158792466048E-9	4.289838961846172E-11	9.998292895605164E-6	2.14492213483599E-11	2.8233524568097935E-14	6.720756850875254E-20	4.289839072738327E-11	4.289837072653E-11	4.2898283461851486E-11	4.289838961846172E-11	4.28984426967198E-11
40.0	1.0	3.099990002823344E-5	4.37617171092825E-13	8.581381008139112E-12	9.99879016682357E-7	4.805448490158148E-11	1.79805711011426E-9	4.2898283461824125E-11	9.998249997374781E-6	2.1449168270071816E-11	2.8233457360509285E-14	6.720764686472853E-20	4.289828457074696E-11	4.2898264569870536E-11	4.2898177305090734E-11	4.2898283461824125E-11	4.289833654014363E-11
41.0	1.0	3.099990002823337E-5	4.376161293773465E-13	8.581401009024801E-12	9.998790167343264E-7	4.805457216637935E-11	1.840955321605751E-9	4.2898177305063696E-11	9.998207099250555E-6	2.1449115191722314E-11	2.8233390152842885E-14	6.720772441291096E-20	4.2898178413987815E-11	4.2898158413088283E-11	4.289807114820756E-11	4.2898177305063696E-11	4.289823038344463E-11
42.0	1.0	3.09999000282333E-5	4.3761508766066267E-13	8.581421009933634E-12	9.998790167862959E-7	4.805465943127823E-11	1.8838534269403983E-9	4.289807114818043E-11	9.998164201232485E-6	2.1449062113311397E-11	2.8233322945098722E-14	6.720780276888695E-20	4.289807225710585E-11	4.289805225618316E-11	4.289796499120155E-11	4.289807114818043E-11	4.2898124226622793E-11
43.0	1.0	3.0999900028233236E-5	4.376140459427733E-13	8.581441010865614E-12	9.998790168382654E-7	4.8054746696278096E-11	1.926751426118079E-9	4.289796499117432E-11	9.998121303320573E-6	2.1449009034839042E-11	2.823325573727678E-14	6.720788031706938E-20	4.2897966100101E-11	4.289794609915519E-11	4.289785883407229E-11	4.289796499117432E-11	4.2898018069678084E-11
44.0	1.0	3.099990002823317E-5	4.3761300422367847E-13	8.581461011820734E-12	9.998790168902349E-7	4.805483396137892E-11	1.969649319138671E-9	4.289785883404534E-11	9.998078405514818E-6	2.144895595630527E-11	2.8233188529377064E-14	6.720795705745824E-20	4.289785994297331E-11	4.2897839942004334E-11	4.2897752676819776E-11	4.289785883404534E-11	4.289791191261054E-11
45.0	1.0	3.09999000282331E-5	4.3761196250337805E-13	8.581481012799E-12	9.998790169422046E-7	4.805492122658074E-11	2.0125471060020498E-9	4.2897752676793493E-11	9.99803550781522E-6	2.1448902877710068E-11	2.8233121321399575E-14	6.720803541343423E-20	4.289775378572276E-11	4.2897733784730626E-11	4.2897646519445255E-11	4.2897752676793493E-11	4.2897805755420137E-11
46.0	1.0	3.099990002823303E-5	4.3761092078187246E-13	8.581501013800421E-12	9.998790169941743E-7	4.8055008491883566E-11	2.0554447867080934E-9	4.289764651941883E-11	9.99799261022178E-6	2.1448849799053433E-11	2.8233054113344332E-14	6.720811376941022E-20	4.2897647628349374E-11	4.289762762733412E-11	4.28975403619479E-11	4.289764651941883E-11	4.2897699598106867E-11
47.0	1.0	3.0999900028232965E-5	4.376098790591617E-13	8.581521014824986E-12	9.998790170461438E-7	4.80550957572874E-11	2.09834236125668E-9	4.2897540361921326E-11	9.997949712734495E-6	2.14487967203354E-11	2.823298690521133E-14	6.720819131759265E-20	4.289754147085315E-11	4.2897521469814754E-11	4.289743420432812E-11	4.2897540361921326E-11	4.28975934406708E-11
48.0	1.0	3.09999000282329E-5	4.376088373352454E-13	8.581541015872693E-12	9.998790170981135E-7	4.8055183022792184E-11	2.141239829647685E-9	4.2897434204300965E-11	9.997906815353369E-6	2.1448743641555928E-11	2.823291969700056E-14	6.720827048136221E-20	4.289743531323407E-11	4.2897415312172524E-11	4.2897328046584263E-11	4.2897434204300965E-11	4.2897487283111856E-11
49.0	1.0	3.099990002823283E-5	4.376077956101237E-13	8.581561016943548E-12	9.998790171500832E-7	4.805527028839797E-11	2.1841371918809868E-9	4.289732804655776E-11	9.9978639180784E-6	2.1448690562715042E-11	2.823285248871201E-14	6.72083464139575E-20	4.289732915549214E-11	4.2897309154407465E-11	4.28972218887184E-11	4.289732804655776E-11	4.2897381125430084E-11
50.0	1.0	3.099990002823276E-5	4.3760675388379673E-13	8.58158101803755E-12	9.998790172020533E-7	4.8055357554104745E-11	2.227034447956462E-9	4.289722188869172E-11	9.99782102090959E-6	2.1448637483812728E-11	2.8232785280345707E-14	6.720842396213993E-20	4.2897222997627395E-11	4.289720299651956E-11	4.289711573072928E-11	4.289722188869172E-11	4.2897274967625455E-11
51.0	1.0	3.0999900028232693E-5	4.376057121562644E-13	8.581601019154701E-12	9.998790172540234E-7	4.805544481991251E-11	2.2699315978739878E-9	4.2897115730702845E-11	9.997778123846936E-6	2.1448584404849E-11	2.8232718071901636E-14	6.720850231811593E-20	4.28971168396398E-11	4.2897096838508844E-11	4.289700957261816E-11	4.2897115730702845E-11	4.2897168809698E-11
52.0	1.0	3.0999900028232626E-5	4.3760467042752677E-13	8.581621020294988E-12	9.998790173059934E-7	4.805553208582123E-11	2.3128286416334413E-9	4.289700957259111E-11	9.997735226890443E-6	2.144853132582385E-11	2.8232650863379807E-14	6.720857986629835E-20	4.289701068152936E-11	4.2896990680375237E-11	4.2896903414382956E-11	4.289700957259111E-11	4.28970626516477E-11
53.0	1.0	3.099990002823256E-5	4.3760362869758346E-13	8.581641021458411E-12	9.998790173579635E-7	4.805561935183091E-11	2.3557255792347E-9	4.2896903414356525E-11	9.997692330040107E-6	2.1448478246737263E-11	2.823258365478019E-14	6.720865822227435E-20	4.2896904523296044E-11	4.289688452211875E-11	4.289679725602533E-11	4.2896903414356525E-11	4.2896956493474527E-11
54.0	1.0	3.099990002823249E-5	4.376025869664353E-13	8.581661022645002E-12	9.998790174099336E-7	4.8055706617941615E-11	2.398622410677641E-9	4.289679725599913E-11	9.997649433295931E-6	2.144842516758927E-11	2.8232516446102838E-14	6.720873577045677E-20	4.289679836493993E-11	4.289677836373953E-11	4.28966910975457E-11	4.289679725599913E-11	4.289685033517854E-11
55.0	1.0	3.099990002823242E-5	4.3760154523408183E-13	8.581681023854721E-12	9.998790174619038E-7	4.805579388415328E-11	2.441519135962141E-9	4.2896691097518886E-11	9.997606536657914E-6	2.1448372088379862E-11	2.8232449237347727E-14	6.720881251084563E-20	4.289669220646099E-11	4.2896672205237404E-11	4.28965849389424E-11	4.2896691097518886E-11	4.2896744176759724E-11
56.0	1.0	3.0999900028232355E-5	4.376005035005227E-13	8.581701025087589E-12	9.99879017513874E-7	4.805588115046592E-11	2.484415755088077E-9	4.28965849389158E-11	9.997563640126055E-6	2.1448319009109032E-11	2.8232382028514832E-14	6.720889167461519E-20	4.2896586047859167E-11	4.289656604661246E-11	4.289647878021627E-11	4.28965849389158E-11	4.2896638018218065E-11
57.0	1.0	3.099990002823229E-5	4.375994617657583E-13	8.581721026343598E-12	9.998790175658444E-7	4.805596841687952E-11	2.5273122680553273E-9	4.289647878018986E-11	9.997520743700356E-6	2.1448265929776775E-11	2.8232314819604178E-14	6.720896841500405E-20	4.2896479889134507E-11	4.289645988786466E-11	4.289637262136771E-11	4.289647878018986E-11	4.289653185955355E-11
58.0	1.0	3.099990002823222E-5	4.3759842002978903E-13	8.581741027622756E-12	9.998790176178146E-7	4.805605568339411E-11	2.5702086748637683E-9	4.289637262134111E-11	9.997477847380814E-6	2.1448212850383096E-11	2.8232247610615786E-14	6.720904596318648E-20	4.289637373028705E-11	4.289635372899406E-11	4.289626646239632E-11	4.289637262134111E-11	4.289642570076619E-11
59.0	1.0	3.099990002823215E-5	4.3759737829261436E-13	8.581761028925053E-12	9.99879017669785E-7	4.8056142950009666E-11	2.613104975513277E-9	4.2896266462369527E-11	9.997434951167432E-6	2.1448159770928015E-11	2.8232180401549628E-14	6.720912431916247E-20	4.289626757131675E-11	4.28962475700006E-11	4.2896160303301264E-11	4.2896266462369527E-11	4.289631954185603E-11
60.0	1.0	3.0999900028232084E-5	4.375963365542342E-13	8.58178103025049E-12	9.998790177217553E-7	4.8056230216726195E-11	2.6560011700037306E-9	4.289616030327507E-11	9.997392055060208E-6	2.1448106691411503E-11	2.82321131924057E-14	6.72092018673449E-20	4.2896161412223586E-11	4.289614141088429E-11	4.289605414408461E-11	4.289616030327507E-11	4.2896213382823007E-11
61.0	1.0	3.0999900028232016E-5	4.3759529481464853E-13	8.58180103159906E-12	9.99879017773726E-7	4.805631748354367E-11	2.698897258335007E-9	4.2896054144057793E-11	9.997349159059144E-6	2.1448053611833577E-11	2.8232045983183998E-14	6.72092802233209E-20	4.2896055253007575E-11	4.28960352516451E-11	4.2895947984743884E-11	4.2896054144057793E-11	4.289610722366715E-11
62.0	1.0	3.099990002823195E-5	4.375942530738579E-13	8.5818210329708E-12	9.998790178256968E-7	4.805640475046215E-11	2.741793240506983E-9	4.28959479847177E-11	9.997306263164238E-6	2.1448000532194222E-11	2.8231978773884552E-14	6.720935777150332E-20	4.2895949093668766E-11	4.289592909228321E-11	4.289584182528073E-11	4.28959479847177E-11	4.2896001064388444E-11
63.0	1.0	3.099990002823188E-5	4.375932113318624E-13	8.581841034365673E-12	9.998790178776673E-7	4.805649201748164E-11	2.784689116519536E-9	4.289584182525479E-11	9.997263367375491E-6	2.1447947452493478E-11	2.8231911564507365E-14	6.720943531968575E-20	4.289584293420714E-11	4.2895822932798446E-11	4.2895735665695985E-11	4.289584182525479E-11	4.2895894904986956E-11
64.0	1.0	3.099990002823181E-5	4.375921695886614E-13	8.581861035783679E-12	9.99879017929638E-7	4.805657928460204E-11	2.827584886372542E-9	4.289573566566904E-11	9.997220471692907E-6	2.144789437273131E-11	2.823184435505241E-14	6.720951367566174E-20	4.2895736774622664E-11	4.28957167731908E-11	4.289562950598716E-11	4.289573566566904E-11	4.289578874546262E-11
65.0	1.0	3.0999900028231745E-5	4.375911278442552E-13	8.581881037224838E-12	9.998790179816089E-7	4.805666655182344E-11	2.87048055006588E-9	4.289562950596046E-11	9.997177576116481E-6	2.1447841292907736E-11	2.8231777145519696E-14	6.72095904160506E-20	4.2895630614915365E-11	4.289561061346039E-11	4.2895523346155915E-11	4.289562950596046E-11	4.289568258581547E-11
66.0	1.0	3.099990002823168E-5	4.3759008609864417E-13	8.581901038689143E-12	9.998790180335796E-7	4.8056753819145826E-11	2.913376107599426E-9	4.289552334612908E-11	9.997134680646214E-6	2.144778821302274E-11	2.8231709935909262E-14	6.72096687720266E-20	4.2895524455085275E-11	4.289550445360716E-11	4.2895417186201005E-11	4.289552334612908E-11	4.289557642604548E-11
67.0	1.0	3.099990002823161E-5	4.375890443518276E-13	8.581921040176573E-12	9.998790180855506E-7	4.805684108656914E-11	2.9562715589730566E-9	4.2895417186174845E-11	9.997091785282109E-6	2.1447735133076334E-11	2.8231642726221043E-14	6.720974632020902E-20	4.289541829513233E-11	4.289539829363103E-11	4.2895311026124085E-11	4.2895417186174845E-11	4.289547026615267E-11
68.0	1.0	3.099990002823154E-5	4.375880026038058E-13	8.581941041687157E-12	9.998790181375216E-7	4.8056928354093425E-11	2.9991669041866497E-9	4.289531102609778E-11	9.997048890024163E-6	2.144768205306851E-11	2.8231575516455074E-14	6.720982548397858E-20	4.289531213505654E-11	4.289529213353214E-11	4.289520486592433E-11	4.289531102609778E-11	4.289536410613702E-11
69.0	1.0	3.0999900028231474E-5	4.3758696085457875E-13	8.581961043220866E-12	9.998790181894926E-7	4.8057015621718664E-11	3.0420621432400828E-9	4.289520486589788E-11	9.997005994872378E-6	2.1447628972999273E-11	2.823150830661134E-14	6.720990222436744E-20	4.289520597485792E-11	4.2895185973310334E-11	4.289509870560174E-11	4.289520486589788E-11	4.2895257945998546E-11
70.0	1.0	3.0999900028231406E-5	4.375859191041467E-13	8.581981044777733E-12	9.998790182414635E-7	4.805710288944488E-11	3.0849572761332325E-9	4.2895098705575165E-11	9.996963099826753E-6	2.1447575892868618E-11	2.8231441096689863E-14	6.720997977254987E-20	4.28950998145365E-11	4.2895079812965796E-11	4.2894992545156723E-11	4.2895098705575165E-11	4.2895151785737236E-11
71.0	1.0	3.099990002823134E-5	4.3758487735250967E-13	8.582001046357739E-12	9.998790182934345E-7	4.8057190157272076E-11	3.127852302865976E-9	4.2894992545129646E-11	9.996920204887287E-6	2.1447522812676558E-11	2.8231373886690647E-14	6.72100573207323E-20	4.2894993654092255E-11	4.289497365249842E-11	4.2894886384588045E-11	4.2894992545129646E-11	4.2895045625353116E-11
72.0	1.0	3.099990002823127E-5	4.37583835599667E-13	8.582021047960872E-12	9.99879018345406E-7	4.805727742520019E-11	3.1707472234381908E-9	4.289488638456127E-11	9.996877310053984E-6	2.1447469732423086E-11	2.8231306676613646E-14	6.721013486891472E-20	4.289488749352516E-11	4.289486749190816E-11	4.289478022389653E-11	4.289488638456127E-11	4.289493946484617E-11
