time	compartment_0000004	EmptySet	M	P	TC	TL	Md	Pd
16.0	1.0E-15	0.0	4.623726377570298E-16	1.969806937502173E-15	2.0491218056925991E-16	4.5394377325799326E-17	9.709825392897625E-17	4.1365945687545636E-16
17.0	1.0E-15	0.0	5.679307152728103E-16	1.6347761489452427E-15	2.7229459237514585E-16	4.123683569256217E-17	1.1926545020729016E-16	3.43302991278501E-16
18.0	1.0E-15	0.0	7.144635090472963E-16	1.362173796793727E-15	3.501992253853902E-16	4.529840639280993E-17	1.500373368999322E-16	2.8605649732668267E-16
19.0	1.0E-15	0.0	9.01856009646846E-16	1.1482150446475985E-15	4.313323644675194E-16	6.103038263148598E-17	1.8938976202583767E-16	2.411251593759957E-16
20.0	1.0E-15	0.0	1.122111562035681E-15	9.94973284514975E-16	5.02519674629444E-16	9.884993239041102E-17	2.35643428027493E-16	2.0894438974814476E-16
21.0	1.0E-15	0.0	1.3550664902842475E-15	9.179756149584682E-16	5.426880511294386E-16	1.8318338143202912E-16	2.8456396295969194E-16	1.9277487914127832E-16
22.0	1.0E-15	0.0	1.5642967170533896E-15	9.615437746495844E-16	5.195975488906328E-16	3.647036894630511E-16	3.285023105812118E-16	2.0192419267641271E-16
23.0	1.0E-15	0.0	1.6991746577222029E-15	1.2253095143392401E-15	3.997787774673832E-16	7.335194107192504E-16	3.5682667812166255E-16	2.573149980112404E-16
24.0	1.0E-15	0.0	1.7131281658417645E-15	1.8948694875348847E-15	2.1783975235009538E-16	1.412889220880098E-15	3.597569148267705E-16	3.979225923823258E-16
25.0	1.0E-15	0.0	1.5849894586915056E-15	3.2383736554959603E-15	8.70544471473804E-17	2.4881801264438936E-15	3.3284778632521614E-16	6.800584676541516E-16
26.0	1.0E-15	0.0	1.3668616454797966E-15	5.479157025704956E-15	3.2236059025554336E-17	3.827871952306825E-15	2.870409455507573E-16	1.1506229753980409E-15
27.0	1.0E-15	0.0	1.138379629596507E-15	8.48326866079442E-15	1.3705041999354404E-17	4.9058477559576474E-15	2.3905972221526646E-16	1.781486418766828E-15
28.0	9.999999999999997E-16	0.0	9.355255569771941E-16	1.1526245430299287E-14	7.470807796896561E-18	5.027702439036596E-15	1.9646036696521078E-16	2.4205115403628505E-15
29.0	9.999999999999997E-16	0.0	7.652623496149467E-16	1.3542012358587411E-14	5.423402344001128E-18	3.981797179112171E-15	1.6070509341913882E-16	2.8438225953033565E-15
30.0	9.999999999999997E-16	0.0	6.254002029730502E-16	1.4001277384135814E-14	5.075220647417097E-18	2.55372231678857E-15	1.3133404262434054E-16	2.940268250668521E-15
31.0	9.999999999999997E-16	0.0	5.117614467915758E-16	1.3209129423876303E-14	5.698619391039343E-18	1.4752354751692522E-15	1.0746990382623092E-16	2.7739171790140237E-15
32.0	9.999999999999997E-16	0.0	4.202899124743734E-16	1.1765434381550945E-14	7.17229191192105E-18	8.187795150597595E-16	8.826088161961842E-17	2.4707412201256984E-15
33.0	9.999999999999997E-16	0.0	3.4760104254569386E-16	1.0121167527964447E-14	9.667623981396865E-18	4.481578836369792E-16	7.299621893459571E-17	2.125445180872534E-15
34.0	9.999999999999997E-16	0.0	2.9112601234944776E-16	8.523419685118924E-15	1.3577975294587182E-17	2.446099132276777E-16	6.113646259338402E-17	1.7899181338749743E-15
35.0	9.999999999999997E-16	0.0	2.49166893089544E-16	7.083379406026813E-15	1.9541072514852017E-17	1.3403020951974182E-16	5.232504754880424E-17	1.4875096752656308E-15
36.0	9.999999999999997E-16	0.0	2.209637080984913E-16	5.837506112689216E-15	2.850913398307881E-17	7.424152760785131E-17	4.640237870068318E-17	1.2258762836647354E-15
37.0	9.999999999999997E-16	0.0	2.0681262997353357E-16	4.785163249039792E-15	4.184487821450863E-17	4.199941207626083E-17	4.343065229444205E-17	1.0048842822983564E-15
38.0	9.999999999999997E-16	0.0	2.0824424507637047E-16	3.909278901200733E-15	6.141577539236633E-17	2.46741974197567E-17	4.37312914660378E-17	8.209485692521539E-16
39.0	9.999999999999997E-16	0.0	2.2823814705211123E-16	3.1870459461303082E-15	8.962772518040681E-17	1.5469312426400577E-17	4.793001088094336E-17	6.692796486873647E-16
40.0	9.999999999999997E-16	0.0	2.713927538280336E-16	2.595170333951364E-15	1.2928400217194398E-16	1.0788544274906152E-17	5.699247830388705E-17	5.449857701297864E-16
41.0	9.999999999999997E-16	0.0	3.4387451450683885E-16	2.112259268957393E-15	1.830952136982825E-16	8.84567894040388E-18	7.221364804643616E-17	4.435744464810526E-16
42.0	9.999999999999997E-16	0.0	4.528529198897005E-16	1.7197972323020556E-15	2.5267184556885843E-16	9.030650296653058E-18	9.509911317683712E-17	3.611574187834317E-16
43.0	9.999999999999997E-16	0.0	6.050588191513913E-16	1.4025670314452856E-15	3.37018714115367E-16	1.1889530314965738E-17	1.2706235202179218E-16	2.9453907660351E-16
44.0	9.999999999999997E-16	0.0	8.042021964151133E-16	1.1492114167032055E-15	4.3090690454496787E-16	1.9989169172016275E-17	1.6888246124717378E-16	2.4133439750767317E-16
45.0	9.999999999999997E-16	0.0	1.0472784792855573E-15	9.539910070490429E-16	5.235331168510419E-16	4.0663051894568394E-17	2.1992848064996704E-16	2.00338111480299E-16
46.0	9.999999999999997E-16	0.0	1.3199950102525346E-15	8.220517260695774E-16	5.967409445639984E-16	9.286915990840247E-17	2.771989521530323E-16	1.7263086247461125E-16
47.0	9.999999999999997E-16	0.0	1.5911375503091527E-15	7.830432478185453E-16	6.199025690877454E-16	2.2150971911920963E-16	3.3413888556492207E-16	1.644390820418945E-16
48.0	9.999999999999997E-16	0.0	1.8071412787170173E-15	9.20428681151869E-16	5.413631324307001E-16	5.201106716126196E-16	3.794996685305736E-16	1.932900230418925E-16
49.0	9.999999999999997E-16	0.0	1.9055096832550765E-15	1.4194534037296926E-15	3.3169168445303453E-16	1.1486468811058093E-15	4.0015703348356605E-16	2.9808521478323547E-16
50.0	9.999999999999997E-16	0.0	1.8372345598982508E-15	2.610654871764947E-15	1.2795055811148106E-16	2.299941917690645E-15	3.858192575786327E-16	5.48237523070639E-16
51.0	9.999999999999997E-16	0.0	1.6121658068649041E-15	4.9203108103930566E-15	3.966765097931346E-17	4.0283126967604895E-15	3.3855481944162987E-16	1.0332652701825418E-15
52.0	9.999999999999997E-16	0.0	1.345313782001313E-15	8.542218732352362E-15	1.351908540979894E-17	5.9016889817726115E-15	2.8251589422027573E-16	1.7938659337939958E-15
53.0	9.999999999999997E-16	0.0	1.1033353726839808E-15	1.2922645680718828E-14	5.9525662122070685E-18	6.918843069582343E-15	2.3170042826363596E-16	2.7137555929509537E-15
54.0	1.0000000000000007E-15	0.0	8.999053822112328E-16	1.66344521176398E-14	3.600943482789321E-18	6.20145817190286E-15	1.889801302643589E-16	3.493234944704358E-15
55.0	1.000000000000001E-15	0.0	7.328201952177752E-16	1.8306058711911736E-14	2.9752006414238353E-18	4.190145630257342E-15	1.538922409957328E-16	3.844272329501464E-15
56.0	1.000000000000001E-15	0.0	5.968294476339621E-16	1.789896717819407E-14	3.1116488284758965E-18	2.4348419407683233E-15	1.2533418400313202E-16	3.758783107420755E-15
57.0	1.000000000000001E-15	0.0	4.867560976451106E-16	1.6252191168426947E-14	3.771681732491957E-18	1.3431441514940158E-15	1.0221878050547322E-16	3.4129601453696584E-15
58.0	1.000000000000001E-15	0.0	3.9819023826681873E-16	1.4129702680075964E-14	4.983839953092914E-18	7.287701029442682E-16	8.361995003603192E-17	2.9672375628159523E-15
59.0	1.000000000000001E-15	0.0	3.2759207378359535E-16	1.1970999092522386E-14	6.929775492161382E-18	3.9354308669241737E-16	6.879433549455502E-17	2.5139098094297008E-15
60.0	1.000000000000001E-15	0.0	2.7227178975580945E-16	9.982993072230745E-15	9.934417872837883E-18	2.1259386589716104E-16	5.717707584871999E-17	2.096428545168456E-15
61.0	1.000000000000001E-15	0.0	2.3036589866741507E-16	8.243169926739916E-15	1.4503294693207664E-17	1.1532785166516224E-16	4.837683872015716E-17	1.731065684615382E-15
62.0	1.000000000000001E-15	0.0	2.008538464756E-16	6.76393718039635E-15	2.1389987170336103E-17	6.313523872571038E-17	4.2179307759876E-17	1.4204268078832336E-15
63.0	1.000000000000001E-15	0.0	1.8363422136403425E-16	5.527906148913416E-15	3.168794081820187E-17	3.515605667125969E-17	3.8563186486447194E-17	1.1608602912718174E-15
64.0	1.000000000000001E-15	0.0	1.796690003883513E-16	4.506182296512414E-15	4.6935843029974235E-17	2.0184032577610234E-17	3.773049008155377E-17	9.462982822676068E-16
65.0	1.000000000000001E-15	0.0	1.911887991485147E-16	3.6674038971082936E-15	6.920486419944333E-17	1.2225160545971954E-17	4.014964782118809E-17	7.701548183927416E-16
66.0	1.000000000000001E-15	0.0	2.2191762916139118E-16	2.9819118166229323E-15	1.0109385489863753E-16	8.10289963185434E-18	4.6602702123892144E-17	6.262014814908157E-16
67.0	1.000000000000001E-15	0.0	2.772077140755427E-16	2.4234353857837836E-15	1.4549604475556407E-16	6.192426400857041E-18	5.821361995586396E-17	5.089214310145945E-16
68.0	1.000000000000001E-15	0.0	3.6386832311070573E-16	1.9695754398746397E-15	2.0495047991868572E-16	5.799885964284342E-18	7.641234785324819E-17	4.136108423736743E-16
69.0	1.000000000000001E-15	0.0	4.893588089081349E-16	1.6017936477616092E-15	2.8044646819652064E-16	6.988554176593537E-18	1.0276534987070833E-16	3.363766660299379E-16
70.0	1.000000000000001E-15	0.0	6.599899607698343E-16	1.3053908234728646E-15	3.6981630309201954E-16	1.0928873824991167E-17	1.385978917616652E-16	2.7413207292930156E-16
71.0	1.000000000000001E-15	0.0	8.779505855896502E-16	1.0700706582458663E-15	4.661893355467535E-16	2.1301781942477746E-17	1.8436962297382654E-16	2.2471483823163193E-16
72.0	1.000000000000001E-15	0.0	1.1372874716702337E-15	8.92373616286386E-16	5.566903778460754E-16	4.817622294831804E-17	2.388303690507491E-16	1.8739845942014107E-16
73.0	1.000000000000001E-15	0.0	1.4189946041213748E-15	7.830248824724404E-16	6.199136216860082E-16	1.1718775414816292E-16	2.979888668654887E-16	1.6443522531921248E-16
74.0	1.000000000000001E-15	0.0	1.6847337417549566E-15	7.852388436696138E-16	6.185821936547608E-16	2.8748288093357444E-16	3.5379408576854086E-16	1.6490015717061887E-16
75.0	1.000000000000001E-15	0.0	1.873607483407149E-15	1.0116449278678826E-15	4.942114348803653E-16	6.767218800966126E-16	3.9345757151550133E-16	2.1244543485225534E-16
76.0	1.000000000000001E-15	0.0	1.926177312196075E-15	1.6980426890825713E-15	2.575096924610592E-16	1.4709935382996307E-15	4.044972355611757E-16	3.5658896470733993E-16
77.0	1.000000000000001E-15	0.0	1.797333315956615E-15	3.234516495556512E-15	8.724407091367265E-17	2.8572104643316574E-15	3.774399963508891E-16	6.792484640668674E-16
78.0	1.000000000000001E-15	0.0	1.5419068982156597E-15	6.0493334799372944E-15	2.659968118500885E-17	4.7818265821501694E-15	3.238004486252885E-16	1.2703600307868318E-15
79.0	1.0000000000000013E-15	0.0	1.2755834209772226E-15	1.0151828728846177E-14	9.609874965458149E-18	6.577121081310877E-15	2.6787251840521675E-16	2.131884033057697E-15
80.0	9.999999999999999E-16	0.0	1.0430474933131368E-15	1.467804875012016E-14	4.620108887593103E-18	7.146424163671187E-15	2.1903997359575875E-16	3.0823902375252332E-15
81.0	1.0000000000000009E-15	0.0	8.49788234938724E-16	1.7957616393209842E-14	3.091419584929896E-18	5.806118212635402E-15	1.7845552933713203E-16	3.771099442574067E-15
82.0	1.0000000000000013E-15	0.0	6.917298291151012E-16	1.8941826880969064E-14	2.779377420746522E-18	3.665848005883667E-15	1.4526326411417125E-16	3.977783645003503E-15
83.0	1.0000000000000013E-15	0.0	5.633461535807505E-16	1.80048756220925E-14	3.075261998595587E-18	2.0755184483305125E-15	1.183026922519576E-16	3.781023880639425E-15
84.0	1.0000000000000013E-15	0.0	4.595881839872486E-16	1.6075902476457647E-14	3.8545353786704034E-18	1.1347815107175356E-15	9.651351863732221E-17	3.375939520056106E-15
85.0	1.0000000000000013E-15	0.0	3.762552149970072E-16	1.3837527245897014E-14	5.195421620624445E-18	6.136661135735119E-16	7.901359514937152E-17	2.905880721638373E-15
86.0	1.0000000000000013E-15	0.0	3.1002311081838017E-16	1.1652190456303563E-14	7.311355560685316E-18	3.3098591418042975E-16	6.510485327185983E-17	2.446959995823748E-15
87.0	1.0000000000000013E-15	0.0	2.584070019183021E-16	9.680111272709761E-15	1.0559154286695097E-17	1.7878290928435437E-16	5.4265470402843445E-17	2.0328233672690495E-15
88.0	1.0000000000000013E-15	0.0	2.1974004100332407E-16	7.973642550698229E-15	1.5484915823613023E-17	9.707481316281545E-17	4.614540861069805E-17	1.674464935646628E-15
89.0	1.0000000000000013E-15	0.0	1.931997998950203E-16	6.532493704864618E-15	2.2897193841420076E-17	5.3265693314809517E-17	4.0571957977954254E-17	1.3718236780215698E-15
90.0	1.0000000000000013E-15	0.0	1.7889738399936848E-16	5.333282372276123E-15	3.396289114924809E-17	2.979766334567351E-17	3.756845063986738E-17	1.1199892981779857E-15
91.0	1.0000000000000013E-15	0.0	1.7803507788271205E-16	4.344605592757188E-15	5.0312952206284254E-17	1.7254915308024243E-17	3.7387366355369533E-17	9.123671744790094E-16
92.0	1.0000000000000013E-15	0.0	1.9312093113437414E-16	3.5343404329807157E-15	7.412040044328223E-17	1.061029853804371E-17	4.055539553821857E-17	7.4221149092595025E-16
93.0	1.0000000000000013E-15	0.0	2.2818936433706637E-16	2.8728979254577915E-15	1.08066721590126E-16	7.211407160523695E-18	4.7919766510783933E-17	6.033085643461362E-16
94.0	1.0000000000000013E-15	0.0	2.88901746736236E-16	2.334438668941974E-15	1.5504828135989176E-16	5.725480895724136E-18	6.066936681460957E-17	4.902321204778144E-16
95.0	1.0000000000000013E-15	0.0	3.822889908356463E-16	1.897126756606313E-15	2.1743432180780917E-16	5.643086880015189E-18	8.028068807548572E-17	3.9839661888732564E-16
96.0	1.0000000000000013E-15	0.0	5.157913177081667E-16	1.5430291797744764E-15	2.9577581415075057E-16	7.202579160733859E-18	1.08316176718715E-16	3.2403612775264004E-16
97.0	1.0000000000000013E-15	0.0	6.952536617714786E-16	1.2581146872837511E-15	3.871688276073958E-16	1.1881908281339403E-17	1.4600326897201051E-16	2.6420408432958773E-16
98.0	1.0000000000000013E-15	0.0	9.217463259714705E-16	1.0330075547264351E-15	4.837684537448606E-16	2.411295873628416E-17	1.935667284540088E-16	2.1693158649255138E-16
99.0	1.0000000000000013E-15	0.0	1.187382529204946E-15	8.659983457881213E-16	5.714438747256571E-16	5.586957582923342E-17	2.4935033113303864E-16	1.8185965261550546E-16
100.0	1.0000000000000013E-15	0.0	1.470210282215209E-15	7.718260385823316E-16	6.266781525058697E-16	1.372214746667955E-16	3.0874415926519387E-16	1.6208346810228964E-16
