time	cell	I	E	A	T	M	P	J	W2	W3	U	W	n	k	U1	U2	U3	U6_plus_3U7	U6_plus_U7_minus_U8
45.0	1.0	13.649326193362826	3.2049654780475394	1.7481827029436765	1.4904607518085207	0.03367797670465748	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.068756995967859	4.130745439196694	0.04	0.010413310605693003
46.0	1.0	13.54486117792075	3.2267399079545407	1.758559873777481	1.5015121896546308	0.033332155477571256	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.067554833165557	4.129133212420054	0.04	0.010227600080520594
47.0	1.0	13.443928189340127	3.2481100830327714	1.7687524051477506	1.5123566121754726	0.03299893429045123	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.066402738152155	4.127575690850693	0.04	0.010043306632050757
48.0	1.0	13.346380834110603	3.2690804507005287	1.7787617607176125	1.5229964266250668	0.03267773664215046	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.065298063745545	4.126070260916511	0.04	0.009860496521825825
49.0	1.0	13.25208047785944	3.2896555039335844	1.7885894688016033	1.533434054567424	0.03236801943544276	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.064238299723562	4.124614440652382	0.04	0.00967923251295815
50.0	1.0	13.160904204717463	3.309836064455997	1.7982351525760918	1.5436701660527508	0.03206925417284512	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.063219035820111	4.12320255488379	0.04	0.009499582941309733
51.0	1.0	13.072724183695435	3.329630016687796	1.807702357178999	1.5537086870304833	0.03178102752168632	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.0622410254722165	4.121838146096895	0.04	0.009321615022396314
52.0	1.0	12.987419930251066	3.3490421682133196	1.8169927858977504	1.5635522294275177	0.03150284711194895	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.061301877291086	4.120517442551468	0.04	0.009145369060050207
53.0	1.0	12.904878190417358	3.3680772036995283	1.8261081917446171	1.5732032885669216	0.03123427661201032	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.060399361544027	4.1192382091789055	0.04	0.008970892793093477
54.0	1.0	12.824991962256329	3.386739824797046	1.8350503764223998	1.5826643554562387	0.03097490708159249	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.059531527535171	4.117998502256205	0.04	0.00879823212164509
55.0	1.0	12.747659800150837	3.405034759583709	1.843821188238277	1.5919379247943748	0.030724353448942605	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.058696617647359	4.116796577906779	0.04	0.008627430540508511
56.0	1.0	12.67278531267259	3.42296676635076	1.8524225196155204	1.601026498770134	0.030482252034894037	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.057893019762755	4.1156308405955	0.04	0.008458528855848881
57.0	1.0	12.60028457476836	3.44053589602654	1.8608534564653543	1.6099305533795274	0.030248113818341322	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.05711662363927	4.1144890296470304	0.04	0.00829152674697242
58.0	1.0	12.53007091327529	3.4577504847912226	1.869118659646814	1.6186537532776581	0.03002192813324959	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.0563692625216525	4.113388872619952	0.04	0.008126570852772541
59.0	1.0	12.462056979144622	3.4746161784307317	1.8772201460314453	1.6271992707126008	0.029803238313314512	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.055650005608602	4.112321821284567	0.04	0.007963632779736596
60.0	1.0	12.396161167839056	3.491137910977525	1.8851599563045733	1.6355696932441421	0.02959173857119035	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.054957103737495	4.111286081908923	0.04	0.007802737243161859
61.0	1.0	12.33230655627228	3.5073205996849888	1.892940158195271	1.6437675854638456	0.02938714397412734	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.054289154240728	4.110280233829429	0.04	0.007643908677768232
62.0	1.0	12.27042722341816	3.523165385131279	1.900561079735615	1.6517935567731044	0.02918925137744018	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.053642525299082	4.109304309999534	0.04	0.007487215638957934
63.0	1.0	12.21045047045335	3.5386809999506976	1.9080265307164561	1.6596521785459413	0.02899770931169976	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.053020144863043	4.108354281613991	0.04	0.007332619962354461
64.0	1.0	12.15230767315023	3.5538721528702415	1.915338654459523	1.6673458173786877	0.028812318967969208	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.052419874065194	4.10743137172397	0.04	0.007180160058552341
65.0	1.0	12.095934295263099	3.5687438194581445	1.9224996127700433	1.674877051972891	0.028632845284790303	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.05184055466161	4.1065343946444655	0.04	0.007029849732050215
66.0	1.0	12.041275369597981	3.5832957337375326	1.929508557152099	1.6822461284044772	0.028458951819043454	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.051277774311679	4.105652619935992	0.04	0.006881670345278117
67.0	1.0	11.988275175024741	3.597536975489985	1.9363705299679193	1.6894571273476167	0.028290681825551056	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.0507353878100085	4.10480209475313	0.04	0.0067357349437539415
68.0	1.0	11.936873025283168	3.6114731639005684	1.9430877517222416	1.6965131327795036	0.028127720601176447	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.05021237034286	4.103975985648606	0.04	0.006591996110972411
69.0	1.0	11.887018499186125	3.6251061869875945	1.9496611486449231	1.7034150159606412	0.0279699776179696	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.049705161303114	4.103177513474822	0.04	0.0064505257976496715
70.0	1.0	11.838656030343339	3.638444538648927	1.9560941909913236	1.7101674160944942	0.027817068436890136	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.049216758688754	4.102396525743512	0.04	0.006311212247156264
71.0	1.0	11.791734167136513	3.6514926639071557	1.9623891059084702	1.7167724638681288	0.027668905869443632	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.04874490387859	4.101637079962767	0.04	0.006174103661609773
72.0	1.0	11.746209580952664	3.6642504169893266	1.968545396857499	1.7232303030891278	0.027525282957299984	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.048284859266696	4.10089316176309	0.04	0.006039203673827265
73.0	1.0	11.70203962783826	3.6767271907632577	1.974567907330333	1.729545425367304	0.027386141934379566	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.047841821158914	4.100172878222671	0.04	0.005906543850098176
74.0	1.0	11.659175628321917	3.688928199321452	1.9804589051171473	1.7357205779816176	0.027251283777312896	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.0474142120760215	4.099473192077218	0.04	0.005776096271091553
75.0	1.0	11.617577594737444	3.700856001752795	1.9862199105868381	1.7417568153765581	0.02712072421060115	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.046998990759989	4.098801888622845	0.04	0.005647956713916378
76.0	1.0	11.577200000225691	3.7125188082175358	1.9918539429811397	1.7476588670390683	0.026994001802672047	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.046599247175826	4.098141406171213	0.04	0.005521928373571432
77.0	1.0	11.538006302120099	3.7239175138679546	1.997362654311708	1.7534263326364627	0.0268714730802162	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.046208815252568	4.097518373065618	0.04	0.005398295672527777
78.0	1.0	11.499957933778262	3.735057108889639	2.002744724347668	1.7590641637778113	0.026751779235839896	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.045832777252333	4.096858477048117	0.04	0.005276354882092203
79.0	1.0	11.463031449965507	3.7459382202154208	2.008004794331195	1.764569762526761	0.026636336642535507	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.045463736700485	4.096251640345328	0.04	0.00515698589643163
80.0	1.0	11.427188087261534	3.756566965668084	2.0131418941801122	1.7699487896992736	0.026523718211301617	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.045107544942902	4.095619130451267	0.04	0.005039419974321842
81.0	1.0	11.392404312943816	3.766946047569301	2.018161130913426	1.775200050515571	0.02641513385969548	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.044759342366334	4.095039955163538	0.04	0.00492442305244913
82.0	1.0	11.358640467569007	3.777080261587363	2.0230608315574186	1.7803285902133705	0.026309160183426068	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.044422474073534	4.094433694777439	0.04	0.00481120886835783
83.0	1.0	11.325876786692822	3.786974066975317	2.0278466250652367	1.7853343195759745	0.026206877665894062	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.044095305314311	4.093872618676769	0.04	0.004700466866428366
84.0	1.0	11.294074594227782	3.796635214031729	2.0325210130231643	1.790221957069204	0.02610775606063968	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.0437800646728075	4.093332120891703	0.04	0.004591913609127738
85.0	1.0	11.263199519335956	3.8060691921496286	2.0370867527831016	1.794994181107396	0.02601174174086888	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.043475519571932	4.092815271996307	0.04	0.004485555994797723
86.0	1.0	11.233218623706113	3.8152835605201827	2.041548204849571	1.7996543163444103	0.025918960673798102	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.043182076518625	4.092337366665244	0.04	0.0043814999337912
87.0	1.0	11.204094274852759	3.824279210444859	2.045900513796875	1.8042063255516385	0.025827628903653938	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.042899552553249	4.091790382841073	0.04	0.004278683923563085
88.0	1.0	11.175822010432963	3.833053138020889	2.0501477213396786	1.808644986304411	0.025739569623200564	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.042618889400012	4.091288907524007	0.04	0.004178315893279421
89.0	1.0	11.148377692794979	3.8416145857261053	2.0542940857559038	1.8129750911953586	0.02565459122515727	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.042346212855056	4.090829114921405	0.04	0.0040802918648063955
90.0	1.0	11.12172846335581	3.849969309457684	2.058338835931836	1.81720191630042	0.025571442774571906	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.042085255236621	4.0903379745999375	0.04	0.003983833063010572
91.0	1.0	11.09585724419032	3.858121636240735	2.0622898589912304	1.82132373818031	0.025491960930805746	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.041829638860758	4.0899362555267444	0.04	0.0038901562183148134
92.0	1.0	11.070721551808406	3.866078167640904	2.0661418971782366	1.8253495589999484	0.025413288537280494	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.04158734048094	4.089448952204031	0.04	0.0037974122357402984
93.0	1.0	11.04631764632314	3.8738413128203315	2.06990567870852	1.8292741460437323	0.025338511931920937	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.041348655881115	4.089075410493076	0.04	0.0037076607373030803
94.0	1.0	11.022599757334655	3.8814188125151317	2.0735751414960886	1.8331080025540016	0.02526433153495855	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.041123164823991	4.088611847800137	0.04	0.0036187194621697884
95.0	1.0	10.999565897038144	3.8888084452437246	2.0771571552037598	1.83684463464371	0.025193344603745116	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.040898720276888	4.088224549727153	0.04	0.0035323708796959007
96.0	1.0	10.977186255976342	3.896022561675206	2.080654476647841	1.8404924470267314	0.025124361999366702	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.040685678746021	4.0878463168326435	0.04	0.0034477971177763857
97.0	1.0	10.955433792054974	3.903060521351629	2.084064840474432	1.8440524216594882	0.025056740782290737	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.040478842913833	4.087436950952866	0.04	0.0033645968260114056
98.0	1.0	10.934301583403723	3.909925437017214	2.087393953826702	1.8475232819668956	0.024991798776384282	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.040275349477174	4.087084642292132	0.04	0.003283691242207083
99.0	1.0	10.91376254047324	3.9166303822503137	2.0906479865311183	1.850911736071226	0.024929340352030538	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.040082234171288	4.086785874280382	0.04	0.0032049206618646963
100.0	1.0	10.893779757615128	3.9231719351540066	2.093816717788605	1.8542218359040834	0.024866618538680923	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.039896860419973	4.086361951116795	0.04	0.00312641774783633
