time	default	CYTOPLASM	compartment_0000004	EmptySet	M	P0	P1	P2	Pn	Pt	rM	rTL	rP01	rP10	rP12	rP21	rP2n	rPn2	rmRNAd	rVd
55.0	9.999999999981058E-16	9.999999999999963E-16	1.0000000000000056E-15	0.0	2.27767780715757	0.9533937653374153	0.4860935265306155	0.29240767288611264	0.388581043379211	2.1204760081333545	7.430585920419081E-16	8.655175667182371E-16	1.0330014523922337E-15	3.089295570429183E-16	9.776251805155641E-16	3.188870770507128E-16	5.55574578483612E-16	5.051553563929772E-16	5.329957890859265E-16	5.641408624151446E-16
56.0	9.999999999980463E-16	9.999999999999961E-16	1.0000000000000058E-15	0.0	2.47814402527683	1.0991961726634705	0.5545451886129258	0.34168213143005155	0.44765623127106163	2.4430797239775095	7.306578072404558E-16	9.416947296033557E-16	1.134948404863378E-15	3.4298919506848533E-16	1.0854088451534345E-15	3.6478278461025255E-16	6.491960497170953E-16	5.819531006523835E-16	5.408716310421568E-16	5.992407835229908E-16
57.0	9.999999999979082E-16	9.999999999999975E-16	1.0000000000000068E-15	0.0	2.6542389591759017	1.251708093340813	0.6282781240117612	0.40036089714983686	0.5222918064842851	2.802638920986696	7.073625418031351E-16	1.008610804484733E-15	1.23180365017801E-15	3.77691929506825E-16	1.1952276250215978E-15	4.1697989834072466E-16	7.606857045846881E-16	6.789793484295752E-16	5.469640524366246E-16	6.335236923290473E-16
58.0	9.999999999979076E-16	9.999999999999981E-16	1.0000000000000074E-15	0.0	2.7939152515987558	1.4060470543140744	0.7056367370239983	0.46737527597311396	0.6104834114680708	3.1895424787792575	6.673118325967189E-16	1.0616877956053057E-15	1.3209889652305846E-15	4.1206789856210703E-16	1.3040123372218575E-15	4.735551179874572E-16	8.880130243489148E-16	7.93628434908498E-16	5.513332234816123E-16	6.653026088313537E-16
59.0	9.999999999979534E-16	9.99999999999998E-16	1.0000000000000064E-15	0.0	2.8795208088042767	1.5536445880267298	0.784255062844712	0.5414045587109053	0.7104219694145825	3.58972617899693	6.057121241524992E-16	1.0942179073433857E-15	1.3990320524558124E-15	4.45046510224754E-16	1.4083750323568167E-15	5.325839965691302E-16	1.028668661550718E-15	9.235485602389632E-16	5.538325199379395E-16	6.937296577588384E-16
60.0	9.99999999997937E-16	9.999999999999971E-16	1.0000000000000058E-15	0.0	2.8913165646936716	1.6814249169451405	0.8606644184702199	0.6204965839168401	0.8198320763065055	3.982417995638706	5.235055642042835E-16	1.0987002945813287E-15	1.461542705776339E-15	4.753615182553087E-16	1.5043086020737617E-15	5.919646945211677E-16	1.1789435094419929E-15	1.0657816991984633E-15	5.541670118963484E-16	7.184329176692114E-16
61.0	9.999999999979437E-16	9.999999999999975E-16	1.0000000000000056E-15	0.0	2.815224720614194	1.7729106793425864	0.9301875301341834	0.7018079350936937	0.9354606160752955	4.340366760645759	4.304055480389579E-16	1.069785393831194E-15	1.5036969215727135E-15	5.015707296879745E-16	1.5872491445821976E-15	6.493873287382237E-16	1.3334350766780146E-15	1.216098800897891E-15	5.519674298459642E-16	7.393121222311473E-16
62.0	9.99999999997918E-16	9.999999999999981E-16	1.000000000000005E-15	0.0	2.6503596191488206	1.8118476572015503	0.987236939067016	0.7814961214681924	1.0527557874681557	4.633336505204914	3.410645411881655E-16	1.007136655274455E-15	1.5210241920584675E-15	5.221662678732995E-16	1.6524248983332259E-15	7.024062656751826E-16	1.4848426307895626E-15	1.3685825237086092E-15	5.46837174389693E-16	7.5641798185021265E-16
63.0	9.999999999978526E-16	9.999999999999977E-16	1.0000000000000046E-15	0.0	2.4099354929859715	1.7869650861464133	1.0259296893810512	0.8547742043228606	1.1657746649493919	4.833443644799717	2.6695103145973193E-16	9.157754873327026E-16	1.5099923409875944E-15	5.356928533106873E-16	1.695230548451542E-15	7.485479963953988E-16	1.6240709882134312E-15	1.5155070644342165E-15	5.383136754119208E-16	7.698666603512764E-16
64.0	9.999999999978526E-16	9.999999999999971E-16	1.0000000000000046E-15	0.0	2.115574478139674	1.6954307825886783	1.040776406608767	0.9160460490716111	1.2672720266825692	4.919525264951626	2.1233993482377195E-16	8.039183016913499E-16	1.4681315450003465E-15	5.407917263722122E-16	1.7113662226968744E-15	7.853494369226887E-16	1.740487493236056E-15	1.6474536346873477E-15	5.257443144073037E-16	7.797561286489433E-16
