time	compartment	z	e	w	ez	v1	v2	v3
16.0	1.0	2.2273901520696035E-5	1.2404024453093605E-6	1.4832504623066635E-6	2.4284801699730303E-7	8.909560608278414E-8	2.757760382928181E-8	1.3113792917854364E-10
17.0	1.0	2.215685805913571E-5	1.301359820594745E-6	1.5722508807295172E-6	2.708910601347722E-7	8.862743223654284E-8	2.877715770615177E-8	1.4628117247277698E-10
18.0	1.0	2.2039110284854247E-5	1.3607045990851683E-6	1.6607971571154603E-6	3.000925580302924E-7	8.815644113941699E-8	2.9925699287160044E-8	1.6204998133635788E-10
19.0	1.0	2.1920711118745866E-5	1.4184855036026486E-6	1.7488871924283918E-6	3.304016888257432E-7	8.768284447498346E-8	3.1024826595949E-8	1.784169119659013E-10
20.0	1.0	2.1801711694849975E-5	1.4747498322867422E-6	1.8365190687183854E-6	3.617692364316429E-7	8.72068467793999E-8	3.207609912589326E-8	1.9535538767308717E-10
21.0	1.0	2.1682161405925677E-5	1.5295434917696277E-6	1.923691042921978E-6	3.941475511523495E-7	8.672864562370271E-8	3.308103788019023E-8	2.1283967762226872E-10
22.0	1.0	2.1562107948757763E-5	1.5829110304037712E-6	2.0104015408230085E-6	4.274905104192364E-7	8.624843179503105E-8	3.4041125503657454E-8	2.3084487562638764E-10
23.0	1.0	2.1441597369108332E-5	1.6348956714540127E-6	2.096649151172845E-6	4.617534797188313E-7	8.576638947643333E-8	3.4957806497074005E-8	2.4934687904816894E-10
24.0	1.0	2.1320674106237437E-5	1.6855393461745322E-6	2.182432619968552E-6	4.968932737940185E-7	8.528269642494975E-8	3.583248750553098E-8	2.6832236784877E-10
25.0	1.0	2.119938103692458E-5	1.73488272669917E-6	2.2677508448873E-6	5.328681181881289E-7	8.479752414769832E-8	3.6666537672854884E-8	2.877487838215896E-10
26.0	1.0	2.1077759518930847E-5	1.7829652586810434E-6	2.3526028698751043E-6	5.696376111940595E-7	8.43110380757234E-8	3.746128905473661E-8	3.076043100447921E-10
27.0	1.0	2.0955849433848796E-5	1.8298251936243383E-6	2.436987879887776E-6	6.071626862634358E-7	8.382339773539519E-8	3.821803708373953E-8	3.2786785058225534E-10
28.0	1.0	2.0833689229293964E-5	1.8754996208575694E-6	2.520905195781807E-6	6.454055749242359E-7	8.333475691717585E-8	3.893804107987117E-8	3.4851901045908735E-10
29.0	1.0	2.0711315960398045E-5	1.9200244991035607E-6	2.604354269352761E-6	6.843297702491987E-7	8.284526384159218E-8	3.9622524800886504E-8	3.695380759345673E-10
30.0	1.0	2.058876533056968E-5	1.963434687606894E-6	2.68733467851861E-6	7.238999909117146E-7	8.235506132227872E-8	4.027267702694727E-8	3.909059950923259E-10
31.0	1.0	2.046607173149393E-5	2.005763976784636E-6	2.769846122645358E-6	7.640821458607205E-7	8.186428692597572E-8	4.088965217469014E-8	4.1260435876478906E-10
32.0	1.0	2.0343268282346447E-5	2.0470451183708298E-6	2.8518884180121955E-6	8.048432996413641E-7	8.137307312938579E-8	4.147457093616074E-8	4.3461538180633663E-10
33.0	1.0	2.0220386868202813E-5	2.087309855029527E-6	2.933461493413359E-6	8.461516383838314E-7	8.088154747281126E-8	4.2028520938448764E-8	4.5692188472726897E-10
34.0	1.0	2.0097458177627444E-5	2.1265889494150713E-6	3.014565385893816E-6	8.879764364787429E-7	8.038983271050978E-8	4.2552557420213546E-8	4.795072756985211E-10
35.0	1.0	1.997451173943031E-5	2.164912212661959E-6	3.0952002366158256E-6	9.302880239538657E-7	7.989804695772124E-8	4.304770392162203E-8	5.023555329350875E-10
36.0	1.0	1.9851575958583002E-5	2.2023085322898747E-6	3.175366286853438E-6	9.730577545635625E-7	7.940630383433201E-8	4.351495298452954E-8	5.254511874643237E-10
37.0	1.0	1.9728678151288717E-5	2.238805899512546E-6	3.2550638741119168E-6	1.0162579745993702E-6	7.891471260515487E-8	4.3955266860023585E-8	5.487793062836599E-10
38.0	1.0	1.9605844579203547E-5	2.2744314359417507E-6	3.3342934283691042E-6	1.059861992427353E-6	7.842337831681419E-8	4.436957822071896E-8	5.723254759107707E-10
39.0	1.0	1.9483100482808895E-5	2.3092114196803363E-6	3.413055468435722E-6	1.103844048755386E-6	7.793240193123558E-8	4.4758790875443144E-8	5.960757863279084E-10
40.0	1.0	1.9360470113937116E-5	2.3431713108003214E-6	3.4913505984316042E-6	1.1481792876312829E-6	7.744188045574846E-8	4.512378048418191E-8	6.200168153208928E-10
41.0	1.0	1.923797676745446E-5	2.3763357762042266E-6	3.5691795043748843E-6	1.1928437281706581E-6	7.695190706981785E-8	4.546539527137193E-8	6.441356132121554E-10
42.0	1.0	1.9115642812107233E-5	2.4087287138695655E-6	3.6465429508811687E-6	1.2378142370116038E-6	7.646257124842893E-8	4.578445673582462E-8	6.68419687986266E-10
43.0	1.0	1.899348972053861E-5	2.4403732764781103E-6	3.7234417779697515E-6	1.2830685014916419E-6	7.597395888215444E-8	4.608176035575087E-8	6.928569908054866E-10
44.0	1.0	1.8871538098485067E-5	2.4712918944329948E-6	3.799876897973964E-6	1.32858500354097E-6	7.548615239394027E-8	4.635807628752599E-8	7.174359019121238E-10
45.0	1.0	1.8749807713162487E-5	2.5015062982680413E-6	3.8758492925527795E-6	1.3743429942847392E-6	7.499923085264995E-8	4.661415005699087E-8	7.421452169137592E-10
46.0	1.0	1.862831752085319E-5	2.5310375404548514E-6	3.951360009800833E-6	1.4203224693459832E-6	7.451327008341276E-8	4.6850703242229614E-8	7.669741334468309E-10
47.0	1.0	1.8507085693706123E-5	2.5599060166142506E-6	4.026410161454068E-6	1.4665041448398182E-6	7.402834277482449E-8	4.7068434146897464E-8	7.919122382135018E-10
48.0	1.0	1.8386129645763085E-5	2.588131486139553E-6	4.101000920188242E-6	1.512869434048689E-6	7.354451858305234E-8	4.726801846329308E-8	8.16949494386292E-10
49.0	1.0	1.826546605822473E-5	2.6157330922399305E-6	4.175133517007609E-6	1.5594004247676777E-6	7.306186423289893E-8	4.7450109924482453E-8	8.42076229374546E-10
50.0	1.0	1.814511090397064E-5	2.6427293814128382E-6	4.248809238721109E-6	1.6060798573082699E-6	7.258044361588255E-8	4.761534094488294E-8	8.672831229464657E-10
51.0	1.0	1.8025079471348126E-5	2.66913832235504E-6	4.322029425503467E-6	1.6528911031484257E-6	7.21003178853925E-8	4.776432324880924E-8	8.925611957001499E-10
52.0	1.0	1.7905386387245003E-5	2.694977324322291E-6	4.394795468538654E-6	1.6998181442163618E-6	7.162154554898001E-8	4.789764848656887E-8	9.179017978768354E-10
53.0	1.0	1.778604563946173E-5	2.7202632549481343E-6	4.467108807743215E-6	1.7468455527950787E-6	7.114418255784692E-8	4.8015888837771266E-8	9.432965985093426E-10
54.0	1.0	1.7667070598398626E-5	2.7450124575326365E-6	4.538970929567017E-6	1.7939584720343785E-6	7.06682823935945E-8	4.811959760158558E-8	9.687375748985645E-10
55.0	1.0	1.7548474038074075E-5	2.7692407678121583E-6	4.6103833648690526E-6	1.8411425970568917E-6	7.01938961522963E-8	4.8209309773746036E-8	9.942170024107215E-10
56.0	1.0	1.7430268156489605E-5	2.792963530221476E-6	4.6813476868659454E-6	1.8883841566444673E-6	6.972107262595842E-8	4.8285542610160845E-8	1.0197274445880124E-9
57.0	1.0	1.7312464595357936E-5	2.8161956136597437E-6	4.751865509150914E-6	1.935669895491168E-6	6.924985838143175E-8	4.8348796177033485E-8	1.0452617435652306E-9
58.0	1.0	1.7195074459210008E-5	2.838951426771892E-6	4.821938483780952E-6	1.9829870570090585E-6	6.878029783684003E-8	4.8399553887451265E-8	1.0708130107848915E-9
59.0	1.0	1.707810833389697E-5	2.8612449327571464E-6	4.891568299430099E-6	2.030323366672951E-6	6.831243333558788E-8	4.843828302443898E-8	1.0963746180033935E-9
60.0	1.0	1.6961576304503047E-5	2.883089663716367E-6	4.960756679606671E-6	2.0776670158903014E-6	6.784630521801219E-8	4.8465435250512225E-8	1.1219401885807628E-9
61.0	1.0	1.6845487972685082E-5	2.9044987345499105E-6	5.029505380932423E-6	2.1250066463825097E-6	6.738195189074033E-8	4.848144710379924E-8	1.1475035890465553E-9
62.0	1.0	1.6729852473454398E-5	2.925484856417689E-6	5.097816191481656E-6	2.1723313350639635E-6	6.691940989381759E-8	4.848674048082943E-8	1.1730589209345402E-9
63.0	1.0	1.6614678491416405E-5	2.946060349773025E-6	5.165690929178317E-6	2.2196305794052904E-6	6.645871396566562E-8	4.8481723106113453E-8	1.198600512878857E-9
64.0	1.0	1.649997427648336E-5	2.9662371569818134E-6	5.2331314402492365E-6	2.266894283267421E-6	6.599989710593344E-8	4.8466788988662896E-8	1.2241229129644073E-9
65.0	1.0	1.638574765907513E-5	2.986026854538401E-6	5.300139597731643E-6	2.3141127431932406E-6	6.554299063630052E-8	4.84423188656175E-8	1.24962088132435E-9
66.0	1.0	1.627200606482301E-5	3.0054406648894445E-6	5.366717300033222E-6	2.3612766351437764E-6	6.508802425929205E-8	4.840868063316655E-8	1.2750893829776392E-9
67.0	1.0	1.6158756528790964E-5	3.0244894678768727E-6	5.432866469542959E-6	2.408377001666085E-6	6.463502611516385E-8	4.836622976496505E-8	1.3005235808996859E-9
68.0	1.0	1.604600570922868E-5	3.0431838118109097E-6	5.498589051291117E-6	2.4554052394802066E-6	6.418402283691473E-8	4.831530971825932E-8	1.3259188293193115E-9
69.0	1.0	1.5933759900870495E-5	3.061533924183935E-6	5.563887011656722E-6	2.502353087472786E-6	6.373503960348198E-8	4.825625232794739E-8	1.3512706672353044E-9
70.0	1.0	1.5822025047793834E-5	3.0795497220357775E-6	5.628762337120975E-6	2.5492126150851956E-6	6.328810019117533E-8	4.818937818880872E-8	1.3765748121460056E-9
71.0	1.0	1.571080675585068E-5	3.0972408219808382E-6	5.693217033065084E-6	2.595976211084243E-6	6.284322702340272E-8	4.811499702614537E-8	1.4018271539854913E-9
72.0	1.0	1.5600110304685206E-5	3.1146165499072278E-6	5.757253122611016E-6	2.6426365727037844E-6	6.240044121874082E-8	4.803340805508303E-8	1.4270237492600436E-9
73.0	1.0	1.5489940659350404E-5	3.131685950357901E-6	5.820872645503752E-6	2.6891866951458486E-6	6.195976263740161E-8	4.794490032878464E-8	1.4521608153787582E-9
74.0	1.0	1.538030248153624E-5	3.14845779560355E-6	5.884077657033661E-6	2.735619861430108E-6	6.152120992614495E-8	4.784975307583308E-8	1.4772347251722584E-9
75.0	1.0	1.5271200140421576E-5	3.1649405944167974E-6	5.946870226997617E-6	2.7819296325808168E-6	6.108480056168631E-8	4.774823602704177E-8	1.502242001593641E-9
76.0	1.0	1.5162637723161813E-5	3.1811426005570168E-6	6.009252438697609E-6	2.8281098381405892E-6	6.065055089264725E-8	4.764060973195337E-8	1.5271793125959183E-9
77.0	1.0	1.5054619045023803E-5	3.197071820974864E-6	6.071226387975537E-6	2.87415456700067E-6	6.021847618009522E-8	4.752712586528697E-8	1.5520434661803619E-9
78.0	1.0	1.494714765917941E-5	3.2127360237453954E-6	6.132794182282999E-6	2.9200581585376E-6	5.978859063671765E-8	4.740802752359445E-8	1.576831405610304E-9
79.0	1.0	1.4840226866168672E-5	3.2281427457384188E-6	6.193957939784879E-6	2.9658151940464567E-6	5.936090746467469E-8	4.728354951238503E-8	1.6015402047850867E-9
80.0	1.0	1.4733859723043288E-5	3.2432993000344873E-6	6.254719788495605E-6	3.011420488461115E-6	5.893543889217315E-8	4.715391862397578E-8	1.626167063769002E-9
81.0	1.0	1.4628049052200842E-5	3.258212783094736E-6	6.315081865446953E-6	3.0568690823522134E-6	5.851219620880337E-8	4.7019353906323655E-8	1.6507093044701952E-9
82.0	1.0	1.452279744991986E-5	3.2728900816925315E-6	6.375046315886342E-6	3.102156234193806E-6	5.809118979967944E-8	4.6880066923091604E-8	1.6751643664646554E-9
83.0	1.0	1.441810729460552E-5	3.2873378796146784E-6	6.434615292504585E-6	3.147277412889903E-6	5.767242917842209E-8	4.673626200519856E-8	1.6995298029605476E-9
84.0	1.0	1.4313980754755549E-5	3.3015626641397134E-6	6.493790954692088E-6	3.1922282905523714E-6	5.7255923019022195E-8	4.6588136494099316E-8	1.7238032768982807E-9
85.0	1.0	1.4210419796655548E-5	3.315570732300614E-6	6.552575467822539E-6	3.237004735521922E-6	5.684167918662219E-8	4.643588097703677E-8	1.7479825571818379E-9
86.0	1.0	1.4107426191812735E-5	3.3293681969390064E-6	6.610971002563143E-6	3.2816028056241324E-6	5.642970476725094E-8	4.627967951450461E-8	1.7720655150370315E-9
87.0	1.0	1.4005001524136785E-5	3.3429609925577784E-6	6.668979734210503E-6	3.3260187416527216E-6	5.602000609654714E-8	4.6119709860154436E-8	1.7960501204924698E-9
88.0	1.0	1.3903147196876223E-5	3.356354880978777E-6	6.726603842051283E-6	3.370248961072502E-6	5.561258878750489E-8	4.595614367337669E-8	1.8199344389791512E-9
89.0	1.0	1.3801864439318531E-5	3.3695554568120815E-6	6.783845508746781E-6	3.414290051934695E-6	5.5207457757274126E-8	4.5789146724780094E-8	1.8437166280447353E-9
90.0	1.0	1.3701154313261889E-5	3.382568152743138E-6	6.840706919740631E-6	3.4581387669974874E-6	5.480461725304756E-8	4.5618879094789476E-8	1.867394934178643E-9
91.0	1.0	1.3601017719266229E-5	3.395398244643846E-6	6.897190262688815E-6	3.501792018044964E-6	5.4404070877064915E-8	4.5445495365576955E-8	1.8909676897442804E-9
92.0	1.0	1.350145540269103E-5	3.4080508565135015E-6	6.953297726911242E-6	3.5452468703977353E-6	5.400582161076412E-8	4.526914480653648E-8	1.914433310014777E-9
93.0	1.0	1.340246795952705E-5	3.420530965255322E-6	7.0090315028641424E-6	3.5885005376088157E-6	5.36098718381082E-8	4.508997155350674E-8	1.9377902903087605E-9
94.0	1.0	1.3304055842028933E-5	3.432843405294082E-6	7.06439378163258E-6	3.6315503763384948E-6	5.3216223368115734E-8	4.490811478194214E-8	1.961037203222787E-9
95.0	1.0	1.3206219364155467E-5	3.4449928730402264E-6	7.119386754442385E-6	3.674393881402156E-6	5.282487745662187E-8	4.4723708874226963E-8	1.9841726959571645E-9
96.0	1.0	1.3108958706823974E-5	3.456983931205647E-6	7.174012612190842E-6	3.717028680985193E-6	5.2435834827295896E-8	4.453688358132194E-8	2.007195487732004E-9
97.0	1.0	1.3012273922985162E-5	3.468821012976147E-6	7.228273544995498E-6	3.7594525320193496E-6	5.204909569194065E-8	4.434776417892843E-8	2.030104367290449E-9
98.0	1.0	1.2916164942524525E-5	3.4805084260454486E-6	7.282171741760466E-6	3.8016633157150165E-6	5.1664659770098096E-8	4.415647161834928E-8	2.052898190486109E-9
99.0	1.0	1.28206315769962E-5	3.4920503565154406E-6	7.335709389759624E-6	3.843659033244183E-6	5.12825263079848E-8	4.3963122672221415E-8	2.075575877951859E-9
100.0	1.0	1.2725673524194962E-5	3.503450872667218E-6	7.3888886742361315E-6	3.885437801568913E-6	5.090269409677985E-8	4.376783007528948E-8	2.0981364128472135E-9
