time	compartment	Enz	Ts	Tt	To	Tomax	Tex	e_val	f_val	Ts_norm	To_norm	Tt_norm	Enz_norm	Enzyme_synthesis	Enzyme_dilution	tryptophan_synthesis	tryptophan_consumption	tryptophan_dilution
10.0	1.0	0.144810013487749	0.033175561172150723	13.494555818160551	13.4613802569884	100.0	0.14	0.9	380.0	4.04580014294521E-4	0.1641631738657122	0.16456775388000672	0.144810013487749	0.015183314578457473	0.00144810013487749	3.560925512389707	3.5569294875265256	3.3175561172150725E-4
11.0	1.0	0.15847310013763044	0.03688572729509409	13.49824829181736	13.461362564522267	100.0	0.14	0.9	380.0	4.4982594262309866E-4	0.16416295810393008	0.16461278404655316	0.15847310013763044	0.01517590513371936	0.0015847310013763045	3.8968878008467076	3.892776457690998	3.6885727295094087E-4
12.0	1.0	0.17199278868583046	0.04067495119394425	13.502019446299592	13.461344495105648	100.0	0.14	0.9	380.0	4.960359901700519E-4	0.16416273774519083	0.16465877373536086	0.17199278868583046	0.015168343343868995	0.0017199278868583047	4.229320497877884	4.225091871023894	4.0674951193944253E-4
13.0	1.0	0.1853703523392819	0.044545472400173015	13.505871510462297	13.461326038062124	100.0	0.14	0.9	380.0	5.432374682947928E-4	0.16416251265929419	0.16470575012758898	0.1853703523392819	0.015160625089442893	0.001853703523392819	4.558254852494721	4.553904838532343	4.4545472400173017E-4
14.0	1.0	0.1986070474214468	0.04849966980399578	13.509806851854897	13.461307182050902	100.0	0.14	0.9	380.0	5.914593878536071E-4	0.16416228270793784	0.16475374209579144	0.1986070474214468	0.015152745993778102	0.001986070474214468	4.883721695627356	4.879248918343626	4.8499669803995783E-4
15.0	1.0	0.2117041133932993	0.052539935459527724	13.513827851128152	13.461287915668624	100.0	0.14	0.9	380.0	6.40730920238143E-4	0.1641620477520564	0.16480277867229454	0.2117041133932993	0.015144701675912508	0.0021170411339329932	5.205751441236638	5.201151192575225	5.253993545952773E-4
16.0	1.0	0.22466277287093467	0.05666879119717413	13.517937018090453	13.46126822689328	100.0	0.14	0.9	380.0	6.910828194777333E-4	0.16416180764504	0.16485289046451773	0.22466277287093467	0.015136487519496354	0.002246627728709347	5.524374086021259	5.519641766033887	5.666879119717413E-4
17.0	1.0	0.23748423163398813	0.060888890100772294	13.52213699317797	13.461248103077198	100.0	0.14	0.9	380.0	7.425474402533206E-4	0.16416156223264874	0.16490410967290206	0.23748423163398813	0.015128098671646538	0.002374842316339881	5.839619209444637	5.834753070287224	6.08888901007723E-4
18.0	1.0	0.2501696786263096	0.06520295397105012	13.526430485216306	13.461227531245255	100.0	0.14	0.9	380.0	7.951579752567088E-4	0.16416131135664946	0.16495646933190616	0.2501696786263096	0.015119530168988404	0.002501696786263096	6.15151597405071	6.146514678166796	6.520295397105013E-4
19.0	1.0	0.2627202859610056	0.06961366930401656	13.530820167894941	13.461206498590924	100.0	0.14	0.9	380.0	8.489471866343483E-4	0.16416105486086494	0.16501000204749927	0.2627202859610056	0.01511077714543675	0.0026272028596100562	6.460093126357732	6.454946209118216	6.961366930401657E-4
