time	cell	agonist	DR	DRG_GDP	DRG	GDP	DRG_GTP	GTP	Recptor	G_GDP	G_GTP	Forming	reaction_1	reaction_2	reaction_3	reaction_4	reaction_5
18.0	1.0	9.852699869643296E-9	7.953910748387417E-11	3.5708211194717987E-11	6.767181244519558E-14	4.3905890792524083E-11	3.198513986566115E-11	9.99995616178102E-6	8.526998696433018E-10	9.245855459855489E-10	7.653431141627338E-12	2.2374257304599895E-12	3.7832497925463086E-12	3.570820822352678E-12	3.5686375918361145E-12	1.5992569932830574E-12	7.653431141627338E-13
19.0	1.0	9.85053377699895E-9	7.958892467282077E-11	3.589186951735577E-11	6.978734408170984E-14	4.7486352934991886E-11	3.3915641466785046E-11	9.99995258343441E-6	8.50533776998957E-10	9.216286959295159E-10	8.494005742262128E-12	2.0965961576232117E-12	3.7459567339288505E-12	3.589186620340932E-12	3.587137170730699E-12	1.6957820733392524E-12	8.494005742262129E-13
20.0	1.0	9.84850317276597E-9	7.963234947363374E-11	3.6025229316840104E-11	7.17738167659596E-14	5.1082580296002346E-11	3.576747462678326E-11	9.999948989193521E-6	8.485031727659773E-10	9.187909758139239E-10	9.344546425687292E-12	1.9662562086217273E-12	3.714025476239523E-12	3.602522565044835E-12	3.6005976015148614E-12	1.7883737313391632E-12	9.344546425687293E-13
21.0	1.0	9.846598119753958E-9	7.967045483417556E-11	3.611774459583703E-11	7.364009419875307E-14	5.4690030714864315E-11	3.7540040721823126E-11	9.99994538360938E-6	8.465981197539658E-10	9.160682312360234E-10	1.0200343352118067E-11	1.8453298536953996E-12	3.686582804587567E-12	3.6117740568458017E-12	3.6099651281314936E-12	1.8770020360911565E-12	1.0200343352118067E-12
22.0	1.0	9.844809675465784E-9	7.970410858169821E-11	3.617721245027109E-11	7.539425026075499E-14	5.830502199865935E-11	3.923360925197785E-11	9.999941770372252E-6	8.448096754657923E-10	9.134566558356306E-10	1.1057128211860116E-11	1.7328980439146012E-12	3.6629036031126945E-12	3.6177208054407673E-12	3.6160201990864447E-12	1.9616804625988926E-12	1.1057128211860117E-12
23.0	1.0	9.843129750834495E-9	7.973401788641687E-11	3.621005931612808E-11	7.704366586876649E-14	6.19245809854428E-11	4.084912829708436E-11	9.99993815246268E-6	8.431297508345022E-10	9.109526999390816E-10	1.1911068781837714E-11	1.6281687280553794E-12	3.642385955449439E-12	3.6210054545231354E-12	3.6194061075582126E-12	2.042456414854218E-12	1.1911068781837715E-12
24.0	1.0	9.841550995048246E-9	7.976076196896269E-11	3.622157820079178E-11	7.859511149276799E-14	6.554631870861878E-11	4.2388069670500376E-11	9.999934532276406E-6	8.415509950482526E-10	9.085530011708011E-10	1.275875584641449E-11	1.5304541790235113E-12	3.6245301461779164E-12	3.6221573049171554E-12	3.62065272779641E-12	2.1194034835250187E-12	1.275875584641449E-12
25.0	1.0	9.840066700406166E-9	7.978481701020016E-11	3.621612505915207E-11	8.005481743181858E-14	6.916832717955257E-11	4.385230270704432E-11	9.999930911727641E-6	8.400667004061719E-10	9.062543327072734E-10	1.3597184709098842E-11	1.4391533188341944E-12	3.6089211040598785E-12	3.6216119521894266E-12	3.6201961639871214E-12	2.1926151353522163E-12	1.3597184709098842E-12
26.0	1.0	9.838670722963115E-9	7.980657561048884E-11	3.619728124083385E-11	8.142853374422854E-14	7.278909405898998E-11	4.5243991651811964E-11	9.999927292334478E-6	8.386707229631214E-10	9.040535655266887E-10	1.4423733046921815E-11	1.3537376358734399E-12	3.595213799230385E-12	3.619727531372465E-12	3.618395004455704E-12	2.2621995825905982E-12	1.4423733046921815E-12
27.0	1.0	9.837357415852485E-9	7.98263622609111E-11	3.6167987823055144E-11	8.272158148121491E-14	7.640743212371529E-11	4.656551248206179E-11	9.99992367528946E-6	8.37357415852491E-10	9.019476416387887E-10	1.5236136474613594E-11	1.2737397923223354E-12	3.5831211358777224E-12	3.616798150251152E-12	3.615543762907692E-12	2.3282756241030896E-12	1.5236136474613596E-12
28.0	1.0	9.836121572920383E-9	7.984444578858074E-11	3.613065667806321E-11	8.393889662951241E-14	8.002242096682157E-11	4.781938571633985E-11	9.999920061517931E-6	8.361215729203869E-10	8.999335558336943E-10	1.6032462875273628E-11	1.198744310641338E-12	3.5724039334024896E-12	3.613064996106949E-12	3.611883991837424E-12	2.3909692858169926E-12	1.603246287527363E-12
29.0	1.0	9.834958380821052E-9	7.986104944358619E-11	3.608726230266667E-11	8.508506794644696E-14	8.363335881264193E-11	4.9008222364747374E-11	9.999916451726256E-6	8.349583808210535E-10	8.980083439599841E-10	1.68110863046558E-11	1.1283799036708842E-12	3.562862645507457E-12	3.608725518671665E-12	3.6076134710644756E-12	2.450411118237369E-12	1.68110863046558E-12
30.0	1.0	9.833863378099134E-9	7.987635911311012E-11	3.603941774691754E-11	8.616436967712566E-14	8.723972269460376E-11	5.01346806711566E-11	9.999912846441676E-6	8.338633780991388E-10	8.961690761359047E-10	1.7570661076344422E-11	1.062313124580701E-12	3.5543305204578113E-12	3.6039410229961823E-12	3.602893805282725E-12	2.50673403355783E-12	1.7570661076344423E-12
31.0	1.0	9.832832420068433E-9	7.989053002957122E-11	3.5988437402787734E-11	8.718078997795958E-14	9.084113554828978E-11	5.120143170922864E-11	9.999909246045243E-6	8.328324200684345E-10	8.944128536222314E-10	1.8310096475774714E-11	1.0002430878791653E-12	3.5466679538353634E-12	3.598842948318578E-12	3.597856706858401E-12	2.560071585461432E-12	1.8310096475774716E-12
32.0	1.0	9.831861648517618E-9	7.990369225793788E-11	3.593538893492826E-11	8.813805573142782E-14	9.443733902339875E-11	5.2211132233782845E-11	9.999905650799036E-6	8.318616485176196E-10	8.927368083508864E-10	1.90285324246716E-11	9.418970656961917E-13	3.539757826687464E-12	3.5935380611404816E-12	3.59260919221317E-12	2.6105566116891423E-12	1.90285324246716E-12
33.0	1.0	9.830947465448835E-9	7.991595518833475E-11	3.5881136238883854E-11	8.903965432062153E-14	9.802817102605311E-11	5.3166403469625305E-11	9.99990206086863E-6	8.309474654488354E-10	8.91138104319354E-10	1.972531631781675E-11	8.870268027094356E-13	3.5335016572519223E-12	3.588112751048939E-12	3.5872378804356065E-12	2.6583201734812653E-12	1.972531631781675E-12
34.0	1.0	9.830086510195963E-9	7.992741121568031E-11	3.582637498394605E-11	8.988885283536573E-14	1.0161354717451416E-10	5.406981475157478E-11	9.99989847634168E-6	8.300865101959634E-10	8.8961394023564E-10	2.0399981176004254E-11	8.354054230247575E-13	3.5278164240469597E-12	3.5826365850020864E-12	3.5818125499272743E-12	2.703490737578739E-12	2.0399981176004255E-12
35.0	1.0	9.82927563938397E-9	7.993813875370772E-11	3.5771662026602716E-11	9.068871510153433E-14	1.0519344549309519E-10	5.492387112061656E-11	9.999894897243223E-6	8.292756393839713E-10	8.881615529392436E-10	2.1052225198436085E-11	7.868248258033051E-13	3.522631942796307E-12	3.577165248674431E-12	3.5763890817521188E-12	2.746193556030828E-12	2.1052225198436085E-12
36.0	1.0	9.828511909284199E-9	7.994820470350313E-11	3.5717439756532236E-11	9.144211685882749E-14	1.087678937861049E-10	5.5731004138906426E-11	9.999891323548332E-6	8.285119092841991E-10	8.867782212364711E-10	2.1681892751231874E-11	7.41093485166141E-13	3.5178887001489536E-12	3.571742981056578E-12	3.571011895944173E-12	2.7865502069453216E-12	2.1681892751231876E-12
37.0	1.0	9.827792560197095E-9	7.99576664748399E-11	3.566405625214296E-11	9.215175935744572E-14	1.1233695923030831E-10	5.649356531656268E-11	9.99988775519253E-6	8.277925601970967E-10	8.85461269878534E-10	2.2288956793403354E-11	6.980345850377093E-13	3.5135360641193064E-12	3.5664045900094524E-12	3.5657159685234327E-12	2.824678265828134E-12	2.2288956793403357E-12
38.0	1.0	9.827115002556904E-9	7.996657364086824E-11	3.561178196999277E-11	9.282018159879405E-14	1.1590073980421803E-10	5.721382165063602E-11	9.99988419208038E-6	8.271150025569038E-10	8.84208073482463E-10	2.287350271530973E-11	6.574844319000873E-13	3.509530805199284E-12	3.5611771212065056E-12	3.5605285016945036E-12	2.860691082531801E-12	2.287350271530973E-12
39.0	1.0	9.826476804504594E-9	7.997496929226921E-11	3.5560823566416075E-11	9.344977140793567E-14	1.194593572384621E-10	5.78939528653123E-11	9.999880634092536E-6	8.264768045045941E-10	8.830160602514377E-10	2.3435713545426364E-11	6.192910984927555E-13	3.5058358736773196E-12	3.556081240296645E-12	3.5554703070946717E-12	2.8946976432656153E-12	2.3435713545426367E-12
40.0	1.0	9.825875680718107E-9	7.99828911451515E-11	3.551133534568325E-11	9.404277549461314E-14	1.230129512259434E-10	5.853605001556234E-11	9.999877081091552E-6	8.25875680718108E-10	8.818827153955271E-10	2.3975856467733064E-11	5.833132597470998E-13	3.5024193882587815E-12	3.5511323777203896E-12	3.5505569515519694E-12	2.926802500778117E-12	2.3975856467733066E-12
41.0	1.0	9.82530948232411E-9	7.999037244726226E-11	3.546342874317621E-11	9.460130863412708E-14	1.2656167467550913E-10	5.914211517681545E-11	9.999873532926634E-6	8.253094823241117E-10	8.808055841884232E-10	2.449427058295141E-11	5.494191890243487E-13	3.4992537989684176E-12	3.546341677027616E-12	3.5457997062247663E-12	2.9571057588407728E-12	2.449427058295141E-12
42.0	1.0	9.824776187744568E-9	7.999744271910913E-11	3.541718018120539E-11	9.512736207826562E-14	1.3010568983004402E-10	5.9714061993035E-11	9.999869989437532E-6	8.247761877445718E-10	8.797822746224255E-10	2.499135584125619E-11	5.174858883034994E-13	3.4963151938189634E-12	3.5417167804594326E-12	3.541206332904563E-12	2.98570309965175E-12	2.499135584125619E-12
43.0	1.0	9.824273894355418E-9	8.000412836003309E-11	3.53726375765991E-11	9.562281128903484E-14	1.336451651006443E-10	6.025371689665754E-11	9.99986645045771E-6	8.242738943554207E-10	8.788104596442873E-10	2.5467563071167314E-11	4.873983305566306E-13	3.493582724092213E-12	3.53726247970727E-12	3.5367817354109283E-12	3.012685844832877E-12	2.5467563071167314E-12
44.0	1.0	9.823800810854392E-9	8.001045314388066E-11	3.532982573090069E-11	9.608942307350684E-14	1.371802724939536E-10	6.076282084774797E-11	9.999862915816929E-6	8.238008108543967E-10	8.77887878969815E-10	2.5923385028463012E-11	4.590487963293063E-13	3.491038127499447E-12	3.532981254932745E-12	3.5325284991752472E-12	3.0381410423873987E-12	2.5923385028463012E-12
45.0	1.0	9.823355250251517E-9	8.001643862449016E-11	3.5288750794129316E-11	9.652886218615003E-14	1.407111855307669E-10	6.124303146767144E-11	9.999859385343331E-6	8.233552502515225E-10	8.770123404863768E-10	2.635934838963649E-11	4.323362896571469E-13	3.488665332131932E-12	3.528873721143868E-12	3.5284473381197106E-12	3.062151573383572E-12	2.635934838963649E-12
46.0	1.0	9.822935623409224E-9	8.002210446756008E-11	3.5249403960123354E-11	9.694269745509873E-14	1.4423807757140634E-10	6.169592546563117E-11	9.999855858865124E-6	8.229356234092297E-10	8.761817212605485E-10	2.677600661624216E-11	4.071660210149636E-13	3.4864501271154866E-12	3.524938997729504E-12	3.5245374646424644E-12	3.0847962732815587E-12	2.677600661624216E-12
47.0	1.0	9.822540433070344E-9	8.002746872247138E-11	3.521176452427807E-11	9.733240748059517E-14	1.4776112047777158E-10	6.212300127542034E-11	9.999852336211926E-6	8.225404330703491E-10	8.753939681736973E-10	2.7173933619124045E-11	3.8344894710778737E-13	3.4843798883582593E-12	3.5211750142332484E-12	3.520796895797575E-12	3.1061500637710172E-12	2.717393361912405E-12
48.0	1.0	9.822168268321473E-9	8.003254804517244E-11	3.517580241200849E-11	9.769938594700227E-14	1.512804835538885E-10	6.252568183539313E-11	9.999848817215829E-6	8.221682683214785E-10	8.746470982119181E-10	2.7553718154733697E-11	3.611013590539863E-13	3.4824433498207496E-12	3.5175787631998147E-12	3.5172227065091204E-12	3.1262840917696565E-12	2.75537181547337E-12
49.0	1.0	9.821817799446949E-9	8.003735788121307E-11	3.514148026769022E-11	9.804494658409335E-14	1.547963327166555E-10	6.29053174575583E-11	9.999845301712226E-6	8.21817799446954E-10	8.739391984388371E-10	2.7915958889330623E-11	3.400445119455402E-13	3.480630412417948E-12	3.514146509069205E-12	3.5138112387998896E-12	3.145265872877915E-12	2.7915958889330625E-12
50.0	1.0	9.821487773135044E-9	8.004191261635292E-11	3.5108755178471876E-11	9.837032780857742E-14	1.5830882985667013E-10	6.326318874231712E-11	9.999841789540468E-6	8.214877731350492E-10	8.732684256807438E-10	2.8261260070659004E-11	3.2020428995264125E-13	3.4789319840486304E-12	3.510873960558039E-12	3.510558274478362E-12	3.163159437115856E-12	2.8261260070659007E-12
51.0	1.0	9.821177008003355E-9	8.004622570080813E-11	3.507758009465227E-11	9.867669707284746E-14	1.6181813235580223E-10	6.360050950410433E-11	9.999838280544338E-6	8.211770080033621E-10	8.726330059535788E-10	2.859022775059223E-11	3.01510902113968E-13	3.477339845388255E-12	3.5077564126973443E-12	3.5074591774569417E-12	3.1800254752052167E-12	2.8590227750592234E-12
52.0	1.0	9.820884390414784E-9	8.005030975208122E-11	3.504790499780989E-11	9.896515494461039E-14	1.6532439273380896E-10	6.391842968037381E-11	9.99983477457242E-6	8.208843904147901E-10	8.720312336607317E-10	2.8903466506140458E-11	2.838986047582204E-13	3.47584653702212E-12	3.5047888636455747E-12	3.5045090108232457E-12	3.195921484018691E-12	2.890346650614046E-12
53.0	1.0	9.820608870559201E-9	8.005417664040608E-11	3.5019677859177594E-11	9.923673893825736E-14	1.6882775840095614E-10	6.421803820226915E-11	9.999831271478336E-6	8.206088705592087E-10	8.714614705895572E-10	2.920157661005833E-11	2.673054471636201E-13	3.474445264270687E-12	3.501966110526141E-12	3.501702632916263E-12	3.2109019101134574E-12	2.920157661005833E-12
54.0	1.0	9.820349458779072E-9	8.005783756008756E-11	3.499284542355909E-11	9.949242711647072E-14	1.7232837149748913E-10	6.450036581015806E-11	9.999827771120929E-6	8.203494587790786E-10	8.709221447331462E-10	2.9485151606020575E-11	2.5167303761035996E-13	3.4731298166970204E-12	3.4992828278191148E-12	3.4990347759392808E-12	3.225018290507903E-12	2.9485151606020576E-12
55.0	1.0	9.820105222119812E-9	8.006130308940432E-11	3.496735384812246E-11	9.973314147856366E-14	1.758263688040191E-10	6.476638780117314E-11	9.999824273364337E-6	8.201052221198213E-10	8.704117489623089E-10	2.975477624691732E-11	2.369463274307716E-13	3.471894499812746E-12	3.496733631240635E-12	3.496500110044891E-12	3.238319390058657E-12	2.9754776246917322E-12
56.0	1.0	9.819875281087992E-9	8.006458324124003E-11	3.494314922046716E-11	9.995975115034553E-14	1.793218817095693E-10	6.501702669914041E-11	9.999820778078043E-6	8.198752810880018E-10	8.699288395710082E-10	3.001102475823418E-11	2.2307341103567234E-13	3.4707340769321166E-12	3.4943131295496493E-12	3.4940932953333168E-12	3.2508513349570206E-12	3.0011024758234183E-12
57.0	1.0	9.819658806602215E-9	8.006768750619999E-11	3.4920177976266275E-11	1.0017307538885241E-13	1.8281503622625406E-10	6.525315483992052E-11	9.99981728513685E-6	8.196588066022241E-10	8.694720347167143E-10	3.0254459391710314E-11	2.1000534020296004E-13	3.4696437194811474E-12	3.492015966312187E-12	3.4918090237955795E-12	3.262657741996026E-12	3.0254459391710315E-12
58.0	1.0	9.819455017123216E-9	8.007062488963469E-11	3.489838723338945E-11	1.0037388641403384E-13	1.8630595304141906E-10	6.547559686733667E-11	9.999813794420847E-6	8.19455017123225E-10	8.690400127753585E-10	3.04856292375016E-11	1.9769595116986557E-13	3.4686189643629622E-12	3.4898368533136886E-12	3.4896420528932007E-12	3.2737798433668335E-12	3.0485629237501605E-12
59.0	1.0	9.819263175950992E-9	8.007340394372098E-11	3.487772505659298E-11	1.005629120784085E-13	1.897947475996165E-10	6.568513213660605E-11	9.999810305815314E-6	8.192631759510015E-10	8.686315106288091E-10	3.070506926591381E-11	1.8610170328114433E-13	3.4676556772232217E-12	3.487770597028047E-12	3.4875872321840803E-12	3.2842566068303026E-12	3.070506926591381E-12
60.0	1.0	9.819082588677957E-9	8.007603279552798E-11	3.4858140664522384E-11	1.00740838384766E-13	1.932815302080765E-10	6.588249702359795E-11	9.999806819210632E-6	8.190825886779668E-10	8.682453219010827E-10	3.0913299572412536E-11	1.75181528121472E-13	3.4667500206592465E-12	3.485812119317899E-12	3.4856395241699984E-12	3.2941248511798977E-12	3.0913299572412537E-12
61.0	1.0	9.818912600788113E-9	8.007851917181595E-11	3.483958458882743E-11	1.0090831186117535E-13	1.9676640616041058E-10	6.606838713937201E-11	9.999803334502152E-6	8.189126007881232E-10	8.678802951578723E-10	3.1110824802067526E-11	1.6489668820536932E-13	3.4658984265813523E-12	3.4839564733461554E-12	3.48379402034644E-12	3.303419356968601E-12	3.111082480206753E-12
62.0	1.0	9.818752595393098E-9	8.008087042116942E-11	3.482200879357119E-11	1.0106594180184185E-13	2.0024947587417985E-10	6.624345945035048E-11	9.999799851590069E-6	8.187525953931069E-10	8.675353320824226E-10	3.129813373185431E-11	1.552106444198029E-13	3.4650975720707475E-12	3.482198855516932E-12	3.4820459532736397E-12	3.312172972517524E-12	3.129813373185431E-12
63.0	1.0	9.818601991096702E-9	8.008309353394717E-11	3.48053667617683E-11	1.0121430238172202E-13	2.0373083503870926E-10	6.640833430519249E-11	9.999796370379265E-6	8.186019910967102E-10	8.672093856393337E-10	3.14756989913243E-11	1.46088931515835E-13	3.4643443581903327E-12	3.480534614129396E-12	3.4803907053528843E-12	3.3204167152596246E-12	3.14756989913243E-12
64.0	1.0	9.818460239980142E-9	8.008519516043573E-11	3.478961355476579E-11	1.0135393465224011E-13	2.0721057477015453E-10	6.656359736999611E-11	9.999792890779167E-6	8.184602399801502E-10	8.669014582365123E-10	3.164397690407403E-11	1.3749904103068799E-13	3.463635891297162E-12	3.4789592553158737E-12	3.4788238148800584E-12	3.3281798684998055E-12	3.1643976904074033E-12
65.0	1.0	9.81832682570092E-9	8.008718162751547E-11	3.47747058492447E-11	1.0148534842494597E-13	2.1068878177135245E-10	6.67098014738852E-11	9.99978941270358E-6	8.183268257009296E-10	8.666105998942415E-10	3.180340743420413E-11	1.2941031109286292E-13	3.4629694664815553E-12	3.4774684467420276E-12	3.4773409798545675E-12	3.33549007369426E-12	3.1803407434204133E-12
66.0	1.0	9.818201261698651E-9	8.008905895408607E-11	3.476060195584058E-11	1.0160902404950127E-13	2.141655384944219E-10	6.68474683673649E-11	9.999785936070533E-6	8.182012616986589E-10	8.663359064291759E-10	3.1954414223569664E-11	1.2179382262297314E-13	3.4623425528207277E-12	3.476058019468923E-12	3.475938059944063E-12	3.342373418368245E-12	3.1954414223569665E-12
67.0	1.0	9.818083089501654E-9	8.009083286544773E-11	3.474726182272916E-11	1.0172541409196792E-13	2.176409233044504E-10	6.697709039607083E-11	9.999782460802111E-6	8.180830895016604E-10	8.660765176600148E-10	3.2097404707093754E-11	1.1462230149374226E-13	3.461752780186807E-12	3.4747239683116113E-12	3.474611076939845E-12	3.3488545198035415E-12	3.2097404707093757E-12
68.0	1.0	9.817971877128595E-9	8.00925088067936E-11	3.473464702697926E-11	1.0183494491900078E-13	2.2111501064290593E-10	6.709913209270769E-11	9.999778986824304E-6	8.179718771286005E-10	8.658316156406373E-10	3.2232770294757285E-11	1.0787002625663037E-13	3.461197927391882E-12	3.4734624509744327E-12	3.473356213983576E-12	3.3549566046353846E-12	3.2232770294757288E-12
69.0	1.0	9.817867217579755E-9	8.009409195593805E-11	3.4722720756018733E-11	1.0193801819320412E-13	2.2458787118967258E-10	6.721403169008813E-11	9.999775514066829E-6	8.178672175797619E-10	8.656004229256035E-10	3.2360886610096877E-11	1.015127410785348E-13	3.4606759114883426E-12	3.4722697861976235E-12	3.4721698138002023E-12	3.3607015845044067E-12	3.2360886610096877E-12
70.0	1.0	9.817768727412904E-9	8.00955872353784E-11	3.471144778117796E-11	1.0203501228459691E-13	2.2805957202282145E-10	6.732220255824965E-11	9.99977204246299E-6	8.177687274129095E-10	8.653822008721369E-10	3.2482113776151316E-11	9.55275735643496E-14	3.4601847780720024E-12	3.4711424511116733E-12	3.4710483761338333E-12	3.366110127912483E-12	3.248211377615132E-12
71.0	1.0	9.81767604539901E-9	8.009699932376766E-11	3.470079442495545E-11	1.0212628360284327E-13	2.3153017677540976E-10	6.742403456865833E-11	9.999768571949507E-6	8.176760453990159E-10	8.651762479819824E-10	3.259679674080142E-11	8.98929571687295E-14	3.4597226924597237E-12	3.470077077963896E-12	3.469988554551312E-12	3.3712017284329165E-12	3.259679674080142E-12
72.0	1.0	9.81758883125339E-9	8.00983326668601E-11	3.469072852338125E-11	1.0221216785463481E-13	2.3499974578875116E-10	6.751989538850845E-11	9.99976510246638E-6	8.175888312533957E-10	8.649818982858982E-10	3.2705265634357926E-11	8.458855792419854E-14	3.4592879316334775E-12	3.469070450354779E-12	3.4689871527512856E-12	3.3759947694254226E-12	3.2705265634357927E-12
