time	BZ	Br	BrO3	Ce	HBrO2	HOBr	f	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5
24.0	1.0	0.0012562078911523007	0.06	2.4126781902859715E-8	5.026200036285394E-11	0.0	1.0	1.0099911444864498E-4	1.0102323436946707E-4	2.4125760174169892E-8	1.0105074721902119E-13	2.4126781902859715E-8
25.0	1.0	0.0010696104801060909	0.06	2.4126496263878338E-8	5.0264094455998985E-11	0.0	1.0	8.59966826005297E-5	8.602080352508636E-5	2.412676533887951E-8	1.0105916765926351E-13	2.4126496263878338E-8
26.0	1.0	9.107302909662262E-4	0.06	2.412709128609945E-8	5.0266554093828654E-11	0.0	1.0	7.322271539368458E-5	7.324683749718739E-5	2.4127945965037754E-8	1.0106905841871208E-13	2.412709128609945E-8
27.0	1.0	7.754502015597989E-4	0.06	2.4128131338290376E-8	5.0269443131404955E-11	0.0	1.0	6.234619620540784E-5	6.237031969367491E-5	2.4129332703074378E-8	1.0108067650966227E-13	2.4128131338290376E-8
28.0	1.0	6.602646477250872E-4	0.06	2.4129478047470037E-8	5.027283659561186E-11	0.0	1.0	5.308527767709701E-5	5.310940279190806E-5	2.413096156589369E-8	1.0109432397476364E-13	2.4129478047470037E-8
29.0	1.0	5.62188782511064E-4	0.06	2.4131105758713328E-8	5.027682264630413E-11	0.0	1.0	4.519997811388955E-5	4.5224105139280656E-5	2.4132874870225985E-8	1.0111035581631679E-13	2.4131105758713328E-8
30.0	1.0	4.786811287832632E-4	0.06	2.4133034533652663E-8	5.028150488421929E-11	0.0	1.0	3.848596275417436E-5	3.85100920238388E-5	2.413512234442526E-8	1.0112918933687074E-13	2.4133034533652663E-8
31.0	1.0	4.075777209900945E-4	0.06	2.4135306358090566E-8	5.0287005067912153E-11	0.0	1.0	3.27692487676036E-5	3.279338067359515E-5	2.4137762432597833E-8	1.0115131514800891E-13	2.4135306358090566E-8
32.0	1.0	3.470360295118854E-4	0.06	2.4137977328348438E-8	5.0293466313504443E-11	0.0	1.0	2.7901696772755584E-5	2.7925831775725347E-5	2.4140863830482132E-8	1.0117731015310425E-13	2.4137977328348438E-8
33.0	1.0	2.9548721449462685E-4	0.06	2.414111585775251E-8	5.030105686484933E-11	0.0	1.0	2.3757172045368E-5	2.378131068660825E-5	2.4144507295127677E-8	1.0120785286883223E-13	2.414111585775251E-8
34.0	1.0	2.5159547190813715E-4	0.06	2.4144803281643834E-8	5.0309974538282074E-11	0.0	1.0	2.022827594141423E-5	2.025241885703271E-5	2.4148787778375396E-8	1.0124374152170363E-13	2.4144803281643834E-8
35.0	1.0	2.142234183491617E-4	0.06	2.4149135568234E-8	5.032045196608672E-11	0.0	1.0	1.72235628352726E-5	1.724771077287983E-5	2.4153816943721626E-8	1.0128591544284965E-13	2.4149135568234E-8
36.0	1.0	1.8240261759322924E-4	0.06	2.4154225703265176E-8	5.0332762786940564E-11	0.0	1.0	1.466517045449563E-5	1.468932429285926E-5	2.415972613773147E-8	1.0133548039065715E-13	2.4154225703265176E-8
37.0	1.0	1.5530848513880944E-4	0.06	2.4160206640189112E-8	5.034722896089462E-11	0.0	1.0	1.248680220516028E-5	1.251096297736534E-5	2.4166669901229415E-8	1.0139373856162983E-13	2.4160206640189112E-8
38.0	1.0	1.3223892043576064E-4	0.06	2.4167234836289948E-8	5.036422942219193E-11	0.0	1.0	1.0632009203035157E-5	1.0656178123791413E-5	2.4174830122652126E-8	1.0146222421164734E-13	2.4167234836289948E-8
39.0	1.0	1.1259611308690516E-4	0.06	2.41754944546178E-8	5.038421032705841E-11	0.0	1.0	9.052727492187176E-6	9.076905990047813E-6	2.4184420956988036E-8	1.0154274601125038E-13	2.41754944546178E-8
40.0	1.0	9.587105155991909E-5	0.06	2.41852023484729E-8	5.0407697207679124E-11	0.0	1.0	7.708032545417494E-6	7.732222300822712E-6	2.4195694659685977E-8	1.0163743751124247E-13	2.41852023484729E-8
41.0	1.0	8.16303329778905E-5	0.06	2.419661397737398E-8	5.043530941070907E-11	0.0	1.0	6.563078771422397E-6	6.587281761662585E-6	2.420894851714035E-8	1.0174881741415836E-13	2.419661397737398E-8
42.0	1.0	6.95049321856172E-5	0.06	2.421003043853049E-8	5.0467777282606945E-11	0.0	1.0	5.588196547723622E-6	5.612415100138284E-6	2.422453309565133E-8	1.018798617538727E-13	2.421003043853049E-8
43.0	1.0	5.918063906016188E-5	0.06	2.422580683994369E-8	5.05059626698203E-11	0.0	1.0	4.758123380437015E-6	4.782360235437832E-6	2.4242862081513742E-8	1.0203409060821126E-13	2.422580683994369E-8
44.0	1.0	5.0389916264019086E-5	0.06	2.42443622937152E-8	5.055088343612611E-11	0.0	1.0	4.0513492676271345E-6	4.075607653469734E-6	2.426442404934053E-8	1.0221567264691235E-13	2.42443622937152E-8
45.0	1.0	4.290496644769963E-5	0.06	2.4266191874624743E-8	5.060374287143367E-11	0.0	1.0	3.4495593023950498E-6	3.4738430240430093E-6	2.428979657828816E-8	1.0242955170392695E-13	2.4266191874624743E-8
46.0	1.0	3.6531829249438505E-5	0.06	2.429188097427616E-8	5.066596508868483E-11	0.0	1.0	2.937159071654856E-6	2.9614726166045546E-6	2.4319663242568717E-8	1.0268160073471319E-13	2.429188097427616E-8
47.0	1.0	3.110535512522278E-5	0.06	2.4322122591493143E-8	5.0739237795648995E-11	0.0	1.0	2.5008705520679117E-6	2.525219216666861E-6	2.4354834141911518E-8	1.0297881008333662E-13	2.4322122591493143E-8
48.0	1.0	2.648492576392748E-5	0.06	2.4357738244027037E-8	5.082556421093824E-11	0.0	1.0	2.1293880314197694E-6	2.1537780720582857E-6	2.4396270821250355E-8	1.0332951909440825E-13	2.4357738244027037E-8
49.0	1.0	2.2550810188825072E-5	0.06	2.4399703377447246E-8	5.092732640319666E-11	0.0	1.0	1.813085139181536E-6	1.8375239538285235E-6	2.4445116673534393E-8	1.0374370298310925E-13	2.4399703377447246E-8
50.0	1.0	1.9201062119421912E-5	0.06	2.4449178401972932E-8	5.10473630189282E-11	0.0	1.0	1.543765394401522E-6	1.568261741374594E-6	2.4502734249085535E-8	1.0423333084744956E-13	2.4449178401972932E-8
51.0	1.0	1.6348878193323813E-5	0.06	2.4507546832346664E-8	5.118906529994863E-11	0.0	1.0	1.3144498067432347E-6	1.3390140694703342E-6	2.457075134397534E-8	1.0481281625129619E-13	2.4507546832346664E-8
52.0	1.0	1.39203485900762E-5	0.06	2.457646247656143E-8	5.135649658188456E-11	0.0	1.0	1.1191960266421266E-6	1.1438405356558239E-6	2.4651118359304588E-8	1.0549958964660483E-13	2.457646247656143E-8
53.0	1.0	1.1852541767097289E-5	0.06	2.4657908270755387E-8	5.155454226812924E-11	0.0	1.0	9.52944358074622E-7	9.77683784826535E-7	2.4746180288702035E-8	1.0631483313905299E-13	2.4657908270755387E-8
54.0	1.0	1.009187367536976E-5	0.06	2.475427027126896E-8	5.178909982730222E-11	0.0	1.0	8.113866434997288E-7	8.362384851491966E-7	2.4858767917105064E-8	1.0728443443689099E-13	2.475427027126896E-8
55.0	1.0	8.592719193752936E-6	0.06	2.4868431614312597E-8	5.206732203223108E-11	0.0	1.0	6.908546231777361E-7	7.158398038298674E-7	2.4992314575470916E-8	1.0844024094432224E-13	2.4868431614312597E-8
56.0	1.0	7.3162297965204285E-6	0.06	2.5003893129834347E-8	5.239793201621088E-11	0.0	1.0	5.882248756402425E-7	6.133684983888861E-7	2.5151007367781223E-8	1.098217311830183E-13	2.5003893129834347E-8
57.0	1.0	6.229326811459219E-6	0.06	2.5164930049399473E-8	5.279163667867042E-11	0.0	1.0	5.008378756413211E-7	5.261701724532088E-7	2.5339985605761802E-8	1.1147827612850961E-13	2.5164930049399473E-8
58.0	1.0	5.303844173727542E-6	0.06	2.5356798360620365E-8	5.3261677010500816E-11	0.0	1.0	4.264290715676944E-7	4.519866164721647E-7	2.556560496504039E-8	1.1347224951883646E-13	2.5356798360620365E-8
59.0	1.0	4.515798450996736E-6	0.06	2.5586010625309115E-8	5.3824572502263917E-11	0.0	1.0	3.6307019546013757E-7	3.888974738100558E-7	2.583579480108668E-8	1.158833842020586E-13	2.5586010625309115E-8
60.0	1.0	3.8447672076011056E-6	0.06	2.5860710829599907E-8	5.450114618034231E-11	0.0	1.0	3.091192834911289E-7	3.35270751377367E-7	2.616055016656431E-8	1.1881499739884167E-13	2.5860710829599907E-8
61.0	1.0	3.2733595732214145E-6	0.06	2.6191193383031774E-8	5.531796445158068E-11	0.0	1.0	2.631781096870017E-7	2.897209416139256E-7	2.6552622936758725E-8	1.2240308764265375E-13	2.6191193383031774E-8
62.0	1.0	2.7867652546416326E-6	0.06	2.659063685991851E-8	5.6309405430010264E-11	0.0	1.0	2.2405592647318728E-7	2.510737512990104E-7	2.7028514606404926E-8	1.2682996559525076E-13	2.659063685991851E-8
63.0	1.0	2.3723702333479534E-6	0.06	2.707616612608449E-8	5.7520706503429293E-11	0.0	1.0	1.9073856676117548E-7	2.183366590558075E-7	2.760993912164606E-8	1.323452670661461E-13	2.707616612608449E-8
64.0	1.0	2.019429068289185E-6	0.06	2.7670431854457033E-8	5.901258737653608E-11	0.0	1.0	1.6236209709045048E-7	1.9067477494901183E-7	2.832604194073732E-8	1.3929941875493223E-13	2.7670431854457033E-8
65.0	1.0	1.7187850930300282E-6	0.06	2.8404033861488327E-8	6.086850404739061E-11	0.0	1.0	1.3819032147961427E-7	1.6739180382670865E-7	2.921688194274749E-8	1.4819899139868828E-13	2.8404033861488327E-8
66.0	1.0	1.462630846430704E-6	0.06	2.931937762322287E-8	6.320649350055098E-11	0.0	1.0	1.175955200530286E-7	1.479164273418043E-7	3.0339116880264474E-8	1.5980243282540776E-13	2.931937762322287E-8
67.0	1.0	1.2443017194101152E-6	0.06	3.04770859156193E-8	6.619946222412984E-11	0.0	1.0	1.0004185824057327E-7	1.3179536747121558E-7	3.177574186758232E-8	1.7529475195055973E-13	3.04770859156193E-8
68.0	1.0	1.0580957684190386E-6	0.06	3.196724373445731E-8	7.011204195894123E-11	0.0	1.0	8.507089978089071E-8	1.1869640785915807E-7	3.365378014029179E-8	1.9662793710609341E-13	3.196724373445731E-8
69.0	1.0	8.991111491905498E-7	0.06	3.393049055799323E-8	7.537270330845604E-11	0.0	1.0	7.228853639492021E-8	1.0842950062282282E-7	3.6178897588058896E-8	2.2724177616098158E-13	3.393049055799323E-8
70.0	1.0	7.630871626660326E-7	0.06	3.660120503811763E-8	8.272927716761295E-11	0.0	1.0	6.135220787834901E-8	1.010074390131929E-7	3.971005304045421E-8	2.7376533202702904E-13	3.660120503811763E-8
71.0	1.0	6.462163222578994E-7	0.06	4.040719607570465E-8	9.36324107188454E-11	0.0	1.0	5.1955792309535107E-8	9.681086735819744E-8	4.494355714504579E-8	3.506811334809022E-13	4.040719607570465E-8
72.0	1.0	5.448211954105457E-7	0.06	4.6244381870506427E-8	1.1138796942005214E-10	0.0	1.0	4.3803624111007875E-8	9.709844264605777E-8	5.346622532162502E-8	4.962911892608988E-13	4.6244381870506427E-8
73.0	1.0	4.5438613023361727E-7	0.06	5.649300039709206E-8	1.4597069964893313E-10	0.0	1.0	3.653264487078283E-8	1.0612329814555578E-7	7.00659358314879E-8	8.522978062399618E-13	5.649300039709206E-8
74.0	1.0	3.616128428605877E-7	0.06	8.353367736540851E-8	2.87333970158833E-10	0.0	1.0	2.907367256599125E-8	1.6624584607928778E-7	1.3792030567623985E-7	3.3024324162894847E-12	8.353367736540851E-8
75.0	1.0	1.106716434284776E-4	0.06	6.410850182705553E-4	4.937516526278578E-11	0.0	1.0	8.898000131649598E-6	8.743089094696289E-6	2.370007932613717E-8	9.751627778909628E-14	6.410850182705553E-4
76.0	1.0	4.6364199271860127E-4	0.06	2.3585509365555996E-4	5.028253455873259E-11	0.0	1.0	3.727681621457554E-5	3.7300951234804336E-5	2.413561658819164E-8	1.0113333126600548E-13	2.3585509365555996E-4
77.0	1.0	5.306712606324284E-4	0.06	8.678007668333335E-5	5.027842324763093E-11	0.0	1.0	4.2665969354847245E-5	4.269010279588976E-5	2.4133643158862844E-8	1.0111679377071655E-13	8.678007668333335E-5
78.0	1.0	5.018399893522292E-4	0.06	3.1939089885026234E-5	5.0280057165645975E-11	0.0	1.0	4.034793514391923E-5	4.03720693642196E-5	2.4134427439510067E-8	1.0112336594322509E-13	3.1939089885026234E-5
79.0	1.0	4.4568916326687103E-4	0.06	1.176452051138923E-5	5.0283846506381925E-11	0.0	1.0	3.583340872665643E-5	3.585754476043062E-5	2.4136246323063323E-8	1.0113860877909511E-13	1.176452051138923E-5
80.0	1.0	3.8625320909441076E-4	0.06	4.342865241271457E-6	5.0289058773511836E-11	0.0	1.0	3.1054758011190625E-5	3.1078896533770206E-5	2.4138748211285683E-8	1.0115957729302911E-13	4.342865241271457E-6
81.0	1.0	3.313689569289981E-4	0.06	1.6126600971019491E-6	5.029553374719466E-11	0.0	1.0	2.6642064137091444E-5	2.6666205689592185E-5	2.4141856198653435E-8	1.0118562859660788E-13	1.6126600971019491E-6
82.0	1.0	2.83063716344496E-4	0.06	6.083358369371824E-7	5.0303312595575646E-11	0.0	1.0	2.2758322794097476E-5	2.278246817238806E-5	2.414559004587631E-8	1.0121693032352798E-13	6.083358369371824E-7
83.0	1.0	2.4135477662217257E-4	0.06	2.38891233172614E-7	5.031253687466829E-11	0.0	1.0	1.9404924040422676E-5	1.9429073757888618E-5	2.415001769984078E-8	1.0125405467059427E-13	2.38891233172614E-7
84.0	1.0	2.056280961207581E-4	0.06	1.0300690178885301E-7	5.032341843183958E-11	0.0	1.0	1.653249892810895E-5	1.6556653955883903E-5	2.4155240847282998E-8	1.0129785770664047E-13	1.0300690178885301E-7
85.0	1.0	1.751296042140614E-4	0.06	5.306665412695422E-8	5.0336204355814885E-11	0.0	1.0	1.4080420178810537E-5	1.4104575274355158E-5	2.4161378090791144E-8	1.013493387580143E-13	5.306665412695422E-8
86.0	1.0	1.4913250941427886E-4	0.06	3.476145451247678E-8	5.035126356719187E-11	0.0	1.0	1.199025375690802E-5	1.2014416460728124E-5	2.4168606512252098E-8	1.0140998971251293E-13	3.476145451247678E-8
87.0	1.0	1.2698644901656085E-4	0.06	2.805529428451936E-8	5.03689653509175E-11	0.0	1.0	1.0209710500931493E-5	1.0233881680881929E-5	2.4177103368440398E-8	1.0148130682087711E-13	2.805529428451936E-8
88.0	1.0	1.0812608979613133E-4	0.06	2.5602547685862515E-8	5.038977408583194E-11	0.0	1.0	8.69333761960896E-6	8.717518780178299E-6	2.4187091561199333E-8	1.0156517329684722E-13	2.5602547685862515E-8
89.0	1.0	9.2065829317632E-5	0.06	2.4710259507975605E-8	5.0414236340990525E-11	0.0	1.0	7.402092677137613E-6	7.426285565037431E-6	2.419883344367545E-8	1.0166380903380999E-13	2.4710259507975605E-8
90.0	1.0	7.839064067237203E-5	0.06	2.439130076206595E-8	5.044299716526961E-11	0.0	1.0	6.302607510058712E-6	6.326814184352209E-6	2.421263863932941E-8	1.0177983852061591E-13	2.439130076206595E-8
91.0	1.0	6.674657465206572E-5	0.06	2.428397867758378E-8	5.047681768087141E-11	0.0	1.0	5.3664246020260845E-6	5.390647487255991E-6	2.4228872486818274E-8	1.0191636492751729E-13	2.428397867758378E-8
92.0	1.0	5.6832048551410716E-5	0.06	2.425594173180765E-8	5.051659640453267E-11	0.0	1.0	4.5692967035334216E-6	4.593538655223073E-6	2.424796627417568E-8	1.0207706049193773E-13	2.425594173180765E-8
93.0	1.0	4.839020009093812E-5	0.06	2.4258967450897246E-8	5.0563394841927135E-11	0.0	1.0	3.890572087311424E-6	3.91483646988474E-6	2.427042952412502E-8	1.0226627591762495E-13	2.4258967450897246E-8
94.0	1.0	4.1202293188388555E-5	0.06	2.4275732256790018E-8	5.061846825866239E-11	0.0	1.0	3.31266437234644E-6	3.3369551519048764E-6	2.4296864764157945E-8	1.0248917315412848E-13	2.4275732256790018E-8
95.0	1.0	3.5082072476065365E-5	0.06	2.4300306256354155E-8	5.0683302774077194E-11	0.0	1.0	2.8205986270756552E-6	2.8449204819944655E-6	2.432798533155705E-8	1.0275188720355124E-13	2.4300306256354155E-8
96.0	1.0	2.9870945119178886E-5	0.06	2.433101470393964E-8	5.0759660243243243E-11	0.0	1.0	2.4016239875819822E-6	2.4259824406305364E-6	2.4364636916756755E-8	1.0306172432037955E-13	2.433101470393964E-8
97.0	1.0	2.5433874189851877E-5	0.06	2.4367836119078778E-8	5.084963280720216E-11	0.0	1.0	2.044883484864091E-6	2.069285061469671E-6	2.4407823747457037E-8	1.034274062650916E-13	2.4367836119078778E-8
98.0	1.0	2.1655880520039052E-5	0.06	2.4411467022575082E-8	5.0955709542204454E-11	0.0	1.0	1.74113279381114E-6	1.7655852122556695E-6	2.4458740580258138E-8	1.0385937339798024E-13	2.4411467022575082E-8
99.0	1.0	1.8439063608755264E-5	0.06	2.446300192107231E-8	5.108085838104238E-11	0.0	1.0	1.4825007141439234E-6	1.5070131150045758E-6	2.4518812022900342E-8	1.0437016371776431E-13	2.446300192107231E-8
100.0	1.0	1.570006483370778E-5	0.06	2.452384421560788E-8	5.122862749333824E-11	0.0	1.0	1.2622852126301056E-6	1.2868684367796404E-6	2.4589741196802355E-8	1.0497489099404843E-13	2.452384421560788E-8
