model	objective_value	load_time	simulate_time	repeat
iAM_Pf480	0.6871751707677515	0.212052856	0.161028914	3
iAM_Pf480	0.6871751707677515	0.203485202	0.161874025	4
iAM_Pf480	0.6871751707677515	0.203137666	0.16473949	5
STM_v1_0	0.47783366352116113	0.452041985	0.784203003	1
STM_v1_0	0.47783366352116113	0.453611294	0.786056152	2
STM_v1_0	0.47783366352116113	0.465795093	0.788920519	3
STM_v1_0	0.47783366352116113	0.45642003	0.788416248	4
STM_v1_0	0.47783366352116113	0.456666118	0.790461013	5
iND750	0.0973233345772008	0.243449836	0.257992847	1
iND750	0.0973233345772008	0.255165834	0.263452775	2
iND750	0.0973233345772008	0.249986597	0.256133081	3
iND750	0.0973233345772008	0.25443744	0.256291616	4
iND750	0.0973233345772008	0.254563754	0.255371929	5
iLB1027_lipid	0.35960670777565634	0.636174714	2.803307721	1
iLB1027_lipid	0.35960670777565634	0.621975251	2.799144783	2
iLB1027_lipid	0.35960670777565634	0.63830405	2.799982041	3
iLB1027_lipid	0.35960670777565634	0.640101609	2.80877863	4
iLB1027_lipid	0.35960670777565634	0.62581783	2.818959861	5
iPC815	0.28355838121482935	0.365759672	0.43982638	1
iPC815	0.28355838121482935	0.364158918	0.440881582	2
iPC815	0.28355838121482935	0.362775077	0.444363255	3
iPC815	0.28355838121482935	0.362858913	0.438857664	4
iPC815	0.28355838121482935	0.366230402	0.440215609	5
iB21_1397	0.975614511616857	0.543258756	0.827571271	1
iB21_1397	0.975614511616857	0.529952026	0.836489661	2
iB21_1397	0.975614511616857	0.517866365	0.837375733	3
iB21_1397	0.975614511616857	0.513198019	0.822250193	4
iB21_1397	0.975614511616857	0.527464951	0.832675275	5
iECUMN_1333	0.9826920128221509	0.52405128	0.804340042	1
iECUMN_1333	0.9826920128221509	0.527122769	0.813252181	2
iECUMN_1333	0.9826920128221509	0.52679819	0.806948588	3
iECUMN_1333	0.9826920128221509	0.519107368	0.811711045	4
iECUMN_1333	0.9826920128221509	0.525069852	0.800919038	5
iECSF_1327	0.9824784387706598	0.49917837	0.844339359	1
iECSF_1327	0.9824784387706598	0.487649413	0.858314981	2
iECSF_1327	0.9824784387706598	0.489543796	0.83805179	3
iECSF_1327	0.9824784387706598	0.491118205	0.857553987	4
iECSF_1327	0.9824784387706598	0.480502083	0.859386637	5
iSBO_1134	0.3998801249453178	0.460431067	0.756749832	1
iSBO_1134	0.3998801249453178	0.456656634	0.744996749	2
iSBO_1134	0.3998801249453178	0.457635006	0.77241127	3
iSBO_1134	0.3998801249453178	0.477850633	0.769878215	4
iSBO_1134	0.3998801249453178	0.465582923	0.747200324	5
iEcolC_1368	0.9824784386947281	0.498467301	0.896982241	1
iEcolC_1368	0.9824784386947281	0.496079216	0.861073368	2
iEcolC_1368	0.9824784386947281	0.506860877	0.855778963	3
iEcolC_1368	0.9824784386947281	0.498364406	0.866829488	4
iEcolC_1368	0.9824784386947281	0.506245859	0.862231633	5
iAPECO1_1312	0.9824784386982142	0.490696308	0.834718366	1
iAPECO1_1312	0.9824784386982142	0.486713508	0.819625515	2
iAPECO1_1312	0.9824784386982142	0.495192921	0.810632732	3
iAPECO1_1312	0.9824784386982142	0.487144953	0.813758316	4
iAPECO1_1312	0.9824784386982142	0.486383219	0.812931863	5
Recon3D	755.0032155506632	1.740864993	10.519880769	1
Recon3D	755.0032155506632	1.67370549	10.528478651	2
Recon3D	755.0032155506632	1.750061524	10.540950368	3
Recon3D	755.0032155506632	1.76106838	10.628171919	4
Recon3D	755.0032155506632	1.75953493	10.66178422	5
iECS88_1305	0.9824784386988167	0.539918234	0.872075245	1
iECS88_1305	0.9824784386988167	0.525248985	0.845282801	2
iECS88_1305	0.9824784386988167	0.50923739	0.849065125	3
iECS88_1305	0.9824784386988167	0.489675517	0.833184434	4
iECS88_1305	0.9824784386988167	0.505934935	0.894591335	5
iCN718	1.313591292364529	0.21876253	0.198550996	1
iCN718	1.313591292364529	0.205748195	0.200938515	2
iCN718	1.313591292364529	0.212908768	0.190728083	3
iCN718	1.313591292364529	0.198705143	0.190517652	4
iCN718	1.313591292364529	0.197352638	0.193059106	5
iYS1720	0.48845459810742586	0.55970501	1.061259971	1
iYS1720	0.48845459810742586	0.565108619	1.085316507	2
iYS1720	0.48845459810742586	0.59144356	1.081562411	3
iYS1720	0.48845459810742586	0.591971263	1.079583087	4
iYS1720	0.48845459810742586	0.592279508	1.090637784	5
iEC1372_W3110	0.9823963461360772	0.500358352	0.924613385	1
iEC1372_W3110	0.9823963461360772	0.495408893	0.928876535	2
iEC1372_W3110	0.9823963461360772	0.486238326	0.928387788	3
iEC1372_W3110	0.9823963461360772	0.514326667	0.942271784	4
iEC1372_W3110	0.9823963461360772	0.498705626	0.932278349	5
iAB_RBC_283	2.9355614666693204	0.092397895	0.022033743	1
iAB_RBC_283	2.9355614666693204	0.097188051	0.022012143	2
iAB_RBC_283	2.9355614666693204	0.097269452	0.022022483	3
iAB_RBC_283	2.9355614666693204	0.098487538	0.022024585	4
iAB_RBC_283	2.9355614666693204	0.098344252	0.022022772	5
iYO844	0.11796638776548399	0.264279912	0.2136578	1
iYO844	0.11796638776548399	0.253097111	0.212675514	2
iYO844	0.11796638776548399	0.259307637	0.212654043	3
iYO844	0.11796638776548399	0.258351971	0.204402904	4
iYO844	0.11796638776548399	0.240617211	0.204662007	5
iNJ661	0.05254980135571546	0.185916396	0.158579134	1
iNJ661	0.05254980135571546	0.186806371	0.157999587	2
iNJ661	0.05254980135571546	0.191641169	0.165825196	3
iNJ661	0.05254980135571546	0.197684164	0.164641886	4
iNJ661	0.05254980135571546	0.197915365	0.164596181	5
iECDH10B_1368	1.0374775435827823	0.497010202	0.965821773	1
iECDH10B_1368	1.0374775435827823	0.49378071	0.91911893	2
iECDH10B_1368	1.0374775435827823	0.491713628	0.926968757	3
iECDH10B_1368	1.0374775435827823	0.495902088	0.933654709	4
iECDH10B_1368	1.0374775435827823	0.493886372	0.932033759	5
iECP_1309	0.9824784386980605	0.488312461	0.841897899	1
iECP_1309	0.9824784386980605	0.484516142	0.856994053	2
iECP_1309	0.9824784386980605	0.497104974	0.853080956	3
iECP_1309	0.9824784386980605	0.483793811	0.848819753	4
iECP_1309	0.9824784386980605	0.495776348	0.866089776	5
iAM_Pc455	0.6587010615225637	0.193170147	0.171935983	1
iAM_Pc455	0.6587010615225637	0.194052835	0.171666663	2
iAM_Pc455	0.6587010615225637	0.193386522	0.169708827	3
iAM_Pc455	0.6587010615225637	0.196126033	0.172159633	4
iAM_Pc455	0.6587010615225637	0.19640112	0.170416555	5
iEcE24377_1341	0.9824784386972407	0.499627956	0.841721302	1
