RA	cyp26_mRNA	CYP26	FGF	FGF_mRNA	Values[vs1]	Values[rho]	Values[alpha2]	Values[alpha1]
0.1991801418749314	6.996242139252947	24.952670590992348	0.7527106892454282	1.5	4.97	2.585569635880558	0.4294551826859017	0.16609693149480528
0.19911157980519015	6.996738557837525	24.961186212864053	0.7530425709532904	1.5	4.97	2.586962566807444	0.4295631968274404	0.1660492510943295
0.1990566881177181	6.997135567053665	24.96800816876863	0.7533083758301939	1.5	4.97	2.588078414153857	0.4296496761292784	0.1660110736133733
0.19901273963829164	6.997453152810555	24.973472818971597	0.7535212513588533	1.5	4.97	2.588972222143684	0.42971891602393086	0.1659805046761456
0.1989775517118247	6.997707255257367	24.977849907398785	0.7536917323403906	1.5	4.97	2.589688127981181	0.4297743545466516	0.16595602764016482
0.19894937741836927	6.997910596843487	24.981355676618428	0.7538282584072289	1.5	4.97	2.590261511007534	0.42981874353640065	0.16593642831422611
0.19892681839552318	6.998073338809413	24.98416344711754	0.7539375903483142	1.5	4.97	2.590720725746037	0.42985428586349517	0.16592073456304796
0.19890875523012935	6.998203600826672	24.98641210860356	0.7540251435470195	1.5	4.97	2.591088492479487	0.4298827450228091	0.16590816804232028
0.1988942917587201	6.998307873876203	24.988212943835716	0.7540952554645863	1.5	4.97	2.591383014404431	0.42990553284682254	0.16589810555103385
0.19888271051549686	6.998391348618914	24.98965510459938	0.754151399994103	1.5	4.97	2.59161887399159	0.42992377966727285	0.16589004810152033
0.1988734370619499	6.998458177043416	24.990810007029193	0.754196359315505	1.5	4.97	2.591807752399086	0.4299383904831473	0.16588359614449733
0.19886601149797078	6.9985116810051995	24.991734855340294	0.7542323615550057	1.5	4.97	2.5919590056551387	0.4299500898993967	0.16587842977505862
0.19886006555708535	6.998554518629937	24.992475466812444	0.7542611910501197	1.5	4.97	2.5920801276375727	0.4299594580887985	0.16587429281388166
0.19885530439802454	6.998588817235845	24.993068536844735	0.7542842767293028	1.5	4.97	2.592177119870597	0.4299669595942537	0.16587098014958093
0.19885149192577278	6.998616279544293	24.993543454341697	0.7543027628965564	1.5	4.97	2.592254788958018	0.42997296638301785	0.16586832753266884
0.1988484391109111	6.998638268540474	24.993923755688588	0.7543175659134382	1.5	4.97	2.5923169840962013	0.4299777762988311	0.16586620345302439
0.1988459945729196	6.998655875314182	24.994228289375393	0.7543294195766452	1.5	4.97	2.592366788021313	0.42998162782830146	0.16586450259089125
0.19884403712680015	6.998669973364379	24.994472149683222	0.7543389115034109	1.5	4.97	2.592406669118018	0.4299847119374256	0.16586314063283672
0.1988424696932694	6.998681262012258	24.99466742403949	0.7543465122299972	1.5	4.97	2.5924386045061922	0.4299871815352641	0.16586205003576857
0.19884121456993792	6.998690301179388	24.99482379233339	0.7543525985667245	1.5	4.97	2.592464177127887	0.4299891590681471	0.16586117673746187
0.1988402095316651	6.998697539147522	24.99494900566224	0.7543574722327534	1.5	4.97	2.5924846546034366	0.42999074257807335	0.1658604774437315
0.19883940474832376	6.998703334843229	24.995049270896267	0.754361374831304	1.5	4.97	2.59250105205049	0.42999201057070807	0.1658599174841661
0.1988387603152399	6.998707975712452	24.995129559303734	0.7543644998672855	1.5	4.97	2.592514182459844	0.42999302592155264	0.1658594690940376
0.19883824428302332	6.99871169186592	24.995193850890267	0.7543670022586728	1.5	4.97	2.5925246967392757	0.42999383896724996	0.16585911004360762
0.19883783107323558	6.998714667530736	24.995245332262996	0.7543690060401306	1.5	4.97	2.592533116025474	0.4299944900091758	0.16585882253584708
0.1988375001947157	6.998717050285719	24.99528655624835	0.7543706105763599	1.5	4.97	2.5925398578103365	0.42999501133259865	0.16585859231332056
0.19883723524008115	6.998718958283209	24.99531956673751	0.7543718954218022	1.5	4.97	2.592545256370726	0.42999542878588415	0.1658584079599944
0.19883702307471046	6.998720486124884	24.995346000280566	0.7543729242760278	1.5	4.97	2.5925495793348143	0.4299957630657876	0.16585826033695916
0.1988368531867408	6.998721709535538	24.99536716690481	0.7543737481294437	1.5	4.97	2.5925530409120636	0.42999603073961606	0.16585814213017716
0.19883671714817874	6.998722689176289	24.995384116058737	0.7543744078286599	1.5	4.97	2.5925558127785107	0.4299962450787959	0.16585804747553634
0.19883660821162477	6.998723473638157	24.995397688390916	0.7543749360938746	1.5	4.97	2.592558032414045	0.4299964167143738	0.16585797167825986
0.19883652098125149	6.998724101808945	24.99540855668989	0.754375359112349	1.5	4.97	2.592559809801936	0.429996554154771	0.165857910983979
0.1988364511288261	6.998724604821619	24.995417259584197	0.7543756978480196	1.5	4.97	2.5925612330825527	0.4299966642112998	0.16585786238114583
0.19883639519482368	6.998725007610509	24.99542422846481	0.7543759690921081	1.5	4.97	2.592562372774368	0.429996752339522	0.16585782346265074
0.19883635040476233	6.998725330149533	24.995429808904415	0.754376186294977	1.5	4.97	2.592563285400941	0.42999682290952956	0.1658577922980308
0.19883631453952494	6.998725588418727	24.995434277378525	0.7543763602176772	1.5	4.97	2.5925640161775783	0.42999687941763914	0.16585776734324095
0.19883628582177643	6.998725795217918	24.995437855341706	0.7543764994797398	1.5	4.97	2.59256460131971	0.4299969246643751	0.16585774736162448
0.19883626282671846	6.998725960806525	24.99544072029671	0.7543766109899508	1.5	4.97	2.5925650698573537	0.42999696089443123	0.16585773136181697
0.19883624441375927	6.998726093407256	24.995443014508616	0.7543767002857829	1.5	4.97	2.5925654450431943	0.42999698990695506	0.16585771855020268
0.19883622966160838	6.998726199597431	24.99544485177415	0.7543767717952081	1.5	4.97	2.5925657455713504	0.42999701314061173	0.16585770828575414
0.1988362178571421	6.9987262846386615	24.99544632312977	0.7543768290643246	1.5	4.97	2.592565986144382	0.42999703174754206	0.16585770007228473
0.19883620840581892	6.998726352738207	24.995447501366453	0.7543768749246961	1.5	4.97	2.5925661787754177	0.4299970466477316	0.16585769349611665
