MKK_P	MK_P	MKKK	MKK	MK	MKK_PP	MKKK_P	MK_PP
7.454077189051573	5.456557087429643	1.9956657003021434	1120.897458350016	1190.7066976607362	71.6484066741821	298.00433429969814	3.836687465086148
7.435501143653464	5.661444220153197	1.6420357552265368	1118.0461924291462	1190.0059501535952	74.5182486404496	298.3579642447737	4.332547839503754
7.416881511242965	5.855568545834468	1.3506440153418293	1115.192166460466	1189.277701386758	77.39089424154042	298.64935598465837	4.8666722806596585
7.398230113705594	6.0385351490764565	1.1108067587639199	1112.3359253688643	1188.5219295252891	80.26578673067965	298.8891932412363	5.439477538886167
7.379555541124826	6.210090799956235	0.9135873199523652	1109.4779203053824	1187.7386175852885	83.1424663667421	299.08641268004783	6.051233828007065
7.360864068984586	6.3701153685130425	0.7515386505023848	1106.618524141064	1186.9277525909874	86.02055400320062	299.24846134949775	6.7020742537512366
7.3421603098561805	6.518611654834576	0.6184744115221658	1103.7580446265797	1186.0893248774794	88.89973727681343	299.3815255884779	7.39200568093754
7.323447676834633	6.6556940119240755	0.5092688035754265	1100.8967354943582	1185.2233275156163	91.77975904205665	299.4907311964247	8.120920685711443
7.304728713681821	6.781576126266611	0.41968378551539887	1098.0348057736921	1184.3297558388806	94.66040772587549	299.5803162144847	8.88861024810434
7.286005330661513	6.896558300917966	0.3462214541388253	1095.1724275715585	1183.408607055027	97.54150931102932	299.65377854586126	9.694776857306465
7.267278973563306	7.001014559397468	0.285998942236067	1092.3097425481742	1182.4598799279156	100.42292069151188	299.714001057764	10.539047725938305
7.248550745362226	7.0953798570253035	0.2366430884543427	1089.4468672901687	1181.4835745172961	103.30452417771865	299.7633569115457	11.420987838929777
7.229821494256899	7.180137651027836	0.19620221735467683	1086.5838977581645	1180.4796919662904	106.1862229608281	299.8037977826454	12.340112595933313
7.2110918777116915	7.255808043081883	0.16307256177144697	1083.7209129608705	1179.4482343280333	109.0679373746675	299.8369274382286	13.295899842136247
7.192362409341155	7.32293666927263	0.13593710683590235	1080.8579779852494	1178.3892044243962	111.94960181865909	299.86406289316415	14.28780111958276
7.173633493505058	7.382084473879101	0.11371489952562357	1077.995146492282	1177.3026057309212	114.8311622274629	299.8862851004745	15.315252008451498
7.154905450953276	7.433818466029167	0.09551912743474142	1075.1324627703264	1176.1884422831458	117.71257399197015	299.90448087256533	16.377681464076527
7.136178538054557	7.478703522982094	0.0806225133631454	1072.2699634229916	1175.0467186003411	120.59380025220362	299.91937748663696	17.474520089928365
7.117452961253035	7.5172952713342	0.06842879173732863	1069.407678755559	1173.8774396234028	123.47481049643784	299.9315712082628	18.605207318514662
7.09872888806753	7.550134048367393	0.05844922664446002	1066.545633913118	1172.6806106642377	126.35557941206424	299.94155077335574	19.769197500646488
7.080006455502595	7.577739920447283	0.050283299661286286	1063.6838498144205	1171.4562373644687	129.23608594332663	299.9497167003389	20.965964928335428
7.061285776514656	7.600608714099366	0.043602839837624585	1060.8223439178216	1170.2043256616912	132.1163125189134	299.95639716016257	22.19500783746097
7.042566945048066	7.61920899811384	0.038138991101771616	1057.9611308492902	1168.9248817618454	134.99624441891135	299.9618610088984	23.45585145329214
7.023850039934565	7.633979941840032	0.03367151553845348	1055.1002229171957	1167.6179121165496	137.87586925611905	299.96632848446177	24.748050154862018
7.005135127994046	7.645329965429658	0.030020017730785484	1052.2396305341997	1166.2834234044476	140.7551765510558	299.9699799822694	26.071188843374475
6.986422266423504	7.6536360919138495	0.027036747859120056	1049.3793625629478	1164.9214225158282	143.63415738387806	299.9729632521411	27.4248836055096
6.967711504759875	7.659243908390697	0.024600701216913337	1046.5194265993002	1163.5319165399007	146.51280410918935	299.97539929878326	28.808781764960166
6.949002886352749	7.6624680437471495	0.02261278181418518	1043.6598292043518	1162.1149127542474	149.39111012254483	299.977387218186	30.22256141525675
6.930296449651032	7.6635930728736295	0.02099183896460043	1040.8005760944948	1160.670418616061	152.26906966910346	299.9790081610356	31.665930524316682
6.911592229099017	7.662874761820363	0.01967141980865421	1037.9416722970998	1159.1984417548585	155.1466776870506	299.98032858019155	33.13862569657211
6.8928902560180925	7.660541574322975	0.01859710878367152	1035.0831222780319	1157.6989899664222	158.02392967919937	299.9814028912165	34.64041067250569
6.874190559119041	7.656796367190956	0.017724348221900766	1032.2249300460985	1156.1720712077704	160.90082160803175	299.9822756517782	36.17107463828949
6.8554931651478155	7.651818209847753	0.017016653210787477	1029.3670992386005	1154.6176935929946	163.7773498095009	299.98298334678935	37.73043041040858
6.836798099133012	7.64576427145614	0.016444149500168453	1026.5096331914106	1153.0358653898436	166.65351092270564	299.9835558505	39.31831255195109
6.818105384912418	7.638771727284871	0.015982376075755256	1023.6525349963789	1151.4265950169388	169.5293018319579	299.98401762392444	40.93457546902706
6.799415045180148	7.630959644017746	0.015611304531608304	1020.7958075483638	1149.7898910415508	172.40471961970533	299.9843886954686	42.57909152768218
6.780727101964638	7.622430811366268	0.015314536019767963	1017.9394535837653	1148.12576217785	175.2797615275194	299.9846854639805	44.25174922403457
6.762041576501479	7.6132734944794835	0.015078643647381205	1015.0834757121032	1146.4342172855963	178.1544249246446	299.9849213563529	45.952451433175106
6.743358489722736	7.603563088128822	0.01489263398930048	1012.2278764418999	1144.7152653691926	181.02870728162665	299.98510736601094	47.681113755929275
6.724677862007996	7.593363659419096	0.014747506148686319	1009.3726582019001	1142.968915577092	183.9026061493415	299.9852524938516	49.43766297673959
6.705999713584779	7.58272937080706	0.014635890703287312	1006.5178233584724	1141.1951772014897	186.7761191411924	299.98536410929694	51.22203564095362
