LasR	A pLux	3OC12HSL	mRNA(LasR)	LasR/AHL	sa3_degraded	sa6_degraded	pLuxR	Ptet-LasR	GFP
3.0769573979762125e-06	2.887306526234823e-06	-3.1356719640799107e-20	4.0849301732166295e-20	2.1125300730723407e-06	2.9232060013752422e-06	1.6339935187943567e-10	7.112693472424208e-06	3.5394883688021683e-19	1.3409807628416638e-15
2.870083866177424e-06	2.8873065261546166e-06	-1.2945527419670438e-19	9.991859952869565e-20	2.1125300730277613e-06	3.1300795331733615e-06	1.6339935187945496e-10	7.1126934723795315e-06	8.65769320441303e-19	1.4658644216482749e-15
2.677119093467045e-06	2.887306526075663e-06	-1.6563011857321835e-19	-2.1504079740225314e-20	2.112530072983555e-06	3.323044305884879e-06	1.6339935187945873e-10	7.11269347233529e-06	-1.8632739061631226e-19	1.5890602824855013e-15
2.4971279496886635e-06	2.8873065260013485e-06	1.2342336648299127e-18	3.3690166418776864e-20	2.1125300729349392e-06	3.5030354496641275e-06	1.6339935187944418e-10	7.112693472288075e-06	2.919167209868243e-19	1.7105911558798192e-15
2.3292381771054424e-06	2.8873065259205585e-06	-5.474622945637698e-18	1.0720161235738243e-19	2.112530072902549e-06	3.6709252222399294e-06	1.6339935187939036e-10	7.112693472248977e-06	9.288748002094003e-19	1.8304795440740467e-15
2.1726361624273877e-06	2.887306525818555e-06	1.1559117636492823e-17	-1.9906780873162304e-19	2.1125300728692493e-06	3.827527236937978e-06	1.633993518801347e-10	7.112693472232711e-06	-1.724871883245631e-18	1.948747645194141e-15
2.026562994151689e-06	2.8873065258669905e-06	4.9747397783058905e-19	1.786175056489773e-19	2.1125300727152096e-06	3.973600405198962e-06	1.633993518757647e-10	7.112693472067607e-06	1.5476747296574032e-18	2.065417357359183e-15
1.8903107845169504e-06	2.887306525769107e-06	-2.588382265534186e-16	1.4258893239084497e-19	2.112530072957317e-06	4.109852614574725e-06	1.6339935189433167e-10	7.1126934720503965e-06	1.2354964914288285e-18	2.180510282735995e-15
1.763219240277253e-06	2.8873065256221463e-06	9.853124802428705e-18	-6.7101560125503466e-21	2.1125300727221387e-06	4.236944159084495e-06	1.6339935180561932e-10	7.1126934720838196e-06	-5.814176237361771e-20	2.294047731539108e-15
1.6446724601524623e-06	2.8873065255542926e-06	4.362892680542331e-18	2.0621945593632165e-20	2.112530072683478e-06	4.3554909392035356e-06	1.6339935180764573e-10	7.112693472039669e-06	1.7868389011270256e-19	2.4060507259759692e-15
1.5340959526733912e-06	2.8873065254781723e-06	3.070068444220392e-18	-1.5344915215986349e-22	2.112530072650402e-06	4.466067446681515e-06	1.6339935180743958e-10	7.1126934720053e-06	-1.3295792067145055e-21	2.5165400041406974e-15
1.4309538522024096e-06	2.8873065254250544e-06	-1.7234840386389503e-17	-2.582701714238406e-22	2.1125300726148285e-06	4.569209547132191e-06	1.633993518076325e-10	7.112693471949424e-06	-2.237853147825618e-21	2.6255360238506778e-15
1.3347463201481905e-06	2.8873065253903146e-06	-7.371153105923952e-17	-5.110095455145122e-22	2.1125300725985227e-06	4.665417079129935e-06	1.6339935180747747e-10	7.11269347187664e-06	-4.42786680180854e-21	2.7330589664378864e-15
1.2450071234427908e-06	2.887306525321187e-06	-2.4481619463847293e-17	1.0794311092238952e-22	2.1125300725123456e-06	4.755156275884567e-06	1.6339935181167084e-10	7.112693471839698e-06	9.333097147251316e-22	2.8391287404850208e-15
1.1613013753826459e-06	2.887306525180717e-06	5.62876638594099e-18	-7.819117697501828e-23	2.1125300725180597e-06	4.838862023974835e-06	1.6339935182029735e-10	7.112693471875532e-06	-6.749517967271382e-22	2.9437649855104745e-15
1.0832234282832418e-06	2.8873065251388754e-06	1.6871661271356637e-17	-1.0990376219896742e-23	2.1125300724454376e-06	4.916939971085482e-06	1.6339935181982436e-10	7.112693471814152e-06	-9.503543885714397e-23	3.0469870756051947e-15
1.010394907349472e-06	2.8873065250521062e-06	1.3222522180031688e-17	3.9394928593223984e-23	2.1125300724340277e-06	4.989768492015604e-06	1.6339935182086976e-10	7.112693471799095e-06	3.4187750075143743e-22	3.148814123020084e-15
9.424628771521969e-07	2.8873065250642438e-06	-2.5866476151351436e-18	-1.500230224025126e-23	2.112530072337244e-06	5.057700522197075e-06	1.6339935182436628e-10	7.112693471686505e-06	-1.3217677357954688e-22	3.24926498170468e-15
8.790981311827926e-07	2.8873065250190304e-06	-2.372227294554095e-17	1.043140345672092e-23	2.112530072304496e-06	5.121065268145348e-06	1.6339935182767275e-10	7.112693471632625e-06	8.715441331657239e-23	3.3483582507981187e-15
8.199935966576087e-07	2.8873065244681126e-06	7.20547961128728e-17	-7.788934188113167e-24	2.1125300726618816e-06	5.18016980276631e-06	1.6339935182844715e-10	7.112693472085789e-06	-4.0846337961174433e-23	3.4461122780728742e-15
7.648628459467611e-07	2.8873065235462625e-06	1.207918610662632e-16	-1.209450961609026e-23	2.112530073438571e-06	5.235300553525886e-06	1.6339935181933855e-10	7.112693472911206e-06	-1.3068948767288558e-23	3.542545163331983e-15
7.134387089434578e-07	2.8873065247357076e-06	2.682886823627716e-18	1.9742558158172046e-25	2.112530072272072e-06	5.286724690411116e-06	1.6339935185284523e-10	7.112693471626634e-06	2.3248439725409912e-24	3.6376747617601314e-15
6.654719786566794e-07	2.8873065246459713e-06	-3.7333100501952117e-19	-2.2275998637862585e-26	2.1125300722710212e-06	5.3346914206948395e-06	1.633993518529665e-10	7.112693471622526e-06	8.462390097587122e-26	3.731518687230186e-15
6.207302026557823e-07	2.8873065246648364e-06	5.527397938595408e-19	-2.4903149919690603e-27	2.1125300721586547e-06	5.379433196696663e-06	1.6339935185291037e-10	7.112693471511085e-06	3.909393285772298e-26	3.824094315563945e-15
5.78996557136276e-07	2.8873065246226186e-06	-5.257662375743686e-19	2.329483608449941e-26	2.112530072110626e-06	5.421166842215091e-06	1.6339935185290556e-10	7.112693471461977e-06	4.0974277456054615e-26	3.915418787749582e-15
5.400687960620911e-07	2.88730652452624e-06	2.4334050328859814e-19	-2.5480871698563987e-27	2.1125300721161455e-06	5.460094603290045e-06	1.6339935185286493e-10	7.1126934714682655e-06	-1.612038936993448e-26	4.0055090131155825e-15
5.03758270907794e-07	2.8873065244731194e-06	2.5349222805109766e-19	2.8517526949774866e-28	2.1125300720803833e-06	5.4964051284443505e-06	1.6339935185289465e-10	7.112693471432513e-06	1.1339915790823443e-26	4.094381672461492e-15
4.698890166571195e-07	2.8873065244200744e-06	-5.168512973474832e-19	-8.146617008035106e-28	2.1125300720465274e-06	5.530274382694256e-06	1.6339935185290758e-10	7.112693471397888e-06	-7.052459865810115e-27	4.182053221146469e-15
4.382968989769484e-07	2.8873065243633706e-06	6.520002803369407e-19	4.128708782906674e-28	2.1125300720155764e-06	5.561866500375596e-06	1.633993518529154e-10	7.112693471368105e-06	3.012895947063746e-27	4.268539892136091e-15
4.088288188172588e-07	2.887306524309467e-06	-6.717162990378096e-19	-1.0516951406967385e-28	2.112530071985485e-06	5.591334580533962e-06	1.6339935185283812e-10	7.11269347133669e-06	-9.613714636182553e-28	4.3538576990080024e-15
3.8134197043744074e-07	2.8873065242551892e-06	-1.7953501582800908e-19	2.95009098332069e-29	2.112530071955105e-06	5.6188214289142735e-06	1.633993518530387e-10	7.112693471306802e-06	2.959612223822517e-28	4.438022438916969e-15
3.5570314940671645e-07	2.8873065242014425e-06	2.5554900725223075e-18	2.2795726037186145e-29	2.1125300719230893e-06	5.644460249947732e-06	1.633993518526121e-10	7.112693471277523e-06	2.0260061521423614e-28	4.521049695519775e-15
3.3178810699999963e-07	2.8873065241533073e-06	-8.400633720137391e-18	-2.596904302941217e-29	2.1125300719002745e-06	5.6683752923434926e-06	1.6339935185336684e-10	7.112693471243752e-06	-2.332533983014395e-28	4.6029548418606905e-15
3.0948094819217016e-07	2.8873065240982798e-06	1.6351062027614665e-20	1.8854952635512597e-29	2.1125300718660895e-06	5.6906824511597356e-06	1.6339935185043185e-10	7.112693471217979e-06	1.631905435920866e-28	4.683753043217861e-15
2.8867356987755036e-07	2.887306524049857e-06	-4.3577036409578244e-18	-1.3571040677363064e-29	2.112530071839179e-06	5.71148982946998e-06	1.6339935185087377e-10	7.112693471186695e-06	-1.1669146321274117e-28	4.763459259911251e-15
2.6926513711033723e-07	2.887306523995127e-06	3.260339752198001e-18	6.365568113883409e-30	2.1125300718076637e-06	5.73089826224481e-06	1.6339935185052395e-10	7.112693471162797e-06	5.513367574657863e-29	4.842088250072689e-15
2.5116159436351286e-07	2.88730652394898e-06	-2.1951127047015387e-18	-2.6505393997741487e-30	2.1125300717816984e-06	5.749001804986179e-06	1.633993518504764e-10	7.112693471131377e-06	-2.303728166800932e-29	4.919654572378375e-15
2.3427520982155599e-07	2.8873065238962624e-06	4.208975818884125e-18	5.061597302591598e-30	2.112530071751493e-06	5.76588818953454e-06	1.6339935185086413e-10	7.112693471107574e-06	4.36755205854214e-29	4.996172588744532e-15
2.185241500685323e-07	2.8873065238502224e-06	9.594865115885462e-19	-2.9953904290389394e-30	2.112530071725299e-06	5.781639249284315e-06	1.6339935185164445e-10	7.112693471078133e-06	-2.577914406099477e-29	5.071656466986671e-15
2.03832083638495e-07	2.8873065238029554e-06	3.9330801673295367e-19	1.2290957270281105e-30	2.112530071698668e-06	5.796331315713787e-06	1.6339935185238234e-10	7.1126934710509366e-06	1.175098222437301e-29	5.146120183442815e-15
1.901278110862149e-07	2.88730652375899e-06	2.7248790710591103e-19	-1.2448000702829543e-30	2.112530071669297e-06	5.810035588265945e-06	1.633993518515765e-10	7.1126934710214446e-06	-6.062298249150958e-30	5.219577525561256e-15
1.773449199101748e-07	2.887306523721443e-06	-2.099166791829699e-20	-2.3212976693495816e-30	2.1125300716346725e-06	5.822818479441693e-06	1.6339935185284086e-10	7.112693470986527e-06	1.630720648369254e-30	5.29204209445347e-15
1.65421462739808e-07	2.887306523663786e-06	-2.5831227544374584e-18	-1.5025774519542223e-31	2.112530071623407e-06	5.834741936609497e-06	1.6339935185171486e-10	7.112693470972699e-06	-2.0669416615770146e-30	5.363527307412413e-15
1.5429965712835024e-07	2.88730652361791e-06	4.335419098872671e-20	3.4645786279713526e-31	2.112530071596137e-06	5.845863742223581e-06	1.633993518516591e-10	7.112693470948055e-06	1.2538971318063089e-30	5.434046400396821e-15
1.4392560551048257e-07	2.8873065235749214e-06	-3.4873937532230674e-19	-1.5530893707777423e-31	2.1125300715699516e-06	5.856237793841056e-06	1.6339935185151393e-10	7.112693470921478e-06	-7.118233908458951e-31	5.503612430481953e-15
1.3424903403558096e-07	2.8873065235301684e-06	1.2196856055295613e-19	4.668449070813272e-32	2.112530071545608e-06	5.865914365316428e-06	1.6339935185155876e-10	7.112693470897605e-06	3.630927138978724e-31	5.572238278277179e-15
1.2522304892127e-07	2.8873065234871608e-06	4.455011877774859e-21	-2.3212166710087487e-32	2.1125300715210346e-06	5.874940350430622e-06	1.6339935185147586e-10	7.112693470872914e-06	-2.269507107813338e-31	5.63993665031091e-15
1.1680390919600479e-07	2.887306523444411e-06	-1.1896351736802286e-19	1.5212127000172655e-32	2.1125300714971245e-06	5.883359490155764e-06	1.633993518515954e-10	7.11269347084888e-06	1.4360586442143205e-31	5.7067200813833155e-15
1.0895081473450477e-07	2.887306523402305e-06	1.6235417182069728e-19	-1.066660235745395e-32	2.112530071473068e-06	5.891212584617545e-06	1.6339935185143569e-10	7.1126934708251066e-06	-9.161165220294715e-32	5.772600936887204e-15
1.0162570853061332e-07	2.8873065233607377e-06	-1.467150872402579e-19	6.90773706011681e-33	2.1125300714499537e-06	5.898537690821129e-06	1.6339935185163038e-10	7.112693470801683e-06	5.764834164521379e-32	5.837591415097565e-15
9.479309227279508e-08	2.887306523319869e-06	6.745050190568384e-20	-4.0575857038899314e-33	2.1125300714264964e-06	5.90537030707916e-06	1.633993518514029e-10	7.11269347077844e-06	-3.444157962693875e-32	5.9017035494301574e-15
8.841985433917337e-08	2.8873065232779733e-06	2.6374870418093424e-18	3.1112472863939305e-33	2.1125300714025766e-06	5.911743545015351e-06	1.633993518518312e-10	7.11269347075709e-06	2.6722678967362856e-32	5.9649492106695096e-15
8.247510925415091e-08	2.8873065232394638e-06	6.366963064962599e-20	-1.594577717773571e-33	2.112530071381268e-06	5.9176882900978e-06	1.6339935185234783e-10	7.112693470733208e-06	-1.3798289708235934e-32	6.027340109167051e-15
7.693004808895416e-08	2.8873065231997697e-06	7.307874381163243e-19	8.318076023406508e-34	2.1125300713587473e-06	5.923233351263663e-06	1.6339935185230544e-10	7.1126934707113534e-06	7.22522143617882e-33	6.088887797009249e-15
7.175779883851168e-08	2.8873065231613648e-06	-5.591325382592583e-20	-3.856301364977361e-34	2.112530071337223e-06	5.92840560051332e-06	1.6339935185248895e-10	7.1126934706890434e-06	-3.3514133200098185e-33	6.149603670156495e-15
6.693329618354403e-08	2.8873065231229713e-06	1.7101562245961137e-19	1.4045920433395627e-34	2.1125300713154944e-06	5.9332301031685145e-06	1.6339935185246591e-10	7.1126934706675415e-06	1.219870207703993e-33	6.209498970553229e-15
6.243316002538247e-08	2.8873065230852627e-06	3.9673497589896886e-20	-2.070069030177371e-35	2.1125300712942483e-06	5.937730239326545e-06	1.6339935185250456e-10	7.112693470646164e-06	-1.797566132470864e-34	6.268584788209428e-15
5.823558218449874e-08	2.88730652304805e-06	-2.274920476796597e-20	-2.859243809439342e-35	2.112530071273236e-06	5.941927817167368e-06	1.633993518525088e-10	7.112693470625088e-06	-2.477948645042515e-34	6.326872063253995e-15
5.4320220712618444e-08	2.887306523011229e-06	9.264818576463237e-20	4.1982983954977445e-35	2.112530071252442e-06	5.945843178639363e-06	1.6339935185251257e-10	7.11269347060441e-06	3.638207016926264e-34	6.3843715879604054e-15
5.0668101314910395e-08	2.887306522975071e-06	-8.230768193345918e-20	-3.9189398516904266e-35	2.112530071232052e-06	5.949495298036897e-06	1.6339935185252136e-10	7.112693470583845e-06	-3.3958538775779516e-34	6.441094008744962e-15
4.7261525398793e-08	2.88730652293921e-06	9.555610437396382e-20	3.078434626914442e-35	2.1125300712117794e-06	5.952901873953192e-06	1.6339935185251449e-10	7.1126934705637495e-06	2.6674491527641983e-34	6.497049828138048e-15
4.408398430263036e-08	2.887306522904023e-06	-8.786898497379634e-20	-2.195207909432199e-35	2.112530071191951e-06	5.956079415049171e-06	1.6339935185252645e-10	7.1126934705437375e-06	-1.9021130999226478e-34	6.552249406728746e-15
4.112007931747606e-08	2.887306522869213e-06	-7.684461025164734e-20	2.8695248643826224e-35	2.112530071172296e-06	5.9590433200343375e-06	1.6339935185249213e-10	7.112693470524095e-06	2.486445280146161e-34	6.606702965083052e-15
3.835544699501079e-08	2.887306522834838e-06	-1.3562888245892316e-20	2.975861295758358e-36	2.1125300711528907e-06	5.9618079523568654e-06	1.6339935185247292e-10	7.112693470504751e-06	2.5782408911473725e-35	6.6604205856366046e-15
3.5776689597897046e-08	2.8873065228009667e-06	-3.622592412270224e-20	-9.650935469686875e-36	2.1125300711337927e-06	5.964386709753956e-06	1.6339935185247062e-10	7.112693470485632e-06	-8.363476650883616e-35	6.713412214561245e-15
3.337131017945823e-08	2.887306522767546e-06	-1.754233167280036e-20	7.215775699844702e-36	2.112530071114919e-06	5.966792089172414e-06	1.6339935185246235e-10	7.112693470466776e-06	6.251361344432177e-35	6.7656876636065854e-15
3.1127651989272745e-08	2.8873065227347024e-06	-1.0620067736154739e-20	-1.946309844493979e-36	2.1125300710961874e-06	5.9690357473626065e-06	1.6339935185245702e-10	7.11269347044805e-06	-1.6812732679012447e-35	6.817256611916878e-15
2.903484199588743e-08	2.887306522702536e-06	-1.3340594364960649e-20	-1.3669975710746633e-36	2.112530071077485e-06	5.97112855735599e-06	1.6339935185245482e-10	7.112693470429345e-06	-1.158850875756009e-35	6.868128607823108e-15
2.7082738203761016e-08	2.887306522671135e-06	-6.014231651302527e-21	2.045503650966587e-36	2.1125300710586943e-06	5.973080661148124e-06	1.6339935185245193e-10	7.112693470410561e-06	1.842935593365331e-35	6.918313070610882e-15
2.5261880495688587e-08	2.887306522638152e-06	-6.519536616196914e-21	-1.1717138557929659e-36	2.1125300710421717e-06	5.974901518856196e-06	1.6339935185244991e-10	7.112693470394039e-06	-1.0213473650581559e-35	6.967819292264509e-15
2.3563444782923313e-08	2.8873065226039426e-06	-5.063003597427024e-21	4.75618736239731e-37	2.112530071027543e-06	5.976599954568963e-06	1.6339935185244854e-10	7.1126934703794105e-06	1.944500101549539e-36	7.016656439187509e-15
2.197920025946609e-08	2.8873065225167486e-06	-2.640088253604128e-21	6.519634026963626e-36	2.112530071066557e-06	5.978184199092423e-06	1.633993518524473e-10	7.1126934704184266e-06	1.221596162883803e-35	7.0648335538997254e-15
2.050146948885872e-08	2.88730652262613e-06	-3.2958456453876326e-21	-6.70906756572651e-36	2.1125300709096504e-06	5.979661929863029e-06	1.6339935185244622e-10	7.11269347026152e-06	-2.3639710370667984e-36	7.112359556711763e-15
1.9123091196576708e-08	2.887306522542142e-06	-2.717562102162845e-21	-5.843677346374944e-36	2.112530070946753e-06	5.981040308155312e-06	1.6339935185244547e-10	7.112693470298624e-06	-3.4832223477027696e-36	7.159243247376714e-15
1.783738561751674e-08	2.8873065224463174e-06	-1.8171475743497755e-21	7.114890792342476e-36	2.1125300709963273e-06	5.982326013734372e-06	1.6339935185244485e-10	7.112693470348199e-06	2.6226650369158407e-36	7.205493306719057e-15
1.6638122066723918e-08	2.88730652248334e-06	-1.7268457886046346e-21	-3.233256075155367e-36	2.1125300709136793e-06	5.983525277285164e-06	1.6339935185244438e-10	7.112693470265551e-06	-1.900699047229781e-36	7.251118298242444e-15
1.5519488777536023e-08	2.8873065224307967e-06	-1.5407767299406214e-21	5.392434141134583e-37	2.112530070921215e-06	5.984643910574353e-06	1.6339935185244392e-10	7.112693470273085e-06	8.092081228950553e-37	7.296126669714998e-15
1.4476064724639751e-08	2.887306522404675e-06	-1.2362628839913714e-21	-5.985045073709209e-37	2.112530070902936e-06	5.985687334627248e-06	1.633993518524435e-10	7.112693470254807e-06	1.1053012913879757e-38	7.340526754733591e-15
1.350279335064788e-08	2.8873065223725933e-06	-1.1062049962636069e-21	-2.690817085128892e-38	2.1125300708912185e-06	5.98666060600124e-06	1.6339935185244317e-10	7.112693470243089e-06	-4.775307169010473e-37	7.384326774266903e-15
1.2594958077109058e-08	2.8873065223449423e-06	-9.970619328828763e-22	-4.5695182732222927e-38	2.1125300708756607e-06	5.9875684412747794e-06	1.6339935185244288e-10	7.112693470227532e-06	4.6665269168851065e-37	7.427534838177392e-15
1.1748159429116691e-08	2.8873065223172397e-06	-8.606459586694187e-22	1.3626303466338685e-38	2.1125300708607393e-06	5.988415239922772e-06	1.633993518524426e-10	7.11269347021261e-06	-2.1534073034579965e-37	7.470158946723118e-15
1.0958293735116299e-08	2.887306522295107e-06	-7.696977631001087e-22	-2.622730607098191e-37	2.112530070840824e-06	5.9892051056167725e-06	1.6339935185244237e-10	7.112693470192696e-06	-4.527891362027218e-37	7.512206992038777e-15
1.022153319062565e-08	2.8873065222661827e-06	-7.063212548608485e-22	-1.5021420576520196e-37	2.1125300708282688e-06	5.989941866161264e-06	1.6339935185244218e-10	7.112693470180141e-06	1.5520758400668153e-37	7.55368675959765e-15
9.53430737260006e-09	2.8873065222121564e-06	-6.3708907119813665e-22	1.564013622415799e-36	2.112530070841376e-06	5.990629091979291e-06	1.6339935185244198e-10	7.112693470193247e-06	1.132975191839798e-37	7.594605929652268e-15
8.89328591035303e-09	2.887306522234759e-06	-5.800924629815116e-22	-1.3463548676985592e-36	2.1125300707784073e-06	5.991270113441538e-06	1.6339935185244182e-10	7.112693470130279e-06	-1.322172678544076e-37	7.634972078656831e-15
8.295362333143923e-09	2.887306522324046e-06	-5.3753428945038605e-22	-9.28710813133395e-36	2.112530070649299e-06	5.991868037018746e-06	1.633993518524417e-10	7.1126934700011705e-06	7.910150386424889e-38	7.674792680670218e-15
7.737639041875903e-09	2.8873065217613e-06	-4.972008698564015e-22	2.735009532480876e-35	2.1125300711727626e-06	5.992425760310015e-06	1.6339935185244154e-10	7.112693470524634e-06	-2.0931565314627377e-37	7.714075108739445e-15
7.217413236858499e-09	2.887306522229215e-06	-4.609293636396986e-22	-6.309248182568454e-36	2.112530070666096e-06	5.9929459861150326e-06	1.6339935185244138e-10	7.112693470017966e-06	4.736010561341493e-38	7.75282663626532e-15
6.732163850859428e-09	2.8873065220670516e-06	-4.314102141940229e-22	2.5534710422587902e-36	2.1125300707900316e-06	5.993431235501033e-06	1.6339935185244128e-10	7.1126934701419025e-06	-2.5505310010734176e-38	7.791054438348706e-15
6.279539306964509e-09	2.887306522119838e-06	-4.0569635538473395e-22	-2.150300071662171e-36	2.1125300706995337e-06	5.993883860044927e-06	1.6339935185244118e-10	7.112693470051404e-06	3.992944855966612e-38	7.828765593119365e-15
5.857346133325539e-09	2.8873065220585812e-06	-3.823140035423663e-22	3.9613188213354796e-37	2.1125300707235886e-06	5.994306053218566e-06	1.6339935185244107e-10	7.1126934700754595e-06	-1.7370540229818513e-38	7.865967083046395e-15
