APC	LC	Va3_APC	Va536_APC	VaLCA1	Va53_APC	VaLCA1_APC	Va5_APC	Va36	Va53	Va36_APC	Va536	Va3	Va_APC	Va5	VaA536	VaA3	Va56	LC_APC	VaA53	HC53	HC536	HC3	HC5	HC36	HC	Va	VaA36	HC56	Va56_APC
3.5469134037124193e-10	6.83948591079321e-11	1.1389367327314687e-10	1.7485303325704353e-12	2.9447427139780797e-09	9.90669491497172e-10	1.7609494003013103e-10	5.893629036245685e-09	3.606639745578715e-13	6.876911465522607e-09	4.1888931525298017e-14	1.0518733015025513e-11	1.0643225061051766e-09	2.459869874401175e-09	5.847556886712548e-08	3.4883921438714438e-12	5.124901996380088e-10	4.925014286503931e-11	3.2432058129161355e-12	2.604697511666729e-09	1.3121118820408792e-12	1.7277803143267579e-15	2.646716969450534e-13	1.1768199572462913e-11	8.286477877124961e-17	5.828280957234231e-11	1.2086462138867763e-07	1.6155055960385274e-13	8.461551963989728e-15	6.118019104411758e-12
3.546913403707429e-10	7.145943192478946e-11	1.1220899288908868e-10	1.797065537015647e-12	3.189901480598036e-09	1.0037300608219775e-09	1.8844024365866558e-10	5.921262996775804e-09	3.6676323475166833e-13	7.130327672087316e-09	4.1515114662950064e-14	1.1074307302008867e-11	1.0755269563989534e-09	2.408173821289504e-09	6.049968803988109e-08	3.840308178896328e-12	5.456135202922906e-10	5.178807110363196e-11	3.398770081681004e-12	2.8287149934392105e-09	1.432583837030682e-12	1.913481975219919e-15	2.830770621919356e-13	1.2791459754675423e-11	8.912156691282453e-17	6.033974827860679e-11	1.1832455861784045e-07	1.7290234630649313e-13	9.330470423501351e-15	6.255193460835006e-12
3.5469134037094316e-10	7.451987188661712e-11	1.1052603461037787e-10	1.8451686570766096e-12	3.4423047446778003e-09	1.0163537809771613e-09	2.0115284141475627e-10	5.947879421162295e-09	3.722293995870704e-13	7.376866938147675e-09	4.1128150508060384e-14	1.1628482402138815e-11	1.084900672247509e-09	2.3575642002016223e-09	6.247188948277081e-08	4.2091087363793194e-12	5.789768512864181e-10	5.433171119907783e-11	3.554133936801381e-12	3.060087220962848e-09	1.5573551865572467e-12	2.108727739894957e-15	3.0165922321701174e-13	1.38490863683505e-11	9.547777100111353e-17	6.235345774894183e-11	1.1583787720764001e-07	1.8440510691282393e-13	1.0243090841014888e-14	6.391950518435241e-12
3.546913403720706e-10	7.75760626838958e-11	1.0884636485463266e-10	1.892837729908475e-12	3.7017117657441647e-09	1.028551486317367e-09	2.142205351997917e-10	5.97350095332373e-09	3.770929045755935e-13	7.6166601313688e-09	4.0729169110818087e-14	1.2181051379192231e-11	1.0925580247302082e-09	2.308018179166685e-09	6.439329131963971e-08	4.594738883704151e-12	6.12530564435583e-10	5.688057439703141e-11	3.709291187127999e-12	3.298610956453024e-09	1.68630877054356e-12	2.3134917345052285e-15	3.203876862556699e-13	1.494019606320373e-11	1.0192276545552633e-16	6.432484642930807e-11	1.1340345531752478e-07	1.9604117164687923e-13	1.1199507212823426e-14	6.528282679553289e-12
3.546913403709739e-10	8.062789188727539e-11	1.0717144105383545e-10	1.9400711810422083e-12	3.967888542921048e-09	1.040333779613066e-09	2.2763146915276132e-10	5.998149754961873e-09	3.813830604026701e-13	7.849837357043962e-09	4.031924317608383e-14	1.2731818833948716e-11	1.0986073788334749e-09	2.2595134059870874e-09	6.626498810376403e-08	4.997137959829098e-12	6.462281881371625e-10	5.943418383569025e-11	3.864235845205428e-12	3.5440868922397647e-09	1.819329673689426e-12	2.5277446283759917e-15	3.39233871519323e-13	1.6063924514084758e-11	1.0844643833529517e-16	6.6254803676889e-11	1.1102019468019144e-07	2.07793737054341e-13	1.2199805231609087e-14	6.664182590956722e-12
3.5469134037179945e-10	8.367525083705896e-11	1.0550261766180679e-10	1.9868678062851093e-12	4.2406076253929745e-09	1.0517110350126724e-09	2.413741202484091e-10	6.021847516310154e-09	3.851280845126765e-13	8.076527845641992e-09	3.989939057990478e-14	1.3280600426015248e-11	1.1031513964504728e-09	2.212027997943459e-09	6.808805132134734e-08	5.416239907521987e-12	6.800262374488191e-10	6.199207428953458e-11	4.018962121431564e-12	3.796319621452176e-09	1.956305211334415e-12	2.751453832327127e-15	3.5817101057655e-13	1.7219426013104468e-11	1.150391719357253e-16	6.81442001679786e-11	1.0868702009790218e-07	2.1964683286668615e-13	1.3244062492247029e-14	6.7996431333804754e-12
3.54691340370013e-10	8.671803453734508e-11	1.0384115158068651e-10	2.0332266993888023e-12	4.519647938154993e-09	1.0626933988476766e-09	2.554372872155525e-10	6.0446154707381545e-09	3.8835513137856155e-13	8.296859858000301e-09	3.947057667497901e-14	1.3827222490151678e-11	1.1062873104582785e-09	2.165540532144941e-09	6.98635298608814e-08	5.851973577279161e-12	7.138840606702614e-10	6.455379193145829e-11	4.173464421527637e-12	4.055117605831863e-09	2.0971249132745123e-12	2.9845836788329393e-15	3.7717405368500583e-13	1.840587308612014e-11	1.2169182469728126e-16	6.999388828160434e-11	1.0640287896878501e-07	2.3158529114260855e-13	1.4332348685214333e-14	6.934657405362363e-12
3.546913403681986e-10	8.975614155382293e-11	1.0218820741567976e-10	2.0791472195966726e-12	4.804794608729661e-09	1.0732907922199775e-09	2.6981008113766365e-10	6.066474405785025e-09	3.9109032273930513e-13	8.510960595086848e-09	3.903371653916319e-14	1.4371521620890093e-11	1.1081071902275916e-09	2.1200300360820337e-09	7.159245048165916e-08	6.3042630235153075e-12	7.477636908889139e-10	6.711889409328708e-11	4.327737341853227e-12	4.3202931412389934e-09	2.241680506155793e-12	3.227095598502816e-15	3.962195801131251e-13	1.9622456112466706e-11	1.283957133938506e-16	7.180470247984038e-11	1.041667408170745e-07	2.4359471590397284e-13	1.5464725788281458e-14	7.0692187134095e-12
3.5469134038586504e-10	9.27894739156454e-11	1.0054486259677664e-10	2.1246290201591596e-12	5.095838793305186e-09	1.0835129174259048e-09	2.844819184533065e-10	6.087444668153072e-09	3.933587778619416e-13	8.718956109612568e-09	3.858967719640427e-14	1.4913344199992e-11	1.10869820024624e-09	2.075475978045045e-09	7.327581828565837e-08	6.773027794675232e-12	7.816297015311526e-10	6.96869490138156e-11	4.481775661645594e-12	4.591662320979524e-09	2.3898658945802495e-12	3.478948294389041e-15	4.15285710873968e-13	2.0868382946340152e-11	1.351425955286652e-16	7.35774596863493e-11	1.0197759682565646e-07	2.556614531415284e-13	1.6641248257439195e-14	7.2033205810061794e-12
3.546913402717959e-10	9.581793701777284e-11	9.891211218701064e-11	2.1696720465271868e-12	5.392577509147766e-09	1.0933692617713977e-09	2.994425131697154e-10	6.1075461727334876e-09	3.9518464339185785e-13	8.920971228588887e-09	3.813927972379621e-14	1.545254597446574e-11	1.1081428448981422e-09	2.031858257459881e-09	7.491461717483113e-08	7.258183209939754e-12	8.154490698781277e-10	7.225753560404484e-11	4.635574337997644e-12	4.8690449966676035e-09	2.5415771405521875e-12	3.740097907545828e-15	4.3435202625932146e-13	2.214287854680323e-11	1.419246522984922e-16	7.531295965638274e-11	9.983445937956647e-08	2.6777256181255994e-13	1.786196321317813e-14	7.336956742441038e-12
3.5469134037678223e-10	9.884143952852725e-11	9.729087355325807e-11	2.2142765286300047e-12	5.6948134708926764e-09	1.1028691016494586e-09	3.1468186866056225e-10	6.126798409077642e-09	3.965911228431676e-13	9.117129479980485e-09	3.7683301310566923e-14	1.5988991649918557e-11	1.1065192055717353e-09	1.989157197214965e-09	7.650981030350492e-08	7.759640628351713e-12	8.491910449687656e-10	7.483024321383114e-11	4.7891284976477146e-12	5.152264738170673e-09	2.696712442312839e-12	4.010498177960627e-15	4.533994860194982e-13	2.344518461371284e-11	1.4873447191137626e-16	7.70119853408561e-11	9.773636161491211e-08	2.799157854510243e-13	1.912691062383376e-14	7.470121139722459e-12
3.54691340410952e-10	1.0185989329398564e-10	9.568199058551426e-11	2.2584429403054714e-12	6.002354936566994e-09	1.1120215047395746e-09	3.301902690971898e-10	6.1452204556401655e-09	3.976005052274e-13	9.307553034235372e-09	3.7222477161197295e-14	1.652255454791611e-11	1.1039011555178307e-09	1.9473535327595722e-09	7.806234050447177e-08	8.277307696090684e-12	8.828270282634917e-10	7.740467141244166e-11	4.942433437405799e-12	5.441148790179138e-09	2.8551721108982215e-12	4.290100591629798e-15	4.724103572357565e-13	2.4774559238965552e-11	1.5556503387530216e-16	7.86753032351855e-11	9.568235698985967e-08	2.9207952546593193e-13	2.0436123480923996e-14	7.602807912138094e-12
3.546913403558018e-10	1.0487321324920205e-10	9.40862379798339e-11	2.30217199404504e-12	6.315015550953439e-09	1.1208353341212763e-09	3.4595827171045995e-10	6.162830985903219e-09	3.9823419378620527e-13	9.492362641642368e-09	3.675750241978047e-14	1.705311622052663e-11	1.1003585790401224e-09	1.906428404422848e-09	7.957313072615489e-08	8.81108859779373e-12	9.163304518281893e-10	7.998042976297849e-11	5.095484616660864e-12	5.735528029423765e-09	3.016858547170888e-12	4.578854530909749e-15	4.913681406987433e-13	2.613027655453061e-11	1.62409693122871e-16	8.030366373126243e-11	9.367151884913876e-08	3.042528141522215e-13	2.1789627976212696e-14	7.735011393414634e-12
3.5469134036289894e-10	1.0788131733168367e-10	9.250432495367556e-11	2.3454646042584468e-12	6.632614201614895e-09	1.1293192507716104e-09	3.6197669854246894e-10	6.179648279191692e-09	3.985127335442144e-13	9.671677587866844e-09	3.62890338941801e-14	1.758056613524183e-11	1.0959575622428017e-09	1.8663633487817474e-09	8.104308444054726e-08	9.360884279782527e-12	9.496766728230403e-10	8.255713761302901e-11	5.248277654731245e-12	6.03523691776464e-09	3.1816762160753364e-12	4.876707407343352e-15	5.102575071171673e-13	2.751162640046162e-11	1.6926216540348213e-16	8.189780144951962e-11	9.170294001427787e-08	3.164252899028162e-13	2.318744366842606e-14	7.866726103001353e-12
3.5469134037045864e-10	1.1088412639865528e-10	9.093689894410706e-11	2.3883218997088615e-12	6.9549748739168425e-09	1.1374817186359276e-09	3.7823663008813006e-10	6.195690226424393e-09	3.9845583857000873e-13	9.845615647938287e-09	3.5817691766768854e-14	1.8104801311454064e-11	1.0907605822475924e-09	1.8271402908719805e-09	8.247308605400572e-08	9.92659267112393e-12	9.828428688568422e-10	8.513442387871012e-11	5.400808324912297e-12	6.34011345530434e-09	3.349531620944339e-12	5.183604794347855e-15	5.290642338505411e-13	2.8917913994190032e-11	1.7611651282230207e-16	8.345843556962615e-11	8.97757323748349e-08	3.2858717266831765e-13	2.4629583649346958e-14	7.997946748594412e-12
3.546913403796559e-10	1.1388156414488968e-10	8.938454919232809e-11	2.4307452107747258e-12	7.28192650958585e-09	1.1453310080120372e-09	3.947293980707021e-10	6.21097433855534e-09	3.980824188589614e-13	1.0014293044644265e-08	3.5344061265223555e-14	1.862572599158525e-11	1.0848266909244353e-09	1.7887415357484945e-09	8.386400131035928e-08	1.0508108898784427e-11	1.0158079364814476e-09	8.771192683812503e-11	5.553072549533994e-12	6.649999133036396e-09	3.5203332774423155e-12	5.499490555779047e-15	5.477751435363245e-13	3.0348459604426347e-11	1.8296712967605249e-16	8.498627015662577e-11	8.788902648547265e-08	3.407292399274553e-13	2.6116054707475874e-14	8.128668219847013e-12
3.5469134036981396e-10	1.1687355702081798e-10	8.784781019531522e-11	2.472736057831585e-12	7.613302867465488e-09	1.1528751992712547e-09	4.11446578444326e-10	6.225517754691963e-09	3.9741060697920713e-13	1.0177824409978098e-08	3.486869428850896e-14	1.9143251318284686e-11	1.0782116929442216e-09	1.751149760293766e-09	8.521667768878526e-08	1.1105325497195388e-11	1.0485523929379273e-09	9.028929392470993e-11	5.705066396151191e-12	6.9647388846715965e-09	3.693991686967288e-12	5.824306971183453e-15	5.663780446775627e-13	3.180259822902872e-11	1.8980872854206315e-16	8.648199448310619e-11	8.604197116832622e-08	3.5284280309734225e-13	2.7646857489663803e-14	8.25888558526911e-12
3.546913403697263e-10	1.1986003415625935e-10	8.632716470175379e-11	2.5142961412133564e-12	7.948942394138602e-09	1.1601221863006491e-09	4.283799849550056e-10	6.239337250335161e-09	3.9645778326089004e-13	1.0336322759212924e-08	3.4392110864870453e-14	1.965729504224973e-11	1.070968301468244e-09	1.7143480049240643e-09	8.65319447800572e-08	1.1718132594143841e-11	1.0810582906943195e-09	9.286618153335074e-11	5.8567860741959504e-12	7.284181036119175e-09	3.8704193084296086e-12	6.1579948469377244e-15	5.848616799473657e-13	3.32796792902289e-11	1.9663632754610322e-16	8.794628333402116e-11	8.42337331369779e-08	3.6491968597418266e-13	2.922198665374302e-14	8.388594087345029e-12
