Cdc20	O-Mad2	Cdc20:C-Mad2	Mad1:C-Mad2	MCC	Mad1:C-Mad2:O-Mad2*	Bub3:BubR1	Bub3:BubR1:Cdc20
1.901148607694901e-07	1.0066905041482225e-07	1.4155903090919054e-09	4.952438342814342e-08	2.7439742704229297e-08	4.756165718566229e-10	1.0153045107858167e-07	1.0298062171889029e-09
1.892230522709168e-07	9.976654310819704e-08	1.4364003993742867e-09	4.952660872134805e-08	2.8323665213776735e-08	4.733912786519995e-10	1.0065945267029076e-07	1.0168821159323822e-09
1.883400724816578e-07	9.887290950488595e-08	1.457350694026556e-09	4.952883132846414e-08	2.919857112955165e-08	4.711686715358996e-10	9.979742317568405e-08	1.0040056947641814e-09
1.8746580443651334e-07	9.798806083924257e-08	1.4784418078734352e-09	4.953105109415685e-08	3.006454844704087e-08	4.689489058431898e-10	9.89442462443865e-08	9.912053085724913e-10
1.8660013799815406e-07	9.711190932066947e-08	1.4996742480626125e-09	4.953326785896666e-08	3.092168429023459e-08	4.667321410333724e-10	9.809981224621638e-08	9.785034635488968e-10
1.857429687503861e-07	9.624436811950536e-08	1.5210484360927732e-09	4.953548146521519e-08	3.177006490961707e-08	4.6451853478484567e-10	9.726401718647858e-08	9.659179039042117e-10
1.8489419705526156e-07	9.538535135684473e-08	1.5425648076740269e-09	4.953769180304484e-08	3.2609775638526096e-08	4.6230819695520113e-10	9.64367618629353e-08	9.53462498538458e-10
1.8405372739776588e-07	9.453477408354788e-08	1.564223651438737e-09	4.953989872095473e-08	3.3440900985968125e-08	4.60101279045303e-10	9.56179510492043e-08	9.411479648274244e-10
1.832214676962507e-07	9.369255227573305e-08	1.5860252968755232e-09	4.9542102119970816e-08	3.4263524547362255e-08	4.578978800292133e-10	9.48074929931259e-08	9.289824595116871e-10
1.823973288782148e-07	9.285860281577797e-08	1.6079699760373006e-09	4.954430187711705e-08	3.5077729085301784e-08	4.5569812288297997e-10	9.400529885425181e-08	9.16972060446251e-10
1.81581224442839e-07	9.203284348429768e-08	1.6300578942803701e-09	4.9546497882655926e-08	3.588359650407789e-08	4.535021173441061e-10	9.321128233711905e-08	9.051211588028945e-10
1.8077307012593372e-07	9.12151929484183e-08	1.6522892501327956e-09	4.954869004277186e-08	3.668120784422077e-08	4.513099572281783e-10	9.242535937606618e-08	8.934327797128705e-10
1.7997278366125393e-07	9.040557074812413e-08	1.6746641582338947e-09	4.9550878243018814e-08	3.747064333666081e-08	4.491217569812159e-10	9.164744781948748e-08	8.819088438515381e-10
1.7918028451544794e-07	8.960389728942636e-08	1.6971827446657149e-09	4.9553062393997826e-08	3.8251982359905734e-08	4.4693760600220995e-10	9.087746726011334e-08	8.705503799807519e-10
1.7839549373379258e-07	8.881009383090993e-08	1.7198450884434347e-09	4.955524239882516e-08	3.902530347947178e-08	4.447576011748774e-10	9.011533882223572e-08	8.593576982923207e-10
1.7761833378177288e-07	8.802408247418236e-08	1.7426512315418128e-09	4.9557418158903446e-08	3.979068445317927e-08	4.4258184109658953e-10	8.936098501331442e-08	8.483305335061239e-10
1.768487284110388e-07	8.72457861548296e-08	1.7656012015337647e-09	4.95595895846856e-08	4.054820222832222e-08	4.404104153144412e-10	8.861432961257229e-08	8.374681591053186e-10
1.7608660256273088e-07	8.64751286319515e-08	1.788694999486434e-09	4.9561756588312874e-08	4.1297932956874944e-08	4.382434116871699e-10	8.787529756221704e-08	8.267694809078495e-10
1.7533188228552977e-07	8.571203447814184e-08	1.8119325928663392e-09	4.9563919079461e-08	4.2039952008452816e-08	4.360809205390484e-10	8.714381487839583e-08	8.162331131511799e-10
1.745844946594759e-07	8.495642907022688e-08	1.835313921048083e-09	4.956607696799391e-08	4.277433397671893e-08	4.3392303200612706e-10	8.641980858052373e-08	8.058574427571707e-10
1.7384436773184368e-07	8.420823858039526e-08	1.8588389038777876e-09	4.956823016846723e-08	4.350115268419418e-08	4.317698315328091e-10	8.570320663572118e-08	7.956406800844712e-10
1.7311143047133444e-07	8.346738996665534e-08	1.8825074359531e-09	4.957037859650674e-08	4.422048119389829e-08	4.2962140349330133e-10	8.499393790728725e-08	7.855808988142894e-10
1.7238561272784907e-07	8.273381096361965e-08	1.9063193834198627e-09	4.957252216701388e-08	4.4932391819974364e-08	4.2747783298615624e-10	8.429193211126865e-08	7.756760687568322e-10
1.7166684519497964e-07	8.200743007370171e-08	1.9302745858733003e-09	4.957466079534929e-08	4.563695613577426e-08	4.253392046507544e-10	8.359711978085265e-08	7.659240833729304e-10
1.709550593776227e-07	8.128817655840984e-08	1.9543728589666087e-09	4.957679439863262e-08	4.6334244981256165e-08	4.2320560136742615e-10	8.290943223658902e-08	7.563227821546642e-10
1.7025018756629997e-07	8.057598042957975e-08	1.978613993485468e-09	4.957892289509609e-08	4.702432847203088e-08	4.210771049039557e-10	8.222880155978514e-08	7.46869968183819e-10
1.695521628125462e-07	7.987077244074615e-08	2.0029977546307625e-09	4.9581046203915645e-08	4.770727600853873e-08	4.189537960844027e-10	8.155516056717667e-08	7.375634242844589e-10
1.6886091890920767e-07	7.917248407859068e-08	2.0275238811251046e-09	4.9583164244723006e-08	4.8383156285007225e-08	4.168357552770398e-10	8.088844279033249e-08	7.284009246601312e-10
1.6817639037559582e-07	7.848104755468727e-08	2.0521920857081036e-09	4.958527693799517e-08	4.90520372975998e-08	4.1472306200488136e-10	8.022858246130361e-08	7.193802410964213e-10
1.67498512440939e-07	7.779639579705248e-08	2.0770020535877284e-09	4.9587384204128094e-08	4.9713986353487866e-08	4.1261579587195714e-10	7.957551449452643e-08	7.10499151985541e-10
1.668272210286383e-07	7.711846244208018e-08	2.1019534441542046e-09	4.958948596474065e-08	5.036907007850623e-08	4.1051403525940104e-10	7.892917447279222e-08	7.017554487013847e-10
1.6616245274412787e-07	7.644718182651118e-08	2.127045891314344e-09	4.959158214297299e-08	5.1017354425147435e-08	4.0841785702706335e-10	7.828949863544193e-08	6.931469394104683e-10
1.6550414486410608e-07	7.578248897918505e-08	2.1522790003916477e-09	4.959367266147426e-08	5.1658904681897543e-08	4.0632733852578576e-10	7.765642386449745e-08	6.846714536048501e-10
1.648522353244603e-07	7.512431961360284e-08	2.177652351234527e-09	4.9595757445158074e-08	5.2293785480320686e-08	4.042425548419764e-10	7.702988767569452e-08	6.763268439846247e-10
1.642066627074945e-07	7.447261011940446e-08	2.2031654955743233e-09	4.95978364190802e-08	5.292206080410137e-08	4.021635809198601e-10	7.640982820306854e-08	6.681109928299267e-10
1.6356736623978476e-07	7.382729755527946e-08	2.2288179564713027e-09	4.959990950849798e-08	5.3543793996747175e-08	4.000904915020791e-10	7.579618419625579e-08	6.60021806996872e-10
1.6293428577456618e-07	7.318831964067912e-08	2.2546092292398678e-09	4.960197663962207e-08	5.415904776970304e-08	3.9802336037798805e-10	7.518889500380576e-08	6.520572264910327e-10
1.6230736179131624e-07	7.255561474900238e-08	2.2805387812835093e-09	4.9604037739655825e-08	5.476788420936991e-08	3.9596226034422845e-10	7.458790057259949e-08	6.442152180304452e-10
1.616865353816928e-07	7.192912189944847e-08	2.306606051214146e-09	4.960609273641692e-08	5.537036478575425e-08	3.939072635831392e-10	7.399314143290667e-08	6.364937813389111e-10
1.6107174824540828e-07	7.130878075011181e-08	2.332810449429913e-09	4.9608141558889145e-08	5.596655035934738e-08	3.9185844111091986e-10	7.340455869483791e-08	6.288909458145515e-10
1.6046294268101936e-07	7.069453159043754e-08	2.3591513568404988e-09	4.9610184136568755e-08	5.6556501189290666e-08	3.8981586343129916e-10	7.282209403785957e-08	6.214047728496036e-10
1.598600615785174e-07	7.008631533385956e-08	2.3856281251635712e-09	4.9612220399837534e-08	5.714027694081436e-08	3.8777960016252425e-10	7.224568970368066e-08	6.140333555047946e-10
1.5926304841340505e-07	6.948407351107631e-08	2.4122400762753756e-09	4.961425027970104e-08	5.771793669234931e-08	3.857497202990107e-10	7.167528848968012e-08	6.067748179703805e-10
1.5867184723794533e-07	6.888774826236618e-08	2.4389865022249155e-09	4.961627370796494e-08	5.82895389433738e-08	3.8372629203511855e-10	7.111083374016994e-08	5.99627316456086e-10
1.580864026769485e-07	6.829728233155758e-08	2.4658666655674982e-09	4.961829061750273e-08	5.885514162037761e-08	3.81709382497326e-10	7.055226934251568e-08	5.925890371065226e-10
1.575066599166389e-07	6.771261905728745e-08	2.4928797978303496e-09	4.9620300941615406e-08	5.941480208649757e-08	3.7969905838464985e-10	6.999953971446894e-08	5.85658199033305e-10
1.5693256470412944e-07	6.713370236859896e-08	2.52002510089171e-09	4.9622304614808505e-08	5.996857714531778e-08	3.7769538519155256e-10	6.945258980502085e-08	5.788330496612007e-10
1.5636406333587527e-07	6.656047677595401e-08	2.5473017458056643e-09	4.9624301572361856e-08	6.051652305060215e-08	3.756984276382023e-10	6.89113650816806e-08	5.721118677170739e-10
1.5580110265313684e-07	6.599288736530293e-08	2.5747088727162132e-09	4.9626291750352845e-08	6.105869551233367e-08	3.737082496472094e-10	6.837581152585272e-08	5.654929618134414e-10
1.5524363003912434e-07	6.543087979296257e-08	2.602245590813165e-09	4.962827508565678e-08	6.159514970188102e-08	3.7172491434327547e-10	6.784587562993719e-08	5.589746681816226e-10
1.5469159340611434e-07	6.48744002756437e-08	2.629910978123198e-09	4.963025151613493e-08	6.212594026236802e-08	3.697484838651188e-10	6.732150438423721e-08	5.525553533945988e-10
1.5414494119683765e-07	6.43233955884203e-08	2.6577040812956023e-09	4.96322209803247e-08	6.265112131060877e-08	3.677790196753541e-10	6.680264527813296e-08	5.462334112581182e-10
1.5360362237244005e-07	6.37778130539816e-08	2.6856239153760572e-09	4.96341834177009e-08	6.317074644834322e-08	3.6581658229915513e-10	6.628924628781578e-08	5.400072638408352e-10
1.5306758640990355e-07	6.323760053903728e-08	2.7136694639189115e-09	4.9636138768608e-08	6.36848687656518e-08	3.6386123139205514e-10	6.578125587382215e-08	5.338753605258828e-10
1.5253678329579996e-07	6.270270644780952e-08	2.741839678924544e-09	4.963808697431072e-08	6.419354084757663e-08	3.6191302568933446e-10	6.527862297472417e-08	5.278361776990215e-10
1.520111635188075e-07	6.217307971389835e-08	2.7701334802178347e-09	4.9640027976893916e-08	6.46968147827777e-08	3.599720231061391e-10	6.478129699902503e-08	5.21888218197066e-10
1.5149067806704908e-07	6.164866979735918e-08	2.798549756331291e-09	4.96419617194318e-08	6.519474216574132e-08	3.580382805682514e-10	6.428922782338005e-08	5.160300108784477e-10
1.5097527841879383e-07	6.112942667494428e-08	2.827087363379819e-09	4.964388814587077e-08	6.568737410754665e-08	3.5611185412928535e-10	6.380236578217332e-08	5.102601102798413e-10
1.5046491654051235e-07	6.061530083738303e-08	2.855745125680339e-09	4.9645807201002045e-08	6.617476123793866e-08	3.5419279899800656e-10	6.332066166619236e-08	5.045770958687838e-10
1.499595448793243e-07	6.010624328161211e-08	2.8845218354238902e-09	4.964771883052557e-08	6.665695371348955e-08	3.5228116947448175e-10	6.284406671474786e-08	4.98979571762386e-10
1.4945911635630654e-07	5.960220550379039e-08	2.9134162525059037e-09	4.964962298110497e-08	6.713400122480866e-08	3.5037701889508217e-10	6.237253260881214e-08	4.934661663790222e-10
1.4896358436601766e-07	5.9103139498033116e-08	2.942427105104391e-09	4.965151960027426e-08	6.760595299713673e-08	3.4848039972579386e-10	6.190601147112171e-08	4.880355317413503e-10
1.4847290276526555e-07	5.86089977449279e-08	2.9715530888181806e-09	4.965340863649748e-08	6.807285780275136e-08	3.465913635025777e-10	6.144445585408341e-08	4.826863431650002e-10
1.4798702587052858e-07	5.8119733208461715e-08	3.0007928670926426e-09	4.965529003915426e-08	6.853476396359987e-08	3.447099608458009e-10	6.09878187376209e-08	4.774172987790201e-10
1.4750590845576657e-07	5.763529933369243e-08	3.030145072234727e-09	4.965716375853111e-08	6.899171935260392e-08	3.428362414689562e-10	6.053605352800097e-08	4.72227119394911e-10
1.4702950574095376e-07	5.7155650034300864e-08	3.059608303502478e-09	4.965902974584806e-08	6.944377140804468e-08	3.4097025415200056e-10	6.008911404445592e-08	4.671145474991958e-10
1.4655777339146523e-07	5.6680739692071766e-08	3.0891811286621025e-09	4.9660887953266063e-08	6.989096713253216e-08	3.3911204673400113e-10	5.964695452012701e-08	4.6207834734063456e-10
1.4609066751344407e-07	5.621052315207815e-08	3.118862084332405e-09	4.966273833392795e-08	7.033335309751735e-08	3.372616660721141e-10	5.9209529597776156e-08	4.5711730470627934e-10
1.4562814464477438e-07	5.574495571242922e-08	3.1486496745322316e-09	4.966458084188177e-08	7.077097545492028e-08	3.354191581182967e-10	5.877679431930627e-08	4.5223022577324654e-10
1.4517016175424173e-07	5.5283993123776853e-08	3.178542372113866e-09	4.966641543210545e-08	7.120387993621468e-08	3.3358456789461843e-10	5.834870412635527e-08	4.4741593742984153e-10
1.4471667623540353e-07	5.482759158260465e-08	3.2085386185047584e-09	4.966824206050531e-08	7.163211185939585e-08	3.317579394947543e-10	5.792521485390796e-08	4.42673286695983e-10
1.44267645899588e-07	5.437570772362384e-08	3.2386368234270777e-09	4.967006068396854e-08	7.205571613691758e-08	3.299393160315312e-10	5.750628272301473e-08	4.3800114006749856e-10
1.438230289752186e-07	5.392829861920777e-08	3.268835366166086e-09	4.967187126032721e-08	7.24747372749533e-08	3.281287396728554e-10	5.7091864341384317e-08	4.333983836621682e-10
