CDK2cycA	CyclinA	Cdk2	CDK2cycA_star_	Values[total_fluorescence]
1.6348629646874397e-08	3.597888341416183e-07	5.978883414161839e-08	2.3862536211507026e-08	1.7705855880409769
1.6348629134573525e-08	3.5978883237080214e-07	5.978883237080226e-08	2.3862538494624044e-08	1.7705856126352355
1.6348628890688632e-08	3.597888315277904e-07	5.978883152779051e-08	2.3862539581520698e-08	1.7705856243435372
1.6348628774174614e-08	3.5978883112504855e-07	5.978883112504877e-08	2.3862540100776432e-08	1.770585629937079
1.6348628717731025e-08	3.5978883092994584e-07	5.978883092994605e-08	2.3862540352322754e-08	1.770585632646794
1.6348628690776938e-08	3.597888308367765e-07	5.978883083677669e-08	2.3862540472446214e-08	1.7705856339407915
1.6348628678528306e-08	3.597888307944379e-07	5.978883079443809e-08	2.3862540527033425e-08	1.7705856345288173
1.6348628672697195e-08	3.5978883077428215e-07	5.978883077428233e-08	2.3862540553020313e-08	1.770585634808754
1.6348628669345463e-08	3.5978883076269654e-07	5.978883076269673e-08	2.386254056795765e-08	1.7705856349696627
1.6348628667408844e-08	3.597888307560024e-07	5.978883075600266e-08	2.3862540576588336e-08	1.7705856350626343
1.6348628666580406e-08	3.5978883075313883e-07	5.978883075313907e-08	2.3862540580280364e-08	1.7705856351024056
1.634862866648026e-08	3.5978883075279266e-07	5.97888307527929e-08	2.3862540580726688e-08	1.7705856351072136
1.6348628666748407e-08	3.597888307537195e-07	5.978883075371976e-08	2.386254057953169e-08	1.7705856350943407
1.6348628666856486e-08	3.5978883075409317e-07	5.978883075409335e-08	2.3862540579050002e-08	1.770585635089152
1.6348628666570633e-08	3.597888307531051e-07	5.978883075310528e-08	2.3862540580323937e-08	1.7705856351028753
1.6348628666141438e-08	3.597888307516216e-07	5.978883075162171e-08	2.38625405822367e-08	1.7705856351234799
1.6348628665758335e-08	3.5978883075029735e-07	5.978883075029746e-08	2.386254058394403e-08	1.7705856351418716
1.634862866562188e-08	3.5978883074982566e-07	5.97888307498258e-08	2.3862540584552163e-08	1.7705856351484224
1.63486286656885e-08	3.5978883075005595e-07	5.978883075005609e-08	2.3862540584255245e-08	1.770585635145224
1.63486286658302e-08	3.597888307505458e-07	5.978883075054589e-08	2.386254058362374e-08	1.7705856351384215
1.6348628665906575e-08	3.597888307508098e-07	5.978883075080988e-08	2.386254058328339e-08	1.770585635134755
1.6348628666332977e-08	3.597888307522837e-07	5.978883075228377e-08	2.386254058138309e-08	1.7705856351142846
1.6348628666620687e-08	3.5978883075327816e-07	5.978883075327826e-08	2.38625405801009e-08	1.7705856351004727
1.6348628666490217e-08	3.597888307528272e-07	5.978883075282729e-08	2.3862540580682337e-08	1.770585635106736
1.6348628666597023e-08	3.597888307531964e-07	5.978883075319648e-08	2.3862540580206338e-08	1.7705856351016083
1.6348628666533922e-08	3.597888307529783e-07	5.978883075297837e-08	2.3862540580487556e-08	1.7705856351046378
1.6348628666272536e-08	3.597888307520748e-07	5.978883075207485e-08	2.3862540581652458e-08	1.7705856351171863
1.6348628666079846e-08	3.597888307514087e-07	5.978883075140882e-08	2.3862540582511178e-08	1.7705856351264364
1.6348628665907022e-08	3.5978883075081134e-07	5.978883075081142e-08	2.3862540583281402e-08	1.7705856351347335
1.6348628665783438e-08	3.5978883075038417e-07	5.978883075038425e-08	2.3862540583832162e-08	1.7705856351406666
1.6348628665668668e-08	3.597888307499875e-07	5.978883074998753e-08	2.3862540584343647e-08	1.7705856351461764
1.6348628665633705e-08	3.597888307498666e-07	5.978883074986666e-08	2.3862540584499475e-08	1.770585635147855
1.634862866567142e-08	3.5978883074999697e-07	5.978883074999705e-08	2.386254058433138e-08	1.7705856351460443
1.6348628665691336e-08	3.597888307500658e-07	5.978883075006588e-08	2.3862540584242622e-08	1.7705856351450882
1.634862866572586e-08	3.597888307501851e-07	5.97888307501852e-08	2.386254058408878e-08	1.7705856351434308
1.6348628665817564e-08	3.597888307505021e-07	5.978883075050217e-08	2.3862540583680096e-08	1.7705856351390286
1.6348628665941194e-08	3.5978883075092945e-07	5.978883075092951e-08	2.386254058312913e-08	1.7705856351330933
1.6348628666036833e-08	3.597888307512601e-07	5.97888307512601e-08	2.3862540582702895e-08	1.7705856351285019
1.6348628666075373e-08	3.5978883075139325e-07	5.978883075139332e-08	2.386254058253114e-08	1.7705856351266516
1.63486286660277e-08	3.597888307512285e-07	5.978883075122854e-08	2.38625405827436e-08	1.7705856351289402
1.6348628665990253e-08	3.5978883075109907e-07	5.978883075109909e-08	2.3862540582910494e-08	1.7705856351307383
1.6348628666017586e-08	3.5978883075119356e-07	5.978883075119359e-08	2.3862540582788647e-08	1.7705856351294256
1.634862866602337e-08	3.597888307512135e-07	5.978883075121359e-08	2.3862540582762882e-08	1.770585635129148
1.6348628666001264e-08	3.5978883075113713e-07	5.978883075113718e-08	2.386254058286139e-08	1.7705856351302092
1.6348628665944946e-08	3.5978883075094247e-07	5.978883075094251e-08	2.3862540583112382e-08	1.7705856351329128
1.634862866588148e-08	3.597888307507231e-07	5.978883075072314e-08	2.386254058339523e-08	1.77058563513596
1.6348628665852964e-08	3.597888307506245e-07	5.978883075062456e-08	2.386254058352232e-08	1.7705856351373288
1.6348628665825482e-08	3.597888307505295e-07	5.978883075052957e-08	2.3862540583644786e-08	1.770585635138648
1.6348628665801e-08	3.5978883075044495e-07	5.978883075044495e-08	2.3862540583753884e-08	1.7705856351398233
1.634862866578149e-08	3.597888307503775e-07	5.978883075037751e-08	2.386254058384085e-08	1.77058563514076
1.6348628665785628e-08	3.597888307503918e-07	5.978883075039181e-08	2.3862540583822404e-08	1.7705856351405613
1.6348628665759807e-08	3.5978883075030254e-07	5.978883075030255e-08	2.386254058393748e-08	1.770585635141801
1.6348628665742618e-08	3.597888307502431e-07	5.978883075024314e-08	2.3862540584014085e-08	1.7705856351426261
1.6348628665734062e-08	3.597888307502135e-07	5.978883075021353e-08	2.386254058405223e-08	1.7705856351430374
1.634862866573413e-08	3.597888307502137e-07	5.97888307502138e-08	2.386254058405191e-08	1.7705856351430338
1.634862866573598e-08	3.5978883075022016e-07	5.978883075022019e-08	2.3862540584043662e-08	1.770585635142945
1.6348628665703708e-08	3.597888307501086e-07	5.978883075010863e-08	2.38625405841875e-08	1.7705856351444944
1.634862866567503e-08	3.5978883075000946e-07	5.97888307500095e-08	2.38625405843153e-08	1.770585635145871
1.6348628665649954e-08	3.597888307499228e-07	5.978883074992282e-08	2.386254058442707e-08	1.770585635147075
1.634862866562847e-08	3.5978883074984853e-07	5.978883074984857e-08	2.38625405845228e-08	1.7705856351481062
1.634862866561059e-08	3.597888307497867e-07	5.978883074978675e-08	2.3862540584602502e-08	1.7705856351489648
1.634862866559631e-08	3.5978883074973735e-07	5.978883074973737e-08	2.3862540584666165e-08	1.7705856351496507
1.634862866558562e-08	3.5978883074970035e-07	5.978883074970043e-08	2.386254058471379e-08	1.7705856351501637
1.6348628665578532e-08	3.597888307496759e-07	5.978883074967592e-08	2.3862540584745382e-08	1.770585635150504
1.6348628665575038e-08	3.597888307496638e-07	5.978883074966386e-08	2.386254058476094e-08	1.7705856351506717
1.6348628665575147e-08	3.597888307496642e-07	5.978883074966423e-08	2.3862540584760467e-08	1.7705856351506666
1.6348628665578853e-08	3.59788830749677e-07	5.978883074967703e-08	2.3862540584743953e-08	1.7705856351504887
1.6348628665586155e-08	3.5978883074970226e-07	5.978883074970227e-08	2.386254058471141e-08	1.7705856351501381
1.6348628665597057e-08	3.597888307497399e-07	5.978883074973995e-08	2.3862540584662827e-08	1.7705856351496148
1.6348628665611553e-08	3.5978883074979003e-07	5.978883074979007e-08	2.3862540584598214e-08	1.7705856351489186
1.6348628665629652e-08	3.5978883074985255e-07	5.978883074985263e-08	2.386254058451756e-08	1.7705856351480498
1.6348628665651344e-08	3.5978883074992757e-07	5.978883074992762e-08	2.3862540584420873e-08	1.7705856351470084
1.634862866567664e-08	3.59788830750015e-07	5.978883075001505e-08	2.3862540584308155e-08	1.7705856351457943
1.6348628665705527e-08	3.5978883075011487e-07	5.978883075011492e-08	2.3862540584179402e-08	1.7705856351444071
1.634862866571434e-08	3.597888307501453e-07	5.978883075014536e-08	2.3862540584140134e-08	1.7705856351439841
1.634862866571486e-08	3.5978883075014716e-07	5.978883075014719e-08	2.3862540584137795e-08	1.7705856351439588
1.6348628665715576e-08	3.597888307501496e-07	5.978883075014968e-08	2.3862540584134606e-08	1.7705856351439246
1.6348628665716483e-08	3.597888307501527e-07	5.97888307501528e-08	2.3862540584130562e-08	1.7705856351438811
1.634862866571758e-08	3.5978883075015653e-07	5.97888307501566e-08	2.3862540584125675e-08	1.7705856351438283
1.6348628665718868e-08	3.5978883075016103e-07	5.978883075016103e-08	2.3862540584119938e-08	1.7705856351437665
