G*T	D	Pi	GD	RG*T	RGA	RG*AT	RGD	R	A	GA	RGAD	G	RG	G*AT	GAD	T	Values[Z]	Values[v]
9.589882320013345e-12	0.00014900593155153964	0.004400006041748932	3.9618178733988287e-16	9.879781454780223e-09	-2.1105591164233833e-29	-6.809062737405952e-28	1.1019699776080319e-10	9.990009590278864e-06	-3.317971866817529e-27	-2.9000574227590106e-38	-5.8047971278597314e-27	3.2483411741858014e-19	4.3126856096641696e-13	-5.379113666666222e-34	-1.1865977181560056e-32	0.0004679840688797368	0.9889371337100235	0.012856182738230302
9.589862364396777e-12	0.00014900606006676398	0.004400006170284649	3.962307504816066e-16	9.879760916179027e-09	-2.1342278575496937e-29	-6.87601743021113e-28	1.1021749004473135e-10	9.990009590258957e-06	-3.3978329183167526e-27	-2.9326431112870054e-38	-5.8702436715775055e-27	3.2483270087092505e-19	4.31334783818839e-13	-5.521619502392631e-34	-1.2261805190049849e-32	0.00046798394036457873	0.9889350778543424	0.012856156012106448
9.589832671300849e-12	0.00014900618857208826	0.004400006298820465	3.9630360548346617e-16	9.879730355653021e-09	-2.1547187122004832e-29	-6.931132965707972e-28	1.1024798162593769e-10	9.990009590229338e-06	-3.474817775689875e-27	-2.960866010591321e-38	-5.9270048145952495e-27	3.2483060165744955e-19	4.314333478403589e-13	-5.660058579786428e-34	-1.265702122392476e-32	0.00046798381185935307	0.988932018832432	0.012856116244821613
9.58979324072556e-12	0.0001490063170675124	0.00440000642735638	3.964003523454615e-16	9.879689773202202e-09	-2.172031680375752e-29	-6.974409343896478e-28	1.1028847250442224e-10	9.990009590190003e-06	-3.5489264389368975e-27	-2.9847261206719574e-38	-5.975080556912965e-27	3.2482781977815344e-19	4.315642530309765e-13	-5.79443089884761e-34	-1.3051625283184784e-32	0.00046798368336405983	0.9889279566442924	0.012856063436375801
9.589744072670912e-12	0.0001490064455530365	0.0044000065558923935	3.9652099106759263e-16	9.879639168826571e-09	-2.1861667620754996e-29	-7.005846564776647e-28	1.10338962680185e-10	9.990009590140957e-06	-3.620158908057819e-27	-3.0042234415289156e-38	-6.014470898530651e-27	3.2482435523303682e-19	4.3172749939069185e-13	-5.924736459576177e-34	-1.3445617367829927e-32	0.00046798355487869903	0.9889228912899239	0.01285599758676901
9.589685167136904e-12	0.00014900657402866052	0.0044000066844285075	3.966655216498596e-16	9.879578542526129e-09	-2.1971239572997267e-29	-7.025444628348481e-28	1.1039945215322595e-10	9.990009590082196e-06	-3.6885151830526414e-27	-3.019357973162194e-38	-6.0451758394483084e-27	3.2482020802209975e-19	4.3192308691950496e-13	-6.05097526197213e-34	-1.3838997477860188e-32	0.00046798342640327065	0.9889168227693266	0.01285591869600124
9.589616524123536e-12	0.00014900670249438442	0.004400006812964721	3.968339440922623e-16	9.879507894300875e-09	-2.2049032660484324e-29	-7.033203534611978e-28	1.1046994092354512e-10	9.99000959001372e-06	-3.753995263921363e-27	-3.0301297155717945e-38	-6.067195379665936e-27	3.248153781453421e-19	4.3215101561741584e-13	-6.17314730603547e-34	-1.4231765613275565e-32	0.00046798329793777476	0.9889097510824996	0.012855826764072494
9.589538143630809e-12	0.00014900683095020828	0.004400006941501032	3.970262583948009e-16	9.87942722415081e-09	-2.2095046883216175e-29	-7.02912328356714e-28	1.1055042899114249e-10	9.990009589935534e-06	-3.8165991506639844e-27	-3.0365386687577157e-38	-6.080529519183535e-27	3.2480986560276403e-19	4.3241128548442445e-13	-6.291252591766194e-34	-1.4623921774076057e-32	0.0004679831694822112	0.9889016762294438	0.012855721790982768
9.58945002565872e-12	0.000149006959396132	0.004400007070037444	3.9724246455747523e-16	9.879336532075932e-09	-2.2109282241192816e-29	-7.013203875213965e-28	1.1064091635601806e-10	9.990009589847633e-06	-3.876326843280505e-27	-3.038584832719958e-38	-6.085178258001105e-27	3.2480367039436544e-19	4.3270389652053083e-13	-6.4052911191643036e-34	-1.5015465960261666e-32	0.00046798304103658005	0.988892598210159	0.012855603776732064
9.589352170207271e-12	0.00014900708783215568	0.004400007198573954	3.974825625802854e-16	9.879235818076242e-09	-2.209173873441425e-29	-6.9854453095524535e-28	1.1074140301817184e-10	9.990009589750016e-06	-3.9331783417709256e-27	-3.0362682074585214e-38	-6.081141596118645e-27	3.247967925201463e-19	4.33028848725735e-13	-6.5152628882298e-34	-1.5406398171832393e-32	0.0004679829126008814	0.9888825170246448	0.012855472721320378
9.589244577276464e-12	0.00014900721625827926	0.004400007327110564	3.9774655246323137e-16	9.87912508215174e-09	-2.2042416362880474e-29	-6.945847586582606e-28	1.1085188897760382e-10	9.990009589642686e-06	-3.9871536461352464e-27	-3.029588792973406e-38	-6.068419533536157e-27	3.247892319801067e-19	4.333861421000369e-13	-6.621167898962681e-34	-1.5796718408788234e-32	0.0004679827841751151	0.9888714326729018	0.01285532862474772
