Cdc20	O-Mad2	Bub3:BubR1	APC	MCC	Mad1:C-Mad2:O-Mad2*	Bub3:BubR1:Cdc20	APC:Cdc20	Mad1:C-Mad2	MCC:APC	Cdc20:C-Mad2
1.294833003901134e-07	7.409017714620778e-08	7.173026374645953e-08	3.233415152256791e-09	2.1850697327756306e-09	5.632535706399459e-11	4.906418930899083e-10	3.4172560220068196e-08	4.994367464293604e-08	5.259402462767509e-08	1.0744031362779348e-09
1.294008671724524e-07	7.336614842161081e-08	7.101215466421708e-08	3.167685353238301e-09	2.205781942994559e-09	5.581051522265912e-11	4.854202552037923e-10	3.353567150917702e-08	4.9944189484777375e-08	5.3296643137584746e-08	1.0756159825876653e-09
1.2931851557344928e-07	7.264931743394665e-08	7.030122297596178e-08	3.102664822406924e-09	2.2270356190697044e-09	5.530045375362487e-11	4.802542708131257e-10	3.29058480434376e-08	4.994469954624641e-08	5.399148713415555e-08	1.0768593590748938e-09
1.292362256012142e-07	7.193961307036056e-08	6.959739916655962e-08	3.0383511546188e-09	2.2488479278848547e-09	5.4795137164623855e-11	4.751433332425561e-10	3.228303927306815e-08	4.994520486283541e-08	5.467860957231312e-08	1.078134292277278e-09
1.2915397674851207e-07	7.123696493625025e-08	6.890061448465605e-08	2.9747420801362426e-09	2.2712366502052205e-09	5.4294530357802116e-11	4.700868316853743e-10	3.1667195886410305e-08	4.994570546964224e-08	5.5358062033453525e-08	1.0794418497336519e-09
1.2907174796891867e-07	7.054130334795434e-08	6.821080092864672e-08	2.911835467583924e-09	2.294220197874729e-09	5.379859852669371e-11	4.650841593123176e-10	3.1058269818249764e-08	4.9946201401473345e-08	5.6029894714166385e-08	1.0807831414782834e-09
1.2898951765947308e-07	6.985255932672387e-08	6.752789124780822e-08	2.8496293268792406e-09	2.31781763701829e-09	5.3307307175323055e-11	4.6013470823931694e-10	3.0456214266186496e-08	4.994669269282472e-08	5.6694156406934336e-08	1.0821593221486111e-09
1.289072636381546e-07	6.917066459176552e-08	6.685181893156229e-08	2.7881218121378294e-09	2.3420487065179175e-09	5.2820622195848505e-11	4.5523787493207913e-10	2.9860983700874365e-08	4.9947179377804195e-08	5.7350894486987876e-08	1.0835715925332825e-09
1.2882496312437153e-07	6.849555155402951e-08	6.618251820713486e-08	2.7273112246076163e-09	2.366933840217234e-09	5.233850982379467e-11	4.5039305836853794e-10	2.9272533881112918e-08	4.994766149017626e-08	5.800015489427953e-08	1.0850212016503626e-09
1.2874259271754343e-07	6.782715330986424e-08	6.551992403321142e-08	2.667196015095483e-09	2.3924941868029595e-09	5.186093664276394e-11	4.455996620222331e-10	2.8690821866941022e-08	4.994813906335728e-08	5.864198211796356e-08	1.0865094487269072e-09
1.2866012837691582e-07	6.716540363443837e-08	6.486397209473242e-08	2.6077747870800996e-09	2.418751630847462e-09	5.1387869596551356e-11	4.408570943095518e-10	2.811580603280925e-08	4.9948612130403496e-08	5.9276419180110716e-08	1.0880376850073404e-09
1.285775454008642e-07	6.651023697615542e-08	6.421459880029335e-08	2.5490462987811577e-09	2.445728813445595e-09	5.0919275963440535e-11	4.361647681482962e-10	2.7547446083105984e-08	4.994908072403661e-08	5.990350761811293e-08	1.0896073163230672e-09
1.284948184062873e-07	6.586158844966055e-08	6.357174127489288e-08	2.49100946640849e-09	2.473449152829278e-09	5.045512338266299e-11	4.315221027209912e-10	2.698570306403457e-08	4.994954487661739e-08	6.052328746955699e-08	1.0912198045709457e-09
1.2841192130953551e-07	6.521939383113088e-08	6.293533736074592e-08	2.433663365294774e-09	2.5019368636353217e-09	4.999537984970896e-11	4.2692852117918114e-10	2.643053938026556e-08	4.9950004620150343e-08	6.113579725443971e-08	1.092876670944798e-09
1.2832882730378743e-07	6.458358955038015e-08	6.230532560659232e-08	2.377007234237179e-09	2.5312169794801274e-09	4.954001370805957e-11	4.223834542326291e-10	2.5881918806067807e-08	4.995045998629199e-08	6.174107395969506e-08	1.0945794967370196e-09
1.2824550884303872e-07	6.395411268717279e-08	6.168164527098914e-08	2.321040474715027e-09	2.5613153675688556e-09	4.9088993654219184e-11	4.178863369725417e-10	2.5339806500815418e-08	4.995091100634583e-08	6.23391530244696e-08	1.096329927134957e-09
1.2816193761901932e-07	6.33309009637042e-08	6.106423631393538e-08	2.2657626553987186e-09	2.5922587529529354e-09	4.864228873813429e-11	4.1343661096659184e-10	2.48041690224561e-08	4.995135771126192e-08	6.293006832214524e-08	1.0981296724599326e-09
1.2807808454499024e-07	6.271389273961528e-08	6.045303939531974e-08	2.2111735119202812e-09	2.6240747320644883e-09	4.819986836635176e-11	4.0903372376359596e-10	2.4274974339227463e-08	4.99518001316337e-08	6.351385214885229e-08	1.0999805111020074e-09
1.279939197392188e-07	6.210302700708056e-08	5.984799587368229e-08	2.157272946788867e-09	2.6567917869083994e-09	4.776170230401429e-11	4.0467712818183905e-10	2.375219184198358e-08	4.9952238297696035e-08	6.409053521122759e-08	1.1018842924798602e-09
1.2790941250040557e-07	6.149824338332551e-08	5.924904779853596e-08	2.1040610346709583e-09	2.690439312396351e-09	4.7327760664112164e-11	4.00366283661226e-10	2.3235792359922498e-08	4.995267223933594e-08	6.466014660540658e-08	1.1038429382078744e-09
1.278245313062684e-07	6.089948210799881e-08	5.86561379136094e-08	2.0515380129795436e-09	2.725047605165342e-09	4.689801388052816e-11	3.96100654907763e-10	2.272574816070288e-08	4.995310198611952e-08	6.522271382631761e-08	1.1058584466381093e-09
1.2773924377551206e-07	6.030668403450222e-08	5.806920964759653e-08	1.9997042952602155e-09	2.7606479135214083e-09	4.6472432752235746e-11	3.9187971294221097e-10	2.2222032978799857e-08	4.995352756724782e-08	6.577826272593996e-08	1.1079328932845896e-09
1.2765351669192793e-07	5.971979062805675e-08	5.748820711615046e-08	1.9485604581098916e-09	2.797272396783835e-09	4.6050988463691725e-11	3.8770293488394585e-10	2.1724621989708265e-08	4.9953949011536356e-08	6.632681755218188e-08	1.110068434514264e-09
1.2756731594927358e-07	5.913874395742476e-08	5.691307511584358e-08	1.898107251613338e-09	2.8349541888827808e-09	4.563365253012424e-11	3.835698037840323e-10	2.1233491856896977e-08	4.9954366347469924e-08	6.686840089148972e-08	1.1122673096730322e-09
1.2748060656992014e-07	5.856348669152685e-08	5.634375912335925e-08	1.8483455882379292e-09	2.8737273658061594e-09	4.5220396757173205e-11	3.794798087180985e-10	2.074862070964549e-08	4.995477960324287e-08	6.740303370211661e-08	1.11453184379362e-09
1.273933526967648e-07	5.7993962094345525e-08	5.578020529299195e-08	1.799276538963296e-09	2.913626947290387e-09	4.48111931856044e-11	3.754324447235407e-10	2.0269988146042494e-08	4.995518880681443e-08	6.793073531499423e-08	1.1168644501846573e-09
1.2730551758523604e-07	5.7430114019446065e-08	5.522236045405205e-08	1.7509013322294233e-09	2.9546889011556324e-09	4.440601435075218e-11	3.7142721279115855e-10	1.9797575235769334e-08	4.995559398564928e-08	6.845152343200127e-08	1.1192676330466886e-09
1.2721706359706348e-07	5.687188690514837e-08	5.467017210829535e-08	1.7032213505592749e-09	2.9969501437437267e-09	4.400483309526224e-11	3.674636198500719e-10	1.9331364521329787e-08	4.9955995166904774e-08	6.896541412811097e-08	1.1217439899020867e-09
1.2712795221459536e-07	5.6319225769762736e-08	5.412358842689471e-08	1.6562381327447925e-09	3.04044852612786e-09	4.360762262192957e-11	3.6354117875566864e-10	1.8871339999033357e-08	4.9956392377378106e-08	6.947242186822188e-08	1.1242962132660102e-09
1.270381440294747e-07	5.5772076206541635e-08	5.3582558248329694e-08	1.6099533618364635e-09	3.085222830455242e-09	4.321435642383441e-11	3.596594082710435e-10	1.841748712521943e-08	4.9956785643576205e-08	6.997255951294412e-08	1.1269270936355682e-09
1.2694759876627167e-07	5.523038437924415e-08	5.304703107492262e-08	1.5643688572545844e-09	3.13131273709024e-09	4.282500803068743e-11	3.558178331223465e-10	1.7969792787880535e-08	4.995717499196935e-08	7.046583835486489e-08	1.1296395207704269e-09
1.2685627528122603e-07	5.4694097017154185e-08	5.251695707106955e-08	1.5194865656166751e-09	3.1787588139238e-09	4.24395513483475e-11	3.520159839498209e-10	1.7528245303326398e-08	4.995756044865169e-08	7.095226813105693e-08	1.132436486517125e-09
1.2676413159661486e-07	5.416316141089957e-08	5.199228706055644e-08	1.4753085367710472e-09	3.227602456426286e-09	4.2057960656978695e-11	3.482533973648974e-10	1.709283437757649e-08	4.995794203934305e-08	7.143185708565249e-08	1.1353210863650924e-09
1.2667112492012047e-07	5.363752540773083e-08	5.147297252419938e-08	1.4318369193917474e-09	3.27788586190462e-09	4.168021096310346e-11	3.445296159305193e-10	1.6663551082642677e-08	4.9958319789036934e-08	7.190461199796559e-08	1.1382965214362561e-09
1.2657721168378085e-07	5.311713740702659e-08	5.0958965595421326e-08	1.3890739757707618e-09	3.3296520043493254e-09	4.130627713506681e-11	3.408441881903692e-10	1.6240387812190167e-08	4.9958693722864974e-08	7.237053821203908e-08	1.1413660994503273e-09
1.2648234757147767e-07	5.260194635584805e-08	5.045021905700993e-08	1.3470220572385767e-09	3.3829445810031344e-09	4.0936133817064627e-11	3.371966687063891e-10	1.582333824948078e-08	4.995906386618298e-08	7.282963969328066e-08	1.1445332360514899e-09
1.2638648755439143e-07	5.2091901744532735e-08	4.994668633772836e-08	1.3056835749456816e-09	3.437807947223736e-09	4.056975606208665e-11	3.3358661809841023e-10	1.5412397328104737e-08	4.9959430243937954e-08	7.32819190969496e-08	1.1478014552322418e-09
1.2628958594075527e-07	5.158695360238662e-08	4.944832150914562e-08	1.2650609698136577e-09	3.494287036072129e-09	4.020711992895757e-11	3.300136030780163e-10	1.500756117848201e-08	4.995979288007109e-08	7.372737785170435e-08	1.1511743899083467e-09
1.2619159644288937e-07	5.108705249342557e-08	4.895507928130997e-08	1.2251567120096975e-09	3.552427289136704e-09	3.98482008839545e-11	3.264771964914928e-10	1.4608827054928384e-08	4.99601517991161e-08	7.416601623306193e-08	1.154655783492232e-09
1.2609247224582885e-07	5.0592149512093745e-08	4.846691499781979e-08	1.1859732887511194e-09	3.6122745770869934e-09	3.9492974652056494e-11	3.2297697738053685e-10	1.4216193263536122e-08	4.9960507025347995e-08	7.459783344771277e-08	1.1582494884548339e-09
1.259921660757533e-07	5.0102196279022517e-08	4.798378463076982e-08	1.1475131769540137e-09	3.6738751047153537e-09	3.914141736670911e-11	3.1951253105227607e-10	1.382965908958335e-08	4.996085858263334e-08	7.502282773346264e-08	1.1619594654331692e-09
1.2589063027773756e-07	4.961714493682859e-08	4.750564477555037e-08	1.1097788143298266e-09	3.737275304716441e-09	3.8793505150895925e-11	3.160834491523887e-10	1.3449224715089282e-08	4.996120649484915e-08	7.544099647058091e-08	1.1657897827235672e-09
1.2578781690711377e-07	4.913694814592977e-08	4.7032452645141194e-08	1.072772573605765e-09	3.802521721989094e-09	3.844921419178088e-11	3.1268932974154007e-10	1.3074891123265973e-08	4.996155078580826e-08	7.585233630312829e-08	1.1697446147614828e-09
1.2568367783244365e-07	4.8661559080379024e-08	4.6564166063632813e-08	1.0364967381983792e-09	3.869660888543409e-09	3.810852079923671e-11	3.093297773782904e-10	1.2706659991356049e-08	4.9961891479200806e-08	7.62568432704456e-08	1.1738282398331485e-09
