PS	PE	PC	Etn	PCho	Ser	PEtn	Cho
2.4904934726517927e-07	1.109749750548372e-06	4.259445582927111e-08	6.198145842947176e-06	7.62979813611397e-07	7.719519897823369e-06	4.926759863025382e-06	1.6871927724211161e-06
2.656902175629183e-07	1.2281940755373333e-06	4.694227983587483e-08	6.367015244220562e-06	8.25297257613277e-07	7.802300218568292e-06	5.232530450321689e-06	1.7338924248798469e-06
2.830178652080305e-07	1.3533768063323297e-06	5.153192870293848e-08	6.52913308525127e-06	8.900593054199032e-07	7.879960484853443e-06	5.54029524340978e-06	1.779834489434272e-06
3.0105667968425174e-07	1.4852903263301686e-06	5.6363139541674606e-08	6.684674022332675e-06	9.572262802241378e-07	7.95283898845059e-06	5.849526707407473e-06	1.8250333642593753e-06
3.198307462460885e-07	1.6239149662671191e-06	6.143517576942883e-08	6.8338214863850425e-06	1.026755487538303e-06	8.021248435956933e-06	6.159730037360877e-06	1.8695031030219168e-06
3.393635729091634e-07	1.7692202245570817e-06	6.674680085243805e-08	6.97675829745068e-06	1.0986017550136932e-06	8.085482271560106e-06	6.470444763885579e-06	1.91325743068553e-06
3.596781560961405e-07	1.9211652809493657e-06	7.229643514787704e-08	7.1136748388311e-06	1.1727175230282858e-06	8.145810802954406e-06	6.781239684961529e-06	1.9563097461861404e-06
3.807968756996209e-07	2.0796998695352143e-06	7.808222532493332e-08	7.244768629313335e-06	1.249053162564702e-06	8.202482317567103e-06	7.091711054456183e-06	1.9986731316555307e-06
4.027411428291711e-07	2.2447656796229828e-06	8.410199676993189e-08	7.37023191656874e-06	1.327557624680567e-06	8.25573113802978e-06	7.401485279814066e-06	2.0403603710065953e-06
4.255316159677236e-07	2.416296450545578e-06	9.035324970878979e-08	7.490258188165406e-06	1.4081783565087133e-06	8.305774314476052e-06	7.710215509512951e-06	2.081383951337394e-06
4.491881924750618e-07	2.594218592734338e-06	9.683316247030574e-08	7.605042139657264e-06	1.4908615040429252e-06	8.3528123107541e-06	8.017580174322692e-06	2.1217560706557367e-06
4.737296184328675e-07	2.778452748924338e-06	1.0353871861291817e-07	7.714772800156939e-06	1.5755525879332082e-06	8.397034201024651e-06	8.323282737817826e-06	2.1614886541910844e-06
4.991736971177993e-07	2.9689136520706303e-06	1.1046666911496987e-07	7.81963719901767e-06	1.6621963414605806e-06	8.438615733276224e-06	8.627050097280959e-06	2.2005933560914294e-06
5.255373112481359e-07	3.1655105273350856e-06	1.1761354405343985e-07	7.919820765171112e-06	1.7507368151019083e-06	8.477719615498455e-06	8.928631370493566e-06	2.2390815657378748e-06
5.528361461095634e-07	3.368148596314023e-06	1.2497571447570034e-07	8.01550266940807e-06	1.8411180050563108e-06	8.514499430425706e-06	9.227796756108223e-06	2.2769644226203647e-06
5.810847804506012e-07	3.5767289825918523e-06	1.3254946564395965e-07	8.10685861149916e-06	1.933283718259261e-06	8.549098298283015e-06	9.524336170842629e-06	2.3142528181402214e-06
6.10296678126725e-07	3.7911490394377044e-06	1.4033107000129377e-07	8.194061645010173e-06	2.0271776388929466e-06	8.581648926715656e-06	9.818057941835955e-06	2.3509574008435305e-06
6.404840602433041e-07	4.011303571413893e-06	1.483167440389834e-07	8.27727869565434e-06	2.122743826470158e-06	8.612276583299923e-06	1.0108787775628266e-05	2.387088589820056e-06
6.716580498487954e-07	4.237084807356445e-06	1.5650262305263274e-07	8.356672086935988e-06	2.219926611884807e-06	8.641098519475773e-06	1.0396367818736547e-05	2.4226565788200574e-06
7.038287878883094e-07	4.468381747265667e-06	1.648846828050682e-07	8.43240033885803e-06	2.318670351888109e-06	8.66822288827846e-06	1.0680657772551297e-05	2.4576713297087945e-06
7.370051676387106e-07	4.705082905169441e-06	1.7345894956553962e-07	8.504615768889398e-06	2.4189203589676273e-06	8.693753064762036e-06	1.0961529456705206e-05	2.492142606115934e-06
7.711950551131259e-07	4.947074600625064e-06	1.8222136805478835e-07	8.57346643431217e-06	2.520622278446457e-06	8.717784877915028e-06	1.1238869814532414e-05	2.5260799551357625e-06
8.064053240859812e-07	5.194241847162036e-06	1.911678171689605e-07	8.639095971095411e-06	2.6237223259864317e-06	8.740407878435133e-06	1.1512578652969295e-05	2.559492722105542e-06
8.426416454567248e-07	5.446469123048128e-06	2.0029419168611073e-07	8.701641958276754e-06	2.728167644089905e-06	8.761706728175035e-06	1.1782567922614186e-05	2.5923900542647555e-06
8.799085879981765e-07	5.70364010133366e-06	2.0959637627741825e-07	8.761236720395577e-06	2.833906153976683e-06	8.781760673081445e-06	1.2048761775497698e-05	2.624780900918553e-06
9.182098540458404e-07	5.9656385926569904e-06	2.1907039352210302e-07	8.818009525429329e-06	2.940886566239154e-06	8.800644503582255e-06	1.231109212931304e-05	2.656674044343107e-06
9.575480752798222e-07	6.232347724417501e-06	2.2871227513772555e-07	8.872084679547092e-06	3.0490583707221965e-06	8.818427716986917e-06	1.2569502522244873e-05	2.688078072931139e-06
9.979247771745313e-07	6.503649797885959e-06	2.3851803956394736e-07	8.923581195444132e-06	3.1583718347614756e-06	8.83517437167703e-06	1.2823948784018211e-05	2.719001376517094e-06
1.039340538245204e-06	6.779427418182655e-06	2.484837569272047e-07	8.972613558413547e-06	3.268778181947684e-06	8.850944637842842e-06	1.3074395227217853e-05	2.7494521736227815e-06
1.0817952797689917e-06	7.059565951534107e-06	2.5860563818414927e-07	9.01929253038459e-06	3.3802300573799814e-06	8.865798354312637e-06	1.3320807060252744e-05	2.7794385661926284e-06
1.1252878006408017e-06	7.343949580173254e-06	2.6887989200279154e-07	9.063723859047595e-06	3.492680780706495e-06	8.87978931810056e-06	1.3563162568261918e-05	2.808968451716804e-06
1.1698159157740672e-06	7.632462470742407e-06	2.793027668598024e-07	9.106008662122849e-06	3.6060845670303116e-06	8.8929669761478e-06	1.3801449502975895e-05	2.8380495492868814e-06
1.2153768912178064e-06	7.924990791287463e-06	2.898705350843067e-07	9.146244689367757e-06	3.7203968110122625e-06	8.905379499246757e-06	1.4035658063125273e-05	2.866689453619899e-06
1.2619673318259837e-06	8.221422208428092e-06	3.0057949857821755e-07	9.184525996192735e-06	3.835574017956959e-06	8.917073012704204e-06	1.4265782659883461e-05	2.8948956214125225e-06
1.3095828178506194e-06	8.521644260625877e-06	3.1142600732239683e-07	9.220941887758417e-06	3.951573580865495e-06	8.928089107418321e-06	1.4491827628345427e-05	2.922675327194646e-06
1.3582181445793321e-06	8.825545395987087e-06	3.224064617111779e-07	9.255577697597101e-06	4.068353907999111e-06	8.93846644577461e-06	1.4713803456047275e-05	2.9500356928707283e-06
1.4078677670373008e-06	9.133016674285354e-06	3.3351741014495747e-07	9.28851676072507e-06	4.185874534817243e-06	8.948243514992836e-06	1.4931719750635626e-05	2.9769837453010913e-06
1.4585253034237482e-06	9.443949866447529e-06	3.447554400562657e-07	9.319838210424086e-06	4.304095998985161e-06	8.957455552682226e-06	1.5145593092315136e-05	3.0035263520054354e-06
1.510183580244075e-06	9.758237627289396e-06	3.561171878142912e-07	9.349617178489587e-06	4.422979851734383e-06	8.966134826274503e-06	1.535544632014785e-05	3.029670227006675e-06
1.562834908202963e-06	1.0075774283095351e-05	3.6759938628489845e-07	9.377925893709657e-06	4.5424886494068426e-06	8.974312100263753e-06	1.5561304882307794e-05	3.0554219639668933e-06
1.6164713042227286e-06	1.0396456404208098e-05	3.7919890014196366e-07	9.404834537188503e-06	4.662585928885319e-06	8.982017761988925e-06	1.5763194061655334e-05	3.080788062262644e-06
1.671083927452841e-06	1.0720181350486112e-05	3.9091263616642326e-07	9.430409069578805e-06	4.783236270007217e-06	8.989278961822436e-06	1.596114602357643e-05	3.1057748607461774e-06
1.7266632973687601e-06	1.104684783378484e-05	4.0273757793422294e-07	9.45471207130531e-06	4.904405271428744e-06	8.996120719078107e-06	1.6155197090536745e-05	3.130388563360411e-06
1.7831996423916154e-06	1.1376356452526816e-05	4.146707515240935e-07	9.47780390682972e-06	5.02605945760897e-06	9.002567169427607e-06	1.634538456150835e-05	3.1546352715634764e-06
1.8406831234030016e-06	1.1708610029651307e-05	4.2670920235318045e-07	9.499743468762818e-06	5.148166218458698e-06	9.00864235784058e-06	1.6531744688208384e-05	3.1785210050056124e-06
1.8991030967225472e-06	1.2043512498251993e-05	4.38850071559729e-07	9.520585724213425e-06	5.2706940083435655e-06	9.014367623927047e-06	1.671431934829276e-05	3.20205163334874e-06
1.958448418064613e-06	1.2380969361153064e-05	4.5109056450196854e-07	9.54038272670289e-06	5.393612264012833e-06	9.019762680252874e-06	1.6893153293252795e-05	3.22523290438487e-06
2.0187077681179075e-06	1.2720887968203162e-05	4.6342793549705756e-07	9.559184823293127e-06	5.5168912404167835e-06	9.024846599502227e-06	1.706829150876025e-05	3.2480704747927865e-06
2.079869757382237e-06	1.3063177604512996e-05	4.7585948299738156e-07	9.577041043884815e-06	5.6405019574669284e-06	9.029638131523452e-06	1.7239778366204615e-05	3.2705699200448273e-06
2.1419223675032063e-06	1.3407749020245271e-05	4.883825752956128e-07	9.593997026683545e-06	5.764416483745915e-06	9.034154013821013e-06	1.7407662144072134e-05	3.2927366816145654e-06
2.2048531967266923e-06	1.3754514637205592e-05	5.009946392309674e-07	9.610095929664378e-06	5.888607811857107e-06	9.038409713855588e-06	1.7571993041438483e-05	3.314576090171571e-06
2.2686497386626254e-06	1.4103388650795627e-05	5.136932001696894e-07	9.625379618307482e-06	6.013049643498386e-06	9.04242029479588e-06	1.7732820898706896e-05	3.3360933963051685e-06
2.3332993937282183e-06	1.4454287034171734e-05	5.264758836568127e-07	9.639888714385105e-06	6.137716380624769e-06	9.046200451062173e-06	1.7890195104040013e-05	3.357293771786515e-06
2.398789089284469e-06	1.4807127400197653e-05	5.393403605850783e-07	9.653660976454277e-06	6.262583418809596e-06	9.049763328440027e-06	1.8044167699399366e-05	3.3781822676731136e-06
2.4651054583152894e-06	1.516182906624728e-05	5.522843729185201e-07	9.66673206144478e-06	6.387627009254523e-06	9.053121078873813e-06	1.8194791920100784e-05	3.3987638340112684e-06
2.532235163709154e-06	1.5518313007152488e-05	5.653056956139649e-07	9.679136667322492e-06	6.512824008864662e-06	9.056285619365267e-06	1.8342120252343993e-05	3.419043350301801e-06
2.6001648325182038e-06	1.5876501864749233e-05	5.784021443443795e-07	9.690908301450462e-06	6.638151930915279e-06	9.059268478134719e-06	1.848620482697377e-05	3.4390256193240395e-06
2.668880717086466e-06	1.6236319997084557e-05	5.91571615310071e-07	9.702078086569701e-06	6.763589206221178e-06	9.06208000163503e-06	1.8627099449183666e-05	3.4587153353006013e-06
2.7383688695926113e-06	1.6597693451584282e-05	6.048120646845325e-07	9.712675375977486e-06	6.889115048173999e-06	9.064729762142669e-06	1.8764858555567086e-05	3.4781171003056205e-06
2.808615638023095e-06	1.6960549608445205e-05	6.181214410486769e-07	9.72272953450037e-06	7.014708985890465e-06	9.067227555262287e-06	1.889953472010183e-05	3.497235472936755e-06
2.8796073095772776e-06	1.7324817437029072e-05	6.314977339692863e-07	9.732268658009816e-06	7.140351199869549e-06	9.06958268274066e-06	1.9031180447297873e-05	3.5160749333209756e-06
2.951329755012806e-06	1.7690427751580462e-05	6.449390224493716e-07	9.741318296314143e-06	7.266022856764613e-06	9.071803237171688e-06	1.915984996061708e-05	3.5346398482126338e-06
3.0237686959632008e-06	1.805731301902376e-05	6.584434385118499e-07	9.749902413060148e-06	7.391705857761538e-06	9.073896639627364e-06	1.928559785825885e-05	3.5529344972264974e-06
3.096909704937858e-06	1.8425407358963182e-05	6.720091671995442e-07	9.758043385733103e-06	7.517382838578726e-06	9.075869639657768e-06	1.940847911316012e-05	3.570963072837754e-06
3.1707382053220495e-06	1.8794646543682755e-05	6.856344465751844e-07	9.765762005656749e-06	7.643037169467097e-06	9.07772831529106e-06	1.952854907299536e-05	3.588729680382007e-06
3.245239815337844e-06	1.9164967666897676e-05	6.99317538754964e-07	9.773078814666085e-06	7.768652594043555e-06	9.079478811478263e-06	1.964586167406497e-05	3.60623837566572e-06
3.3204011403744207e-06	1.9536308380707405e-05	7.130566631829666e-07	9.780017184196585e-06	7.894212397326699e-06	9.081129041135826e-06	1.9760465326902428e-05	3.6234932516036582e-06
3.3962080238597822e-06	1.9908608580078696e-05	7.268501439328493e-07	9.786596517965006e-06	8.019701242360053e-06	9.082684929967225e-06	1.9872411999103506e-05	3.640498246960273e-06
3.4726461855299273e-06	2.0281809788165934e-05	7.40696355956427e-07	9.792834732358798e-06	8.145104500015375e-06	9.084151786753866e-06	1.9981753900938267e-05	3.657257216141311e-06
3.549701300018328e-06	2.0655855080626197e-05	7.545937184653102e-07	9.798748561844111e-06	8.270408166471972e-06	9.085534472077727e-06	2.0088543077253562e-05	3.673773937787189e-06
3.6273589968559324e-06	2.103068908561928e-05	7.685406949309051e-07	9.804353558965806e-06	8.395598863216704e-06	9.086837398321355e-06	2.019283140747304e-05	3.690052114772993e-06
3.705604888601047e-06	2.1406257926784427e-05	7.825357922861412e-07	9.80966421496346e-06	8.520663796548638e-06	9.088064586089862e-06	2.029467048762046e-05	3.7060953779754436e-06
3.7844253255482162e-06	2.1782507693338815e-05	7.965775395082633e-07	9.814697195831078e-06	8.64558967111218e-06	9.089221177981216e-06	2.039410846507222e-05	3.72190738733831e-06
