Values[V]	Values[m]	Values[h]	Values[n]	Values[V_neg]	Values[E]	Values[i_Na]	Values[i_K]	Values[i_L]	Values[V_Na]	Values[V_K]	Values[V_L]	Values[alpha_m]	Values[beta_m]	Values[auxiliary alpha_h]	Values[beta_h]	Values[alpha_n]	Values[beta_n]
-0.00372061526341129	0.05295574448565453	0.5959981559289236	0.31773260165044953	0.00372061526341129	-75.00372061526342	1.2213754474074143	-4.40418440640375	3.182783815420976	-115.0	12.0	-10.613	0.22362107701191322	3.9991732820527246	0.06998697905776353	0.04744268450512977	0.058210273339827104	0.12499418667383416
-0.0036926679748086034	0.052955579172782465	0.5959973757948825	0.31773278824186607	0.0036926679748086034	-75.0036926679748	1.2213627071918856	-4.404184498076147	3.182792199607557	-115.0	12.0	-10.613	0.2236206461632794	3.9991794912825385	0.06998707685514696	0.04744255820624887	0.058210178667593176	0.1249942303394494
-0.003663423628360662	0.05295539625344748	0.5959967948617383	0.3177328689277405	0.003663423628360662	-75.00366342362837	1.2213491708481605	-4.4041782418833515	3.1828009729114917	-115.0	12.0	-10.613	0.22362019531935945	3.999185988698403	0.06998717919153791	0.04744242604606969	0.05821007960166522	0.12499427603163994
-0.0036377230771450215	0.052955229162916805	0.595996385811194	0.3177328649780343	0.0036377230771450215	-75.00363772307715	1.221337044405994	-4.4041685932868715	3.1828086830768565	-115.0	12.0	-10.613	0.22361979910882282	3.9991916987738305	0.06998726912704986	0.04744230990119315	0.058209992540535556	0.12499431618691881
-0.0036182634790270342	0.052955097841089226	0.5959961099072114	0.31773280363820583	0.0036182634790270342	-75.00361826347903	1.2213275994590225	-4.404158052529749	3.182814520956292	-115.0	12.0	-10.613	0.22361949911185683	3.9991960222574594	0.06998733722328951	0.04744222196035551	0.05820992662082526	0.124994346591162
-0.0036058920167338685	0.052955010130011686	0.5959959260210327	0.31773271198404945	0.0036058920167338685	-75.00360589201674	1.2213212852770279	-4.4041484316697215	3.1828182323949794	-115.0	12.0	-10.613	0.22361930838861602	3.9991987709196706	0.06998738051558807	0.04744216605194552	0.05820988471232199	0.12499436592069907
-0.0036001017658297495	0.052954964668967694	0.5959957970952522	0.317732612868419	0.0036001017658297495	-75.00360010176583	1.2213179371242102	-4.404140811783588	3.1828199694702506	-115.0	12.0	-10.613	0.22361921912392022	3.9992000573845607	0.06998740077781568	0.047442139884993885	0.05820986509777318	0.12499437496755865
-0.0035995561963359447	0.05295495413766708	0.5959956940053159	0.31773252277114905	0.0035995561963359447	-75.00359955619633	1.2213170030055633	-4.404135616206901	3.182820133141099	-115.0	12.0	-10.613	0.22361921071321642	3.999200178597982	0.06998740268696524	0.047442137419489945	0.05820986324964982	0.12499437581997262
-0.0036025626723538507	0.05295496831766276	0.5959955968487055	0.3177324514322882	0.0036025626723538507	-75.00360256267236	1.2213177530949666	-4.404132763934712	3.1828192311982937	-115.0	12.0	-10.613	0.22361925706218122	3.9991995106258473	0.06998739216619365	0.047442151006172106	0.058209873434124794	0.1249943711225653
-0.0036074674921217154	0.05295499673370006	0.5959954945734709	0.3177324025769983	0.0036074674921217154	-75.00360746749212	1.2213194575260946	-4.404131854757795	3.1828177597523633	-115.0	12.0	-10.613	0.22361933267674516	3.9991984208841727	0.06998737500241851	0.04744217317174095	0.05820989004926583	0.12499436345912975
-0.00361287869925219	0.05295503023530761	0.5959953832457399	0.31773237540538796	0.00361287869925219	-75.00361287869926	1.221321489901065	-4.404132333615455	3.182816136390224	-115.0	12.0	-10.613	0.22361941609799466	3.999197218634853	0.06998735606661195	0.04744219762575678	0.05820990837980488	0.12499435500450015
-0.0036177847304924024	0.052955061905251025	0.5959952640180395	0.31773236616809347	0.0036177847304924024	-75.0036177847305	1.2213233847212248	-4.404133621483238	3.182814664580852	-115.0	12.0	-10.613	0.22361949173128184	3.9991961286246407	0.06998733889860628	0.04744221979682115	0.0582099249990574	0.12499434733917275
-0.0036215977154904775	0.05295508747166983	0.5959951410398523	0.3177323696905305	0.0036215977154904775	-75.0036215977155	1.2213248611618375	-4.404135215769493	3.1828135206853525	-115.0	12.0	-10.613	0.22361955051375795	3.999195281465017	0.0699873255555739	0.047442237028258324	0.058209937915602354	0.12499434138165326
