TF_VIIa	VIIIa_IXa	Va	VIIIa	IXa	Va_Xa	Xa	mIIa	X	IX	II	X_VIIIa_IXa	IX_TF_VIIa	VIII	II_Va_Xa	V	IIa	X_TF_VIIa	Values[I]	Values[IIa+1.2mIIa]
2.946942596297453e-09	3.0916766027042785e-11	1.003875069370755e-08	6.120050991430583e-10	3.4051783842259845e-09	5.751607200266681e-09	3.257989531843492e-09	5.825393693805409e-07	1.5570721343092678e-07	8.547023890717267e-08	7.464971289240356e-07	5.707813483567484e-11	1.0365878077387029e-09	-5.670515913479654e-21	4.2096421061633254e-09	-1.374662895611365e-19	6.67538595892593e-08	1.0164695959638288e-09	-3.3715799214051563e-12	7.658011028459083e-07
2.9562952310226677e-09	3.861478881434019e-11	9.094447635482866e-09	5.905889955261102e-10	3.778822830976471e-09	6.809494837387395e-09	4.001887581138176e-09	6.762584459177e-07	1.5401314881260789e-07	8.507667642164935e-08	6.132571015681992e-07	7.079621565964937e-11	1.035089742900213e-09	6.636800037705704e-24	4.096057527129635e-09	1.6333950288256722e-22	1.0638839498697082e-07	1.0086150260771025e-09	-4.9248434543730125e-12	9.178985300882107e-07
2.966234853790868e-09	4.691995983911491e-11	8.212793891841919e-09	5.678029474372347e-10	4.1667247897639296e-09	7.97771560999015e-09	4.914771644977556e-09	7.503060867230642e-07	1.5221255598224608e-07	8.466750218335845e-08	4.86603649125797e-07	8.52770927237567e-11	1.0335759743148232e-09	1.0715868838668734e-29	3.809490498167994e-09	2.6391972518986763e-28	1.592807736529705e-07	1.0001891718942916e-09	-6.868044932213783e-12	1.0596480777206474e-06
2.976807700251457e-09	5.580856425257484e-11	7.407054088463245e-09	5.437891558007099e-10	4.57116588000893e-09	9.225005409518104e-09	6.015004067678108e-09	7.986782091465873e-07	1.50300487072586e-07	8.424059164429529e-08	3.7184175157450965e-07	1.0040227994682139e-10	1.032031631496448e-09	5.177915236216746e-30	3.3679405020187177e-09	1.2947639405680027e-28	2.2611209877688376e-07	9.911606682520782e-10	-9.24139862591339e-12	1.1845259497527883e-06
2.988055723055335e-09	6.525548199627825e-11	6.682022312528886e-09	5.186974915931523e-10	4.994148206627596e-09	1.0499854998094784e-08	7.311445993670227e-09	8.178764256444697e-07	1.4827302785014353e-07	8.379410645032512e-08	2.732096839069332e-07	1.1604702641067527e-10	1.0304428346404065e-09	-1.9178737083688066e-33	2.8181226893763885e-09	-4.7981489750076404e-32	3.0609576775921995e-07	9.815014423042406e-10	-1.2085767221234153e-11	1.2875474785325834e-06
3.000014677556999e-09	7.523299548325849e-11	6.032906418920598e-09	4.926879442155289e-10	5.437172611075103e-09	1.1739414179816325e-08	8.802288928588753e-09	8.079343839852078e-07	1.4612735193156453e-07	8.332671650916318e-08	1.930561939039343e-07	1.3207906030131853e-10	1.0287988239772394e-09	-1.1864147715721016e-34	2.227679401263137e-09	-2.959460881916268e-33	3.9678174270959397e-07	9.711864984657435e-10	-1.544260764851525e-11	1.3663030034918432e-06
3.0127129398889823e-09	8.57095203312295e-11	5.448828505881638e-09	4.659329657576683e-10	5.901140304436339e-09	1.2885128294026671e-08	1.0478492340675329e-08	7.725053220708091e-07	1.4386178455532534e-07	8.283769969717986e-08	1.314759470185392e-07	1.4835751391120797e-10	1.0270929641414683e-09	-4.9360674397567626e-36	1.6660432000917442e-09	-1.2481521347460155e-34	4.943526877105592e-07	9.60194095969531e-10	-1.9353863184812935e-11	1.42135907419553e-06
3.0261715182080566e-09	9.664865701138914e-11	4.918745082484459e-09	4.3861856947730495e-10	6.386429246970497e-09	1.3896995735587215e-08	1.232963595782513e-08	7.178463024153651e-07	1.4147586993071138e-07	8.232686726115119e-08	8.66105130895872e-08	1.647327735114116e-10	1.0253220613556206e-09	-6.957699804320729e-36	1.1842591819283802e-09	-1.7892903819767085e-34	5.943589253131186e-07	9.485064204363047e-10	-2.3861804567660043e-11	1.4557744882115567e-06
3.040405017856727e-09	1.0800884428424012e-10	4.435659422859174e-09	4.109434176217538e-10	6.893095324704932e-09	1.4758981430720056e-08	1.4348069615486629e-08	6.511819095730247e-07	1.3897043149302911e-07	8.179436368702266e-08	5.543758550841661e-08	1.8104773809411184e-10	1.0234844058941696e-09	-6.0169554588036746e-36	8.053591464208262e-10	-1.6161796083009285e-34	6.925751457721378e-07	9.361105762490849e-10	-2.9008837562810357e-11	1.4739934372597672e-06
3.0554228449035767e-09	1.1974364440199205e-10	3.9969909185991384e-09	3.8311589597360516e-10	7.421088611111525e-09	1.5475217870226126e-08	1.652923744837231e-08	5.792015692459088e-07	1.36347613440646e-07	8.124044969972179e-08	3.4638056352315486e-08	1.9714045962450856e-10	1.0215775851402644e-09	8.335950200535234e-37	5.277912111747823e-10	2.264741855908615e-35	7.856325831906008e-07	9.229995699561401e-10	-3.483730166418514e-11	1.480674466285691e-06
3.0712300440919146e-09	1.3180248798824392e-10	3.602369681490979e-09	3.5534978407554563e-10	7.970399881139855e-09	1.606200421635721e-08	1.8869454222952056e-08	5.071708111230498e-07	1.3361089470504368e-07	8.066535297258628e-08	2.121626128694457e-08	2.1284772793631614e-10	1.0195969303493581e-09	-1.6103839935021541e-37	3.356261021518591e-10	-4.263755784503144e-36	8.712773014878533e-07	9.091730255587081e-10	-4.138928230424457e-11	1.479882274835513e-06
3.0878275947356196e-09	1.4413165484036534e-10	3.251293919376405e-09	3.278592896409412e-10	8.541116666573897e-09	1.6540370548044382e-08	2.1363576449108064e-08	4.386897160512657e-07	1.3076507086444896e-07	8.006920776810309e-08	1.2786123970213412e-08	2.2800905551879915e-10	1.0175348549639224e-09	-1.6434858530099508e-38	2.083355325792647e-10	-4.047618626660377e-37	9.483158244459414e-07	8.946375503004382e-10	-4.870645128172567e-11	1.47474348370746e-06
3.105212310883281e-09	1.5667532727685468e-10	2.941969406383792e-09	3.0085403616371644e-10	9.133412708579505e-09	1.693117613596879e-08	2.4003888623968616e-08	3.758735155206987e-07	1.2781620334805476e-07	7.945206043626822e-08	7.604416918424515e-09	2.424706365595346e-10	1.0153808913159431e-09	4.331134837028428e-39	1.2685445764747515e-10	1.2122007457435673e-37	1.0163952131032288e-06	8.79406797800757e-10	-5.68299425774116e-11	1.4674434317280672e-06
3.1233765795067622e-09	1.6937663882062603e-10	2.6712764520818804e-09	2.745343325772543e-10	9.747504868483873e-09	1.7252663514813302e-08	2.6780148360232217e-08	3.197059761678787e-07	1.2477153775160178e-07	7.881390735524568e-08	4.473924755144679e-09	2.560890286022253e-10	1.0131221088476276e-09	3.159704782450913e-40	7.60600331048775e-11	7.399573588232811e-39	1.075744039043871e-06	8.635013116455912e-10	-6.580026613214163e-11	1.4593912104453253e-06
3.1423081162881105e-09	1.8217870076041523e-10	2.4352727395160028e-09	2.490868696378921e-10	1.0383602634728554e-08	1.7519685969359966e-08	2.9680195701432173e-08	2.7040131691624533e-07	1.2163939439312892e-07	7.815474056655046e-08	2.608705100088598e-09	2.6873442960179835e-10	1.0107436683587998e-09	-8.770842495467244e-41	4.5041291124084494e-11	-2.2927552776688024e-39	1.1269449366925415e-06	8.469482153530701e-10	-7.565726045432411e-11	1.4514265169920357e-06
3.1619898346415338e-09	1.9502561355512067e-10	2.229751234456752e-09	2.2468090482440012e-10	1.1041863252505016e-08	1.7743845136132293e-08	3.269064205176546e-08	2.2770059227639141e-07	1.1842903491440584e-07	7.747458827362572e-08	1.5097918584948688e-09	2.8029348162058487e-10	1.0082293786935996e-09	-3.5913868816788237e-42	2.640362941101114e-11	-5.040975346067103e-41	1.170763212235702e-06	8.297807866648479e-10	-8.644008484616491e-11	1.4440039229673714e-06
3.182399861242282e-09	2.0786347008636801e-10	2.050643513131781e-09	2.0146498113760834e-10	1.1722356994965576e-08	1.7934007465442807e-08	3.57974248472195e-08	1.9108607213271947e-07	1.151505091824769e-07	7.677354578207347e-08	8.683041402776079e-10	2.9067154877612933e-10	1.0055622040984914e-09	1.5778190991188585e-42	1.5349021425460918e-11	3.7300449109619877e-41	1.2080302747055766e-06	8.120379346592072e-10	-9.818725241519257e-11	1.43733356126484e-06
3.2035116970813056e-09	2.206413463382632e-10	1.894242492894021e-09	1.7956423551618848e-10	1.2425042760238843e-08	1.809689704142942e-08	3.898619732574335e-08	1.5992369783851713e-07	1.1181448715920588e-07	7.60517967621577e-08	4.966992043562679e-10	2.9979441814565406e-10	1.0027247131195863e-09	5.211749540289653e-44	8.860465676606639e-12	9.229694496982933e-45	1.2395707424914493e-06	7.937635897990893e-10	-1.1093670516093963e-10	1.4314791798976698e-06
3.2252945078710193e-09	2.3331226089961866e-10	1.757290076488301e-09	1.5907836412992985e-10	1.3149752572013167e-08	1.8237625300835408e-08	4.224259387660666e-08	1.335513807631234e-07	1.0843208080861049e-07	7.530962631628831e-08	2.8281866847012587e-10	3.0760937497055717e-10	9.99699475828409e-10	3.639735881299803e-44	5.084622676337983e-12	9.410721946303363e-43	1.2661607159457296e-06	7.750060163005536e-10	-1.2472593201103851e-10	1.4264223728614777e-06
3.24771352210992e-09	2.4583407237927176e-10	1.636983472309208e-09	1.4008031269570286e-10	1.3896183293371145e-08	1.836011343990033e-08	4.555241935403828e-08	1.1132995164667694e-07	1.0501466144399019e-07	7.454742760078997e-08	1.60391864790096e-10	3.140856149251311e-10	9.964694185345315e-10	-3.698610711481328e-45	2.9030877905048037e-12	-1.0102518221502276e-43	1.2885067534007417e-06	7.558170593555303e-10	-1.3959212969510883e-10	1.422102695376754e-06
3.2707305134886495e-09	2.5817027547555046e-10	1.5309404467925836e-09	1.2261574703699373e-10	1.4663894087732874e-08	1.8467409252463934e-08	4.890179702656108e-08	9.266983959723551e-08	1.0157367809858896e-07	7.37657035169476e-08	9.064362732603614e-11	3.192139774875616e-10	9.930181423564597e-10	-3.4864610181874365e-44	1.65030074352504e-12	-9.18680306918838e-43	1.3072378664746943e-06	7.362513441548723e-10	-1.5557240489829974e-10	1.4184416739913768e-06
3.294304343878907e-09	2.70290653055992e-10	1.4371483553726622e-09	1.0670333325064837e-10	1.5452308472656426e-08	1.856191704242307e-08	5.227729443051285e-08	7.704271119468816e-08	9.812048246335318e-08	7.296506465228614e-08	5.106905332205535e-11	3.2300601369346536e-10	9.893302083080164e-10	1.5036088185548768e-42	9.346022043095572e-13	4.322768519957704e-41	1.3229052851497843e-06	7.163654478130582e-10	-1.727040143778263e-10	1.4153565385834102e-06
3.318391543433086e-09	2.821717432062364e-10	1.3539104200910301e-09	9.233582182366338e-11	1.6260720067524374e-08	1.864556202400977e-08	5.5666035287446214e-08	6.398420591942256e-08	9.466616562964043e-08	7.214622436576641e-08	2.869462114925609e-11	3.254924349702059e-10	9.853913885328077e-10	8.387635200953977e-43	5.275558992425659e-13	2.525005775867138e-41	1.3359865719035278e-06	6.962170680340873e-10	-1.9102463787298037e-10	1.412767619006835e-06
3.3429469040751357e-09	2.9379708694322774e-10	1.279795679870431e-09	7.94818893986669e-11	1.7088301301980594e-08	1.8719907451442417e-08	5.905579916318192e-08	5.3091689985056536e-08	9.12214112787764e-08	7.130999170574698e-08	1.6084116918061937e-11	3.267210236582108e-10	9.811888816710185e-10	3.0881639650390395e-43	2.9686868719330696e-13	9.418910286236175e-42	1.3468919290293374e-06	6.75864214253827e-10	-2.1057267687065536e-10	1.410601957011405e-06
3.3679240645530908e-09	3.051572330461539e-10	1.2135950927133543e-09	6.808865122943468e-11	1.7934114447015156e-08	1.8786238268872464e-08	6.243510742518172e-08	4.401945644465176e-08	8.77963691060835e-08	7.045726271449089e-08	8.99630605339109e-12	3.267541157245169e-10	9.767114897233433e-10	-4.319293156794413e-45	1.6663841421851594e-13	-1.5001344513426188e-43	1.3559713806108801e-06	6.553644457235463e-10	-2.313875709116924e-10	1.408794728344462e-06
3.39327606656697e-09	3.1624948816563215e-10	1.1542843004507621e-09	5.808472481577619e-11	1.8797124410682372e-08	1.8845622379644304e-08	6.579329289207326e-08	3.647281756892191e-08	8.440055144132357e-08	6.95890105607355e-08	5.0221665707180255e-12	3.256657870186971e-10	9.719497533978601e-10	2.1402673385792917e-44	9.3319904975903e-14	7.298031226514815e-43	1.3635220669446016e-06	6.347741800351505e-10	-2.5351012138205234e-10	1.4072894480273078e-06
3.4189558636243193e-09	3.270774264566374e-10	1.1009925771037574e-09	4.938367644460548e-11	1.9676212660220296e-08	1.8898955268250118e-08	6.912055149445787e-08	3.020197574937946e-08	8.104275409576381e-08	6.870627496963175e-08	2.798809219497599e-12	3.2353889709886264e-10	9.668960465925254e-10	-9.771208451094823e-45	5.215464617143764e-14	-3.250699908641779e-43	1.3697951732867543e-06	6.141480897831359e-10	-2.769828141149686e-10	1.4060375441860095e-06
3.4449167735644255e-09	3.376501704324824e-10	1.0529772012604687e-09	4.18877043358123e-11	2.057019187007232e-08	1.8946993703934942e-08	7.24079741023732e-08	2.4996082496021045e-08	7.773100237459132e-08	6.781015120689195e-08	1.5573436164520343e-12	3.204621252318108e-10	9.615446273715096e-10	7.23462292664089e-46	2.9094804639457925e-14	2.5886239132652323e-44	1.3750023310655572e-06	5.935385990640456e-10	-3.018501300041504e-10	1.4049976300607822e-06
3.4711128560899246e-09	3.479814885934474e-10	1.0096024138084827e-09	3.5491360612765874e-11	2.147782070588947e-08	1.8990381386860354e-08	7.564755866033607e-08	2.0677772370313046e-08	7.447252110838866e-08	6.690177900510301e-08	8.65344555248659e-13	3.1652715079389224e-10	9.558916496202668e-10	1.2012912001643433e-45	1.6199331217137123e-14	4.635706140318386e-44	1.3793213460857998e-06	5.729954942897887e-10	-3.281588350106943e-10	1.4041346729301754e-06
3.4974992199838053e-09	3.580887574075391e-10	9.703221240909129e-10	3.008515193556007e-11	2.2397818342441942e-08	1.9029668862313087e-08	7.8832203579385e-08	1.7098256298887772e-08	7.127372681138494e-08	6.598233167214133e-08	4.802147851661164e-13	3.1182609065700625e-10	9.499351373522755e-10	-2.3665453373770448e-46	9.013596057565055e-15	-1.0508395330643115e-44	1.3829012544727302e-06	5.525656426638994e-10	-3.559582423835994e-10	1.4034191620313955e-06
3.524032258026877e-09	3.67991845587706e-10	9.34665693476209e-10	2.5558865626589253e-11	2.3328878325246485e-08	1.9065329302127015e-08	8.195568433598457e-08	1.4133001848234224e-08	6.81402392528767e-08	6.505300561423604e-08	2.662079254535728e-13	3.064492887858101e-10	9.436749261440615e-10	2.1383584389940428e-47	5.004396837791656e-15	7.336676146644693e-46	1.3858667269394431e-06	5.322928158290418e-10	-3.8530044125646776e-10	1.4028263291573241e-06
3.550669806882649e-09	3.7771197478661283e-10	9.022262191478825e-10	2.180451035881014e-11	2.426968151980645e-08	1.9097771004684244e-08	8.501261587359861e-08	1.1677967467628298e-08	6.50769092157111e-08	6.411501041241841e-08	1.474178576703062e-13	3.004835148546825e-10	9.371125781339413e-10	-3.052554563686922e-47	2.776167936294237e-15	-1.2339472131935308e-45	1.3883218823383455e-06	5.122176149833902e-10	-4.162404889714767e-10	1.4023354432994992e-06
3.5773712503215665e-09	3.8727062751160803e-10	8.726508417444317e-10	1.8718761999013794e-11	2.5218907824877582e-08	1.9127347619842413e-08	8.799840415413778e-08	9.646377256880084e-09	6.208785860317545e-08	6.316955966138464e-08	8.156354227885045e-14	2.940106104894835e-10	9.302512757367816e-10	-2.9183104985852543e-48	1.5384132147506707e-15	-8.231397117652824e-47	1.390353539641164e-06	4.923774739416325e-10	-4.488365645464164e-10	1.4019291923494198e-06
3.6040975681833337e-09	3.9668853943911484e-10	8.456326917069062e-10	1.620489284845109e-11	2.6175246625099846e-08	1.9154366456605612e-08	9.090918998044709e-08	7.965949378236367e-09	5.917652941213947e-08	6.221786256733967e-08	4.509038233357081e-14	2.8710656771253937e-10	9.230957004089417e-10	6.359323757139168e-48	8.516875437634087e-16	2.0988870026829924e-46	1.3920340046796928e-06	4.728067314077046e-10	-4.831500862188059e-10	1.4015931439335765e-06
3.6308113462019827e-09	4.0598482860568775e-10	8.209041610427439e-10	1.41741520863041e-11	2.7137405832707784e-08	1.9179095367741412e-08	9.37417884635874e-08	6.576548516805525e-09	5.63457379269579e-08	6.126111641676977e-08	2.4915072816049097e-14	2.798410193081135e-10	9.15651902608757e-10	-1.3935373325882293e-48	4.712159071973796e-16	-5.07560179415527e-47	1.3934234260969047e-06	4.535367511892404e-10	-5.192457948141573e-10	1.4013152843170713e-06
3.657476758157414e-09	4.151762822246815e-10	7.982312686592295e-10	1.2546633315032006e-11	2.810411957908754e-08	1.920176847088699e-08	9.649362706226628e-08	5.428192571598577e-09	5.3597731047859676e-08	6.030049988645771e-08	1.3754850651078283e-14	2.722770844603919e-10	9.079271677697822e-10	1.5542636024484576e-49	2.6045383746194493e-16	7.401187163386184e-48	1.394571793413096e-06	4.3459607407278313e-10	-5.571918085675713e-10	1.4010856244990144e-06
3.684059531531424e-09	4.242768278468085e-10	7.774089091058986e-10	1.1251660033507623e-11	2.9074154561119357e-08	1.9222590947023686e-08	9.916268464847891e-08	4.479379117422091e-09	5.093424216316354e-08	5.933716721578917e-08	7.589662973539317e-15	2.6447151211978936e-10	8.999298831249902e-10	3.638701150106965e-50	1.4387047075893374e-16	3.15594509303887e-49	1.3955206131490434e-06	4.160105853435654e-10	-5.970596541628896e-10	1.4008958680899499e-06
3.7105269077185e-09	4.3329718131028924e-10	7.58256838081345e-10	1.022777351591337e-11	3.004631519216084e-08	1.924174308250675e-08	1.0174743368823955e-07	3.695672493433664e-09	4.8356544420900486e-08	5.837224317284091e-08	4.185081155767746e-15	2.5647504517390286e-10	8.916694085141717e-10	-1.9920750428229335e-50	7.941196304944524e-17	-1.2077385932893879e-49	1.3963043232420723e-06	3.9780368376730747e-10	-6.389242815511324e-10	1.4007391302341924e-06
3.736847604627303e-09	4.422446733158144e-10	7.406162553299679e-10	9.422390646750218e-12	3.101944765632953e-08	1.9259383700866265e-08	1.04246786838757e-07	3.0485208655130643e-09	4.586550003895489e-08	5.740681878052499e-08	2.306373858749701e-15	2.4833293603754087e-10	8.831559537922325e-10	9.004465585829897e-51	4.380381894438829e-17	1.7696910539205154e-49	1.3969514767843083e-06	3.799964415804432e-10	-6.828640684621069e-10	1.4006097018229238e-06
3.762991787994561e-09	4.511232307002807e-10	7.243469012213161e-10	8.79121661921028e-12	3.199244301298091e-08	1.9275653074628038e-08	1.0666004887472413e-07	2.514265890753814e-09	4.3461604726023586e-08	5.644194773942575e-08	1.2705147121663664e-15	2.4008555268061456e-10	8.744004642125431e-10	-2.6327143022484452e-51	2.41507028037216e-17	-7.849991239774771e-50	1.39748573281458e-06	3.6260774779287467e-10	-7.289608212651936e-10	1.4005028518834844e-06
3.788931055459656e-09	4.5993349934396555e-10	7.093245690673316e-10	8.297491703856049e-12	3.2964239494550586e-08	1.9290675417626623e-08	1.0898687429530496e-07	2.073314926079353e-09	4.1145026834853153e-08	5.5478643482569796e-08	6.99453505605434e-16	2.317690089522839e-10	8.654145145834769e-10	5.0069927216835035e-52	1.3306102426197227e-17	3.585440269134381e-50	1.3979266843611603e-06	3.4565442995684524e-10	-7.772997780582611e-10	1.4004146622724553e-06
3.814638435275988e-09	4.686730719875752e-10	6.954389717275857e-10	7.91114364936986e-12	3.393382413078525e-08	1.9304561020943868e-08	1.1122723056199623e-07	1.7094506827100991e-09	3.891564127272584e-08	5.4517876800782386e-08	3.8496127947423265e-16	2.2341578436316042e-10	8.562102120817339e-10	-2.3630038918019377e-54	7.328601248442514e-18	-1.1987796527912145e-50	1.3982905489249994e-06	3.2915135264225694e-10	-8.279696190812667e-10	1.4003418897442516e-06
3.840088399237832e-09	4.773368043388546e-10	6.825918970389443e-10	7.607906734105434e-12	3.490023382207754e-08	1.931740809892706e-08	1.1338136658839901e-07	1.4092558250082535e-09	3.677305852622613e-08	5.356057397738097e-08	2.1175874549895286e-16	2.1505528892714562e-10	8.468001072755883e-10	-5.383323638745761e-53	4.034047083819307e-18	5.095487395923422e-51	1.3985907439591983e-06	3.131114934865586e-10	-8.810624888278804e-10	1.400281850949208e-06
3.865256888784297e-09	4.859171889917877e-10	6.706958838160992e-10	7.368455659995208e-12	3.5862555965611785e-08	1.9329304113964135e-08	1.1544978620937639e-07	1.1616342221321577e-09	3.471664932040769e-08	5.260761537751613e-08	1.1645021551229008e-16	2.067143553483228e-10	8.371971125320856e-10	6.5875002311416e-53	2.219819054137383e-18	-8.878226005005746e-53	1.398838365659197e-06	2.975459986835969e-10	-9.366740330136564e-10	1.4002323267257557e-06
3.890121350695681e-09	4.944047558064956e-10	6.596721397312105e-10	7.1775901171194515e-12	3.681992872095889e-08	1.9340327859047913e-08	1.1743322460460968e-07	9.574127213655685e-10	3.27455656584104e-08	5.165983444248847e-08	6.401385862956407e-17	1.984176540764907e-10	8.274144266697588e-10	-1.9699204404971021e-53	1.220932708843607e-18	-4.80222016821397e-52	1.3990425872133988e-06	2.824642226345403e-10	-9.949034532593627e-10	1.4001914824790375e-06
3.914660780010159e-09	5.027885009951243e-10	6.494504012002787e-10	7.023493592870572e-12	3.777154098324967e-08	1.9350549598128498e-08	1.1933262976394283e-07	7.890106668146639e-10	3.0858758877012144e-08	5.071801704518647e-08	3.51765776051183e-17	1.9018800541211086e-10	8.174654651567233e-10	9.028592230144006e-55	6.712761718602424e-19	2.636059828062087e-52	1.3992109892973366e-06	2.6787375483309776e-10	-1.0558535805882177e-09	1.4001578020975142e-06
3.9388557650992284e-09	5.110562943861221e-10	6.399671006513407e-10	6.897079435683567e-12	3.871663211567515e-08	1.936003289897971e-08	1.2114914450688822e-07	6.501653283786451e-10	2.90549955271372e-08	4.978290116930727e-08	1.9327350700464148e-17	1.8204662617829998e-10	8.073637944532411e-10	-2.8929111815967885e-54	3.6900829530410526e-19	-3.2835361213548668e-52	1.3993498346519244e-06	2.537804404475112e-10	-1.1196309693918924e-09	1.4001300330459786e-06
3.962688531781343e-09	5.191952909828544e-10	6.311650146310282e-10	6.791429481070587e-12	3.965449148044718e-08	1.9368834985166137e-08	1.2288409165945373e-07	5.357043513971109e-10	2.7332871677488678e-08	4.885517687896757e-08	1.0621746326142405e-17	1.740132795361809e-10	7.97123070066308e-10	2.972468574467278e-53	2.028899268526716e-19	1.2186182304912906e-53	1.3994642956377776e-06	2.401883981523295e-10	-1.18634601182629e-09	1.400107140859454e-06
3.9861429827703806e-09	5.271922972045717e-10	6.229921200957911e-10	6.70132191199156e-12	4.0584457797163053e-08	1.93770078797927e-08	1.2453895948517868e-07	4.413567129609341e-10	2.5690826214239073e-08	4.793548654731369e-08	5.838156207477158e-18	1.6610638088354244e-10	7.867569774352243e-10	9.091710492202024e-53	1.1156503511110462e-19	1.8880186240879654e-51	1.3995586432810889e-06	2.2710003979437546e-10	-1.256113072556028e-09	1.4000882713366417e-06
4.00920472843628e-09	5.350341193305856e-10	6.154004243477733e-10	6.622845514208313e-12	4.150591834395227e-08	1.9384599575590985e-08	1.2611538769384075e-07	3.635968069264312e-10	2.4127153598962677e-08	4.702442532638715e-08	3.207314486563549e-18	1.5834303515531181e-10	7.762791751747695e-10	-4.08517360697231e-52	6.129624089578622e-20	-7.608801673962042e-51	1.3996364031898043e-06	2.145160963889314e-10	-1.3290506441102235e-09	1.400072719358116e-06
