NADrad	O2	super	per3	coI	NADH	Ar	coIII	coII	H2O2	ArH	per2
1.6637638728139672e-06	4.204607646635147	5.887387575533338e-06	1.3963779674564052	9.697273452360291e-07	5.754556089738203	3.583598881346787e-05	0.0035834923599458923	2.7704368927197627e-05	2.885057693809676e-06	499.99996416401115	9.866087376466155e-06
1.6877593235551377e-06	4.251021246629416	6.038953381235434e-06	1.3962317288736101	9.941415466248734e-07	5.834336414858222	3.6241555588557725e-05	0.0037289714517709407	2.840599038861918e-05	2.95769905387088e-06	499.9999637584443	9.899542683738053e-06
1.7117558269525668e-06	4.297151726001953	6.19203618684781e-06	1.3960818365207341	1.0187912356878998e-06	5.914111237322038	3.6644758192366404e-05	0.003878097400510217	2.9114429277613933e-05	3.0310452597287717e-06	499.9999633552417	9.932858242310833e-06
1.7357519333406847e-06	4.343000726826552	6.346623961758375e-06	1.3959282563190722	1.043674233925915e-06	5.993880504890978	3.704561394806888e-05	0.004030904344997431	2.982962242530902e-05	3.105090155464862e-06	499.99996295438604	9.96603927127614e-06
1.7597471885894766e-06	4.388569881895014	6.502704486502247e-06	1.3957709545413903	1.0687883792638088e-06	6.073644165826911	3.7444140245994786e-05	0.004187426070911046	3.0551507206497986e-05	3.179827656110813e-06	499.9999625558597	9.999092113042603e-06
1.783741003417021e-06	4.433860814745567	6.66026573026792e-06	1.3956098978093399	1.094131530450805e-06	6.153402168889262	3.7840354301019665e-05	0.004347696015333944	3.1280021590032285e-05	3.255251747140842e-06	499.99996215964563	1.0032022205819928e-05
1.8077362296283266e-06	4.478875139699984	6.819295009711982e-06	1.3954450530951616	1.1197015483592745e-06	6.233154463334953	3.8234273275233e-05	0.0045117472597371675	3.201510381549038e-05	3.3313564840501762e-06	499.9999617657266	1.00648397376463e-05
1.831734680921269e-06	4.523614461927406	6.979780075367959e-06	1.3952763877135579	1.1454963186936872e-06	6.312900998909038	3.862591409670548e-05	0.004679612544761395	3.275669277484164e-05	3.408135991897817e-06	499.9999613740858	1.0097552587406309e-05
1.8557381895108513e-06	4.568080377494915	7.1417088540309174e-06	1.3951038693200188	1.1715137464713332e-06	6.392641725841212	3.901529352642753e-05	0.004851324270261909	3.350472791763405e-05	3.4855844648874933e-06	499.9999609847064	1.0130168055456856e-05
1.8797423701305417e-06	4.6122744733950025	7.305070649736926e-06	1.394927465903588	1.1977517901183913e-06	6.47237659484123	3.9402427779591874e-05	0.005026914507703312	3.425914982051625e-05	3.5636961659096395e-06	499.9999605975721	1.0162687098339068e-05
1.9037439669673765e-06	4.656198327621192	7.469854680770922e-06	1.3947471457895955	1.224208421351475e-06	6.552105557095438	3.9787332986360935e-05	0.005206414990590962	3.501989951189414e-05	3.6424654261510916e-06	499.9999602126669	1.0195111880370287e-05
1.9277406089756317e-06	4.699853509218778	7.636050126594249e-06	1.3945628776366672	1.2508816263676536e-06	6.631828564262338	4.017002518719143e-05	0.005389857117591546	3.578691848936577e-05	3.7218866446650023e-06	499.99995982997467	1.0227445625609361e-05
1.9517370257948776e-06	4.7432415783275195	7.803644784946572e-06	1.3943746304402156	1.2777693713055435e-06	6.711545568469815	4.055052057340922e-05	0.005577271948375371	3.656014832452606e-05	3.801954287990233e-06	499.9999594494793	1.0259693713222343e-05
1.975737404412684e-06	4.786364086234103	7.972626687082219e-06	1.3941823735224284	1.3048696441483815e-06	6.791256522308898	4.092883516112138e-05	0.005768690216151255	3.7339531200884464e-05	3.882662889668378e-06	499.99995907116477	1.0291860575178086e-05
1.9997431392519262e-06	4.829222575422436	8.142984566871009e-06	1.3939860765274243	1.3321804669232087e-06	6.870961378828833	4.1304984694421484e-05	0.005964142333471923	3.812501007828493e-05	3.964007049799818e-06	499.9999586950152	1.0323948558534228e-05
2.023751361175407e-06	4.871818579600563	8.314708596153097e-06	1.3937857094195052	1.3596999041723968e-06	6.950660091536788	4.167898455397818e-05	0.006163658390316056	3.891652849324901e-05	4.045981434656858e-06	499.9999583210154	1.0355961781142566e-05
2.047758808419376e-06	4.914153623768995	8.487789262373045e-06	1.3935812424822929	1.3874260411629727e-06	7.030352614391245	4.205084996312758e-05	0.006367268156394948	3.9714030490560475e-05	4.128580776245656e-06	499.9999579491501	1.0387904780254467e-05
2.0717659579234106e-06	4.956229224283843	8.662216287335087e-06	1.3933726463186336	1.4153569607887e-06	7.110038901796435	4.2420596199152985e-05	0.006575001081620735	4.051746046730322e-05	4.211799871881469e-06	499.99995757940377	1.0419782317562966e-05
2.095775252429487e-06	4.99804688887475	8.837978652433882e-06	1.3931598918475716	1.4434907509143176e-06	7.189718908603168	4.2788237904145945e-05	0.006786886298295372	4.132676336452394e-05	4.295633583836179e-06	499.999957211762	1.0451600017446195e-05
2.119790371190818e-06	5.039608116706262	9.015065036227952e-06	1.3929429503008117	1.4718255095245204e-06	7.269392590102503	4.315378936800082e-05	0.007002952624695671	4.2141884608772445e-05	4.380076838872571e-06	499.9999568462105	1.0483364374057602e-05
2.143812135688896e-06	5.080914398435867	9.193465267438056e-06	1.392721793216856	1.5003593692392866e-06	7.349059902019227	4.351726481284996e-05	0.007223228570715326	4.296277013233089e-05	4.4651246277562085e-06	499.9999564827352	1.0515082926986003e-05
2.167836015845868e-06	5.121967216215994	9.373170491583989e-06	1.3924963924400056	1.5290905196146873e-06	7.428720800508569	4.3878680173323814e-05	0.007447742351124408	4.3789367129087924e-05	4.550772004874148e-06	499.99995612131977	1.0546751221100246e-05
2.1918554757091462e-06	5.162768043767854	9.554172410702816e-06	1.3922667201181187	1.5580171821603484e-06	7.508375242152719	4.42380518498677e-05	0.0076765218801289475	4.4621623570985915e-05	4.637014087813445e-06	499.9999557619481	1.0578360998952105e-05
2.215869760153706e-06	5.2033183464659345	9.736461218781047e-06	1.3920327487024418	1.5871375556355688e-06	7.588023183959108	4.459539451015358e-05	0.007909594759107215	4.545948740620041e-05	4.723846056977519e-06	499.9999554046055	1.0609913489204314e-05
2.2398743891082556e-06	5.243619581339477	9.92002814339851e-06	1.3917944509422666	1.6164498825405012e-06	7.6676645833534645	4.495072381485136e-05	0.008146988297564205	4.6302907530790966e-05	4.81126315512658e-06	499.99995504927614	1.064140275567825e-05
2.2638885897339647e-06	5.283673197144151	1.0104860867674237e-05	1.3915517999004166	1.645952252984465e-06	7.747299398180977	4.5304049378008754e-05	0.008388729466199044	4.715183002358145e-05	4.899260687554426e-06	499.9999546959506	1.0672851107709076e-05
2.287908846599843e-06	5.323480634389991	1.0290950739011488e-05	1.3913047689182545	1.6756429372193954e-06	7.826927586693992	4.565538658005145e-05	0.008634844982988324	4.8006204711194096e-05	4.987834020564561e-06	499.99995434461346	1.0704251108708355e-05
2.31194154464168e-06	5.363043325402637	1.0478287702907102e-05	1.3910533316359606	1.7055201517500944e-06	7.906549107553745	4.600474829358626e-05	0.008885361257259427	4.8865980554669905e-05	5.07697858182677e-06	499.9999539952517	1.0735606073456829e-05
2.3359833058360343e-06	5.402362694337954	1.066686352849735e-05	1.390797461977986	1.7355821989082802e-06	7.986163919830608	4.635214872685084e-05	0.009140304413349063	4.97311078841234e-05	5.166689859741347e-06	499.9999536478513	1.0766918581957093e-05
