NFkB/IkB_alpha	NFkB{nucleus}	IkB_alpha{nucleus}	IKKa	IkB_alpha{default}	IKKn	NFkB{default}	mRNAIKBA	mRNAA20	A20{default}	IKKi	IKKa/IKBa	NFkB/Ikb_alpha/IKKa	NFkB:IkB_alpha
6.345864840925732e-16	5.3761879069266585e-06	2.1756538559656497e-12	1.6670754682816866e-06	8.120101471854178e-11	6.516349317985702e-05	3.1731532689852737e-05	2.4199655159322708e-11	2.4199655159322708e-11	8.17620398535835e-11	2.3692181744294335e-08	7.905811380496741e-17	5.324801311608138e-07	0.05996666074959749
8.432608033895861e-16	5.780168514973513e-06	2.6065011038076494e-12	1.7823055464063489e-06	9.384003454955751e-11	6.748938494192194e-05	3.290567664304596e-05	2.6977906054680086e-11	2.6977906054680086e-11	9.452165558639575e-11	2.627565311608361e-08	1.0030020761565508e-16	5.802652805325052e-07	0.05996535802437328
1.1094415091964774e-15	6.198837710302497e-06	3.102827868615803e-12	1.901025087835092e-06	1.0789443487051268e-10	6.980917924462792e-05	3.408174149446243e-05	2.996066759388726e-11	2.996066759388726e-11	1.0871718302690642e-10	2.9034257749414865e-08	1.2616008765413334e-16	6.301779814076328e-07	0.05996404831298186
1.4454592720573912e-15	6.6322208299703566e-06	3.671733945036876e-12	2.0232176363635423e-06	1.2346521866648003e-10	7.21228920725344e-05	3.525993475709461e-05	3.315520369421784e-11	3.315520369421784e-11	1.2445224200504478e-10	3.197319215638793e-08	1.574003796700808e-16	6.82213812967682e-07	0.05996273140726367
1.8671533068476047e-15	7.08034573664132e-06	4.320892262511012e-12	2.1488667858057833e-06	1.406566958017766e-10	7.443053936887694e-05	3.644046264941434e-05	3.656879553457097e-11	3.656879553457097e-11	1.4183406997990416e-10	3.5097633259988154e-08	1.9491639155642777e-16	7.363683642695771e-07	0.05996140709983863
2.3920834266289128e-15	7.543242902643901e-06	5.058431775424245e-12	2.2779570675009495e-06	1.5957656169034158e-10	7.673213703472907e-05	3.762353060811316e-05	4.0208731666166385e-11	4.0208731666166385e-11	1.6097350231429912e-10	3.841272964701364e-08	2.3968357375312333e-16	7.92636356985878e-07	0.05996007518445392
3.0379412218903943e-15	8.020943241077312e-06	5.892547643474632e-12	2.4104732405544923e-06	1.8033308095565394e-10	7.902770096408661e-05	3.88093439814251e-05	4.408230105421429e-11	4.408230105421429e-11	1.8198197066451248e-10	4.1923624484445146e-08	2.926862890033965e-16	8.510122975145065e-07	0.05995873545507226
3.836785563419047e-15	8.513488534873247e-06	6.833750375548756e-12	2.5464014367026778e-06	2.030487366685147e-10	8.131724687355022e-05	3.999810326729795e-05	4.8196855338506094e-11	4.8196855338506094e-11	2.0498636843281885e-10	4.563536595895859e-08	3.554349651904129e-16	9.114895885141225e-07	0.05995738770943647
4.808979386716622e-15	9.020911001510108e-06	7.890564420645938e-12	2.6857262735801946e-06	2.2783351498238415e-10	8.360079063560222e-05	4.1190013038982346e-05	5.255969496001723e-11	5.255969496001723e-11	2.3010004347644646e-10	4.9553088622235256e-08	4.290016232299251e-16	9.740629073226212e-07	0.059956031741852454
5.989731867355842e-15	9.543253849097528e-06	9.073849685721945e-12	2.828434106724076e-06	2.5481180055173653e-10	8.58783479431537e-05	4.238527317710313e-05	5.717818321736369e-11	5.717818321736369e-11	2.57452001190587e-10	5.3681827620785555e-08	5.149877139761847e-16	1.0387254690938536e-06	0.05995466735058281
7.418896507472742e-15	1.0080561533748531e-05	1.039486397505869e-11	2.9745110849304175e-06	2.8410968140600964e-10	8.814993446786267e-05	4.358408276381505e-05	6.205970064867829e-11	6.205970064867829e-11	2.8717321900410186e-10	5.8026610255509456e-08	6.151183216210626e-16	1.1054707241186288e-06	0.059953294334203856
9.132926279289567e-15	1.0632877597800416e-05	1.1864573756456518e-11	3.1239435083689825e-06	3.1585199838036265e-10	9.04155658969484e-05	4.478664146590474e-05	6.721161516949036e-11	6.721161516949036e-11	3.193932304423299e-10	6.259246957178519e-08	7.310280072510486e-16	1.1742919505228035e-06	0.05995191249106221
1.1174901018486286e-14	1.1200248292978684e-05	1.3494627934831134e-11	3.2767178554444877e-06	3.501671987893853e-10	9.267525787261004e-05	4.599314762455422e-05	7.264131832624552e-11	7.264131832624552e-11	3.542455971190385e-10	6.738441615305032e-08	8.64544484228469e-16	1.245182314664617e-06	0.059950521620399974
1.3610097024167874e-14	1.1782728923383301e-05	1.529895842080367e-11	3.4328211900202542e-06	3.871957810719752e-10	9.492902588661142e-05	4.720379514541628e-05	7.835628083995878e-11	7.835628083995878e-11	3.918773430052641e-10	7.240738562181026e-08	1.0181420151077155e-15	1.3181346194414332e-06	0.059949121524447764
1.6492402971758067e-14	1.23803701489044e-05	1.7290325856882057e-11	3.5922402755972368e-06	4.270720609853151e-10	9.717688550789535e-05	4.8418780209737646e-05	8.436393281210215e-11	8.436393281210215e-11	4.3242858537454333e-10	7.766635205835854e-08	1.1939631582996111e-15	1.3931418542197661e-06	0.05994771200390299
1.9878843708981563e-14	1.2993223537553279e-05	1.9481740952218006e-11	3.7549619367912724e-06	4.699315796664074e-10	9.941885229012471e-05	4.96382985515606e-05	9.067171388822075e-11	9.067171388822075e-11	4.760408351672841e-10	8.316628192441811e-08	1.394231551228592e-15	1.4701969698059686e-06	0.05994629285976717
2.3862246674084993e-14	1.3621352270204794e-05	2.1889312693058642e-11	3.9209737684721395e-06	5.159254704394935e-10	0.00010165494159245684	5.086254019675986e-05	9.728717818616687e-11	9.728717818616687e-11	5.228732211607891e-10	8.891204472343723e-08	1.622130933853955e-15	1.5492924338329552e-06	0.05994486389691062
2.852433037603671e-14	1.4264815924461578e-05	2.4528188723451106e-11	4.090263126513041e-06	5.652000286407583e-10	0.00010388516883440086	5.209169694235655e-05	1.0421784430500083e-10	1.0421784430500083e-10	5.730794056199873e-10	9.490854004335246e-08	1.880547142798836e-15	1.6304208638540642e-06	0.059943424919003216
3.397545261527272e-14	1.4923680544393679e-05	2.7415434661615652e-11	4.26281756914121e-06	6.179103556827696e-10	0.00010610954932559006	5.3325957236416985e-05	1.1147130949867092e-10	1.1147130949867092e-10	6.268232352645271e-10	1.0116061497633818e-07	2.1730250917930787e-15	1.7135748347854284e-06	0.05994197573181315
4.024725851070098e-14	1.559799323899804e-05	3.056261394921237e-11	4.438623928024695e-06	6.741858403008096e-10	0.00010832809869646774	5.4565519232567156e-05	1.1905494952653375e-10	1.1905494952653375e-10	6.842389561264014e-10	1.0767327121629803e-07	2.5012534170722303e-15	1.7987471803375802e-06	0.059940516134931274
4.75385599987007e-14	1.6287841330815947e-05	3.399297532850182e-11	4.617670577868629e-06	7.342104787768359e-10	0.00011054083189615383	5.581056047215695e-05	1.269766105492239e-10	1.269766105492239e-10	7.455236789838461e-10	1.1445118212022018e-07	2.870863042125186e-15	1.8859301846039474e-06	0.0599390459410676
5.594334124968141e-14	1.6993286922220688e-05	3.772243923825639e-11	4.7999449255801665e-06	7.981340200796087e-10	0.0001127477643010625	5.706127142356912e-05	1.3524384372835695e-10	1.3524384372835695e-10	8.108350890574986e-10	1.2149922696353197e-07	3.2850126038220355e-15	1.9751164764483417e-06	0.05993756495470438
6.560725981144023e-14	1.7714400806836725e-05	4.1769717195135305e-11	4.985434616438443e-06	8.661181987533294e-10	0.00011494891113798158	5.831783799467278e-05	1.438643227534351e-10	1.438643227534351e-10	8.803450439546251e-10	1.288222139978633e-07	3.747898940801927e-15	2.066298663369421e-06	0.0599360729831675
7.670666495816241e-14	1.8451259300647614e-05	4.6155257565797524e-11	5.1741274602852005e-06	9.383323396304214e-10	0.00011714428753895432	5.958044321017019e-05	1.5284579629369828e-10	1.5284579629369828e-10	9.54234325651977e-10	1.3642490635525584e-07	4.264352913710807e-15	2.159469325870803e-06	0.059934569835588515
8.94065813005601e-14	1.9203937896193888e-05	5.0899134443715375e-11	5.3660112837192745e-06	1.0149445561361182e-09	0.00011933390865118197	6.0849270570534395e-05	1.6219599278152027e-10	1.6219599278152027e-10	1.032682131182953e-09	1.4431207392212377e-07	4.839030023019538e-15	2.254621006187057e-06	0.05993305532082619
1.0388736992385843e-13	1.9972515289247088e-05	5.60223872441936e-11	5.561074023885306e-06	1.096127335328413e-09	0.00012151778956728592	6.212450192062432e-05	1.7192268083128385e-10	1.7192268083128385e-10	1.1158727412314651e-09	1.524884604230793e-07	5.476923995510173e-15	2.3517462154375255e-06	0.05993152924878534
1.2034472838779547e-13	2.0757073378809764e-05	6.154702070436934e-11	5.759303728473744e-06	1.1820575378980585e-09	0.0001236959453253079	6.340631744968473e-05	1.820336692393808e-10	1.820336692393808e-10	1.2039955201319391e-09	1.6095878342093243e-07	6.183366784275949e-15	2.45083743362633e-06	0.059929991430416885
1.3898969072662217e-13	2.1557697267115462e-05	6.749600488321214e-11	5.960688555720843e-06	1.2729163981685662e-09	0.00012586839090870976	6.469489569134629e-05	1.92536806984212e-10	1.92536806984212e-10	1.2972449158693147e-09	1.6972773431669107e-07	6.964028568721288e-15	2.5518871096423676e-06	0.05992844167771782
1.6007984194135035e-13	2.237447185014138e-05	7.389290798240733e-11	6.165216571938429e-06	1.368885371996736e-09	0.000128035141298408	6.599041511326011e-05	2.0343999240509203e-10	2.0343999240509203e-10	1.3958166337829717e-09	1.788000045603248e-07	7.825243831764546e-15	2.654887786660852e-06	0.05992687980269806
1.8391629439617434e-13	2.3207482147869606e-05	8.076193191329956e-11	6.372875771126247e-06	1.4701465389673395e-09	0.00013019621146773323	6.729305396311717e-05	2.1475117231313128e-10	2.1475117231313128e-10	1.4999080072023427e-09	1.881802831118493e-07	8.773979774246639e-15	2.7598320899962497e-06	0.05992530561748056
2.1079285002897226e-13	2.4056818857182278e-05	8.812851030676929e-11	6.583654404727114e-06	1.57688936475072e-09	0.00013235161629768412	6.86029876796744e-05	2.2647832704192234e-10	2.2647832704192234e-10	1.6097242291816112e-09	1.9787321375290842e-07	9.817305246090906e-15	2.8667125228658226e-06	0.059923718935983895
2.4102342877302985e-13	2.492257535591796e-05	9.601898587003266e-11	6.797540803714712e-06	1.6893070526200796e-09	0.0001345013706226504	6.992039028957912e-05	2.386294785131165e-10	2.386294785131165e-10	1.725474990303026e-09	2.0788341811838004e-07	1.0962677272925433e-14	2.9755215765809596e-06	0.059922119573014486
2.749421564312893e-13	2.5804847693273383e-05	1.0446060935296827e-10	7.014523378023593e-06	1.8075965317625952e-09	0.00013664548923055927	7.124543441184417e-05	2.5121269026226407e-10	2.5121269026226407e-10	1.8473744679052084e-09	2.1821549577016393e-07	1.2217941974047355e-14	3.086251730900202e-06	0.05992050734426364
3.129033646763493e-13	2.6703734589803416e-05	1.1348153954811714e-10	7.234590616549188e-06	1.9319584572794176e-09	0.00013878398686287532	7.257829125784791e-05	2.642360674388139e-10	2.642360674388139e-10	1.9756413260831537e-09	2.2887402419718185e-07	1.3591334562422847e-14	3.1988954540292453e-06	0.05991888206630761
3.55319564060685e-13	2.7619334820347853e-05	1.2311058036259886e-10	7.457730835077471e-06	2.062593971417806e-09	0.0001409168782541385	7.391913178324551e-05	2.777077676785451e-10	2.777077676785451e-10	2.1104959461457756e-09	2.3986357968920005e-07	1.509158629151048e-14	3.3134453950973685e-06	0.05991724355578656
4.026773756331434e-13	2.8551746116035595e-05	1.3337707050635681e-10	7.683932070528573e-06	2.1997033447426543e-09	0.0001430441781485522	7.52681271712545e-05	2.916360056651069e-10	2.916360056651069e-10	2.2521592646514424e-09	2.511887460944639e-07	1.67279693249138e-14	3.429894464911128e-06	0.05991559162906012
4.554465640580203e-13	2.9501071433658235e-05	1.4431151335393485e-10	7.913182684808113e-06	2.34349373482112e-09	0.0001451659012052676	7.662544607317439e-05	3.060290270843836e-10	3.060290270843836e-10	2.400859408031822e-09	2.628540648150618e-07	1.851004053812655e-14	3.548235374864211e-06	0.05991392610417417
5.141234974671413e-13	3.0467415960447562e-05	1.5594527602507275e-10	8.145471076314402e-06	2.494175479474819e-09	0.00014728206204363481	7.799125592674141e-05	3.208951210679185e-10	3.208951210679185e-10	2.5568285228693636e-09	2.7486405869687366e-07	2.0447763918445088e-14	3.668460857225409e-06	0.059912246799921146
5.792319977050105e-13	3.145088705547726e-05	1.6831058349754244e-10	8.380785674294393e-06	2.6519620242613002e-09	0.00014939267524408776	7.936572298192061e-05	3.3624262043635603e-10	3.3624262043635603e-10	2.7203027138850916e-09	2.8722323249695177e-07	2.2551512959590687e-14	3.790563669448309e-06	0.05991055353582172
6.513233403288109e-13	3.245159424966288e-05	1.81440518607148e-10	8.619114938843692e-06	2.817069922474043e-09	0.00015149775534814447	8.074901230090587e-05	3.520799016994417e-10	3.520799016994417e-10	2.891522043938609e-09	2.99936072883521e-07	2.4832070661709524e-14	3.914536594171297e-06	0.05990884613212476
7.310272502000388e-13	3.3469648881660617e-05	1.953692566449864e-10	8.86044739130106e-06	2.98971857705414e-09	0.00015359731686092866	8.214128789827052e-05	3.6841541079001025e-10	3.6841541079001025e-10	3.0707311192215435e-09	3.130070495479634e-07	2.7301079223276208e-14	4.040372405276573e-06	0.05990712440977395
8.191071765169947e-13	3.450516370321136e-05	2.1013231964160797e-10	9.10477164719358e-06	3.170129960843748e-09	0.00015569137425390327	8.35427128928792e-05	3.8525769095751597e-10	3.8525769095751597e-10	3.258179723559186e-09	3.2644061641011886e-07	2.9971527470178953e-14	4.1680638311009195e-06	0.05990538819037159
9.162898075249079e-13	3.55582540963815e-05	2.2576579207604702e-10	9.35207631462361e-06	3.358529479410921e-09	0.00015777994195643972	8.495344903934489e-05	4.026152967357623e-10	4.026152967357623e-10	3.4541208620281395e-09	3.402412079007658e-07	3.285624747371989e-14	4.297603667905075e-06	0.05990363729629025
1.0233377881096946e-12	3.662903755436962e-05	2.4230665540176333e-10	9.60235003761007e-06	3.555145603026387e-09	0.00015986303435941386	8.637365692787791e-05	4.2049683063850065e-10	4.2049683063850065e-10	3.6588115954178593e-09	3.5441324054726614e-07	3.596855579257557e-14	4.428984731475308e-06	0.059901871550625145
1.1410533637632058e-12	3.771763365548909e-05	2.597928048101356e-10	9.85558149826036e-06	3.760209848221468e-09	0.0001619406658153863	8.780349599430056e-05	4.3891094499828976e-10	4.3891094499828976e-10	3.872513082046512e-09	3.6896111305302337e-07	3.93222856061955e-14	4.562199854698117e-06	0.05990009077719173
1.2702783805832266e-12	3.8824164063168066e-05	2.782630492304614e-10	1.011175941677034e-05	3.97395677778808e-09	0.0001640128506386022	8.924312452004723e-05	4.57866341966496e-10	4.57866341966496e-10	4.0954905777609776e-09	3.838892062974826e-07	4.293178671480211e-14	4.697241887560222e-06	0.059898294800525734
1.4100033327696135e-12	3.994868176377752e-05	2.97723317283094e-10	1.0370870566874148e-05	4.196519066547242e-09	0.00016607960443779413	9.069273904170102e-05	4.773698184713023e-10	4.773698184713023e-10	4.327863894675625e-09	3.9920250758023934e-07	4.678997121751634e-14	4.834103757217733e-06	0.05989648342056636
1.566319354560769e-12	4.109149181564875e-05	3.1830177620588543e-10	1.063290925295256e-05	4.428404226074419e-09	0.00016814093805226626	9.215239555406599e-05	4.974353119681206e-10	4.974353119681206e-10	4.570292534944351e-09	4.149037675915605e-07	5.097090507862275e-14	4.972777750007357e-06	0.05989465652801957
1.7367440419427598e-12	4.2252592088890796e-05	3.3997803239087655e-10	1.0897860702926639e-05	4.669663198371635e-09	0.00017019686812886638	9.362232128961364e-05	5.180680965916606e-10	5.180680965916606e-10	4.8227798329471254e-09	4.3099845985292486e-07	5.545039992764641e-14	5.113256839926392e-06	0.059892813903105364
1.9226193805566336e-12	4.3432119631070194e-05	3.6279869503675857e-10	1.1165714181066717e-05	4.9205536124873185e-09	0.00017224740868679016	9.510266592393101e-05	5.392773425569579e-10	5.392773425569579e-10	5.0856252621256436e-09	4.4749082637891206e-07	6.024829826801939e-14	5.255533759671867e-06	0.059890955376005695
2.125287356043436e-12	4.4630211489753456e-05	3.8681037334222267e-10	1.1436458951643122e-05	5.181333097469896e-09	0.0001742925737452332	9.659357913260518e-05	5.610722200790488e-10	5.610722200790488e-10	5.359128295921598e-09	4.643851091841017e-07	6.53844426031738e-14	5.399601241940807e-06	0.059889080776902484
2.3460899540442134e-12	4.5847004712507115e-05	4.120596765059599e-10	1.1710084278926187e-05	5.452259282367794e-09	0.00017633237732339114	9.809521059122316e-05	5.834618993729688e-10	5.834618993729688e-10	5.643588407776685e-09	4.816855502830734e-07	7.087867543654165e-14	5.545452019430242e-06	0.059887189935977664
2.5864199722863247e-12	4.708263650015567e-05	4.3859345326840385e-10	1.198657936723769e-05	5.733590079479559e-09	0.00017836683343547082	9.960770980738715e-05	6.064555725068836e-10	6.064555725068836e-10	5.939306134470616e-09	4.993963901152391e-07	7.675117147000718e-14	5.693078891175052e-06	0.05988528268348416
2.8478924248600535e-12	4.8337244723766406e-05	4.664595999572595e-10	1.226593315872658e-05	6.025584639840741e-09	0.0001803959560738619	0.00010113122555405158	6.300625271191922e-10	6.300625271191922e-10	6.246586663076459e-09	5.175218622313344e-07	8.302355820806835e-14	5.842474946325265e-06	0.05988335884998532
3.132024999724136e-12	4.9610966960854236e-05	4.957055540788591e-10	1.2548134710368043e-05	6.328501571945921e-09	0.00018241975924050943	0.00010266590692593127	6.54292008990525e-10	6.54292008990525e-10	6.565733143935794e-09	5.360662031991915e-07	8.971682685798364e-14	5.993633146966529e-06	0.05988141826590856
3.44036651005016e-12	5.090394176218605e-05	5.263792291400272e-10	1.2833173085735618e-05	6.642600924558232e-09	0.0001844382569187911	0.00010421190245799685	6.791532927925256e-10	6.791532927925256e-10	6.897050888262317e-09	5.550336411040143e-07	9.685223576880388e-14	6.1465464751661265e-06	0.05987946076202636
3.774795893835713e-12	5.2216314640251403e-05	5.585323288262564e-10	1.3121037252819607e-05	6.968153180918525e-09	0.00018645146295443655	0.0001057693564944167	7.046559003664226e-10	7.046559003664226e-10	7.240862356913975e-09	5.744283427938283e-07	1.0445363341354842e-13	6.3012082038621086e-06	0.05987748617161875
4.137080616517374e-12	5.3548228756789495e-05	5.922152770013181e-10	1.3411716211885708e-05	7.305425300879337e-09	0.0001884593912396548	0.00010733841479445864	7.308092700922067e-10	7.308092700922067e-10	7.59748421986413e-09	5.942544957944891e-07	1.1254399366348179e-13	6.457611507774802e-06	0.05987549432711903
4.528991185754584e-12	5.489982716396447e-05	6.27478453286706e-10	1.3705199007890506e-05	7.654684080784581e-09	0.00019046205566856301	0.0001089192232046903	7.576228383007622e-10	7.576228383007622e-10	7.967232961044107e-09	6.145162880880767e-07	1.2114635932389518e-13	6.615749514652323e-06	0.0598734850609421
4.952771969212049e-12	5.627126097896736e-05	6.643767991958542e-10	1.4001475054280454e-05	8.016208413187493e-09	0.0001924594699729496	0.00011051192295349216	7.851063480959729e-10	7.851063480959729e-10	8.350445862791345e-09	6.352178310816165e-07	1.302879911223584e-13	6.7756152187833605e-06	0.05987145820864141
5.410562827286965e-12	5.766267954029101e-05	7.029642501415422e-10	1.4300533683233553e-05	8.390274522887609e-09	0.00019445164792040363	0.00011211665628776091	8.13269474924592e-10	8.13269474924592e-10	8.747455620467021e-09	6.563632530703486e-07	1.3999521954643995e-13	6.937201643890358e-06	0.05986941360507821
