A	Yp	W	T	Tasp_WA	Tni	TWA	Tasp	Ap	Tni_WA	Y	TA	MYp	MYpYpYp	TW	B	MYpYp	Tni_A	Tni_W	WA	Tasp_A	Tasp_W	MYpYpYpYp	M	Bp	Values[Bias]	Values[autoPhospho]
3.0925067377417004e-06	8.923193015539119e-09	2.810430252116789e-06	3.1269255435958585e-06	6.183615930106973e-11	0.0	7.489264887369247e-07	2.581789654148383e-10	4.5290299437869556e-08	0.0	9.898393914278955e-06	3.980977142472574e-07	9.644347353229465e-10	5.527951893826191e-10	7.276372904156789e-07	1.9121566834036144e-06	4.0980177013686644e-10	0.0	0.0	7.188840541843499e-07	3.286949259537129e-11	6.007838697074755e-11	1.9973672154374278e-09	6.079601089720151e-09	8.654331659638817e-08	0.7041219337308167	0.9970089730807578
3.092505287133753e-06	8.93006803832531e-09	2.810431424023405e-06	3.127089855227504e-06	2.2748234246179853e-11	0.0	7.489648930142591e-07	9.497878097998081e-11	4.5294015946244106e-08	0.0	9.898366637955368e-06	3.981177308539993e-07	9.643279565751996e-10	5.535860561158513e-10	7.276756002830788e-07	1.9121172660668263e-06	4.100721056410725e-10	0.0	0.0	7.188832328282941e-07	1.2091989202116817e-11	2.210161673107494e-11	2.0017659175220223e-09	6.074247964145866e-09	8.658273393317658e-08	0.7035761616074628	0.9970089730807578
3.0925047463600683e-06	8.932614798969294e-09	2.81043186731829e-06	3.127150315600165e-06	8.368605698467269e-12	0.0	7.489790143499342e-07	3.494074927289177e-11	4.5295413384723376e-08	0.0	9.898356531579512e-06	3.98125085742733e-07	9.64288041350718e-10	5.538789338125642e-10	7.276896958280616e-07	1.91210082284997e-06	4.101720767611991e-10	0.0	0.0	7.18882923165369e-07	4.448391473491287e-12	8.130732662119847e-12	2.003396156296969e-09	6.072264791778562e-09	8.65991771500315e-08	0.7033739337394314	0.9970089730807578
3.092504544291185e-06	8.933556357539143e-09	2.8104320344725954e-06	3.1271725620336557e-06	3.078640374057682e-12	0.0	7.489842069908814e-07	1.2853995606568123e-11	4.529593837690144e-08	0.0	9.898352794864876e-06	3.981277885991862e-07	9.642732350561952e-10	5.539872009875215e-10	7.276948821352051e-07	1.9120940702540203e-06	4.1020901348987563e-10	0.0	0.0	7.188828066286705e-07	1.6364728022090099e-12	2.9911322871815125e-12	2.0039989781414667e-09	6.071531572324952e-09	8.660592974598105e-08	0.7032991610736845	0.9970089730807578
3.0925044687089993e-06	8.933904179943246e-09	2.8104320973740253e-06	3.1271807474698543e-06	1.132575043796061e-12	0.0	7.489861164496061e-07	4.728748362871634e-12	4.5296135453499234e-08	0.0	9.898351414438758e-06	3.981287819561762e-07	9.64267758712726e-10	5.540271944481734e-10	7.276967903902967e-07	1.9120913313521657e-06	4.1022265513692046e-10	0.0	0.0	7.188827628285312e-07	6.020281454689142e-13	1.1003825119520567e-12	2.0042216822365454e-09	6.071260709465647e-09	8.660866864783617e-08	0.7032715382025554	0.9970089730807578
3.092504440430107e-06	8.934032625628444e-09	2.810432121011102e-06	3.127183759236824e-06	4.166546881027003e-13	0.0	7.489868186185168e-07	1.7396244385628919e-12	4.5296209381374534e-08	0.0	9.8983509046621e-06	3.981291470568744e-07	9.642657354616004e-10	5.540419632168102e-10	7.27697492521336e-07	1.9120902315037687e-06	4.1022769235952674e-10	0.0	0.0	7.188827463827455e-07	2.2147569419149543e-13	4.0481162583853526e-13	2.0043039256041547e-09	6.0711606833579195e-09	8.66097684962332e-08	0.7032613373470125	0.9970089730807578
3.0925044298505802e-06	8.934080051368053e-09	2.8104321298841412e-06	3.127184867405489e-06	1.5327641707566735e-13	0.0	7.489870768359917e-07	6.39962566556194e-13	4.5296237095212946e-08	0.0	9.898350716437534e-06	3.981292812537914e-07	9.642649882959048e-10	5.540474162284687e-10	7.276977508709352e-07	1.912089793474674e-06	4.1022955218367917e-10	0.0	0.0	7.18882740212863e-07	8.14751437652341e-14	1.4891966419343596e-13	2.0043342924315985e-09	6.07112375086036e-09	8.661020652532814e-08	0.7032575708872707	0.9970089730807578
3.0925044258940487e-06	8.934097559366007e-09	2.810432133211902e-06	3.127185275125401e-06	5.638868506991713e-14	0.0	7.489871717886129e-07	2.354350945857029e-13	4.529624747731933e-08	0.0	9.898350646951214e-06	3.981293305775669e-07	9.6426471245077e-10	5.54049429294072e-10	7.27697845924957e-07	1.9120896202372407e-06	4.1023023876071617e-10	0.0	0.0	7.188827378999699e-07	2.9973796995126646e-14	5.478588446548213e-14	2.0043455028862216e-09	6.071110116608233e-09	8.661037976276129e-08	0.7032561804337258	0.9970089730807578
3.092504424415084e-06	8.934104021681331e-09	2.8104321344589298e-06	3.127185425121631e-06	2.0750008378342135e-14	0.0	7.489872067022675e-07	8.663582393659657e-14	4.529625136400901e-08	0.0	9.898350621303346e-06	3.981293487052361e-07	9.642646106313104e-10	5.540501723287604e-10	7.276978808950138e-07	1.9120895521307557e-06	4.102304921792344e-10	0.0	0.0	7.188827370335844e-07	1.1029810986857985e-14	2.0160206996967754e-14	2.0043496407442045e-09	6.071105084116503e-09	8.661044786924649e-08	0.7032556672078971	0.9970089730807578
3.0925044238622885e-06	8.934106407698072e-09	2.8104321349260837e-06	3.1271854803249406e-06	7.63579666925006e-15	0.0	7.489872195449202e-07	3.188112140144345e-14	4.5296252818716336e-08	0.0	9.898350611833638e-06	3.9812935537028233e-07	9.642645730374984e-10	5.540504466721182e-10	7.276978937653199e-07	1.9120895254851126e-06	4.102305857464268e-10	0.0	0.0	7.188827367091351e-07	4.058860720701342e-15	7.418755632082722e-15	2.004351168524774e-09	6.071103226019196e-09	8.661047451488972e-08	0.7032554777145827	0.9970089730807578
3.092504423655755e-06	8.934107288639346e-09	2.810432135100985e-06	3.1271855006422265e-06	2.8098804423119357e-15	0.0	7.489872242691804e-07	1.1731865501772663e-14	4.529625336290726e-08	0.0	9.898350608337328e-06	3.9812935782096723e-07	9.64264559157426e-10	5.540505479624172e-10	7.27697898502254e-07	1.9120895151060676e-06	4.102306202923432e-10	0.0	0.0	7.188827365876993e-07	1.4936114526468393e-15	2.730011977028253e-15	2.004351732596783e-09	6.071102539991044e-09	8.661048489393515e-08	0.7032554077517453	0.9970089730807578
3.0925044235786697e-06	8.93410761366018e-09	2.8104321351663916e-06	3.1271855081149333e-06	1.0351603561616065e-15	0.0	7.489872260058902e-07	4.3220209263553914e-15	4.5296253566256496e-08	0.0	9.898350607047371e-06	3.981293587214773e-07	9.64264554036406e-10	5.540505853331899e-10	7.276979002445321e-07	1.9120895110806943e-06	4.102306330379601e-10	0.0	0.0	7.188827365422996e-07	5.502466723915788e-16	1.0057368022370488e-15	2.0043519407095948e-09	6.071102286882864e-09	8.66104889193082e-08	0.7032553819391503	0.9970089730807578
3.0925044235498634e-06	8.934107733787989e-09	2.810432135190879e-06	3.1271855108685354e-06	3.8128836805494864e-16	0.0	7.489872266455336e-07	1.5919623427644983e-15	4.5296253642331966e-08	0.0	9.898350606570603e-06	3.981293590529991e-07	9.642645521436745e-10	5.540505991454401e-10	7.276979008865522e-07	1.912089509522961e-06	4.1023063774874416e-10	0.0	0.0	7.188827365253076e-07	2.0267647857430417e-16	3.7045057004128265e-16	2.0043520176281633e-09	6.071102193333994e-09	8.661049047704155e-08	0.7032553723988062	0.9970089730807578
3.092504423539142e-06	8.934107778010039e-09	2.810432135200009e-06	3.1271855118791312e-06	1.413452312274656e-16	0.0	7.489872268801719e-07	5.901472594231278e-16	4.529625367067654e-08	0.0	9.898350606395093e-06	3.9812935917455743e-07	9.642645514469125e-10	5.540506042300744e-10	7.276979011221834e-07	1.912089508923656e-06	4.102306394829014e-10	0.0	0.0	7.188827365189734e-07	7.513303872927923e-17	1.373276130889841e-16	2.00435204594381e-09	6.0711021588963164e-09	8.661049107634689e-08	0.703255368886767	0.9970089730807578
3.0925044235351174e-06	8.934107794449676e-09	2.8104321352034412e-06	3.127185512253794e-06	5.240139026914752e-17	0.0	7.489872269671218e-07	2.1878726708004812e-16	4.529625368132719e-08	0.0	9.898350606329848e-06	3.9812935921958533e-07	9.6426455118789e-10	5.540506061202977e-10	7.276979012095415e-07	1.9120895086922084e-06	4.102306401275778e-10	0.0	0.0	7.188827365165927e-07	2.7854322719754434e-17	5.0911925257859644e-17	2.00435205647021e-09	6.071102146094038e-09	8.661049130779375e-08	0.7032553675811594	0.9970089730807578
3.092504423533614e-06	8.934107800527843e-09	2.810432135204726e-06	3.127185512391916e-06	1.961590541948636e-17	0.0	7.489872269991614e-07	8.190069607929805e-17	4.529625368530919e-08	0.0	9.898350606305721e-06	3.981293592361704e-07	9.642645510921222e-10	5.540506068191632e-10	7.276979012417472e-07	1.9120895086032687e-06	4.1023064036593183e-10	0.0	0.0	7.188827365157019e-07	1.0426970673859423e-17	1.905833996917956e-17	2.0043520603620976e-09	6.0711021413606996e-09	8.661049139673366e-08	0.7032553670984418	0.9970089730807578
3.092504423533078e-06	8.934107802667942e-09	2.8104321352051844e-06	3.1271855124403668e-06	8.117487201306099e-18	0.0	7.48987227010393e-07	3.38922847553652e-17	4.529625368673134e-08	0.0	9.898350606297227e-06	3.981293592419813e-07	9.64264551058403e-10	5.540506070652308e-10	7.276979012530446e-07	1.912089508570421e-06	4.102306404498552e-10	0.0	0.0	7.188827365153839e-07	4.314906661818438e-18	7.886754519971203e-18	2.0043520617324153e-09	6.071102139694109e-09	8.661049142958095e-08	0.7032553669284789	0.9970089730807578
3.0925044235328545e-06	8.934107803561618e-09	2.8104321352053754e-06	3.1271855124606134e-06	3.3121920693771054e-18	0.0	7.489872270150875e-07	1.3829126421504237e-17	4.529625368732356e-08	0.0	9.89835060629368e-06	3.981293592444102e-07	9.642645510443219e-10	5.540506071679852e-10	7.276979012577656e-07	1.9120895085568305e-06	4.102306404849005e-10	0.0	0.0	7.188827365152513e-07	1.7606186875747832e-18	3.2180458232556795e-18	2.0043520623046423e-09	6.071102138998163e-09	8.66104914431712e-08	0.7032553668575046	0.9970089730807578
3.092504423532756e-06	8.93410780395761e-09	2.8104321352054597e-06	3.127185512469588e-06	1.1822983734667497e-18	0.0	7.489872270171682e-07	4.936354336099066e-18	4.529625368758569e-08	0.0	9.89835060629211e-06	3.9812935924548697e-07	9.642645510380829e-10	5.540506072135165e-10	7.276979012598579e-07	1.9120895085508305e-06	4.1023064050042927e-10	0.0	0.0	7.188827365151927e-07	6.284589045167987e-19	1.1486925462831235e-18	2.004352062558198e-09	6.071102138689786e-09	8.661049144917137e-08	0.7032553668260556	0.9970089730807578
3.092504423532727e-06	8.934107804067259e-09	2.8104321352054843e-06	3.1271855124720416e-06	6.004440099169063e-19	0.0	7.489872270177356e-07	2.506985089590593e-18	4.529625368766179e-08	0.0	9.898350606291677e-06	3.981293592457801e-07	9.642645510363553e-10	5.540506072261237e-10	7.2769790126043e-07	1.9120895085489006e-06	4.102306405047291e-10	0.0	0.0	7.188827365151757e-07	3.191701820005541e-19	5.833768990082035e-19	2.004352062628407e-09	6.071102138604399e-09	8.661049145110116e-08	0.7032553668173475	0.9970089730807578
3.0925044235327343e-06	8.934107804032913e-09	2.8104321352054784e-06	3.127185512471221e-06	7.955434296530797e-19	0.0	7.489872270175439e-07	3.321567835904532e-18	4.529625368764366e-08	0.0	9.898350606291811e-06	3.9812935924568004e-07	9.642645510368965e-10	5.540506072221744e-10	7.276979012602391e-07	1.91208950854907e-06	4.102306405033822e-10	0.0	0.0	7.188827365151797e-07	4.228766382763675e-19	7.729307828793912e-19	2.004352062606414e-09	6.0711021386311475e-09	8.661049145093158e-08	0.7032553668200753	0.9970089730807578
3.092504423532739e-06	8.934107804010847e-09	2.810432135205474e-06	3.1271855124707155e-06	9.153122379582276e-19	0.0	7.489872270174269e-07	3.821628802556903e-18	4.529625368762954e-08	0.0	9.898350606291899e-06	3.981293592456194e-07	9.642645510372439e-10	5.540506072196375e-10	7.276979012601215e-07	1.912089508549368e-06	4.1023064050251687e-10	0.0	0.0	7.188827365151828e-07	4.86540580161244e-19	8.89295264183849e-19	2.004352062592286e-09	6.07110213864833e-09	8.661049145063376e-08	0.7032553668218275	0.9970089730807578
3.092504423532719e-06	8.934107804096138e-09	2.8104321352054906e-06	3.1271855124726883e-06	4.467605782728782e-19	0.0	7.489872270178855e-07	1.865323137550855e-18	4.529625368768163e-08	0.0	9.898350606291559e-06	3.9812935924585754e-07	9.642645510359003e-10	5.540506072294442e-10	7.27697901260581e-07	1.912089508548408e-06	4.102306405058616e-10	0.0	0.0	7.18882736515171e-07	2.3747868528050372e-19	4.340617876922673e-19	2.0043520626468986e-09	6.071102138581909e-09	8.661049145159399e-08	0.703255366815054	0.9970089730807578
3.0925044235326995e-06	8.93410780418013e-09	2.810432135205509e-06	3.1271855124746153e-06	-1.0668412584431815e-20	0.0	7.489872270183331e-07	-4.454295038957259e-20	4.529625368773471e-08	0.0	9.898350606291227e-06	3.981293592460894e-07	9.642645510345769e-10	5.540506072391015e-10	7.2769790126103e-07	1.9120895085473268e-06	4.1023064050915536e-10	0.0	0.0	7.188827365151593e-07	-5.6708713848665255e-21	-1.0365171445953123e-20	2.0043520627006778e-09	6.071102138516503e-09	8.661049145267513e-08	0.7032553668083836	0.9970089730807578
3.0925044235326953e-06	8.93410780419625e-09	2.8104321352055122e-06	3.1271855124749715e-06	-9.520182560228113e-20	0.0	7.489872270184153e-07	-3.9748844380336843e-19	4.529625368774637e-08	0.0	9.898350606291164e-06	3.9812935924613177e-07	9.642645510343227e-10	5.540506072409551e-10	7.276979012611133e-07	1.912089508547008e-06	4.1023064050978743e-10	0.0	0.0	7.188827365151567e-07	-5.060519077599401e-20	-9.249579411518702e-20	2.004352062711002e-09	6.071102138503946e-09	8.661049145299415e-08	0.7032553668071032	0.9970089730807578
3.092504423532701e-06	8.934107804172337e-09	2.810432135205508e-06	3.1271855124744137e-06	3.736172811189258e-20	0.0	7.489872270182854e-07	1.559933847710665e-19	4.5296253687732264e-08	0.0	9.898350606291259e-06	3.981293592460644e-07	9.642645510347e-10	5.540506072382056e-10	7.276979012609837e-07	1.912089508547238e-06	4.1023064050884977e-10	0.0	0.0	7.188827365151599e-07	1.9859887281918903e-20	3.629975234968146e-20	2.0043520626956886e-09	6.071102138522569e-09	8.661049145276457e-08	0.7032553668090024	0.9970089730807578
3.092504423532708e-06	8.934107804140248e-09	2.8104321352055016e-06	3.127185512473679e-06	2.1177505725214e-19	0.0	7.48987227018115e-07	8.842071836268489e-19	4.5296253687711816e-08	0.0	9.898350606291384e-06	3.981293592459761e-07	9.64264551035205e-10	5.540506072345159e-10	7.276979012608123e-07	1.9120895085476635e-06	4.1023064050759126e-10	0.0	0.0	7.188827365151643e-07	1.1257050164394603e-19	2.057555303321047e-19	2.0043520626751415e-09	6.071102138547559e-09	8.661049145233891e-08	0.7032553668115509	0.9970089730807578
3.0925044235327262e-06	8.934107804065884e-09	2.810432135205486e-06	3.127185512471985e-06	6.13786638841247e-19	0.0	7.489872270177221e-07	2.5626934683324666e-18	4.529625368766343e-08	0.0	9.89835060629168e-06	3.981293592457727e-07	9.642645510363772e-10	5.540506072259653e-10	7.276979012604173e-07	1.9120895085487244e-06	4.102306405046752e-10	0.0	0.0	7.18882736515175e-07	3.2626254468369117e-19	5.963402730236833e-19	2.004352062627522e-09	6.071102138605474e-09	8.661049145127811e-08	0.7032553668174572	0.9970089730807578
3.0925044235327254e-06	8.934107804070793e-09	2.8104321352054872e-06	3.127185512472107e-06	5.849172257469088e-19	0.0	7.489872270177504e-07	2.442157361436933e-18	4.5296253687665626e-08	0.0	9.898350606291662e-06	3.9812935924578756e-07	9.642645510362995e-10	5.540506072265301e-10	7.276979012604455e-07	1.9120895085487316e-06	4.1023064050486767e-10	0.0	0.0	7.188827365151746e-07	3.1091680855324077e-19	5.682914498789032e-19	2.0043520626306694e-09	6.071102138601648e-09	8.661049145127087e-08	0.7032553668170669	0.9970089730807578
3.0925044235327275e-06	8.934107804063669e-09	2.8104321352054847e-06	3.1271855124719556e-06	6.206082632848794e-19	0.0	7.489872270177159e-07	2.5911752525311425e-18	4.529625368765972e-08	0.0	9.89835060629169e-06	3.981293592457699e-07	9.642645510364122e-10	5.54050607225711e-10	7.276979012604103e-07	1.912089508548929e-06	4.1023064050458844e-10	0.0	0.0	7.188827365151761e-07	3.298886256567546e-19	6.029680002126142e-19	2.004352062626108e-09	6.071102138607194e-09	8.661049145107382e-08	0.7032553668176327	0.9970089730807578
3.0925044235327165e-06	8.934107804108502e-09	2.810432135205494e-06	3.127185512472979e-06	3.775182521138377e-19	0.0	7.489872270179536e-07	1.5762212849304211e-18	4.529625368768857e-08	0.0	9.898350606291511e-06	3.9812935924589296e-07	9.642645510357055e-10	5.540506072308658e-10	7.276979012606491e-07	1.912089508548314e-06	4.1023064050634646e-10	0.0	0.0	7.188827365151696e-07	2.0067244559757988e-19	3.6678761678944597e-19	2.004352062654815e-09	6.071102138572281e-09	8.661049145168866e-08	0.703255366814072	0.9970089730807578
3.0925044235327076e-06	8.934107804146293e-09	2.8104321352055025e-06	3.127185512473841e-06	1.7285040791991016e-19	0.0	7.489872270181537e-07	7.216882663141917e-19	4.5296253687712974e-08	0.0	9.898350606291362e-06	3.981293592459965e-07	9.642645510351102e-10	5.540506072352107e-10	7.276979012608502e-07	1.9120895085477884e-06	4.1023064050782835e-10	0.0	0.0	7.188827365151643e-07	9.187983342141376e-20	1.6793728232771502e-19	2.004352062679012e-09	6.071102138542853e-09	8.661049145221441e-08	0.7032553668110708	0.9970089730807578
3.0925044235327e-06	8.934107804174918e-09	2.810432135205509e-06	3.1271855124744874e-06	1.9622885138178702e-20	0.0	7.489872270183033e-07	8.192983895741117e-20	4.5296253687732264e-08	0.0	9.89835060629125e-06	3.981293592460737e-07	9.642645510346592e-10	5.540506072385022e-10	7.276979012610008e-07	1.912089508547329e-06	4.102306405089508e-10	0.0	0.0	7.188827365151599e-07	1.0430680944424979e-20	1.9065121401387237e-20	2.0043520626973405e-09	6.07110213852056e-09	8.661049145267388e-08	0.7032553668087974	0.9970089730807578
3.0925044235326953e-06	8.934107804193722e-09	2.8104321352055127e-06	3.127185512474909e-06	-8.056075183334153e-20	0.0	7.489872270184011e-07	-3.3635876145361213e-19	4.529625368774513e-08	0.0	9.898350606291174e-06	3.981293592461242e-07	9.642645510343626e-10	5.540506072406642e-10	7.276979012610992e-07	1.9120895085470113e-06	4.1023064050968817e-10	0.0	0.0	7.188827365151571e-07	-4.2822626272736563e-20	-7.827088098571036e-20	2.004352062709381e-09	6.071102138505917e-09	8.661049145299121e-08	0.7032553668073042	0.9970089730807578
