HO*	LOO*	O2*-	Cu(II)ZnSOD	L*	H2O2	LOOH	Values[HO2*]	Values[Cu(I)ZnSOD]
4.5073358607103086e-23	1.8397433419371318e-08	4.12242300660433e-11	5e-06	4.30647350825127e-12	9.711943446307026e-10	3.215312406315431e-07	4.1224230066043297e-13	5e-06
4.507335849414032e-23	1.874891492157883e-08	4.122422997554012e-11	5e-06	4.388485876611353e-12	9.711943424985132e-10	3.281130424528618e-07	4.122422997554012e-13	5e-06
4.5073358381924324e-23	1.9098072724281475e-08	4.1224229885635275e-11	5e-06	4.469956048638879e-12	9.711943403804195e-10	3.3465356247248287e-07	4.122422988563527e-13	5e-06
4.507335827046608e-23	1.9444872750460572e-08	4.122422979633753e-11	5e-06	4.550876073021785e-12	9.711943382766279e-10	3.411521385608797e-07	4.122422979633753e-13	5e-06
4.50733581597765e-23	1.9789280923097422e-08	4.122422970765566e-11	5e-06	4.631237998448007e-12	9.71194336187345e-10	3.4760810858852563e-07	4.1224229707655664e-13	5e-06
4.507335804985321e-23	2.013130472738526e-08	4.122422961958776e-11	5e-06	4.711043571453794e-12	9.711943341125258e-10	3.540215207602674e-07	4.1224229619587753e-13	5e-06
4.5073357940667513e-23	2.047103341031589e-08	4.122422953211082e-11	5e-06	4.790313616326172e-12	9.711943320516287e-10	3.6039382066124643e-07	4.122422953211082e-13	5e-06
4.507335783226344e-23	2.0808329989506783e-08	4.1224229445260124e-11	5e-06	4.8690161705043194e-12	9.71194330005485e-10	3.667225874197098e-07	4.1224229445260125e-13	5e-06
4.507335772465e-23	2.114316641976033e-08	4.1224229359042895e-11	5e-06	4.947144690100929e-12	9.711943279742643e-10	3.730072619952027e-07	4.1224229359042894e-13	5e-06
4.5073357617836216e-23	2.1475514655878913e-08	4.1224229273466356e-11	5e-06	5.024692631228687e-12	9.711943259581371e-10	3.7924728534727034e-07	4.122422927346635e-13	5e-06
4.507335751183109e-23	2.180534665266494e-08	4.122422918853772e-11	5e-06	5.10165345000029e-12	9.711943239572737e-10	3.8544209843545787e-07	4.122422918853771e-13	5e-06
4.5073357406643645e-23	2.2132634364920785e-08	4.122422910426421e-11	5e-06	5.178020602528426e-12	9.711943219718437e-10	3.915911422193105e-07	4.122422910426421e-13	5e-06
4.5073357302282886e-23	2.2457349747448845e-08	4.1224229020653064e-11	5e-06	5.253787544925786e-12	9.71194320002018e-10	3.9769385765837327e-07	4.122422902065306e-13	5e-06
4.507335719875784e-23	2.2779464755051516e-08	4.122422893771148e-11	5e-06	5.3289477333050615e-12	9.711943180479659e-10	4.037496857121915e-07	4.1224228937711477e-13	5e-06
