TF_VIIa	Xa	IXa	ATIII	VII	IXa_VIIIa	IIa	Xa_Va	VIIIa	TF_VIIa_Xa	X	mIIa	VIIa	Va	Xa_TFPI	VIIIa1_L	TF_VIIa_X	II	TF_VIIa_IX	mIIa_ATIII	TF_VIIa_Xa_TFPI	IX	TF_VIIa_ATIII	IXa_VIIIa_X	TF_VII	Xa_Va_II	IXa_ATIII	IIa_ATIII	TF	TFPI	Xa_ATIII	VIII	V	VIIIa2	Values[IIa+1.2mIIa]
1.7598689162940213e-13	3.2793110494270154e-12	3.9216434585664237e-13	3.399999928613161e-06	9.991782328876054e-09	9.113021967550878e-21	1.1708202845743879e-13	1.181324128686497e-16	4.285350400978247e-15	2.997072776055515e-14	1.5999636248713806e-07	8.168386529810102e-15	1.0106115603046962e-10	1.2374560770946729e-13	2.6665423642237076e-14	5.3318207501722723e-17	9.914925599303686e-14	1.399999866938172e-06	3.726165625553865e-14	2.312911294653412e-16	1.4169717766736468e-13	8.999956823392393e-08	8.321994561345333e-16	1.645779718279285e-20	6.671617184712739e-12	9.895071478169159e-17	2.340048341575265e-15	7.481171489363038e-15	1.7843484906525242e-11	2.499831637398688e-09	6.050212784901816e-14	6.999956613058212e-10	1.999987603730916e-08	5.3318207501722723e-17	1.268840922932109e-13
1.8389609777299773e-13	3.836061597654261e-12	4.601455676503108e-13	3.399999906111756e-06	9.990780011787775e-09	1.6877013089410357e-20	1.511901830908229e-13	2.1640381530934735e-16	6.1263577035692675e-15	3.137041468170574e-14	1.5999574891757153e-07	1.6563029274573658e-14	1.0148350977657618e-10	1.770515583747237e-13	3.465414951844618e-14	8.432013478969893e-17	1.03732712443032e-13	1.3999998208366033e-06	3.901821577700943e-14	5.197365366396773e-16	1.662289796733568e-13	8.999949778656963e-08	9.729906645077324e-16	3.070537984390126e-20	7.2112590246328634e-12	1.813355457353657e-16	3.0495993246940334e-15	1.0709112461164076e-14	1.726352156435454e-11	2.4997991168708057e-09	7.86368044199634e-14	6.999937892745798e-10	1.9999822550702266e-08	8.432013478969892e-17	1.7106581822031124e-13
1.906831253312829e-13	4.413226534631449e-12	5.309472255615179e-13	3.3999998794370704e-06	9.989723927948082e-09	2.9486962456207546e-20	1.903704230202411e-13	3.737395096435146e-16	8.46773843615556e-15	3.257327215483334e-14	1.5999511046531368e-07	3.139284660496305e-14	1.0198070112664826e-10	2.4490318916216534e-13	4.391585187802199e-14	1.2783525318323281e-16	1.0766996544768351e-13	1.3999997620194999e-06	4.0528249617297086e-14	1.0824953316002452e-15	1.9179735809270608e-13	8.999942464962263e-08	1.119520523055054e-15	5.397977496474021e-20	7.730999434099484e-12	3.132757875113278e-16	3.874818689943361e-15	1.4821459544749283e-14	1.6704629074733672e-11	2.499764286790027e-09	9.966463480921338e-14	6.999914043428444e-10	1.999975440979554e-08	1.2783525318323276e-16	2.280418389461967e-13
1.9645930115170173e-13	5.007073480161063e-12	6.041434745793189e-13	3.399999848171757e-06	9.988610972738854e-09	4.906440865977491e-20	2.346937851746459e-13	6.143839958634155e-16	1.1377827231481406e-14	3.359876630040682e-14	1.5999445074883662e-07	5.622976574154127e-14	1.0255504387825057e-10	3.293001193746898e-13	5.449166125710534e-14	1.8707053469635736e-16	1.1102497931671528e-13	1.3999996865041289e-06	4.181611987620933e-14	2.1155991115772754e-15	2.1825262305270673e-13	8.99993492202218e-08	1.2709556530326646e-15	9.0290413907698e-20	8.231560637539745e-12	5.151286580274881e-16	4.820044366733069e-15	1.9941592526227055e-14	1.61660166171095e-11	2.4997272557156873e-09	1.2368005033188402e-13	6.999884349628796e-10	1.9999669570367973e-08	1.870705346963573e-16	3.0216950406449545e-13
2.013265242724893e-13	5.614239356038202e-12	6.79351122793139e-13	3.399999811813989e-06	9.987438530632496e-09	7.832290360046548e-20	2.8419284466652647e-13	9.685075809457293e-16	1.4925262909309654e-14	3.4464719947988174e-14	1.5999377302459577e-07	9.599224624143e-14	1.0320839330691794e-10	4.3225155144257995e-13	6.641471473645859e-14	2.656441483315193e-16	1.1385631417789132e-13	1.3999995888915582e-06	4.2904135114210915e-14	3.916987418329826e-15	2.454600119509134e-13	8.99992718555781e-08	1.4265460031526731e-15	1.447823653428887e-19	8.71363780911617e-12	8.122313453345078e-16	5.888940878376021e-15	2.6194132140395725e-14	1.56469239394172e-11	2.4996881252733107e-09	1.5075940366768098e-13	6.999848088698376e-10	1.9999565967709633e-08	2.6564414833151926e-16	3.9938354015624243e-13
2.0537792640833903e-13	6.231696786915526e-12	7.562259946989743e-13	3.399999769740462e-06	9.986204428343937e-09	1.206473208005554e-19	3.388662863810531e-13	1.472687363480614e-15	1.917848138080369e-14	3.518742728352391e-14	1.5999308021792844e-07	1.5723879259737777e-13	1.0394219192525742e-10	5.557609110801925e-13	7.971095194223401e-14	3.6758573347796083e-16	1.1621750350746211e-13	1.399999462033029e-06	4.38126908701725e-14	6.9225182306210306e-15	2.7329841913802965e-13	8.999919287640255e-08	1.585617737047317e-15	2.2389145673626793e-19	9.177900145857847e-12	1.2353059294462487e-15	7.084567337539803e-15	3.3704067674142876e-14	1.5146620269197592e-11	2.4996469906289176e-09	1.8096276556144162e-13	6.999804535883475e-10	1.999944153109563e-08	3.6758573347796073e-16	5.275528374979064e-13
2.0869850167685288e-13	6.856723060427545e-12	8.344595503134567e-13	3.3999997211621808e-06	9.984906892210935e-09	1.8017049883663758e-19	3.98683032377522e-13	2.1702841030715316e-15	2.4205272222910172e-14	3.578176282020835e-14	1.599923749517572e-07	2.484771578477605e-13	1.0475751102548123e-10	7.018124165684926e-13	9.439983802524608e-14	4.973338236383222e-16	1.1815741311376897e-13	1.3999992966737782e-06	4.456040783058712e-14	1.1749265193869221e-14	3.016592153185389e-13	8.99991125700866e-08	1.7475666254708087e-15	3.354944908180643e-19	9.624991896194778e-12	1.8207768009540044e-15	8.409439595833221e-15	4.2595989540488074e-14	1.466440323641981e-11	2.499603940946654e-09	2.143355566705647e-13	6.999752968782891e-10	1.9999294196522527e-08	4.97333823638322e-16	6.968556217948345e-13
2.1136570625560188e-13	7.486871537630172e-12	9.137757507632485e-13	3.3999996650727085e-06	9.983544509473614e-09	2.618460947756737e-19	4.635859620843896e-13	3.1117077045395674e-15	3.0072392572701604e-14	3.626128577251792e-14	1.5999165957320202e-07	3.8048316072859794e-13	1.0565508833949357e-10	8.72359419468097e-13	1.104950193106469e-13	6.597307853187704e-16	1.1972058433000484e-13	1.3999990810800587e-06	4.516426073186467e-14	1.924640752409361e-14	3.304451523050977e-13	8.999903119365065e-08	1.911851919143199e-15	4.89052314354667e-19	1.005553334557309e-11	2.6109944396343044e-15	9.865586968227004e-15	5.2993416484539895e-14	1.4199597813112695e-11	2.4995590598283827e-09	2.5091002742286977e-13	6.999692671257441e-10	1.9999121917878384e-08	6.597307853187702e-16	9.201657549587071e-13
2.134500262253636e-13	8.119945405067035e-12	9.939281561912538e-13	3.399999600188728e-06	9.982116193141699e-09	3.7151674887992885e-19	5.3349526003769e-13	4.354568279729276e-15	3.684523258201236e-14	3.6638338555520884e-14	1.599909361782068e-07	5.666229108083731e-13	1.0663536213214958e-10	1.0693143670492443e-12	1.2800491701805308e-13	8.600155978653777e-16	1.2094755839943527e-13	1.3999988006553886e-06	4.563970243358455e-14	3.0553869717335774e-14	3.595693490592776e-13	8.999894897647019e-08	2.077990678182305e-15	6.957439279384229e-19	1.0470121760796506e-11	3.654362972584446e-15	1.1454603930805924e-14	6.501820803254872e-14	1.3751555273852144e-11	2.4995124257339207e-09	2.907065980842642e-13	6.999622936845599e-10	1.9998922676701697e-08	8.600155978653775e-16	1.2134427530077377e-12
2.1501551409543984e-13	8.753973645322121e-12	1.0746972447210893e-12	3.3999995248829052e-06	9.980621150152644e-09	5.159768522202013e-19	6.083114240577743e-13	5.9637131702588594e-15	4.458752716835537e-14	3.6924140166013627e-14	1.599902066342879e-07	8.231723228595573e-13	1.0769850202764732e-10	1.2945402436693099e-12	1.4693326420201832e-13	1.103814767553505e-15	1.2187518361797715e-13	1.3999984375521087e-06	4.6000779992401235e-14	4.7168719168513355e-14	3.8895435457226003e-13	8.999886612279356e-08	2.245552533298721e-15	9.685902230097567e-19	1.086933229472655e-11	5.005371817119096e-15	1.3177697169251969e-14	7.879005359350269e-14	1.3319652180296075e-11	2.499464112381224e-09	3.3373507066717e-13	6.999543071734976e-10	1.9998694490671344e-08	1.1038147675535049e-15	1.596118211489243e-12
2.1612029366564965e-13	9.387189103383777e-12	1.155887939162059e-12	3.3999994371091754e-06	9.979058852540443e-09	7.0302938830022e-19	6.879179648111519e-13	8.011153016332602e-15	5.3361109278213276e-14	3.712887396552038e-14	1.599894726015111e-07	1.1696280313067687e-12	1.0884443685181195e-10	1.5498433562312775e-12	1.6727959078043886e-13	1.3971316390499933e-15	1.2253690421697235e-13	1.3999979702842543e-06	4.6260244761572834e-14	7.101918572704862e-14	4.185312833277885e-13	8.999878281406215e-08	2.4141548542291298e-15	1.3225662610334929e-18	1.125371885294817e-11	6.724533978462955e-15	1.5035728334942023e-14	9.442603039841524e-14	1.2903289392260114e-11	2.4994141891258897e-09	3.799957236706107e-13	6.999452397334876e-10	1.9998435420956774e-08	1.3971316390499933e-15	2.0914716023792743e-12
2.1681703412522537e-13	1.0018008518882088e-11	1.2373273294225153e-12	3.39999933432074e-06	9.977429011349391e-09	9.41536498740161e-19	7.721838260242734e-13	1.057588261136676e-14	6.322570030267743e-14	3.72617702275306e-14	1.5998873555180558e-07	1.629004204928818e-12	1.1007287975772957e-10	1.8369673353293905e-12	1.890396612674452e-13	1.7463343407548373e-15	1.2296303190435454e-13	1.3999973733474873e-06	4.642965537013631e-14	1.0454602346980341e-13	4.4823901895457827e-13	8.999869921104614e-08	2.583458300699172e-15	1.774701382208793e-18	1.1623814923992449e-11	8.878235811047153e-15	1.7029252847004583e-14	1.1204022314788943e-13	1.2501891107125045e-11	2.4993627213197762e-09	4.2948030007435177e-13	6.999350252491192e-10	1.999814357854625e-08	1.7463343407548373e-15	2.726988871938854e-12
2.1715339385287065e-13	1.064501439899171e-11	1.3188625783514702e-12	3.399999213381163e-06	9.975731553048105e-09	1.241463547591611e-18	8.609655523727327e-13	1.3743603685528234e-14	7.423873376038938e-14	3.733118341222345e-14	1.5998799678671592e-07	2.228110214913876e-12	1.113833508808107e-10	2.1575882339226354e-12	2.1220586946543282e-13	2.1581425737681893e-15	1.2318100007330361e-13	1.3999966168515103e-06	4.6519474459323255e-14	1.5079081948709669e-13	4.780234819329253e-13	8.999861545580652e-08	2.7531627324109394e-15	2.344166670342887e-18	1.1980134374616871e-11	1.1538504231134699e-14	1.9158555052400438e-14	1.317433990118881e-13	1.2114903928920088e-11	2.4993097706485995e-09	4.821728981912826e-13	6.999235995380362e-10	1.999781712965816e-08	2.1581425737681893e-15	3.5346978102693837e-12
2.1717243500861802e-13	1.126693860425603e-11	1.4003589992678419e-12	3.3999990704690782e-06	9.973966598211958e-09	1.6139165931248758e-18	9.541092307158106e-13	1.7606358291292203e-14	8.645520870483439e-14	3.7344664406609816e-14	1.5998725745369488e-07	2.9978046497744288e-12	1.1277519775597103e-10	2.5133106117627606e-12	2.3676759414674724e-13	2.6396134338493352e-15	1.2321560140870798e-13	1.3999956661699596e-06	4.653915894444458e-14	2.1349072964986204e-13	5.078369572008304e-13	8.999853167349549e-08	2.9230034546511157e-15	3.0523495692433014e-18	1.2323172211641683e-11	1.4782698655833487e-14	2.1423680041026007e-14	1.536427321811217e-13	1.1741795967934472e-11	2.49925539544865e-09	5.380507744755324e-13	6.999109005115957e-10	1.9997454300331294e-08	2.6396134338493352e-15	4.551474810445124e-12
2.1691300988652185e-13	1.1882647524403938e-11	1.4816982937329134e-12	3.399998900977123e-06	9.97213444226073e-09	2.071173272225354e-18	1.0514522284711338e-12	2.2262082224235213e-14	9.992756971010034e-14	3.730902786095639e-14	1.599865185610339e-07	3.973221740765025e-12	1.1424761371063495e-10	2.905664503152777e-12	2.6271151943171523e-13	3.198126434595427e-15	1.230892093548576e-13	1.3999944816122976e-06	4.649724426740993e-14	2.971790252580074e-13	5.376374777218884e-13	8.999844797400554e-08	3.0927477772770013e-15	3.922915638697222e-18	1.2653405311761936e-11	1.869313558317606e-14	2.3824462390143105e-14	1.7784157281857655e-13	1.1382055971369172e-11	2.499199651002844e-09	5.970850666524646e-13	6.998968683097669e-10	1.9997053380279042e-08	3.198126434595428e-15	5.8193183173891634e-12
2.1641012046619187e-13	1.2491128712042043e-11	1.5627769374652101e-12	3.3999986994058475e-06	9.97023553803869e-09	2.6267072471523003e-18	1.1528247528775461e-12	2.781408904870451e-14	1.1470561043347103e-13	3.7230414885423347e-14	1.5998578099153437e-07	5.193967143509586e-12	1.1579965444626692e-10	3.336103167288151e-12	2.900219235583068e-13	3.8413678873017635e-15	1.2282198429800706e-13	1.399993018121489e-06	4.640142278522011e-14	4.072907053274694e-13	5.673882597761394e-13	8.999836445347908e-08	3.2621918632401144e-15	4.98185772136895e-18	1.2971293120965923e-11	2.3356654684322157e-14	2.6360552117203664e-14	2.0443925548811206e-13	1.1035192484959874e-11	2.499142589816663e-09	6.592414455107428e-13	6.998814454131147e-10	1.9996612726088986e-08	3.841367887301764e-15	7.38558532508905e-12
2.1569525191080838e-13	1.3091478883623237e-11	1.6435047064414294e-12	3.399998459253271e-06	9.96827048008644e-09	3.2952062702047485e-18	1.2580512488975958e-12	3.437049379095318e-14	1.3083639866811584e-13	3.711435122132271e-14	1.5998504551498784e-07	6.704279856756942e-12	1.1743025295958715e-10	3.806001548420771e-12	3.18680938669523e-13	4.577314760782391e-15	1.224320648537912e-13	1.3999912250013317e-06	4.62586165446648e-14	5.502724858280469e-13	5.970571872210362e-13	8.999828119568626e-08	3.431157851120309e-15	6.2575326178828296e-18	1.3277278324367291e-11	2.88641340107396e-14	2.9031438031452525e-14	2.3353094365864315e-13	1.0700733046029983e-11	2.499084261874107e-09	7.244807012836253e-13	6.998645767338326e-10	1.9996130763823783e-08	4.577314760782392e-15	9.303187077005926e-12
2.1479668172128803e-13	1.3682893153629799e-11	1.7238033308195748e-12	3.399998172901008e-06	9.966239990406647e-09	4.0925841740839235e-18	1.3669516582072399e-12	4.204358739200454e-14	1.4836422030293004e-13	3.696580118644648e-14	1.599843127995705e-07	8.553158669158081e-12	1.1913823300057533e-10	4.316655355412352e-12	3.4866878504915444e-13	5.4142181520680835e-15	1.2193574524187678e-13	1.3999890456759525e-06	4.607504476189678e-14	7.3369625109708e-13	6.266163404052088e-13	8.999819827328242e-08	3.599491227424332e-15	7.780685860801667e-18	1.3571787488230668e-11	3.530996362515454e-14	3.183646875115674e-14	2.6520750604318204e-13	1.0378223407225204e-11	2.4990247148745435e-09	7.92759272362293e-13	6.998462096882754e-10	1.9995605991093574e-08	5.414218152068084e-15	1.1630742061196936e-11
2.1373976581225354e-13	1.4264655398592037e-11	1.8036052675079317e-12	3.3999978314978296e-06	9.964144905573147e-09	5.035987063638473e-18	1.4793425571893731e-12	5.0949172237306195e-14	1.6733054030920367e-13	3.6789217608221265e-14	1.599835834222302e-07	1.0794451517345918e-11	1.2092232121737228e-10	4.8692806910637926e-12	3.7996398242125564e-13	6.360586475429691e-15	1.2134763945577062e-13	1.399986417483924e-06	4.585628628796603e-14	9.663750941818139e-13	6.560415665392547e-13	8.999811574895416e-08	3.767058430696471e-15	9.584465100542108e-18	1.3855231675344647e-11	4.2791486321684077e-14	3.4774871586443854e-14	2.995554217036445e-13	1.0067226790521207e-11	2.4989639944510374e-09	8.640297222447554e-13	6.998262942527637e-10	1.9995036978650386e-08	6.360586475429692e-15	1.4432684378004475e-11
2.1254720259427929e-13	1.4836129661978936e-11	1.8828525834833383e-12	3.399997424841527e-06	9.961986165056442e-09	6.1437939392030565e-18	1.5950381896935824e-12	6.120586770491917e-14	1.8777397926435793e-13	3.6588587933877326e-14	1.599828578781333e-07	1.348690662825564e-11	1.2278115811471447e-10	5.465014174868684e-12	4.125435405200559e-13	7.425168461766862e-15	1.206808328500385e-13	1.3999832715089829e-06	4.560733730203104e-14	1.2584810754139487e-12	6.853120887716441e-13	8.999803367646153e-08	3.933744671988168e-15	1.1704422572383818e-17	1.4128007034717454e-11	5.140841293028901e-14	3.784576945752865e-14	3.3665671149989004e-13	9.7673231711587e-12	2.4989021443707063e-09	9.382411697013136e-13	6.998047830040579e-10	1.9994422371544506e-08	7.425168461766864e-15	1.777932614360035e-11
2.1123927650430052e-13	1.5396752497483913e-11	1.9614959405871384e-12	3.399996941260039e-06	9.959764800626752e-09	7.435612109991646e-18	1.713851411627156e-12	7.293439541606243e-14	2.0973030384881162e-13	3.6367476763745253e-14	1.5998213658924996e-07	1.6694185134907776e-11	1.2471330796391344e-10	6.1049134993632015e-12	4.46383131337675e-13	8.616936060923224e-15	1.1994702195832293e-13	1.3999795324486007e-06	4.533266452769155e-14	1.62166373962199e-12	7.144101507338731e-13	8.999795210158472e-08	4.0994519535374854e-15	1.4178507315134025e-17	1.4390495366889797e-11	6.126222033958795e-14	4.104819603991657e-14	3.765888933367335e-13	9.478108590668746e-12	2.4988392067179264e-09	1.0153396775909066e-12	6.997816311459712e-10	1.9993760889884893e-08	8.616936060923226e-15	2.1746873573516485e-11
2.0983408241492315e-13	1.5946026155292472e-11	2.039493673073073e-12	3.3999963674927454e-06	9.957481926711221e-09	8.932267778811987e-18	1.835594562703955e-12	8.625685300362854e-14	2.332324300124123e-13	3.6129065056787576e-14	1.5998141991215286e-07	2.0484835619131023e-11	1.2671726778670696e-10	6.789958368889031e-12	4.814572451857189e-13	9.94506732545361e-15	1.1915664336130667e-13	1.3999751185208388e-06	4.503625429326911e-14	2.0691684812246117e-12	7.433206935115688e-13	8.999787106298401e-08	4.2640972686042255e-15	1.7047047896474372e-17	1.4643064666160712e-11	7.24555396370836e-14	4.438110931139018e-14	4.194249590904571e-13	9.199194497932842e-12	2.4987752220613007e-09	1.09526860515071e-12	6.997567965233467e-10	1.9993051329238483e-08	9.94506732545361e-15	2.6417397305661177e-11
2.0834773178443435e-13	1.64835125446441e-11	2.1168109522369063e-12	3.399995688572863e-06	9.955138731618104e-09	1.0655792052838117e-17	1.960080277916041e-12	1.0129598441972478e-13	2.583104380565046e-13	3.587618615588919e-14	1.5998070814507663e-07	2.493223033131804e-11	1.2879147549989376e-10	7.521051786614725e-12	5.17739332088948e-13	1.1418929349810661e-14	1.1831899209252685e-13	1.399969941410657e-06	4.472165761261097e-14	2.6159538211030566e-12	7.720310630628143e-13	8.999779059297802e-08	4.427610971361666e-15	2.035272613253946e-17	1.4886069640315154e-11	8.50915410941342e-14	4.784340361967594e-14	4.65233372033395e-13	8.930207118005224e-12	2.4987102296048462e-09	1.1779689271871363e-12	6.997302396240759e-10	1.9992292560687886e-08	1.1418929349810661e-14	3.187875667549768e-11
2.0679454193195985e-13	1.7008827887382365e-11	2.1934190301957323e-12	3.3999948877118124e-06	9.952736469523877e-09	1.2629402774499e-17	2.087122252222898e-12	1.1817445424545152e-13	2.849915986881836e-13	3.561135887346526e-14	1.5998000153430654e-07	3.011446443946128e-11	1.3093431732362228e-10	8.299021651053704e-12	5.55201930309122e-13	1.3048061331270368e-14	1.174423303734312e-13	1.399963906255182e-06	4.439203159178745e-14	3.2788067213692785e-12	8.005307453150744e-13	8.999771071824784e-08	4.589935301343065e-15	2.4140542575326714e-17	1.5119852209109728e-11	9.927332226666404e-14	5.1433920424146334e-14	5.140780832413391e-13	8.670786847503226e-12	2.4986442673243736e-09	1.2633795242280688e-12	6.997019235700357e-10	1.9991483530572447e-08	1.3048061331270366e-14	3.822447957957644e-11
