calcium concentration	Values[n]	Values[h]	Values[V]	Values[phik]	Values[phia]	Values[phih]	Values[phif]	Values[phical]	Values[cinf]	Values[ica]	Values[isk]	Values[ibk]	Values[ikdr]	Values[ia]	Values[ik]
0.29504118084927383	0.07465360374606439	0.35675860574304824	-64.5971692032957	0.0025739998229666336	0.01143340224280477	0.7149267327895298	0.00034771478758579904	0.023743170467583796	0.25826874232035424	-5.441800246992788	4.567434244941653	0.0	3.1064352325380704	0.0	7.673869477479723
0.2946504112243368	0.07299057271941695	0.37444387247769356	-64.8127532200238	0.0025192406775262134	0.01119228351038829	0.7236321958058344	0.00033458754145604223	0.023330287981325186	0.2577612892237679	-5.357229193103952	4.463992368200486	0.0	2.9742919076179977	0.0	7.438284275818484
0.29425905115923207	0.07136468977609586	0.3916726802009571	-65.01366110904631	0.002469255920554004	0.010972108068155654	0.7315954267939916	0.000322800322691053	0.022951826797157678	0.2572530484421341	-5.279547258163642	4.367327408205931	0.0	2.850687907807485	0.0	7.218015316013416
0.29386720056547494	0.06977520311420247	0.4084326136085203	-65.20071223267634	0.0024236084039180295	0.010770971137821479	0.7388774903041705	0.000312199545985813	0.02260486145048491	0.2567441509869136	-5.208192278033661	4.277046690766535	0.0	2.7349891773581128	0.0	7.012035868124648
0.29347495118882666	0.06822136876369002	0.42471471817515655	-65.37468026224342	0.002381909559573017	0.010587177848761377	0.7455344826467334	0.0003026528332966775	0.02228676612407512	0.256234717298006	-5.14265703128913	4.192779839241859	0.0	2.626609949191664	0.0	6.819389788433523
0.29308238740058135	0.066702451454175	0.44051309401692984	-65.53629483089746	0.0023438133308440363	0.010419217302050593	0.7516177449245031	0.0002940457152228479	0.02199518051830846	0.25572485826645813	-5.0824833224441965	4.1141779271753	0.0	2.5250093384747485	0.0	6.639187265650048
0.29268958690408753	0.06521772533263663	0.45582452145820834	-65.68624332291503	0.002309010934312878	0.010265740132744719	0.7571741324428963	0.00028627889753094117	0.02172797991369671	0.2552146761476281	-5.027256742422656	4.0409125699020825	0.0	2.4296880991245513	0.0	6.470600669026634
0.2922966213661891	0.06376647455216151	0.47064811881922686	-65.82517274789026	0.0022772263312883837	0.010125539071009146	0.762246314795743	0.00027926598833039073	0.021483248892918406	0.2547042653773202	-4.976602028416393	3.972674979861127	0.0	2.3401855539685337	0.0	6.31286053382966
0.2919035569821724	0.062347993749915315	0.48498503193485504	-65.95369165825404	0.002248212306189173	0.009997532076166863	0.7668730882498077	0.0002729316019712968	0.021259258256349188	0.2541937133019849	-4.93017895347981	3.909175005407314	0.0	2.2560767038039344	0.0	6.165251709211248
0.2915104549817743	0.06096158842978274	0.4988381540462986	-66.0723720777059	0.0022217470645565177	0.009880747679831164	0.7710896876609433	0.00026720977201202107	0.02105444472325478	0.25368310083274576	-4.887678683614241	3.850140168494573	0.0	2.176969516212519	0.0	6.027109684707092
