LA	nHexanal	13HOD-S(Z,E)	13HOD-R(Z,E)	9HOD-S(Z,E)	13HOD-R(E,E)	9HOD-R(Z,E)	9HOD-S(E,E)	9HOD-R(E,E)	13HOD-S(E,E)	Values[Vm(HPL-RZE)]
1.9790402156264296e-05	3.4156385208533904e-05	2.4670650707249755e-07	1.3513487175369816e-07	6.489328493841901e-06	9.070783254934145e-07	1.8010744741651659e-06	1.0118779376408744e-06	8.573091745414326e-07	1.6440883523051993e-06	0.038475
1.787795394317245e-05	3.559238683881475e-05	2.2287781835800622e-07	1.2209637003573966e-07	6.752209477735454e-06	9.438238289612243e-07	1.8740355255718563e-06	1.052868845726301e-06	8.920385428448383e-07	1.7106899373647417e-06	0.038475
1.6150309335320454e-05	3.6889721886356104e-05	2.0126535325063526e-07	1.1030713445886541e-07	6.9896877588316415e-06	9.770185426765492e-07	1.9399462081111732e-06	1.0898987223211046e-06	9.234119444735724e-07	1.7708556812080697e-06	0.038475
1.4589611523401606e-05	3.806156026108845e-05	1.8187814901289988e-07	9.965214119062787e-08	7.204217895412148e-06	1.0070055647917009e-06	1.999487769815282e-06	1.1233503055428356e-06	9.517536526303757e-07	1.825207452597846e-06	0.038475
1.3179728912238016e-05	3.912021961956011e-05	1.643072728174494e-07	9.002443464608924e-08	7.398017301565948e-06	1.0340948454441483e-06	2.0532756407580462e-06	1.1535693557266911e-06	9.77356611252982e-07	1.8743070391950552e-06	0.038475
1.1906088494916108e-05	4.007658811790187e-05	1.484241194094416e-07	8.132597923913807e-08	7.573089151219269e-06	1.058566388281788e-06	2.101865789932141e-06	1.180868226840133e-06	1.0004854608795895e-06	1.918661950354922e-06	0.038475
1.0755525290858667e-05	4.0940536350929827e-05	1.3407872502731536e-07	7.346755646773805e-08	7.731243074051697e-06	1.0806731433380603e-06	2.1457604692772956e-06	1.20552909358734e-06	1.0213792727990545e-06	1.958730660491405e-06	0.038475
9.716146329659674e-06	4.172099392298871e-05	1.2112320609116764e-07	6.63682639072348e-08	7.874113851983254e-06	1.100643620426881e-06	2.185413402778942e-06	1.2278068667436414e-06	1.0402540190552858e-06	1.9949273458811126e-06	0.038475
8.777207769832068e-06	4.242603287279711e-05	1.0941887430660441e-07	5.995487437125252e-08	8.003178310164859e-06	1.1186842501652555e-06	2.2212344744620043e-06	1.2479318269597057e-06	1.0573048039263722e-06	2.0276261640399273e-06	0.038475
7.929003882338036e-06	4.306294080041739e-05	9.884499459034798e-08	5.4161169929708215e-08	8.11977057706148e-06	1.1349815170276786e-06	2.2535939637360984e-06	1.2661120042591258e-06	1.0727078799435452e-06	2.0571651199050053e-06	0.038475
7.162766761013722e-06	4.363830088051789e-05	8.929278507798391e-08	4.892729982753869e-08	8.225095870039663e-06	1.1497038862955337e-06	2.2828263715032486e-06	1.2825353276185957e-06	1.0866224691136184e-06	2.0838495584494385e-06	0.038475
6.470575709776084e-06	4.415806014244155e-05	8.066402762539623e-08	4.4199181633752075e-08	8.32024295080557e-06	1.1630035450781991e-06	2.309233877090525e-06	1.2973715671384962e-06	1.0991924084145576e-06	2.1079553203000687e-06	0.038475
5.845275393987406e-06	4.4627592075455034e-05	7.286889212174395e-08	3.9927951598607435e-08	8.406195376140907e-06	1.175017974940898e-06	2.333089460824801e-06	1.3107740883648582e-06	1.1105476361371175e-06	2.1297315921408785e-06	0.038475
5.2804018915991924e-06	4.505175007497964e-05	6.582709137276383e-08	3.606946403252823e-08	8.483841662752319e-06	1.1858713727473267e-06	2.354639725226154e-06	1.3228814372895406e-06	1.120805534769342e-06	2.149403482004169e-06	0.038475
4.770115888712451e-06	4.543491887671525e-05	5.9465774806849134e-08	3.258383716151517e-08	8.553984470064786e-06	1.195675934230503e-06	2.37410744363749e-06	1.3338187722188843e-06	1.1300721441410415e-06	2.167174345755303e-06	0.038475
4.309142328336815e-06	4.578105947630193e-05	5.371917253697786e-08	2.9435041971444076e-08	8.617348895972323e-06	1.204533013572781e-06	2.391693862660736e-06	1.3436991573262127e-06	1.1384432573805131e-06	2.1832278888428423e-06	0.038475
3.892715890063018e-06	4.609375007951146e-05	4.8527903728025085e-08	2.659053035966543e-08	8.67458997108396e-06	1.2125341709515417e-06	2.407580782140182e-06	1.3526247312260811e-06	1.146005410983985e-06	2.1977300649853775e-06	0.038475
3.516531738441788e-06	4.637622314954325e-05	4.383829757200683e-08	2.4020899023446198e-08	8.726299428744761e-06	1.2197621188527216e-06	2.4219324341414907e-06	1.3606877626204684e-06	1.1528367792072517e-06	2.2108307913740655e-06	0.038475
3.1767010239125383e-06	4.663139878491762e-05	3.960187439564391e-08	2.169958568476205e-08	8.773011821781678e-06	1.226291577069535e-06	2.4348971806180792e-06	1.3679716040800776e-06	1.1590079821527238e-06	2.222665498366195e-06	0.038475
2.8697106890522085e-06	4.686191489937441e-05	3.577484567744951e-08	1.9602594656677674e-08	8.815210047449407e-06	1.2321900449793966e-06	2.4466090468269375e-06	1.374551553546542e-06	1.1645828156734251e-06	2.233356529244674e-06	0.038475
2.5923871587302772e-06	4.7070154500827525e-05	3.231764707602512e-08	1.770824890247166e-08	8.853330338502934e-06	1.2375184991960338e-06	2.4571891065710866e-06	1.3804956325880202e-06	1.1696189107466508e-06	2.243014404719319e-06	0.038475
2.34186353275768e-06	4.725827031380913e-05	2.9194541665194743e-08	1.5996965996933115e-08	8.887766772824879e-06	1.2423320239251878e-06	2.466746733819788e-06	1.385865289583264e-06	1.1741683292436053e-06	2.251738965452739e-06	0.038475
2.1155499544445916e-06	4.7428207036510624e-05	2.637324341946285e-08	1.4451055766750505e-08	8.918875346499265e-06	1.24668038029886e-06	2.475380733165913e-06	1.3907160348340952e-06	1.1782781020256822e-06	2.2596204039842327e-06	0.038475
1.9111068374126168e-06	4.758172144041203e-05	2.3824587517121265e-08	1.3054537444723022e-08	8.946977653995866e-06	1.2506085207914711e-06	2.4831803612391877e-06	1.3950980144148168e-06	1.1819907151358806e-06	2.2667401971141223e-06	0.038475
1.726420684141657e-06	4.772040052996278e-05	2.152222680030809e-08	1.1792974519917168e-08	8.972364212100303e-06	1.2541570538388067e-06	2.4902262492431935e-06	1.3990565284710703e-06	1.1853445489252502e-06	2.2731719480301434e-06	0.038475
1.5595822343412543e-06	4.7845677949805513e-05	1.944236029890389e-08	1.0653325496560994e-08	8.995297463591542e-06	1.25736266369205e-06	2.4965912366081687e-06	1.4026324995818527e-06	1.1883742748705711e-06	2.2789821472969882e-06	0.038475
1.4088667310507162e-06	4.7958848803001664e-05	1.7563486975373923e-08	9.623809114110354e-09	9.016014489820959e-06	1.260258489582081e-06	2.502341123851175e-06	1.4058628957306942e-06	1.191111213934844e-06	2.2842308600953173e-06	0.038475
1.2727160921610435e-06	4.806108303815998e-05	1.5866183560591415e-08	8.693782579230754e-09	9.034729461376291e-06	1.2628744682732773e-06	2.5075353527432736e-06	1.4087811124365344e-06	1.1935836603260062e-06	2.288972347103879e-06	0.038475
1.1497228034883253e-06	4.8153437544003305e-05	1.433290371924559e-08	7.853631554444004e-09	9.05163585210481e-06	1.2652376435396727e-06	2.51222762079848e-06	1.4114173179853147e-06	1.1958171739928975e-06	2.2932556254280765e-06	0.038475
1.0386153684325047e-06	4.823686707500643e-05	1.2947796726177548e-08	7.094670777142309e-09	9.0669084391717e-06	1.2673724457331096e-06	2.5164664363780496e-06	1.4137987652981378e-06	1.1978348448541973e-06	2.29712497531999e-06	0.038475
9.382451639991689e-07	4.831223412110052e-05	1.1696543585603921e-08	6.409054283295948e-09	9.080705109802783e-06	1.2693009443297371e-06	2.5202956201411598e-06	1.4159500736558114e-06	1.1996575314883195e-06	2.30062039792137e-06	0.038475
8.475745676003759e-07	4.838031782310311e-05	1.0566209052352323e-08	5.7896943100685775e-09	9.093168493348735e-06	1.2710430760599417e-06	2.523754758014615e-06	1.4178934831858528e-06	1.201304076746417e-06	2.3037780287513794e-06	0.038475
7.656662267886925e-07	4.84418220299989e-05	9.545107833980285e-09	5.230188004353996e-09	9.104427436244163e-06	1.2726168510781275e-06	2.5268796105589548e-06	1.4196490848521656e-06	1.2027915026101327e-06	2.3066305113913334e-06	0.038475
6.916733747317065e-07	4.849738257090177e-05	8.622683912737515e-09	4.7247512735462704e-09	9.11459833322149e-06	1.2740385390397889e-06	2.529702482438936e-06	1.4212350280305923e-06	1.204135186059083e-06	2.3092073347512212e-06	0.038475
6.248310733761995e-07	4.8547573830514885e-05	7.789401341559054e-09	4.268158972394631e-09	9.123786331006609e-06	1.2753228373540863e-06	2.532252556502096e-06	1.4226677082006095e-06	1.2053490180918311e-06	2.3115351380291502e-06	0.038475
5.644483066056151e-07	4.8592914686268925e-05	7.036645707175303e-09	3.855690895331225e-09	9.132086415176315e-06	1.2764830231047779e-06	2.534556195429554e-06	1.4239619364184997e-06	1.2064455473112888e-06	2.3136379860695157e-06	0.038475
5.099008365941321e-07	4.863387387242931e-05	6.356635061852669e-09	3.483082981532144e-09	9.139584392108376e-06	1.2775310903071972e-06	2.5366372142704132e-06	1.4251310924323602e-06	1.2074361096507442e-06	2.3155376181426264e-06	0.038475
4.606247507624768e-07	4.867087482561352e-05	5.7423394884185335e-09	3.1464832369239234e-09	9.146357776002995e-06	1.2784778738961128e-06	2.53851712662928e-06	1.4261872629949445e-06	1.2083309455588135e-06	2.3172536726739078e-06	0.038475
4.1611063257685374e-07	4.870430006188457e-05	5.187408428611014e-09	2.8424119172062183e-09	9.15247659015215e-06	1.2793331617271552e-06	2.5402153670537953e-06	1.4271413668052128e-06	1.2091393058556241e-06	2.318803890247589e-06	0.038475
3.7589829192706646e-07	4.873449513365503e-05	4.6861049944370335e-09	2.5677255329854813e-09	9.158004091290382e-06	1.280105795826568e-06	2.541749492073886e-06	1.4280032674560078e-06	1.2098695474272432e-06	2.320204297122868e-06	0.038475
3.395720119741115e-07	4.876177219878428e-05	4.233246712837292e-09	2.3195843825934784e-09	9.162997422952831e-06	1.2808037637175916e-06	2.543135361537392e-06	1.428781875311867e-06	1.2105292195412082e-06	2.321469370763881e-06	0.038475
3.0675625029878413e-07	4.878641324854247e-05	3.824151937097886e-09	2.0954231879815583e-09	9.16750820638601e-06	1.281434281017974e-06	2.544387302613837e-06	1.429485239649462e-06	1.2111251419121136e-06	2.3226121895484903e-06	0.038475
2.771117557598007e-07	4.880867302342436e-05	3.4545914383725726e-09	1.8929245701121392e-09	9.171583074316073e-06	1.282003866050095e-06	2.5455182579386295e-06	1.430120631887834e-06	1.2116634752180641e-06	2.3236445679998746e-06	0.038475
2.503320623536476e-07	4.882878164587612e-05	3.120744697406938e-09	1.7099950994682403e-09	9.175264152895239e-06	1.282518407207438e-06	2.5465399193744192e-06	1.4306946207380697e-06	1.2121497847709126e-06	2.3245771788889164e-06	0.038475
2.2614032102564947e-07	4.884694699925732e-05	2.8191604095598394e-09	1.544743654961692e-09	9.178589497194166e-06	1.282983223827713e-06	2.5474628488794206e-06	1.4312131401094252e-06	1.212589098049426e-06	2.325419663567333e-06	0.038475
2.042864352035481e-07	4.886335687874152e-05	2.5467207754162082e-09	1.3954618574451425e-09	9.181593484945305e-06	1.2834031212303007e-06	2.5482965877885252e-06	1.4316815505055397e-06	1.2129859567169604e-06	2.326180731723583e-06	0.038475
1.8454447748800694e-07	4.887818093109836e-05	2.3006092968192914e-09	1.2606064237028166e-09	9.184307171639e-06	1.2837824403515883e-06	2.549049755368119e-06	1.4321046943944066e-06	1.2133444635334276e-06	2.3268682513474002e-06	0.038475
1.6671035486023155e-07	4.889157240786686e-05	2.07828167061047e-09	1.1387832179754038e-09	9.186758611459004e-06	1.284125102605331e-06	2.5497301378898156e-06	1.4324869462516934e-06	1.2136683247542792e-06	2.327489330039636e-06	0.038475
1.505996964234009e-07	4.890366975143029e-05	1.8774394566298686e-09	1.0287328235423323e-09	9.18897314762895e-06	1.2844346504672844e-06	2.5503447692143964e-06	1.4328322578343333e-06	1.2139608884883627e-06	2.3280503885723065e-06	0.038475
1.360459492498608e-07	4.891459802482628e-05	1.6960063400393354e-09	9.29317535812112e-10	9.190973674153082e-06	1.2847142840613208e-06	2.5509000034363843e-06	1.433144198993631e-06	1.2142251792766436e-06	2.3285572272012834e-06	0.038475
1.2289865601003376e-07	4.8924470205059e-05	1.5321066596643123e-09	8.395095971128993e-10	9.192780872569628e-06	1.2849668942528177e-06	2.5514015805935398e-06	1.4334259945921086e-06	1.2144639293698454e-06	2.329015085648389e-06	0.038475
1.1102189956032082e-07	4.893338835104331e-05	1.3840460177437204e-09	7.583805719366072e-10	9.194413425754386e-06	1.2851950925341212e-06	2.551854686006769e-06	1.433680557841796e-06	1.2146796069741687e-06	2.329428697269086e-06	0.038475
1.0029289708374143e-07	4.8941444659251244e-05	1.2502937540616495e-09	6.850917437414414e-10	9.1958882111671e-06	1.285401238036525e-06	2.5522640039145047e-06	1.4339105204370465e-06	1.2148744417811905e-06	2.32980233801196e-06	0.038475
9.060072995632094e-08	4.894872241744346e-05	1.1294671119324291e-09	6.188854388658988e-10	9.19722047544128e-06	1.2855874619344342e-06	2.5526337659290705e-06	1.4341182597782477e-06	1.2150504480330314e-06	2.3301398706515e-06	0.038475
8.18452002152302e-08	4.8955296863336364e-05	1.020316982681537e-09	5.5907721523167e-10	9.198423991571592e-06	1.2857556894170197e-06	2.5529677946631084e-06	1.4343059234819755e-06	1.2152094452884802e-06	2.330444784611941e-06	0.038475
7.393579276179931e-08	4.896123596387424e-05	9.217149679161383e-10	5.050487733008353e-10	9.199511201567208e-06	1.2859076596283013e-06	2.55326954332216e-06	1.434475451624863e-06	1.2153530772690123e-06	2.3307202321088587e-06	0.038475
6.679073946941038e-08	4.8966601117981744e-05	8.32641712559908e-10	4.562415631258043e-10	9.200493345097483e-06	1.2860449436492416e-06	2.5535421314095136e-06	1.4346285968032623e-06	1.2154828288542526e-06	2.3309690607418905e-06	0.038475
6.033617415213102e-08	4.8971447791090086e-05	7.521763702088855e-10	4.121510120516717e-10	9.201380575648145e-06	1.2861689607340575e-06	2.55378837696466e-06	1.4347669422454244e-06	1.2156000414274392e-06	2.3311938429232106e-06	0.038475
5.450536910759404e-08	4.897582608840973e-05	6.794870856891534e-10	3.7232130963862904e-10	9.202182065464448e-06	1.2862809929791755e-06	2.5540108256896417e-06	1.434891918175234e-06	1.2157059267395281e-06	2.3313969024651535e-06	0.038475
4.9238045790282215e-08	4.897978127253948e-05	6.138224016155249e-10	3.3634069895711277e-10	9.202906100304535e-06	1.2863821985678535e-06	2.5542117772472835e-06	1.4350048165870594e-06	1.2158015794271185e-06	2.331580338586222e-06	0.038475
4.4479750103838515e-08	4.8983354232553556e-05	5.545034705413824e-10	3.038372092850889e-10	9.203560165310396e-06	1.2864736237732263e-06	2.5543933090941645e-06	1.4351068046355675e-06	1.2158879883569184e-06	2.3317460476667237e-06	0.038475
4.018128915837392e-08	4.898658190693527e-05	5.009170333677687e-10	2.7447480866362774e-10	9.204151022429997e-06	1.2865562137803685e-06	2.5545572979686682e-06	1.4351989367081214e-06	1.2159660468540275e-06	2.3318957428638674e-06	0.038475
3.629822529977965e-08	4.8989497663505716e-05	4.5250911171951337e-10	2.4794994766917506e-10	9.204684779966896e-06	1.2866308224079405e-06	2.554705439194069e-06	1.4352821652696208e-06	1.2160365618901823e-06	2.3320309717323405e-06	0.038475
3.279041553056258e-08	4.899213164526832e-05	4.0877926617440373e-10	2.239884132491076e-10	9.205166955890474e-06	1.2866982209576934e-06	2.5548392642499033e-06	1.4353573507344332e-06	1.2161002624477084e-06	2.3321531322641224e-06	0.038475
2.9621595508117154e-08	4.899451108278069e-05	3.692754102077227e-10	2.0234248705977232e-10	9.20560253501862e-06	1.2867591062074619e-06	2.554960156642687e-06	1.435425270382866e-06	1.2161578070739594e-06	2.3322634873758682e-06	0.038475
2.6759005809027753e-08	4.899666057478924e-05	3.33589151085331e-10	1.8278839251825603e-10	9.20599602039063e-06	1.2868141075920717e-06	2.55506936616416e-06	1.4354866263717175e-06	1.2162097906682241e-06	2.3323631779243646e-06	0.038475
2.4173053605770877e-08	4.8998602342272984e-05	3.013515721894378e-10	1.6512398375179409e-10	9.2063514797724e-06	1.2868637937038325e-06	2.5551680217985166e-06	1.4355420529858088e-06	1.2162567506255534e-06	2.3324532344887445e-06	0.038475
2.183700458500987e-08	4.9000356459779335e-05	2.722293922080438e-10	1.4916664112386583e-10	9.206672588004664e-06	1.2869086782119755e-06	2.5552571434759173e-06	1.4355921232413258e-06	1.2162991724314153e-06	2.3325345880995215e-06	0.038475
1.9726707691257114e-08	4.900194106211119e-05	2.459215340592502e-10	1.3475139098642194e-10	9.206962664839133e-06	1.286949225151389e-06	2.5553376525736765e-06	1.4356373547855911e-06	1.216337494660248e-06	2.3326080798244783e-06	0.038475
1.7820346566465514e-08	4.900337253096913e-05	2.2215602569850841e-10	1.2172920778881457e-10	9.20722470910507e-06	1.286985853698422e-06	2.5554103813989974e-06	1.4356782152246394e-06	1.216372113489228e-06	2.3326744694248537e-06	0.038475
1.6098213570283346e-08	4.900466566463712e-05	2.006871833548401e-10	1.0996547043291158e-10	9.207461429771979e-06	1.2870189425128279e-06	2.5554760818102318e-06	1.4357151269668105e-06	1.216403386801981e-06	2.332734443225161e-06	0.038475
1.4542505249171162e-08	4.9005833831562895e-05	1.8129306168879144e-10	9.933856514291277e-11	9.207675274063975e-06	1.287048833667588e-06	2.5555354330198553e-06	1.4357484716066088e-06	1.2164316379027883e-06	2.3327886212360304e-06	0.038475
1.3137138322697316e-08	4.900688910853227e-05	1.637731597004161e-10	8.973862848571164e-11	9.2078684527539e-06	1.2870758361845278e-06	2.5555890486147073e-06	1.4357785938688039e-06	1.2164571588582093e-06	2.332837563562549e-06	0.038475
1.1867584319474406e-08	4.900784240483942e-05	1.4794635930419618e-10	8.106641778499217e-11	9.208042962893936e-06	1.2871002292115956e-06	2.5556374828647215e-06	1.4358058051528006e-06	1.2164802135000326e-06	2.332881776163106e-06	0.038475
1.072071872542838e-08	4.900870357555998e-05	1.3364904476070214e-10	7.323228066760005e-11	9.208200608551315e-06	1.287122264921308e-06	2.5556812364780176e-06	1.435830386765955e-06	1.2165010401646908e-06	2.3329217161028604e-06	0.038475
9.684684795808455e-09	4.9009481523813394e-05	1.207334048586723e-10	6.615522477639016e-11	9.208343019528459e-06	1.2871421711274434e-06	2.555720761796549e-06	1.435852592842591e-06	1.2165198541663824e-06	2.3329577962965176e-06	0.038475
8.74877153079215e-09	4.9010184292389915e-05	1.0906591173786227e-10	5.97620842331418e-11	9.208471668136178e-06	1.2871601536296048e-06	2.555756467451413e-06	1.43587265295944e-06	1.2165368500129935e-06	2.3329903897578735e-06	0.038475
7.903303380389856e-09	4.901081914657013e-05	9.852594586752306e-11	5.398676622311713e-11	9.208587884354586e-06	1.28717639833241e-06	2.5557887225706687e-06	1.4358907744996758e-06	1.2165522034090137e-06	2.3330198334408707e-06	0.038475
7.139540001616103e-09	4.9011392649396364e-05	8.900454643606102e-11	4.87695662456869e-11	9.20869286961228e-06	1.287191073171546e-06	2.5558178606036674e-06	1.4359071448014932e-06	1.216566073075913e-06	2.3330464317305853e-06	0.038475
6.449586144644619e-09	4.9011910729338354e-05	8.04032879135758e-11	4.405655255504965e-11	9.208787709173173e-06	1.2872043298452013e-06	2.555844182758946e-06	1.435921933089584e-06	1.2165786023885747e-06	2.333070459581472e-06	0.038475
5.826308828594451e-09	4.901237874248519e-05	7.263324750729397e-11	3.97990003957075e-11	9.20887338352135e-06	1.2872163054054398e-06	2.555867961164022e-06	1.4359352922503702e-06	1.2165899208793532e-06	2.333092165401737e-06	0.038475
5.263264119535912e-09	4.9012801527527006e-05	6.561409238390709e-11	3.595289182976938e-11	9.208950778425997e-06	1.2872271236650754e-06	2.5558894416588558e-06	1.4359473604014233e-06	1.2166001455677595e-06	2.333111773603322e-06	0.038475
4.754630984326083e-09	4.901318345542337e-05	5.9273255204932e-11	3.247846389856193e-11	9.2090206940337e-06	1.2872368964685978e-06	2.55590884631937e-06	1.4359582623092252e-06	1.2166093821616517e-06	2.3331294869054585e-06	0.038475
4.295151205875053e-09	4.9013528474521095e-05	5.3545184358542765e-11	2.933979818931037e-11	9.209083853127586e-06	1.28724572484663e-06	2.5559263757497123e-06	1.4359681106770066e-06	1.2166177261483513e-06	2.3331454884271405e-06	0.038475
3.8800748099831226e-09	4.901384015153043e-05	4.837066589651314e-11	2.6504448050842218e-11	9.2091409086288e-06	1.2872537000644896e-06	2.555942211164261e-06	1.435977007314456e-06	1.2166252637856732e-06	2.3331599435876503e-06	0.038475
3.5051109966596276e-09	4.9014121708377055e-05	4.369620504781752e-11	2.394310340989317e-11	9.209192450341405e-06	1.287260904564987e-06	2.555956516259621e-06	1.4359850441894426e-06	1.216632072992994e-06	2.3331730018153905e-06	0.038475
3.166383296301026e-09	4.90143760558593e-05	3.947348275892931e-11	2.1629284447027025e-11	9.209239011116506e-06	1.2872674128300492e-06	2.555969438925443e-06	1.435992304389189e-06	1.2166382241656007e-06	2.3331847981095816e-06	0.038475
2.8603897706911155e-09	4.901460582355465e-05	3.565883778984087e-11	1.9539069733255866e-11	9.209281072322936e-06	1.2872732921454102e-06	2.5559811127627784e-06	1.4359988629733099e-06	1.2166437808974258e-06	2.3331954544262776e-06	0.038475
2.583966875260347e-09	4.9014813386939354e-05	3.22128320235838e-11	1.765084937639807e-11	9.20931906881467e-06	1.2872786032949582e-06	2.5559916584627593e-06	1.4360047877483818e-06	1.216648800637295e-06	2.3332050809368716e-06	0.038475
