u	v	z	Values[alpha]
0.014395392665455666	0.32432059148013004	0.3099251988146744	9.999999999999999e-05
0.01827377025805533	0.32321261479580315	0.3049388445377479	9.999999999999999e-05
0.028356645894501716	0.3158971172134691	0.28754047131896737	9.999999999999999e-05
0.10434437076662953	0.2803071685908353	0.17596279782420576	9.999999999999999e-05
0.12842178177204341	0.13337636701349076	0.0049545852414473466	9.999999999999999e-05
0.05252367470085549	0.063467940405685	0.010944265704829516	9.999999999999999e-05
0.02148948942802392	0.043733233523825195	0.022243744095801272	9.999999999999999e-05
0.00883997135572666	0.04451899855388805	0.03567902719816139	9.999999999999999e-05
0.003907566644893534	0.05354179930492386	0.04963423266003032	9.999999999999999e-05
0.002143588802839364	0.06567485944198491	0.06353127063914556	9.999999999999999e-05
0.0016281702955407915	0.07885023298866693	0.07722206269312613	9.999999999999999e-05
0.0015911958605311202	0.09226381587449269	0.09067262001396156	9.999999999999999e-05
0.0017358826633470565	0.10560913327454327	0.1038732506111962	9.999999999999999e-05
0.0019503251855334065	0.11876949625247159	0.11681917106693819	9.999999999999999e-05
0.0021928545681718066	0.1316993829858286	0.12950652841765678	9.999999999999999e-05
0.0024482477699583217	0.1443795986480198	0.14193135087806147	9.999999999999999e-05
0.002711277457996551	0.1568003805322666	0.15408910307427007	9.999999999999999e-05
0.0029805585633718885	0.16895497544497776	0.16597441688160589	9.999999999999999e-05
0.0032562465068225375	0.18083713466783338	0.17758088816101086	9.999999999999999e-05
0.003539180782894325	0.19244007036673824	0.18890088958384388	9.999999999999999e-05
0.0038305831206402554	0.20375595266404345	0.19992536954340318	9.999999999999999e-05
0.0041319706403745785	0.2147755731845425	0.21064360254416792	9.999999999999999e-05
0.004445165162006264	0.22548806328897766	0.2210428981269714	9.999999999999999e-05
0.004772359186761832	0.23588054697008293	0.2311081877833211	9.999999999999999e-05
0.00511621912284607	0.24593773904430216	0.2408215199214561	9.999999999999999e-05
0.005480052478356822	0.25564137980146806	0.25016132732311125	9.999999999999999e-05
0.005868032832367188	0.2649695216403977	0.25910148880803047	9.999999999999999e-05
0.0062855715420626936	0.2738954118288577	0.26760984028679496	9.999999999999999e-05
0.006739838180241922	0.282386126096096	0.27564628791585405	9.999999999999999e-05
0.007240691560988581	0.29040023896075606	0.2831595473997675	9.999999999999999e-05
0.007802107698671605	0.29788459500811	0.29008248730943836	9.999999999999999e-05
0.008444830996831638	0.30476899330056345	0.29632416230373176	9.999999999999999e-05
0.00920135560519917	0.31095717538021045	0.3017558197750112	9.999999999999999e-05
0.010126154442137483	0.316310604602907	0.30618445016076945	9.999999999999999e-05
0.011319066900037157	0.32061650430592786	0.3092974374058907	9.999999999999999e-05
0.012986888747624329	0.32351695729734886	0.3105300685497245	9.999999999999999e-05
0.015642098617021514	0.3243233040916924	0.3086812054746709	9.999999999999999e-05
0.0209895987161272	0.3213860217619942	0.30039642304586706	9.999999999999999e-05
0.03940413147212066	0.3085961873715333	0.26919205589941264	9.999999999999999e-05
0.19345700563639803	0.22284450090924438	0.029387495272846346	9.999999999999999e-05
0.08965852400840887	0.09601019450496093	0.006351670496552068	9.999999999999999e-05
0.03668142298732768	0.051753649661429466	0.015072226674101784	9.999999999999999e-05
0.014996751179095819	0.042507772310481404	0.02751102113138559	9.999999999999999e-05
0.0062693058268086825	0.04754616761010531	0.04127686178329662	9.999999999999999e-05
0.002963076892321854	0.058205786893713744	0.055242710001391894	9.999999999999999e-05
0.0018454796003371267	0.0709100517188391	0.06906457211850196	9.999999999999999e-05
0.0015787935890690936	0.0842394553951107	0.0826606618060416	9.999999999999999e-05
0.0016362489604075134	0.09764769010301959	0.09601144114261208	9.999999999999999e-05
0.0018169851732439902	0.11092711374527779	0.1091101285720338	9.999999999999999e-05
0.0020456775177315014	0.1239982050649003	0.12195252754716877	9.999999999999999e-05
0.002294435843451727	0.13682924748804412	0.13453481164459238	9.999999999999999e-05
0.0025532328214985045	0.14940605496997542	0.14685282214847695	9.999999999999999e-05
0.002818826660295939	0.1617205426526888	0.1589017159923929	9.999999999999999e-05
0.003090616183971959	0.17376634734561794	0.170675731161646	9.999999999999999e-05
0.0033690921958338138	0.1855370864994475	0.18216799430361366	9.999999999999999e-05
0.0036552678705769172	0.19702559914795906	0.19337033127738215	9.999999999999999e-05
0.003950486811130972	0.20822353797760002	0.20427305116646902	9.999999999999999e-05
0.004256384514044356	0.21912105997824846	0.2148646754642041	9.999999999999999e-05
0.004574921559099287	0.22970653774301425	0.225131616183915	9.999999999999999e-05
0.00490846519358328	0.23996617708805765	0.23505771189447436	9.999999999999999e-05
0.005259917616373679	0.24988357555338894	0.24462365793701527	9.999999999999999e-05
0.0056328985484859736	0.25943909670141335	0.2538061981529274	9.999999999999999e-05
0.00603203123003882	0.26860900506657165	0.2625769738365328	9.999999999999999e-05
0.006463351640968331	0.277364267695409	0.27090091605444067	9.999999999999999e-05
0.006934978458272515	0.28566887180343836	0.2787338933451658	9.999999999999999e-05
0.007458202683431274	0.29347714670839103	0.28601894402495975	9.999999999999999e-05
0.00804931295468987	0.30072988054292665	0.29268056758823674	9.999999999999999e-05
0.008732972566478162	0.3073477793717272	0.2986148068052491	9.999999999999999e-05
0.009548818115402495	0.3132201302019629	0.3036713120865604	9.999999999999999e-05
0.01056550896189584	0.31818377950981636	0.3076182705479205	9.999999999999999e-05
