S1	DNA1111	DNA1110	DNA0111	DNA1100	DNA0011	DNA0110	DNA1011	DNA1101	DNA0001	DNA1000	DNA0100	DNA0010	DNA1_1_11	DNA1_11_1	DNA11_1_1	DNA1001	DNA0101	DNA1010	DNA1_111	DNA01_1_1	DNA1_1_10	DNA111_1	DNA11_11	DNA011_1	DNA1_110	DNA01_11	DNA11_10	DNA1_100	DNA001_1	DNA01_10	DNA1_101	DNA101_1	DNA0000	DNA1_1_1_1	Values[DoubleGasOccupancy]
1.0064957963924895e-11	5.2967987042927596e-27	2.164626518508022e-21	2.1646265185080173e-21	8.051558696159449e-18	8.051558696159441e-18	3.902982985053195e-16	3.2415779873755717e-22	3.2415779873755745e-22	3.9996808593297374e-15	3.999680859329744e-15	1.999727663489331e-13	1.9997276634896786e-13	9.36237663051726e-24	9.362376630517249e-24	9.362376630517281e-24	1.610264949612699e-19	8.050605095967351e-18	8.050605095968753e-18	1.8237139260779356e-26	5.672597279372579e-16	5.672597279372578e-16	1.823713926077934e-26	1.8237139260779356e-26	9.46018855109339e-19	9.460188551093345e-19	9.460188551093369e-19	9.460188551093359e-19	4.830983851947362e-15	4.8309838519472925e-15	2.34155881931857e-13	1.9449759398360469e-19	1.9449759398360235e-19	9.934667588914863e-11	5.6142818889331164e-21	4.4050454091976376e-13
1.0060843958110528e-11	5.703814465152184e-27	2.356243203850722e-21	2.3562432038506816e-21	8.044687625212697e-18	8.044687625212647e-18	3.9351148996351335e-16	3.237460639409262e-22	3.2374606394093584e-22	3.997969327706939e-15	3.9979693277070155e-15	1.9989045505903537e-13	1.9989045505916146e-13	1.0994974476381142e-23	1.099497447638103e-23	1.0994974476381376e-23	1.608917936870918e-19	8.044002982063092e-18	8.04400298206822e-18	2.11592068495425e-26	6.374017832248471e-16	6.374017832248472e-16	2.1159206849542317e-26	2.1159206849542498e-26	1.0629190742921343e-18	1.0629190742920966e-18	1.0629190742921135e-18	1.062919074292107e-18	4.826847492487219e-15	4.8268474924869664e-15	2.3609086490339523e-13	1.9424973049237907e-19	1.9424973049236857e-19	9.934477328584622e-11	6.593600511409184e-21	4.4249702879085296e-13
1.00578692279801e-11	6.105864799952895e-27	2.5450828193298837e-21	2.545082819329883e-21	8.039727410271174e-18	8.03972741027118e-18	3.9574035441225833e-16	3.2344889021679184e-22	3.234488902167918e-22	3.996732572682933e-15	3.996732572682934e-15	1.9983088991691055e-13	1.9983088991690803e-13	1.2746819463820735e-23	1.2746819463820737e-23	1.2746819463820735e-23	1.6079446247560439e-19	8.03922999062638e-18	8.039229990626279e-18	2.427737356719836e-26	7.070667558509852e-16	7.070667558509852e-16	2.4277373567198357e-26	2.4277373567198357e-26	1.1790227110792139e-18	1.1790227110792135e-18	1.1790227110792139e-18	1.1790227110792137e-18	4.823861815010706e-15	4.823861815010712e-15	2.3743310023910296e-13	1.9407085394501033e-19	1.9407085394501052e-19	9.93434166209239e-11	7.644470578361565e-21	4.4391872805264206e-13
1.0055688638709026e-11	6.502957637261083e-27	2.73122426138171e-21	2.7312242613817096e-21	8.036098252771439e-18	8.036098252771436e-18	3.972845207793193e-16	3.232314719551269e-22	3.2323147195512685e-22	3.995826735297783e-15	3.995826735297782e-15	1.997871820333263e-13	1.9978718203332635e-13	1.4616333513869618e-23	1.4616333513869618e-23	1.4616333513869618e-23	1.6072316403235254e-19	8.035731335154635e-18	8.035731335154637e-18	2.758901543298988e-26	7.761114739656156e-16	7.761114739656158e-16	2.758901543298988e-26	2.758901543298987e-26	1.2940916199483749e-18	1.2940916199483745e-18	1.2940916199483749e-18	1.2940916199483747e-18	4.821677664853221e-15	4.821677664853221e-15	2.3836302006927324e-13	1.9394000428056923e-19	1.9394000428056918e-19	9.934244021604744e-11	8.765945235066213e-21	4.4494284396779856e-13
1.0054062086206357e-11	6.895108727429675e-27	2.9147326560552026e-21	2.914732656055201e-21	8.033397208117266e-18	8.033397208117285e-18	3.983524179712256e-16	3.230696431604987e-22	3.230696431604988e-22	3.99515174445794e-15	3.995151744457938e-15	1.9975453672287237e-13	1.9975453672287273e-13	1.660194333698463e-23	1.660194333698461e-23	1.6601943336984626e-23	1.606700191832748e-19	8.033121337695744e-18	8.033121337695755e-18	3.1091520349483937e-26	8.444404238194681e-16	8.444404238194684e-16	3.109152034948397e-26	3.109152034948396e-26	1.4079669401174838e-18	1.4079669401174852e-18	1.4079669401174823e-18	1.4079669401174854e-18	4.820052394614607e-15	4.820052394614608e-15	2.390061371868128e-13	1.9384262892820945e-19	1.938426289282094e-19	9.934172881808097e-11	9.95708049579517e-21	4.456898679583666e-13
1.0052822493263449e-11	7.282342603912128e-27	3.0956635873559284e-21	3.095663587355928e-21	8.031344095505116e-18	8.031344095505112e-18	3.9908906025362683e-16	3.2294661175413794e-22	3.2294661175413803e-22	3.994637969753359e-15	3.994637969753359e-15	1.9972961843246913e-13	1.9972961843246915e-13	1.8702082961530497e-23	1.8702082961530497e-23	1.8702082961530497e-23	1.6062954910132324e-19	8.031131836904171e-18	8.031131836904173e-18	3.4782292793462315e-26	9.119911239545809e-16	9.11991123954581e-16	3.4782292793462326e-26	3.478229279346232e-26	1.520544763828253e-18	1.520544763828253e-18	1.5205447638282527e-18	1.5205447638282531e-18	4.818817282816025e-15	4.818817282816025e-15	2.394497770103184e-13	1.9376861584465055e-19	1.937686158446505e-19	9.934120223090336e-11	1.121693676033803e-20	4.462436402447984e-13
1.0051853608331693e-11	7.664692064001811e-27	3.2740659413597933e-21	3.274065941359795e-21	8.029744069786822e-18	8.029744069786811e-18	3.995953280585089e-16	3.228507056938888e-22	3.2285070569388873e-22	3.9942369649302006e-15	3.994236964930202e-15	1.997101063888194e-13	1.9971010638881932e-13	2.0915196290575396e-23	2.0915196290575393e-23	2.0915196290575396e-23	1.6059794359320837e-19	8.029576340399883e-18	8.029576340399873e-18	3.865875781429125e-26	9.78724002917958e-16	9.78724002917958e-16	3.865875781429125e-26	3.8658757814291265e-26	1.6317592966766774e-18	1.6317592966766751e-18	1.6317592966766774e-18	1.6317592966766753e-18	4.8178549963742816e-15	4.8178549963742816e-15	2.397546882178413e-13	1.9371093625724917e-19	1.937109362572491e-19	9.934080465824889e-11	1.2544580348393445e-20	4.466624924838947e-13
1.0051074533194853e-11	8.042196999646246e-27	3.449983845113383e-21	3.449983845113366e-21	8.028461592535875e-18	8.028461592535945e-18	3.999414036989983e-16	3.227738084605856e-22	3.227738084605863e-22	3.99391501795846e-15	3.993915017958446e-15	1.9969438562858398e-13	1.9969438562858408e-13	2.3239739390837644e-23	2.3239739390837667e-23	2.323973939083767e-23	1.6057255216333865e-19	8.028325116499642e-18	8.028325116499705e-18	4.271836426155725e-26	1.0446153590261118e-15	1.044615359026112e-15	4.271836426155728e-26	4.271836426155718e-26	1.741571145275565e-18	1.7415711452755827e-18	1.741571145275564e-18	1.7415711452755796e-18	4.8170839160873365e-15	4.817083916087336e-15	2.3996313353997603e-13	1.9366470250595474e-19	1.9366470250595496e-19	9.93404972758986e-11	1.3939084873638244e-20	4.469870131740728e-13
1.0050428962810043e-11	8.414902958607428e-27	3.623457993774915e-21	3.6234579937754195e-21	8.027402356190582e-18	8.027402356188419e-18	4.0017611507757425e-16	3.2271027400923738e-22	3.227102740092077e-22	3.9936486660157215e-15	3.993648666016121e-15	1.9968133213526425e-13	1.996813321352622e-13	2.5674182397450298e-23	2.56741823974495e-23	2.5674182397449358e-23	1.6055153058830075e-19	8.027287895701098e-18	8.027287895699088e-18	4.6958587238234546e-26	1.1096524712601926e-15	1.109652471260194e-15	4.6958587238233697e-26	4.695858723823685e-26	1.8499591835807603e-18	1.8499591835801925e-18	1.8499591835807753e-18	1.8499591835802873e-18	4.81644725147345e-15	4.8164472514734566e-15	2.4010451640330086e-13	1.9362651462071763e-19	1.9362651462071623e-19	9.934025306604275e-11	1.5399532387445026e-20	4.4724544804746777e-13
1.0049877704042093e-11	8.782866347529535e-27	3.794526666255772e-21	3.794526666223106e-21	8.026500726894956e-18	8.026500727034831e-18	4.0033343054904893e-16	3.2265617295301345e-22	3.226561729550429e-22	3.993421575923316e-15	3.993421575897552e-15	1.9967016437261568e-13	1.9967016437271405e-13	2.821701102830594e-23	2.8217011028357506e-23	2.8217011028366786e-23	1.6053359404688605e-19	8.026401828935968e-18	8.026401829063781e-18	5.1376933219839504e-26	1.173830204592424e-15	1.1738302045923555e-15	5.137693321989458e-26	5.137693321969033e-26	1.9569149054693236e-18	1.956914905506078e-18	1.956914905468334e-18	1.9569149054999478e-18	4.815905480326903e-15	4.815905480326577e-15	2.401992920440352e-13	1.935940068754268e-19	1.9359400687544102e-19	9.93400532248279e-11	1.6925014284550295e-20	4.4745745481443394e-13
1.0049393474672233e-11	9.14612233728598e-27	3.963225878904324e-21	3.963225878904323e-21	8.025711032616979e-18	8.025711032616976e-18	4.004369821961018e-16	3.226087738468851e-22	3.226087738468855e-22	3.993222383704155e-15	3.993222383704155e-15	1.9966033523848308e-13	1.9966033523848184e-13	3.086672770182522e-23	3.086672770182522e-23	3.086672770182524e-23	1.6051785309718717e-19	8.025623266220943e-18	8.025623266220887e-18	5.597092589171477e-26	1.2371486480405285e-15	1.2371486480405281e-15	5.597092589171479e-26	5.597092589171478e-26	2.0624384949684764e-18	2.0624384949684764e-18	2.0624384949684753e-18	2.0624384949684756e-18	4.815431095915281e-15	4.815431095915283e-15	2.4026169133720765e-13	1.9356553303204824e-19	1.9356553303204807e-19	9.933988466969775e-11	1.851463199208748e-20	4.476367134601647e-13
1.0048957266860347e-11	9.504744895263067e-27	4.129590771584336e-21	4.129590771584335e-21	8.025001447708404e-18	8.025001447708403e-18	4.0050320978528085e-16	3.225661701461941e-22	3.225661701461941e-22	3.993043165069764e-15	3.993043165069764e-15	1.9965146773964114e-13	1.9965146773964122e-13	3.362185243118326e-23	3.362185243118326e-23	3.362185243118325e-23	1.6050368162121292e-19	8.024921672774745e-18	8.024921672774743e-18	6.073813760980183e-26	1.2996114743435482e-15	1.2996114743435478e-15	6.073813760980182e-26	6.073813760980182e-26	2.166536098051598e-18	2.1665360980515973e-18	2.166536098051598e-18	2.166536098051597e-18	4.815004937399587e-15	4.815004937399587e-15	2.403016140775718e-13	1.9353994640922924e-19	1.9353994640922914e-19	9.933973828533268e-11	2.0167497471839897e-20	4.477927513708462e-13
1.0048555843567902e-11	9.858785518865352e-27	4.293654975911686e-21	4.293654975911688e-21	8.024349817902888e-18	8.024349817902886e-18	4.0054354842659124e-16	3.225270368046602e-22	3.2252703680466028e-22	3.992878406016203e-15	3.992878406016203e-15	1.9964329678747222e-13	1.9964329678747222e-13	3.6480923349146733e-23	3.6480923349146733e-23	3.648092334914674e-23	1.6049064755900387e-19	8.024275861302843e-18	8.024275861302846e-18	6.567615968632868e-26	1.361224799737695e-15	1.3612247997376947e-15	6.567615968632871e-26	6.567615968632869e-26	2.2692179250290546e-18	2.2692179250290534e-18	2.269217925029054e-18	2.269217925029053e-18	4.814613662775898e-15	4.814613662775896e-15	2.403259463171555e-13	1.935164486332614e-19	1.9351644863326133e-19	9.933960772995108e-11	2.1882733570176162e-20	4.4793219983135365e-13
1.0048179971474427e-11	1.0208302738083718e-26	4.455451297920963e-21	4.455451297920967e-21	8.023740690608588e-18	8.023740690608588e-18	4.005659561002548e-16	3.22490449194304e-22	3.2249044919430423e-22	3.99272425952147e-15	3.9927242595214714e-15	1.996356380534145e-13	1.9963563805341453e-13	3.944249711653922e-23	3.944249711653921e-23	3.944249711653922e-23	1.6047844867398892e-19	8.023671037285984e-18	8.023671037285981e-18	7.07826177993364e-26	1.4219963886100144e-15	1.421996388610014e-15	7.078261779933646e-26	7.078261779933639e-26	2.3704969277283773e-18	2.3704969277283754e-18	2.370496927728377e-18	2.370496927728375e-18	4.814247966927451e-15	4.814247966927449e-15	2.4033948023727235e-13	1.934944829194248e-19	1.9349448291942473e-19	9.933948858285724e-11	2.365947424628496e-20	4.480596808962736e-13
1.00478232113354e-11	1.055335565203512e-26	4.6150117748740734e-21	4.615011774874076e-21	8.023163290909247e-18	8.023163290909248e-18	4.005759654360174e-16	3.224557625993831e-22	3.2245576259938305e-22	3.9925780428537874e-15	3.9925780428537874e-15	1.996283629733495e-13	1.9962836297334948e-13	4.250514913334514e-23	4.250514913334514e-23	4.250514913334514e-23	1.6046687420390258e-19	8.023096883174727e-18	8.023096883174727e-18	7.605516911712142e-26	1.481935106667018e-15	1.4819351066670174e-15	7.605516911712144e-26	7.605516911712145e-26	2.4703878897005696e-18	2.4703878897005685e-18	2.4703878897005693e-18	2.470387889700568e-18	4.813901361578588e-15	4.8139013615785865e-15	2.4034554751031897e-13	1.9347366104240393e-19	1.9347366104240393e-19	9.933937776456975e-11	2.5496864702543065e-20	4.481784144865092e-13
1.0047481062160726e-11	1.0894003565308827e-26	4.772367782773691e-21	4.772367782773692e-21	8.022610088532216e-18	8.022610088532216e-18	4.00577426825178e-16	3.2242252645248577e-22	3.2242252645248577e-22	3.992437880943673e-15	3.992437880943673e-15	1.9962138167376664e-13	1.9962138167376661e-13	4.5667473638494276e-23	4.566747363849428e-23	4.5667473638494276e-23	1.6045577683716817e-19	8.022546187132158e-18	8.02254618713216e-18	8.149150228273023e-26	1.5410505352809202e-15	1.5410505352809196e-15	8.149150228273023e-26	8.149150228273023e-26	2.5689067846367508e-18	2.5689067846367504e-18	2.5689067846367504e-18	2.5689067846367508e-18	4.81356931232538e-15	4.813569312325381e-15	2.4034646679042686e-13	1.9345371169013645e-19	1.9345371169013647e-19	9.933927312595436e-11	2.739406144460304e-20	4.4829064790950913e-13
1.0047150374150284e-11	1.1230305722457984e-26	4.9275501118722e-21	4.927550111872199e-21	8.022075814941608e-18	8.022075814941606e-18	4.0057301817837203e-16	3.2239042550931435e-22	3.223904255093144e-22	3.992302461751812e-15	3.992302461751811e-15	1.996146312524502e-13	1.996146312524502e-13	4.892808371215713e-23	4.8928083712157144e-23	4.892808371215714e-23	1.604450534916844e-19	8.022013902200728e-18	8.02201390220073e-18	8.708933728513899e-26	1.5993527076496161e-15	1.5993527076496155e-15	8.708933728513899e-26	8.708933728513897e-26	2.666070337439168e-18	2.6660703374391684e-18	2.6660703374391688e-18	2.6660703374391676e-18	4.813248646745712e-15	4.813248646745711e-15	2.403438506817899e-13	1.934344450398663e-19	1.9343444503986631e-19	9.933917316639097e-11	2.935023228292894e-20	4.4839795049475505e-13
1.0046828940347791e-11	1.1562321110924789e-26	5.0805890208813245e-21	5.080589020881327e-21	8.021556779697767e-18	8.021556779697765e-18	4.0056459949449e-16	3.223592389424162e-22	3.2235923894241615e-22	3.992170866110819e-15	3.992170866110818e-15	1.996080676276776e-13	1.996080676276776e-13	5.2285611210560936e-23	5.228561121056094e-23	5.228561121056094e-23	1.6043463194629255e-19	8.021496491974441e-18	8.02149649197444e-18	9.28464252522491e-26	1.6568519259416492e-15	1.6568519259416486e-15	9.28464252522491e-26	9.284642525224909e-26	2.761895720022156e-18	2.7618957200221544e-18	2.7618957200221555e-18	2.7618957200221548e-18	4.812937142720007e-15	4.812937142720007e-15	2.403388192546251e-13	1.9341572812515267e-19	1.9341572812515267e-19	9.93390768377379e-11	3.136455629380335e-20	4.485014185335208e-13
1.004651520556104e-11	1.1890108307207267e-26	5.231514277204892e-21	5.2315142772048955e-21	8.02105038320087e-18	8.021050383200868e-18	4.005534656038374e-16	3.2232881118541486e-22	3.2232881118541486e-22	3.992042446432941e-15	3.992042446432943e-15	1.99601659727887e-13	1.9960165972788702e-13	5.573870665147856e-23	5.573870665147857e-23	5.573870665147856e-23	1.604244613122538e-19	8.020991464210451e-18	8.020991464210453e-18	9.876054818334227e-26	1.7135586315702336e-15	1.713558631570233e-15	9.87605481833423e-26	9.876054818334228e-26	2.8564003355007616e-18	2.8564003355007593e-18	2.8564003355007616e-18	2.85640033550076e-18	4.812633235013126e-15	4.812633235013128e-15	2.403321522432223e-13	1.9339746727859602e-19	1.9339746727859607e-19	9.933898340459353e-11	3.343622375071229e-20	4.486018213646289e-13
1.0046208071030014e-11	1.2213725378160846e-26	5.380355185765491e-21	5.380355185765502e-21	8.020554789714967e-18	8.020554789714942e-18	4.0054051577032544e-16	3.2229903236950704e-22	3.222990323695074e-22	3.991916745315846e-15	3.991916745315851e-15	1.9959538559264373e-13	1.9959538559264378e-13	5.928603905929878e-23	5.928603905929882e-23	5.928603905929874e-23	1.6041450563914763e-19	8.020497057861272e-18	8.020497057861275e-18	1.0482951864177148e-25	1.7694833188317298e-15	1.7694833188317294e-15	1.0482951864177166e-25	1.0482951864177152e-25	2.9496016745222604e-18	2.9496016745222566e-18	2.9496016745222597e-18	2.9496016745222604e-18	4.812335818374347e-15	4.812335818374349e-15	2.403243911777779e-13	1.9337959635103338e-19	1.9337959635103333e-19	9.933889235052414e-11	3.5564436031445996e-20	4.4869969940600195e-13
1.0045906755729574e-11	1.2533229793040754e-26	5.527140611024194e-21	5.527140611024255e-21	8.020068695227098e-18	8.020068695226946e-18	4.005263741160751e-16	3.222698244357602e-22	3.2226982443576247e-22	3.991793437748613e-15	3.99179343774864e-15	1.9958922960412232e-13	1.9958922960412255e-13	6.292629578492098e-23	6.292629578492132e-23	6.29262957849208e-23	1.6040473937550237e-19	8.020012020888777e-18	8.020012020888785e-18	1.110511794110935e-25	1.8246364741819326e-15	1.824636474181932e-15	1.1105117941109468e-25	1.1105117941109371e-25	3.041517214249722e-18	3.0415172142497e-18	3.041517214249716e-18	3.0415172142497267e-18	4.812044107745113e-15	4.812044107745122e-15	2.4031591190223634e-13	1.9336206834849513e-19	1.933620683484949e-19	9.933880331148058e-11	3.7748405510087913e-20	4.487954337623064e-13
1.0045610698873158e-11	1.2848678476257316e-26	5.6718989942240665e-21	5.671898994223724e-21	8.019591164241085e-18	8.019591164241991e-18	4.00511474269953e-16	3.2224113136592277e-22	3.222411313659097e-22	3.99167229048292e-15	3.9916722904827616e-15	1.9958318054100222e-13	1.9958318054100114e-13	6.665818230681699e-23	6.665818230681491e-23	6.665818230681804e-23	1.6039514417392278e-19	8.019535453894565e-18	8.019535453894493e-18	1.1742340319013307e-25	1.8790285341554257e-15	1.8790285341554246e-15	1.1742340319012618e-25	1.1742340319013183e-25	3.132164348360993e-18	3.132164348361116e-18	3.1321643483610278e-18	3.1321643483609627e-18	4.811757539987371e-15	4.8117575399873565e-15	2.4030697554839594e-13	1.9334484955053582e-19	1.9334484955053702e-19	9.933871602899468e-11	3.9987355437619535e-20	4.488892951545615e-13
1.0045319493152156e-11	1.316012753651324e-26	5.814658366425097e-21	5.814658366424167e-21	8.019121518100979e-18	8.019121518103497e-18	4.004961173277601e-16	3.2221291251601435e-22	3.2221291251598158e-22	3.991553134220769e-15	3.9915531342203405e-15	1.9957723024584218e-13	1.995772302458397e-13	7.048042201900153e-23	7.048042201899594e-23	7.048042201900438e-23	1.6038570671453102e-19	8.019066703567907e-18	8.019066703567735e-18	1.2394409210457175e-25	1.932669857184119e-15	1.9326698571841187e-15	1.2394409210455318e-25	1.2394409210456842e-25	3.2215603401706256e-18	3.2215603401709615e-18	3.221560340170721e-18	3.221560340170545e-18	4.811475706614622e-15	4.811475706614626e-15	2.4029776343850806e-13	1.9332791549347469e-19	1.9332791549347592e-19	9.933863031813107e-11	4.2280519814865137e-20	4.489814774240344e-13
