NFkB:IkB_alpha{nucleus}	NFkB{nucleus}	IkB_alpha{nucleus}	IKKa	NFkB{default}	IkB_alpha{default}	p105	NFkB:IkB_alpha{default}	Promp105:RNAP	PromIkBa:RNAP3	IKKn	p65	PromIkBa:RNAP3:FTAz	Promp105:RNAP:FTAX	p50	mRNAp65	ActivePRaseonp105	ActivePRaseonIkB_alpha	A20{default}	mRNAA20	IKKi	Promp105:RNAP1:p50p65	Promp105:RNAP1:FTAx:p50p65:IkBa	IkBa:RNAP3:FTAz:p50p65	PromIkBa:RNAP3:p50p65:IkBa	mRNAp105	mRNAIKB_alpha	ActivePRaseonp65	IKKa:IKB_alpha	Promp65:RNAP2	NFkB:IKKa:Ikb_alpha	IKK	A20{nucleus}	Promp105:RNAP1:p50p65:IkBa	FTAz	InactivePRaseonp65	InactivePRaseonp105	InactivePRaseonIkB_alpha	Promp105:RNAP1:FTAx:p50p65	PromIkBa:RNAP3:FTAz:p50p65:IkB_alpha	PromIkBa:RNAP3:p50p65	FTAx	Promp65:RNAP2:FTAy	sa12_degraded	FTAy
7.600324526389226e-39	2.3854317399659787e-28	1.0423521461388923e-10	0.0	1.2524305855472083e-26	8.629202022918886e-09	5.89265394301163e-11	1.2388675628348634e-34	6.44828676804737e-06	6.44828676804737e-06	9.993752603330984e-05	1.203051363388217e-10	2.1837989861930107e-07	2.1837989861930205e-07	1.7362739052291463e-14	8.147269811936959e-09	1.3743469085118174e-07	4.9226006667105655e-08	1.827571512761017e-35	3.93800599098734e-35	0.0	3.1313064877402826e-34	4.3649149051969353e-44	1.2387006412822304e-35	1.0950843831261916e-42	5.17528227201827e-09	5.516570729015322e-09	1.344622871180652e-07	0.0	6.44828676804737e-06	0.0	-9.999999999999999e-05	-3.939468090223418e-35	1.0950843831261929e-42	0.0003331149534347137	-1.426106920490407e-07	-1.426106920490409e-07	-5.47494991117885e-08	1.2387006412822368e-35	4.364914905197077e-44	3.1313064877402826e-34	0.0003331149534347137	2.1837989861930107e-07	6.921715667583141e-12	0.0003331149534347137
1.7317556629567857e-38	5.038838793392686e-28	1.5461345781974234e-10	0.0	2.5956030867316347e-26	1.169380349813384e-08	8.30663645376362e-11	2.7754798368215923e-34	6.426865858217471e-06	6.426865858217471e-06	0.00010992440964933286	1.6939728356666085e-10	2.3980080844919913e-07	2.398008084492002e-07	2.666756324661875e-14	1.048656022563103e-08	1.6206703921418425e-07	5.5715317858502466e-08	4.140000299438803e-35	8.826707511913636e-35	0.0	7.016613850020812e-34	9.967057919322409e-44	2.795834257284523e-35	2.499403766354115e-42	6.671072305638961e-09	6.825513649919438e-09	1.5825096643336894e-07	0.0	6.426865858217471e-06	0.0	-0.00010999999999999999	-8.830019605633138e-35	2.499403766354118e-42	0.0003330935325248838	-1.6873912499964683e-07	-1.6873912499964715e-07	-6.255021377715017e-08	2.7958342572845364e-35	9.967057919322727e-44	7.016613850020812e-34	0.0003330935325248838	2.3980080844919913e-07	9.38226872832802e-12	0.0003330935325248838
3.6828363643479415e-38	9.353937610705297e-28	2.217622569066818e-10	0.0	4.758706372497621e-26	1.545207185943138e-08	1.1388110541464266e-10	5.414592061130217e-34	6.405519688434014e-06	6.405519688434014e-06	0.00011991004498291877	2.3198573585638983e-10	2.6114697823265716e-07	2.611469782326583e-07	3.944486943711868e-14	1.322001563065347e-08	1.8857144155089028e-07	6.245632141633505e-08	8.189886164028471e-35	1.7218412221906546e-34	0.0	1.367958687402863e-33	2.281379193088565e-43	5.532172775333247e-35	5.4673762319678814e-42	8.422394081575658e-09	8.299186316987468e-09	1.8377302058025019e-07	0.0	6.405519688434014e-06	0.0	-0.00012000000000000002	-1.7224964339623638e-34	5.4673762319678814e-42	0.00033307218635510036	-1.9699522512958846e-07	-1.9699522512958891e-07	-7.076790844248211e-08	5.532172775333281e-35	2.28137919308877e-43	1.367958687402863e-33	0.00033307218635510036	2.6114697823265716e-07	1.2400709159683144e-11	0.00033307218635510036
2.5867187510865674e-37	1.9738700758085146e-27	3.094055784578449e-10	0.0	9.447450006571218e-26	1.9985883732430895e-08	1.524380823716657e-10	1.7125555861246236e-33	6.384247988699894e-06	6.384247988699894e-06	0.00012989443219009496	3.101902141954586e-10	2.8241867796677654e-07	2.824186779667776e-07	5.670820257887198e-14	1.6375210012665717e-08	2.1692182983474833e-07	6.944130091690436e-08	2.953539587488265e-34	5.419162165338426e-34	0.0	4.274442661771914e-33	2.3588621944484405e-42	2.050073792153718e-34	4.5408456848751943e-41	1.0447875876210814e-08	9.943783509287852e-09	2.1099342885020162e-07	0.0	6.384247988699894e-06	0.0	-0.00013000000000000002	-5.4215252016646545e-34	4.540845684875178e-41	0.0003330509146553662	-2.2737156572286842e-07	-2.27371565722869e-07	-7.940112762072963e-08	2.050073792153728e-34	2.3588621944484714e-42	4.274442661771914e-33	0.0003330509146553662	2.8241867796677654e-07	1.6043194537474577e-11	0.0003330509146553662
9.26362747110413e-37	4.170556076819838e-27	4.216717899591926e-10	0.0	1.8787336545434248e-25	2.5379930880198715e-08	1.9987762831569143e-10	4.795700949096339e-33	6.363050490021911e-06	6.363050490021911e-06	0.00013987757142687004	4.06269451692671e-10	3.0361617664476e-07	3.0361617664476107e-07	7.961275854240885e-14	1.9979180814665407e-08	2.470924124749129e-07	7.666272706603586e-08	8.781213487360272e-34	1.5136659487672216e-33	0.0	1.1895272843167313e-32	8.933712768334434e-42	6.165374382937739e-34	1.6711735719176351e-40	1.2765894592124132e-08	1.1765315639563201e-08	2.398777317194563e-07	0.0	6.363050490021911e-06	0.0	-0.00014000000000000001	-1.5143685229008375e-33	1.6711735719176335e-40	0.0003330297171566883	-2.598607460183161e-07	-2.5986074601831683e-07	-8.844842091146224e-08	6.165374382937767e-34	8.933712768334465e-42	1.1895272843167313e-32	0.0003330297171566883	3.0361617664476e-07	2.037820586326432e-11	0.0003330297171566883
2.2559326331091216e-36	8.024770776822649e-27	5.629713840979087e-10	0.0	3.471608485044518e-25	3.172347571971939e-08	2.5743817328641335e-10	1.068744019248805e-32	6.3419269246281055e-06	6.3419269246281055e-06	0.00014985946284923058	5.226808489994169e-10	3.2473974203856504e-07	3.247397420385661e-07	1.093586380302573e-13	2.4058224824431102e-08	2.790577555291823e-07	8.411335200037501e-08	2.0050899031361765e-33	3.3695760007664476e-33	0.0	2.643837015866091e-32	2.2117082251201796e-41	1.4141391380162012e-33	4.103158497871297e-40	1.53944997319241e-08	1.376951414628641e-08	2.703922398905915e-07	0.0	6.3419269246281055e-06	0.0	-0.00015000000000000001	-3.371180263146594e-33	4.103158497871297e-40	0.0003330085935912944	-2.9445539670054054e-07	-2.9445539670054133e-07	-9.790834407699033e-08	1.414139138016206e-33	2.2117082251201873e-41	2.643837015866091e-32	0.0003330085935912944	3.2473974203856504e-07	2.5477930328966537e-11	0.0003330085935912944
4.498858315074512e-36	1.4114138964872766e-26	7.380950507179444e-10	0.0	5.947094059306531e-25	3.9108943299442507e-08	3.26436125254364e-10	2.04296475516468e-32	6.320877025793442e-06	6.320877025793442e-06	0.0001598401066131436	6.620326273233734e-10	3.4578964087322823e-07	3.457896408732293e-07	1.4726844235002978e-13	2.8638061884214277e-08	3.12792717566678e-07	9.178613365247093e-08	3.8796025326300324e-33	6.437515654894306e-33	0.0	5.046939885085479e-32	4.4429137828115963e-41	2.7422653210771552e-33	8.212490500649611e-40	1.8351474375489714e-08	1.5961907374526157e-08	3.025038666294635e-07	0.0	6.320877025793442e-06	0.0	-0.00016	-6.440619719255306e-33	8.212490500649614e-40	0.0003329875436924598	-3.311481754958786e-07	-3.311481754958795e-07	-1.0777945817925925e-07	2.742265321077164e-33	4.442913782811609e-41	5.046939885085479e-32	0.0003329875436924598	3.4578964087322823e-07	3.1417152262242295e-11	0.0003329875436924598
1.0913004930765114e-35	2.4247138318194939e-26	9.523516601742238e-10	0.0	9.90160026602183e-25	4.763091691378326e-08	4.082548392768838e-10	4.0833313690591985e-32	6.299900527794503e-06	6.299900527794503e-06	0.0001698195028745566	8.270537098866452e-10	3.6676613887216734e-07	3.667661388721684e-07	1.948873748944416e-13	3.3743929982443785e-08	3.482724194153274e-07	9.96741861223542e-08	7.809009361393798e-33	1.2298381320904906e-32	0.0	9.618047326174251e-32	1.286893269132148e-40	5.4758156267244295e-33	2.1738452513484768e-39	2.1654364509343745e-08	1.8347870776490123e-08	3.36180031900875e-07	0.0	6.299900527794503e-06	0.0	-0.00017000000000000004	-1.230462952907148e-32	2.1738452513484768e-39	0.00033296656719446086	-3.699317661165151e-07	-3.69931766116516e-07	-1.1806032937291831e-07	5.4758156267244404e-33	1.2868932691321415e-40	9.618047326174251e-32	0.00033296656719446086	3.6676613887216734e-07	3.827247407408655e-11	0.00033296656719446086
3.161003686805709e-35	4.2955663202652286e-26	1.2117469536069448e-09	0.0	1.674806563189911e-24	5.738483741057574e-08	5.043303324087572e-10	9.176142459441482e-32	6.278997165850821e-06	6.278997165850821e-06	0.00017979765178939772	1.0205547180144794e-09	3.876695008158491e-07	3.8766950081585013e-07	2.5411287388596513e-13	3.940070839874477e-08	3.8547220498445406e-07	1.0777071540807205e-07	1.7597523357063245e-32	2.53495667353e-32	0.0	1.973932560841773e-31	4.426938795640037e-40	1.2139882350161612e-32	6.903627478670706e-39	2.5320517008580262e-08	2.093269192189449e-08	3.7138853822299184e-07	0.0	6.278997165850821e-06	0.0	-0.00018000000000000004	-2.5363647892436105e-32	6.903627478670706e-39	0.0003329456638325172	-4.107988768931046e-07	-4.107988768931056e-07	-1.2874952863734207e-07	1.2139882350161634e-32	4.426938795640034e-40	1.973932560841773e-31	0.0003329456638325172	3.876695008158491e-07	4.612130737561786e-11	0.0003329456638325172
7.427281030831133e-35	7.389393182244527e-26	1.522552418812078e-09	0.0	2.764510125970367e-24	6.847014135818442e-08	6.161857491858043e-10	1.8855763691248311e-31	6.258166676266428e-06	6.258166676266428e-06	0.00018977455351357555	1.2455220754583233e-09	4.084999904002426e-07	4.0849999040024366e-07	3.268818488287713e-13	4.563262059325774e-08	4.2436773578769964e-07	1.1606917446794465e-07	3.6185692325841833e-32	4.9032794994512435e-32	0.0	3.8059921052313456e-31	1.1131690844175725e-39	2.469068936298376e-32	1.6854474988547523e-38	2.936698799827096e-08	2.372141364813502e-08	4.080978701920744e-07	0.0	6.258166676266428e-06	0.0	-0.00019000000000000004	-4.90617511719101e-32	1.6854474988547523e-38	0.00033292483334293276	-4.5374224407383054e-07	-4.5374224407383165e-07	-1.3984563242317947e-07	2.469068936298382e-32	1.1131690844175705e-39	3.8059921052313456e-31	0.00033292483334293276	4.084999904002426e-07	5.504430709989907e-11	0.00033292483334293276
1.477031626725048e-34	1.2121481493685702e-25	1.8914700648096977e-09	0.0	4.3906269347541485e-24	8.098906164585168e-08	7.454181890029096e-10	3.4876199447054844e-31	6.237408796375752e-06	6.237408796375752e-06	0.00019975020820297917	1.505082041957974e-09	4.2925787029091836e-07	4.2925787029091947e-07	4.1529021795767676e-13	5.24633477616007e-08	4.6493495481659857e-07	1.2456320395615707e-07	6.693478434459867e-32	8.727583175502042e-32	0.0	6.760279437783919e-31	2.2854119579016176e-39	4.53637117299101e-32	3.4139805410748617e-38	3.381057787750745e-08	2.6718894007900943e-08	4.462770800048717e-07	0.0	6.237408796375752e-06	0.0	-0.00020000000000000004	-8.732939498727504e-32	3.4139805410748617e-38	0.0003329040754630421	-4.987546305635131e-07	-4.987546305635142e-07	-1.5134722240524457e-07	4.536371172991021e-32	2.2854119579016127e-39	6.760279437783919e-31	0.0003329040754630421	4.2925787029091836e-07	6.512444118664109e-11	0.0003329040754630421
2.350025700800447e-34	1.866652915272045e-25	2.325571003226068e-09	0.0	6.630603882307258e-24	9.504710413123904e-08	8.937043200347892e-10	5.615109067293656e-31	6.216723264567278e-06	6.216723264567278e-06	0.00020972461601347813	1.802515641087192e-09	4.49943402099392e-07	4.4994340209939304e-07	5.215427602182398e-13	5.991598156446595e-08	5.07150102005765e-07	1.3324665590616963e-07	1.0869226236673685e-31	1.4036798995206127e-31	0.0	1.0866269849499234e-30	3.426008450887782e-39	7.360460347659295e-32	5.293803984432095e-38	3.866781634141498e-08	2.992978232408368e-08	4.858958351433946e-07	0.0	6.216723264567278e-06	0.0	-0.00021	-1.4045496894597572e-31	5.293803984432095e-38	0.0003328833899312336	-5.458288264783773e-07	-5.458288264783786e-07	-1.632528855912397e-07	7.360460347659321e-32	3.426008450887782e-39	1.0866269849499234e-30	0.0003328833899312336	4.49943402099392e-07	7.644736098647224e-11	0.0003328833899312336
5.835411346323056e-34	3.015180117381984e-25	2.8330428433117464e-09	0.0	1.0275264686241429e-23	1.1074728959860751e-07	1.0627330688825116e-09	1.1198019163134737e-30	6.196109820000663e-06	6.196109820000663e-06	0.00021969777710092263	2.1410791770705794e-09	4.7055684666600744e-07	4.705568466660085e-07	6.485553794420243e-13	6.801359229890625e-08	5.509895288927102e-07	1.421133078041409e-07	2.094795882739144e-31	2.500306510003405e-31	0.0	1.9271558474041017e-30	1.0844455478897833e-38	1.3948702823614951e-31	1.480802468950423e-37	4.3955141901549676e-08	3.3358808290693144e-08	5.269238452617786e-07	0.0	6.196109820000663e-06	0.0	-0.00022	-2.5019829372798807e-31	1.480802468950423e-37	0.000332862776486667	-5.949576425161582e-07	-5.949576425161595e-07	-1.7556121302242962e-07	1.3948702823614986e-31	1.0844455478897822e-38	1.9271558474041017e-30	0.000332862776486667	4.7055684666600744e-07	8.909692759564788e-11	0.000332862776486667
1.2415086805783199e-33	4.755360189969363e-25	3.421995152466467e-09	0.0	1.5602478999796983e-23	1.2819935666770299e-07	1.2543132007317378e-09	2.089444693610481e-30	6.175568203058857e-06	6.175568203058857e-06	0.00022966969162114328	2.5242910974762195e-09	4.910984636078131e-07	4.910984636078143e-07	7.989925232290137e-13	7.677832080687915e-08	5.964299948416051e-07	1.5115731957696602e-07	3.806845847208935e-31	4.273823763689286e-31	0.0	3.282221962296917e-30	2.567157365647487e-38	2.503019234089465e-31	3.3346311674193136e-37	4.968861496372773e-08	3.7010319911366255e-08	5.693317781761552e-07	0.0	6.175568203058857e-06	0.0	-0.00023	-4.2768704556906754e-31	3.3346311674193136e-37	0.00033284223486972515	-6.461339205524669e-07	-6.461339205524683e-07	-1.882708018503159e-07	2.503019234089471e-31	2.567157365647482e-38	3.282221962296917e-30	0.00033284223486972515	4.910984636078131e-07	1.0316236198370505e-10	0.00033284223486972515
2.359896447856482e-33	7.302271595440724e-25	4.101237814005687e-09	0.0	2.3176235353227294e-23	1.4751376521034073e-07	1.470303220495852e-09	3.655090721333395e-30	6.155098155053505e-06	6.155098155053505e-06	0.00023964035972995123	2.9557450744830613e-09	5.115685116131647e-07	5.115685116131658e-07	9.75894397455306e-13	8.623197018448058e-08	6.434484740249075e-07	1.6037293582046076e-07	6.529733936589556e-31	6.9987659029175475e-31	0.0	5.359422578963323e-30	5.169273174004842e-38	4.253597498365001e-31	6.5430657469763e-37	5.5884104785513784e-08	4.088858457702739e-08	6.130906630088381e-07	0.0	6.155098155053505e-06	0.0	-0.00024000000000000003	-7.003991952412192e-31	6.5430657469763e-37	0.0003328217648217198	-6.993505267362352e-07	-6.993505267362368e-07	-2.0138025398348322e-07	4.253597498365011e-31	5.169273174004831e-38	5.359422578963323e-30	0.0003328217648217198	5.115685116131647e-07	1.187335859951557e-10	0.0003328217648217198
4.1016630728418375e-33	1.0888390118743595e-24	4.880046824678539e-09	0.0	3.3606220217901974e-23	1.688035006781143e-07	1.712632465011212e-09	6.016141203167198e-30	6.13469941831359e-06	6.1346994183135895e-06	0.00024960978158313814	3.4391662472941366e-09	5.319672483530807e-07	5.319672483530818e-07	1.182488242280067e-12	9.639582774118723e-08	6.920222135010665e-07	1.6975457539669186e-07	1.0594689213853279e-30	1.0971795768861662e-30	0.0	8.383095634547588e-30	9.299227228402167e-38	6.8552000328682525e-31	1.1594057804384393e-36	6.255723322218652e-08	4.4997698473852856e-08	6.581720697776444e-07	0.0	6.1346994183135895e-06	0.0	-0.00024999999999999995	-1.0980275398937549e-30	1.1594057804384393e-36	0.0003328013660849799	-7.546003535672408e-07	-7.546003535672424e-07	-2.1488817649475228e-07	6.855200032868309e-31	9.299227228402703e-38	8.383095634547588e-30	0.0003328013660849799	5.319672483530807e-07	1.3590262420764142e-10	0.0003328013660849799
8.531136307398201e-33	1.6431407734657888e-24	5.768400750421807e-09	0.0	4.8659914636581864e-23	1.9218208150210562e-07	1.9832758082471538e-09	1.103136435205033e-29	6.114371736075283e-06	6.114371736075282e-06	0.0002595779573364763	3.9783458715030244e-09	5.52294930591388e-07	5.522949305913892e-07	1.4224101436110117e-12	1.0729087265580047e-07	7.42128663175841e-07	1.7929673176493494e-07	1.769902861706693e-30	1.7381973935032928e-30	0.0	1.322746739625808e-29	2.390350365758543e-37	1.1392878846246964e-30	2.624587837965565e-36	6.972344248059666e-08	4.934168729677068e-08	7.045478997652819e-07	0.0	6.114371736075282e-06	0.0	-0.00026	-1.7396140205464966e-30	2.624587837965565e-36	0.00033278103840274164	-8.118763173067687e-07	-8.118763173067706e-07	-2.287931811137218e-07	1.1392878846246992e-30	2.3903503657585967e-37	1.3227467396258128e-29	0.00033278103840274164	5.52294930591388e-07	1.5476205201623656e-10	0.00033278103840274164
