pEGFR	pAkt	EGFR	S6	EGF_EGFR	Akt	pS6	pEGFR_Akt	pAkt_S6	EGF	Values[pEGFR_total]	Values[pAkt_total]	Values[pS6_total]
52.83591225610343	2.3991327232122758e-05	67530.77123982196	3.543167404723723	574.9084947508901	0.04309991883551687	2.744722495244163e-12	0.00018510571246942197	6.957125218440749e-10	0.175	0.009602158317660729	0.0014409309265824356	1.3692386145568098e-07
58.77172362769461	2.9233139283463272e-05	67473.70567656736	3.5431674045260024	620.5490426329513	0.0430644726094625	3.701980326805201e-12	0.00021530992970905606	8.924759167804785e-10	0.18333333333333332	0.010680907381376708	0.0017557594275386702	1.8467784712568562e-07
64.98884012334327	3.5257800007053385e-05	67414.80859338757	3.5431674042863692	667.1399487251834	0.043025341083725736	4.921791981613806e-12	0.00024841655630907243	1.1308890759925375e-09	0.19166666666666668	0.011810779906912093	0.0021176073432276543	2.4552965357039534e-07
71.47736445429017	4.212839446436039e-05	67354.12649074955	3.5431674039987593	714.6172420082651	0.042982392442180994	6.458039033281007e-12	0.00028449431732275866	1.4169628266072937e-09	0.2	0.012989977224826522	0.0025302638446363444	3.22167229437775e-07
78.22720009843187	4.990787601447542e-05	67291.70357153958	3.543167403656638	762.9204410722716	0.04293550573141087	8.37212173139006e-12	0.0003236012063356542	1.7571699388427704e-09	0.20833333333333334	0.014216664456094619	0.0029975102206152393	4.176536017849677e-07
85.22813226176243	5.865875025712166e-05	67227.58187246928	3.543167403253004	811.9923577185403	0.04288457100790234	1.0733510018479058e-11	0.0003657846543290752	2.158442398832284e-09	0.21666666666666667	0.015488985225649253	0.0035231008957264825	5.354543642389801e-07
92.4698976631731	6.844277504629356e-05	67161.801388128	3.543167402780393	861.7789115731856	0.042829489418159554	1.362028920974472e-11	0.00041108174955870725	2.628166391557e-09	0.225	0.01680507434474904	0.004110745413136472	6.794648989006419e-07
99.9422443993292	7.932067746751182e-05	67094.40018808635	3.5431674022308854	912.2289551021561	0.042770173218797204	1.7119697636813842e-11	0.0004595195004911087	3.1741751197580427e-09	0.23333333333333334	0.01816306869055841	0.004764091436192061	8.540371973661853e-07
107.63498301579942	9.135188841654401e-05	67025.4145274341	3.5431674015961114	963.2941084511558	0.04270654574299125	2.1328653715760324e-11	0.0005111151347835592	3.804739590306162e-09	0.24166666666666667	0.0195611164876041	0.005486708806996736	1.0640061541642924e-06
115.53802979398363	0.00010459429520044377	66954.8789511142	3.5431674008672682	1014.9286035653136	0.04263854131905967	2.6354270065189423e-11	0.0005658764281133361	4.528557503164088e-09	0.25	0.020997385174576697	0.006282074687270769	1.3147152141697998e-06
123.64144315776741	0.00011910401239285476	66882.8263923954	3.543167400035125	1067.089137073377	0.04256610514640518	3.231435246843915e-11	0.000623802057392539	5.354740380338361e-09	0.25833333333333336	0.022470068020751396	0.0071535597954340115	1.6120412639475248e-06
