A	R	G	E	Values[mA]	Values[mG]	Values[R0]
0.4088456703434412	447.9457218402067	763651.8995695167	1896.9218409300445	0.5	5.0025	0.79960019990005
0.3950280767352994	430.5236446075305	737781.9415079835	1832.6668758868427	0.5	5.0025	0.79960019990005
0.3816825470823398	413.8492639673185	712800.4054963047	1770.6180663207988	0.5	5.0025	0.79960019990005
0.3687925803506567	397.8863344274689	688675.87867651	1710.6974437068152	0.5	5.0025	0.79960019990005
0.3563422806343148	382.60058215763837	665378.1284793	1652.829966722381	0.5	5.0025	0.79960019990005
0.34431633273459217	367.95959153077564	642878.0531623004	1596.9433978290288	0.5	5.0025	0.79960019990005
0.33269997893036457	353.9326973028036	621147.6343037083	1542.9681861023578	0.5	5.0025	0.79960019990005
0.3214789968301615	340.49088247506563	600159.891769126	1490.8373559139839	0.5	5.0025	0.79960019990005
0.31063967824355776	327.60668182574375	579888.8411327547	1440.4864011442642	0.5	5.0025	0.79960019990005
0.3001688090268373	315.25409091435887	560309.4529214893	1391.8531845181676	0.5	5.0025	0.79960019990005
0.29005364983615484	303.4084804431745	541397.6139927283	1344.8778418173606	0.5	5.0025	0.79960019990005
0.2802819177505873	292.0465157462504	523130.09067631094	1299.5026906682185	0.5	5.0025	0.79960019990005
0.27084176869998117	281.14608112403045	505484.4937005847	1255.672143592027	0.5	5.0025	0.79960019990005
0.2617217806697373	270.6862088329491	488439.2447195341	1213.3326251203343	0.5	5.0025	0.79960019990005
0.25291093763183237	260.64701244461463	471973.54440866905	1172.4324927142732	0.5	5.0025	0.79960019990005
0.24439861416838368	251.0096243384969	456067.34199770406	1132.9219612828197	0.5	5.0025	0.79960019990005
0.23617456074984525	241.75613707961622	440701.3061881621	1094.7530310967427	0.5	5.0025	0.79960019990005
0.22822888963521354	232.86954844472206	425856.79736131296	1057.8794189107577	0.5	5.0025	0.79960019990005
0.2205520613621986	224.33370986948754	411515.8410166166	1022.2564921193416	0.5	5.0025	0.79960019990005
0.21313487179878712	216.13327810384763	397661.1023695431	987.8412057862997	0.5	5.0025	0.79960019990005
0.2059684397277966	208.25366986615032	384275.8620494872	954.5920423929311	0.5	5.0025	0.79960019990005
0.19904419493890627	200.6810193049124	371343.99283889536	922.468954164718	0.5	5.0025	0.79960019990005
0.19235386680364092	193.402138085736	358849.9374009714	891.4333078434598	0.5	5.0025	0.79960019990005
0.18588947331046138	186.40447793198504	346778.6869448309	861.4478317806185	0.5	5.0025	0.79960019990005
0.17964331053830476	179.6760954591239	335115.7607814405	832.4765652354379	0.5	5.0025	0.79960019990005
0.1736079425482517	173.20561915268135	323847.1867258137	804.484809768637	0.5	5.0025	0.79960019990005
0.1677761916741034	166.98221834969922	312959.4823041394	777.4390826291544	0.5	5.0025	0.79960019990005
0.16214112919375137	160.99557409280916	302439.6367267329	751.3070720376113	0.5	5.0025	0.79960019990005
0.15669606636421154	155.23585173482397	292275.09359021194	726.0575942759033	0.5	5.0025	0.79960019990005
0.1514345458041171	149.69367518013343	282453.734274345	701.6605524976393	0.5	5.0025	0.79960019990005
0.14635033320838645	144.36010265640599	272963.86200109514	678.0868971791018	0.5	5.0025	0.79960019990005
0.1414374093805105	139.22660391807014	263794.18652520946	655.3085881349953	0.5	5.0025	0.79960019990005
0.13668996256876934	134.28503878923706	254933.80942749788	633.2985580276217	0.5	5.0025	0.79960019990005
0.13210238109322958	129.52763695983356	246372.2099833143	612.0306773015279	0.5	5.0025	0.79960019990005
0.12766924625151682	124.94697895635562	238099.2315811559	591.4797204815782	0.5	5.0025	0.79960019990005
0.12338532549105394	120.53597820989727	230105.0686658454	571.6213337712993	0.5	5.0025	0.79960019990005
0.11924556583551334	116.28786414834097	222380.25418115352	552.4320038892788	0.5	5.0025	0.79960019990005
0.11524508755980797	112.19616626832087	214915.64749968983	533.8890281135294	0.5	5.0025	0.79960019990005
0.11137917809679837	108.25469909517498	207702.42280582158	515.9704854490833	0.5	5.0025	0.79960019990005
0.10764328617032405	104.45754799859084	200732.05792084942	498.6552088921224	0.5	5.0025	0.79960019990005
0.10403301614448562	100.79905580010308	193996.32354926132	481.92275873827174	0.5	5.0025	0.79960019990005
0.1005441225800533	97.27381012686394	187487.27292810383	465.7533968905644	0.5	5.0025	0.79960019990005
0.09717250499024144	93.8766314664198	181197.23186348815	450.1280621275048	0.5	5.0025	0.79960019990005
0.0939142027874807	90.60256187726846	175118.78913732854	435.028346289394	0.5	5.0025	0.79960019990005
0.09076539041386855	87.44685431714404	169244.78726966682	420.43647134663036	0.5	5.0025	0.79960019990005
0.08772237264824129	84.40496255163748	163568.31362232924	406.3352673146927	0.5	5.0025	0.79960019990005
0.08478158008247992	81.47253160673982	158082.69182919338	392.70815097933166	0.5	5.0025	0.79960019990005
0.08193956476084924	78.64538873405785	152781.47354065793	379.5391054012372	0.5	5.0025	0.79960019990005
0.07919299597596459	75.91953485772214	147658.4304695606	366.8126601685775	0.5	5.0025	0.79960019990005
0.07653865621536292	73.29113647451501	142707.54672658746	354.5138723677889	0.5	5.0025	0.79960019990005
0.07397343725296418	70.75651798065154	137923.01143384847	342.62830824454625	0.5	5.0025	0.79960019990005
0.07149433637959929	68.31215439923122	133299.21160511285	331.142025526401	0.5	5.0025	0.79960019990005
0.06909845276806419	65.95466448724203	128830.72528373045	320.0415563848477	0.5	5.0025	0.79960019990005
0.06678298396677251	63.680804197566104	124512.31492659845	309.31389100795917	0.5	5.0025	0.79960019990005
0.06454522251766891	61.48746047699022	120338.92102564016	298.9464617624437	0.5	5.0025	0.79960019990005
0.06238255269364052	59.37164538060805	116305.65595746374	288.9271279219824	0.5	5.0025	0.79960019990005
0.06029244735097921	57.33049048458339	112407.79805249754	279.2441609402758	0.5	5.0025	0.79960019990005
0.058272464893103434	55.36124158158086	108640.78587618282	269.8862302503985	0.5	5.0025	0.79960019990005
