Pr	S	Xi	V	preS	Ya	Pfr	prepreS	Pi	Xa	Yi
3.45235749518175	33.589395326705294	4.165357806201797	0.0012865313897020387	2.553720308299991	0.9	2.4659696394172905	3.648569573970431	4.081672865400951	1.8346421937981992	0.0
3.346952402225891	32.493851900411215	4.198368947565118	0.0013595171376430397	1.7512699045066784	0.9	2.2313016014854066	2.536031549133109	4.421745996288694	1.801631052434879	0.0
3.2303442879140842	31.721428303424034	4.237238834200047	0.0014629339270767721	1.1995638190768432	0.9	2.018965179947557	1.7754837157903396	4.750690532138351	1.7627611657999498	0.0
3.1056199088962155	31.184220892402962	4.280917931791902	0.0015598973043484195	0.8225490862698637	0.9	1.8268352405282544	1.2533453762100526	5.067544850575521	1.7190820682080938	0.0
2.9753799879883913	30.813996910484697	4.328514683696945	0.0016391946281179134	0.5656909907031645	0.9	1.6529888822166876	0.8928836294745198	5.3716311297949115	1.6714853163030505	0.0
2.841803765229981	30.560268609092045	4.379261129283913	0.001699796576811262	0.3907949507589361	0.9	1.4956861922270972	0.642384601069978	5.662510042542913	1.620738870716084	0.0
2.7067056647322434	30.386848818733988	4.432488209773844	0.0017443180823479428	0.27153660527692297	0.9	1.3533528323668038	0.4669984352599185	5.939941502900943	1.5675117902261533	0.0
2.571584993312669	30.26836135413449	4.487607801064632	0.0017762335329698023	0.1899660403811604	0.9	1.2245642825304333	0.3431983270870706	6.203850724156891	1.5123921989353655	0.0
2.4376694839714217	30.18727770560864	4.544099491143404	0.001798765634224092	0.13392575892109063	0.9	1.1080315836238983	0.25505019601766715	6.454298932404673	1.455900508856594	0.0
2.305953405624629	30.13161270600824	4.601500742066254	0.0018145315439561532	0.09521163485612565	0.9	1.0025884372285392	0.1917147931301279	6.691458157146825	1.3984992579337439	0.0
2.1772308789460784	30.093224177284934	4.659399483460734	0.0018255150676041048	0.06829434752905394	0.9	0.9071795328945782	0.14577928571569282	6.915589588159336	1.340600516539264	0.0
2.0521249655976743	30.066600247732225	4.717428457664845	0.0018331597232294785	0.04944485801604743	0.9	0.8208499862393972	0.11214326448418124	7.127025048162921	1.2825715423351536	0.0
1.9311130335729048	30.048014167450788	4.77526082455892	0.0018384894086665652	0.036142703142499476	0.9	0.7427357821437085	0.08727394198248706	7.326151184283378	1.2247391754410777	0.0
1.8145488439734678	30.0349444710856	4.8326066665014915	0.0018422188455679365	0.02667839154939569	0.9	0.6720551273978344	0.06870685804832988	7.51339602862869	1.167393333498506	0.0
1.7026817535062977	30.025681394466815	4.8892101290477985	0.0018448421693197685	0.01988726632440151	0.9	0.608100626252492	0.054709919394633495	7.689217620241203	1.1107898709521988	0.0
1.5956733816359598	30.019061541577347	4.944847003066266	0.0018466992824092646	0.014971645163394835	0.9	0.5502322005643656	0.044056309082117155	7.854094417799667	1.0551529969337317	0.0
1.4936120510360338	30.014289715457597	4.99932260609891	0.0018480235871160848	0.011381926374398275	0.9	0.4978706836789145	0.03587018170262978	8.008517265285043	1.0006773939010873	0.0
1.3965252742003769	30.010819477646113	5.052469860347851	0.0018489754730461577	0.008736975875571455	0.9	0.45049202393583615	0.029521210250977148	8.15298270186378	0.9475301396521459	0.0
1.304390527307782	30.008273065053316	5.104147494882997	0.0018496654456704202	0.006770663600480763	0.9	0.4076220397839031	0.024552072579048873	8.287987432908306	0.8958525051169993	0.0
1.2171445242409649	30.00638760787158	5.154238322845157	0.0018501699500111208	0.005295823007053353	0.9	0.36883167401262534	0.020628263662699774	8.414023801746401	0.8457616771548391	0.0
1.1346911786510927	30.00497890859279	5.202647562170636	0.0018505421411902504	0.004179844296452718	0.9	0.33373269960347535	0.017503125253559532	8.531576121745422	0.7973524378293608	0.0
1.0569084197826395	30.003916955424508	5.249301181838703	0.001850819200917413	0.0033280601652102212	0.9	0.301973834222962	0.014993309944586721	8.641117745994391	0.7506988181612938	0.0
0.9836540081056143	30.003109292853296	5.294144265699343	0.001851027309099744	0.0026723719877250673	0.9	0.27323722447221405	0.012961444973330637	8.743108767422163	0.7058557343006531	0.0
