Cdc20	MCC	O-Mad2	Cdc20:C-Mad2	Bub3:BubR1:Cdc20	MCC:APC	Mad1:C-Mad2:O-Mad2*	APC	Mad1:C-Mad2	Bub3:BubR1	APC:Cdc20
1.3349984049169222e-07	1.6206279649502893e-09	1.1429353399612177e-07	1.0399509179966873e-09	7.331957680105738e-10	1.2961623999947929e-08	8.426312098339333e-11	6.893615142649695e-09	4.99157368790166e-08	1.1168455226709142e-07	7.014476085740228e-08
1.3338137310780863e-07	1.6316307022257028e-09	1.1317013703542658e-07	1.0406368393150968e-09	7.346583060985332e-10	1.4074085894567311e-08	8.35095284654127e-11	6.788298955447835e-09	4.991649047153457e-08	1.1055962509710868e-07	6.913761514998477e-08
1.3326867358862043e-07	1.6414323321182452e-09	1.1205790079714227e-07	1.0412748548376665e-09	7.343883513127783e-10	1.517663282114421e-08	8.275919475771048e-11	6.685769126888938e-09	4.9917240805242274e-08	1.0944754649542499e-07	6.813759805196678e-08
1.3316006814747433e-07	1.6505612740922883e-09	1.1095671294741397e-07	1.0418829014842582e-09	7.327222997243292e-10	1.6268829693856882e-08	8.201318315273176e-11	6.5852346227749775e-09	4.991798681684725e-08	1.083478867323267e-07	6.714593568336805e-08
1.3305448390462327e-07	1.6593433683748276e-09	1.0986646277239066e-07	1.042472863779117e-09	7.299336146775676e-10	1.7350448820376844e-08	8.127217507866907e-11	6.486233751454632e-09	4.991872782492132e-08	1.0726027419657095e-07	6.616331742816844e-08
1.3295121627251517e-07	1.6679804461778569e-09	1.0878704100355996e-07	1.0430527738275834e-09	7.262447535454844e-10	1.84213891951317e-08	8.053658130302792e-11	6.388494246065897e-09	4.991946341869696e-08	1.0618438560514514e-07	6.519011655880233e-08
1.3284979028973464e-07	1.676598563135207e-09	1.0771833965888469e-07	1.043628166707414e-09	7.218368706793555e-10	1.9481626954592713e-08	7.980665668012664e-11	6.291853890256429e-09	4.992019334331988e-08	1.051199376115929e-07	6.42265191551508e-08
1.3274987746655115e-07	1.6852772589483765e-09	1.066602519933025e-07	1.0442029349515792e-09	7.168574648921737e-10	2.053118524301276e-08	7.908256978497908e-11	6.196215125343125e-09	4.992091743021502e-08	1.0406668003314688e-07	6.327259963164404e-08
1.326512443183678e-07	1.6940675550316147e-09	1.056126724214635e-07	1.0447799066464801e-09	7.114266874764102e-10	2.1570115698139584e-08	7.836441871899648e-11	6.101518467522166e-09	4.9921635581281014e-08	1.0302439005935256e-07	6.232836583433819e-08
1.3255372044209246e-07	1.7030029290401343e-09	1.0457549648346741e-07	1.0453611974072158e-09	7.056423972506005e-10	2.2598487134135825e-08	7.765225594960642e-11	6.007726965790229e-09	4.992234774405042e-08	1.019928675395736e-07	6.139378590007391e-08
1.3245717824049138e-07	1.712106067464975e-09	1.0354862081329868e-07	1.0459484230996967e-09	6.995842777175953e-10	2.361637857761262e-08	7.69461185242329e-11	5.91481700877347e-09	4.992305388147579e-08	1.0097193107720498e-07	6.046880441361389e-08
1.323615196574636e-07	1.7213930492530438e-09	1.0253194311041604e-07	1.0465428797414912e-09	6.933172630833027e-10	2.4623874949388434e-08	7.624601120119518e-11	5.822772849541257e-09	4.992375398879883e-08	9.99614147382754e-08	5.9553352201070306e-08
1.3226666784821822e-07	1.7308758593362544e-09	1.0152536212884411e-07	1.0471456200721709e-09	6.868941078922477e-10	2.5621064460632464e-08	7.555193111520861e-11	5.731583435518733e-09	4.992444806888482e-08	9.896116557213922e-08	5.864735210384879e-08
1.3217256106272792e-07	1.7405640492935167e-09	1.0052877764925144e-07	1.0477575321953362e-09	6.803577667421544e-10	2.6608036904415834e-08	7.486386484408309e-11	5.641240410958774e-09	4.992513613515595e-08	9.797104127954867e-08	5.775072268462538e-08
1.320791488035657e-07	1.7504657019035522e-09	9.954209047017318e-08	1.0483793840028982e-09	6.737431249613249e-10	2.758488265232445e-08	7.418179159611946e-11	5.551737014433299e-09	4.9925818208403915e-08	9.699090852081084e-08	5.6863380333242236e-08
1.3198638893383895e-07	1.7605880725668323e-09	9.856520239199666e-08	1.0490118566568872e-09	6.670785213127371e-10	2.855169199335642e-08	7.350568542338981e-11	5.463067384375209e-09	4.9926494314576646e-08	9.60206414127642e-08	5.5985240622268346e-08
1.3189424570120396e-07	1.7709379712332243e-09	9.759801620505241e-08	1.0496555678332463e-09	6.603869355736416e-10	2.9508554739477673e-08	7.283551640365292e-11	5.3752261758439e-09	4.992716448359637e-08	9.506012035371566e-08	5.5116219084678396e-08
1.3180268828876853e-07	1.7815220058464998e-09	9.664043567775986e-08	1.0503110886785955e-09	6.536869567339285e-10	3.045555997606647e-08	7.217125164878499e-11	5.28820834002739e-09	4.992782874835124e-08	9.41092310613533e-08	5.425623168390611e-08
1.3171168964480178e-07	1.7923467559733178e-09	9.569236554506556e-08	1.0509789574845656e-09	6.46993618325082e-10	3.1392795885405816e-08	7.151285607094156e-11	5.202008976584573e-09	4.9928487143929084e-08	9.3167863740296e-08	5.340519513800959e-08
1.316212256742675e-07	1.8034188676046273e-09	9.475371149782565e-08	1.0516596892604345e-09	6.403190423158589e-10	3.2320349652375237e-08	7.086029293426235e-11	5.116623273448263e-09	4.9929139707065767e-08	9.22359124377045e-08	5.256302707417649e-08
1.3153127460783797e-07	1.8147451167234976e-09	9.382438017245736e-08	1.052353783337218e-09	6.336729676000108e-10	3.323830740328388e-08	7.021352419825292e-11	5.032046475498556e-09	4.992978647580178e-08	9.131327451239281e-08	5.1729646121217555e-08
1.3144181648792723e-07	1.8263324580441367e-09	9.290427914080202e-08	1.0530617295265954e-09	6.270631890567363e-10	3.414675416072533e-08	6.957251090209655e-11	4.948273864554543e-09	4.993042748909794e-08	9.039985019217402e-08	5.090497197472011e-08
1.3135283275378476e-07	1.838188059453962e-09	9.199331690028307e-08	1.0537840132633106e-09	6.20495925852562e-10	3.5045773813573834e-08	6.893721342603004e-11	4.865300752354419e-09	4.993106278657401e-08	8.949554220111985e-08	5.0088925434071734e-08
1.3126430593147654e-07	1.8503193227290932e-09	9.10914028643646e-08	1.0545211196213862e-09	6.139761108385311e-10	3.593544910164523e-08	6.830759163988679e-11	4.783122484665413e-09	4.993169240836015e-08	8.860025546478736e-08	4.928142841368935e-08
1.3117621939020686e-07	1.862733899326486e-09	9.019844735320859e-08	1.0552735364743092e-09	6.075076225451793e-10	3.6815861605826904e-08	6.768360516391905e-11	4.701734448552693e-09	4.993231639483612e-08	8.771389687230164e-08	4.848240394562039e-08
1.3108855713724837e-07	1.875439705495353e-09	8.93143615844896e-08	1.0560417576502853e-09	6.010934779011113e-10	3.768709173917008e-08	6.706521319489009e-11	4.621132078294976e-09	4.993293478680514e-08	8.683637507743366e-08	4.7691776182534934e-08
1.3100130364428847e-07	1.8884449365961615e-09	8.843905766434226e-08	1.0568262846317626e-09	5.947359946903087e-10	3.85492187389696e-08	6.645237546042686e-11	4.541310860206568e-09	4.993354762453961e-08	8.596760032974413e-08	4.690947040082383e-08
1.3091444370535747e-07	1.9017580790924087e-09	8.757244857851258e-08	1.057627630528548e-09	5.884369236098281e-10	3.940232066142687e-08	6.584505043979999e-11	4.462266338588121e-09	4.9934154949560236e-08	8.51074843358711e-08	4.6135412999985003e-08
1.3082796232752382e-07	1.9153879215850114e-09	8.671444818357766e-08	1.058446319368746e-09	5.821975543097361e-10	4.024647437739787e-08	6.524319807091678e-11	4.38399412278718e-09	4.9934756801929116e-08	8.425594014670759e-08	4.536953149981494e-08
1.3074184463780873e-07	1.9293435659324467e-09	8.58649711983808e-08	1.0592828900023826e-09	5.760187997449397e-10	4.108175556803757e-08	6.464677764701808e-11	4.3064898934883735e-09	4.993535322235301e-08	8.341288206628525e-08	4.461175453847406e-08
1.306560758060522e-07	1.9436344390308576e-09	8.502393319553793e-08	1.0601378969024764e-09	5.699012656974311e-10	4.190823871991234e-08	6.405574861662644e-11	4.229749407682863e-09	4.9935944251383404e-08	8.257822557535959e-08	4.386201187240481e-08
1.305706409771342e-07	1.958270305143825e-09	8.419125059306045e-08	1.0610119114195684e-09	5.638453092231771e-10	4.2725997119606224e-08	6.347007077013663e-11	4.153768502920663e-09	4.993652992922989e-08	8.175188726602697e-08	4.312023437747312e-08
1.3048552521304188e-07	1.973261278308829e-09	8.336684064609213e-08	1.0619055233860558e-09	5.57851086776172e-10	4.353510284812443e-08	6.288970408877484e-11	4.0785431015128145e-09	4.993711029591125e-08	8.093378478679077e-08	4.238635405036276e-08
1.3040071344640468e-07	1.9886178349676036e-09	8.255062143877572e-08	1.0628193425644107e-09	5.51918590810852e-10	4.4335626774954196e-08	6.231460873828659e-11	4.004069214747414e-09	4.993768539126174e-08	8.012383679926755e-08	4.16603040102984e-08
1.303161904337295e-07	2.0043508270184115e-09	8.174251187614132e-08	1.0637539998894438e-09	5.460476861321711e-10	4.512763855180877e-08	6.174474514227959e-11	3.930342946769417e-09	4.993825525485775e-08	7.932196293504086e-08	4.0942018501421815e-08
1.3023194072261658e-07	2.0204714956875698e-09	8.09424316761969e-08	1.0647101485845957e-09	5.402381311961655e-10	4.5911206605458694e-08	6.118007407244628e-11	3.8573604980847735e-09	4.993881992592758e-08	7.852808376765776e-08	4.023143289645652e-08
1.301479486180321e-07	2.0369914858905587e-09	8.015030136207698e-08	1.0656884658920925e-09	5.344895990184357e-10	4.6686398129905036e-08	6.062055623554692e-11	3.785118168833019e-09	4.993937944376448e-08	7.774212078518618e-08	3.952848370126195e-08
1.3006419815323532e-07	2.0539228609492123e-09	7.936604225426396e-08	1.0666896531390984e-09	5.28801694513895e-10	4.745327907811454e-08	6.006615353341237e-11	3.7136123618373945e-09	4.993993384646662e-08	7.696399636642257e-08	3.883310856004806e-08
1.2998067306010496e-07	2.0712781179432624e-09	7.858957646295281e-08	1.0677144391799112e-09	5.23173968510996e-10	4.821191415316002e-08	5.951682676422295e-11	3.642839585738963e-09	4.994048317323581e-08	7.619363376038593e-08	3.814524626110101e-08
1.298973567455252e-07	2.0890702032564283e-09	7.78208268804306e-08	1.068763579667817e-09	5.176059295342589e-10	4.896236679879348e-08	5.897253785189456e-11	3.5727964579835275e-09	4.994102746214813e-08	7.543095706841605e-08	3.746483674322299e-08
1.298142322698059e-07	2.107312528859522e-09	7.705971717359757e-08	1.0698378565829414e-09	5.120970526449102e-10	4.9704699189120534e-08	5.843325183965644e-11	3.503479707893107e-09	4.994156674816037e-08	7.467589122937524e-08	3.679182110298635e-08
1.2973128231231275e-07	2.1260189896951094e-09	7.63061717767164e-08	1.070938089938534e-09	5.066467877554944e-10	5.043897221810366e-08	5.789892554651075e-11	3.4348861797017235e-09	4.994210107445352e-08	7.392836200444595e-08	3.61261416021946e-08
1.2964848916722855e-07	2.145203980251894e-09	7.556011588387113e-08	1.072065122973414e-09	5.012545649016917e-10	5.116524548802303e-08	5.736952488074321e-11	3.3670128353554e-09	4.994263047511929e-08	7.318829596682358e-08	3.546774167662155e-08
1.295658347116137e-07	2.1648824120066073e-09	7.482147544179052e-08	1.073219832789223e-09	4.959198011433203e-10	5.188357729829208e-08	5.6845015121789454e-11	3.299856757552706e-09	4.9943154984878244e-08	7.24556204885582e-08	3.48165659441552e-08
1.2948330038320212e-07	2.1850697321918777e-09	7.409017714294775e-08	1.07440313596478e-09	4.906419012224275e-10	5.259402463171002e-08	5.6325357185797686e-11	3.233415152581069e-09	4.994367464281424e-08	7.173026373487587e-08	3.41725602157089e-08
1.2940086716602185e-07	2.2057819424231062e-09	7.336614841833706e-08	1.075615982059723e-09	4.854202628881569e-10	5.329664314173854e-08	5.581051544178928e-11	3.1676853533926763e-09	4.9944189484558245e-08	7.10121546529504e-08	3.3535671504868775e-08
1.2931851556619815e-07	2.2270356173585816e-09	7.264931743050243e-08	1.0768593591364991e-09	4.802542797598658e-10	5.39914871394269e-08	5.5300453575784406e-11	3.1026648224529426e-09	4.994469954642425e-08	7.030122296345486e-08	3.2905848038120144e-08
1.2923622559428157e-07	2.2488479252547355e-09	7.193961306675267e-08	1.0781342924258051e-09	4.751433427153925e-10	5.467860957845936e-08	5.4795137107629935e-11	3.038351154677345e-09	4.99452048628924e-08	6.959739915357072e-08	3.228303926686329e-08
1.2915397674186784e-07	2.2712366466199703e-09	7.123696493238411e-08	1.0794418497747057e-09	4.700868420682557e-10	5.535806204083586e-08	5.429453038555538e-11	2.9747420803306044e-09	4.994570546961447e-08	6.890061447047612e-08	3.166719587883353e-08
1.2907174796349867e-07	2.294220194407958e-09	7.054130334396066e-08	1.0807831411910249e-09	4.650841689019026e-10	5.6029894721684147e-08	5.379859875642545e-11	2.911835467999404e-09	4.994620140124361e-08	6.821080091500618e-08	3.105826981031644e-08
1.289895176554285e-07	2.3178176336013287e-09	6.985255932257467e-08	1.0821593217665077e-09	4.601347166997687e-10	5.66941564144768e-08	5.33073075808905e-11	2.8496293274959348e-09	4.9946692692419145e-08	6.752789123522229e-08	3.045621425802725e-08
1.2890726363550124e-07	2.342048704111783e-09	6.917066458765189e-08	1.0835715921365644e-09	4.552378811180158e-10	5.7350894493337976e-08	5.282062276200204e-11	2.788121812867476e-09	4.9947179377238026e-08	6.685181892143241e-08	2.986098369379454e-08
1.2882496312264983e-07	2.366933838609323e-09	6.849555154990763e-08	1.0850212012944136e-09	4.5039306269964524e-10	5.800015489982497e-08	5.2338510363868754e-11	2.7273112252530603e-09	4.9947661489636156e-08	6.618251819886625e-08	2.927253387492195e-08
1.2874259271610167e-07	2.392494186075395e-09	6.782715330583422e-08	1.0865094486515316e-09	4.455996645924461e-10	5.864198212242719e-08	5.186093701188169e-11	2.66719601542088e-09	4.994813906298815e-08	6.551992402690516e-08	2.8690821862151917e-08
1.2866012837536236e-07	2.4187516304155947e-09	6.716540363046131e-08	1.0880376853201516e-09	4.4085709584421635e-10	5.927641918410473e-08	5.138786969841855e-11	2.607774786942178e-09	4.99486121303016e-08	6.486397208963564e-08	2.8115806028953078e-08
1.2857754539894542e-07	2.44572881310289e-09	6.651023697217434e-08	1.0896073168705923e-09	4.361647693113223e-10	5.990350762198732e-08	5.091927586505541e-11	2.5490462982300552e-09	4.994908072413497e-08	6.421459879559865e-08	2.7547446079782607e-08
1.2849481840434e-07	2.473449152419756e-09	6.586158844568317e-08	1.091219805094912e-09	4.315221037491756e-10	6.05232874735234e-08	5.045512327897221e-11	2.4910094656037133e-09	4.9949544876721056e-08	6.357174127030786e-08	2.6985703060872875e-08
1.28411921306818e-07	2.5019368638002197e-09	6.521939382677095e-08	1.0928766712842596e-09	4.269285229355337e-10	6.113579725857375e-08	4.9995379571010057e-11	2.4336633648378565e-09	4.995000462042901e-08	6.293533735469067e-08	2.643053937658837e-08
1.283288273007351e-07	2.5312169800088716e-09	6.458358954573755e-08	1.0945794968682855e-09	4.223834565437904e-10	6.174107396406382e-08	4.954001332167786e-11	2.3770072341558874e-09	4.9950459986678344e-08	6.230532559938372e-08	2.5881918801780288e-08
1.2824550883970117e-07	2.5613153699471054e-09	6.395411268192569e-08	1.096329926128893e-09	4.17886339950403e-10	6.23391530279134e-08	4.9088994085123357e-11	2.321040475727406e-09	4.99509110059149e-08	6.168164526218929e-08	2.533980649635918e-08
1.281619376164804e-07	2.592258755399417e-09	6.33309009580771e-08	1.0981296706918235e-09	4.134366142731098e-10	6.293006832597035e-08	4.864228986152887e-11	2.2657626568445803e-09	4.995135771013849e-08	6.106423630435733e-08	2.4804169017185057e-08
1.2807808454277048e-07	2.6240747338570173e-09	6.271389273392068e-08	1.0999805097489622e-09	4.090337268724575e-10	6.351385215324062e-08	4.819986923293683e-11	2.211173513248788e-09	4.995180013076709e-08	6.04530393860301e-08	2.427497433351058e-08
1.2799391973482445e-07	2.6567917905621004e-09	6.210302700102538e-08	1.1018842921569498e-09	4.0467713105845357e-10	6.4090535214171e-08	4.776170208479362e-11	2.157272948601818e-09	4.995223829791523e-08	5.984799586420865e-08	2.3752191837227176e-08
1.2790941249884727e-07	2.6904393104203807e-09	6.149824337776569e-08	1.1038429388823496e-09	4.003662857243765e-10	6.46601466129488e-08	4.7327759982990665e-11	2.1040610338742366e-09	4.9952672240017035e-08	5.924904779090665e-08	2.3235792353176952e-08
1.2782453130226976e-07	2.725047608141098e-09	6.08994821021213e-08	1.1058584466022353e-09	3.9610065642185536e-10	6.522271382933204e-08	4.689801380353049e-11	2.051538013434813e-09	4.995310198619649e-08	5.865613790610522e-08	2.2725748157233145e-08
1.27739243781077e-07	2.7606479060347865e-09	6.030668402929719e-08	1.107932892967082e-09	3.9187971392297715e-10	6.577826273876327e-08	4.647243293789279e-11	1.9997042940016842e-09	4.995352756706213e-08	5.806920964127919e-08	2.222203296723505e-08
1.2765351669551302e-07	2.797272393885622e-09	5.971979062270898e-08	1.1100684339064733e-09	3.8770293554745595e-10	6.632681756090737e-08	4.6050988591768946e-11	1.948560458852439e-09	4.9953949011408255e-08	5.748820710965975e-08	2.172462198024018e-08
1.2756731595212917e-07	2.834954188015086e-09	5.913874395192361e-08	1.1122673089332544e-09	3.8356980431933506e-10	6.686840089885177e-08	4.563365227650376e-11	1.8981072533966812e-09	4.9954366347723525e-08	5.6913075108814024e-08	2.1233491847751555e-08
1.2748060657200948e-07	2.8737273665830813e-09	5.856348668593486e-08	1.114531843305528e-09	3.7947980921670483e-10	6.740303370839362e-08	4.5220395783131567e-11	1.8483455911146351e-09	4.9954779604216896e-08	5.634375911580681e-08	2.0748620700491748e-08
1.2739335270301007e-07	2.9136269420690124e-09	5.7993962088763664e-08	1.1168644499381542e-09	3.754324452275267e-10	6.793073532734882e-08	4.481119188057433e-11	1.7992765402445954e-09	4.9955188808119446e-08	5.578020528535486e-08	2.0269988132406597e-08
1.273055175935299e-07	2.9546888925737254e-09	5.7430114013870464e-08	1.1192676323382061e-09	3.714272132426117e-10	6.845152344733051e-08	4.4406013887315393e-11	1.7509013316842803e-09	4.995559398611271e-08	5.522236044685337e-08	1.9797575220985215e-08
1.272170636138842e-07	2.9969501280750196e-09	5.687188689974962e-08	1.1217439880986423e-09	3.674636202032488e-10	6.896541415014014e-08	4.400483393681372e-11	1.7032213502609383e-09	4.9955995166063214e-08	5.467017210158182e-08	1.9331364499598938e-08
1.2712795223249835e-07	3.040448511496964e-09	5.6319225764439306e-08	1.124296210199367e-09	3.6354117898901753e-10	6.947242188900988e-08	4.360762485468386e-11	1.6562381331835107e-09	4.995639237514535e-08	5.412358842050434e-08	1.88713399778066e-08
1.270381440522202e-07	3.0852228117684093e-09	5.577207620147301e-08	1.1269270902238866e-09	3.5965940839956876e-10	6.997255953799912e-08	4.3214358535792717e-11	1.6099533626118988e-09	4.9956785641464235e-08	5.3582558241833117e-08	1.8417487099388985e-08
1.2694759878172025e-07	3.131312726895931e-09	5.523038437421209e-08	1.1296395195575983e-09	3.5581783321256386e-10	7.046583837179324e-08	4.2825007541351404e-11	1.5643688613861768e-09	4.995717499245868e-08	5.3047031068098476e-08	1.7969792766820586e-08
1.2685627529213925e-07	3.178758797835808e-09	5.469409701212485e-08	1.1324364851342827e-09	3.5201598402944675e-10	7.095226815387846e-08	4.24395510268352e-11	1.519486559138608e-09	4.9957560448973204e-08	5.251695706425652e-08	1.7528245286982953e-08
1.2676413160791127e-07	3.227602426474686e-09	5.4163161405857056e-08	1.1353210845397804e-09	3.482533974457197e-10	7.143185712185589e-08	4.205796127280339e-11	1.4753085163712895e-09	4.995794203872723e-08	5.1992287054223915e-08	1.7092834361772824e-08
1.2667112493910557e-07	3.2778858228922905e-09	5.363752540272553e-08	1.1382965200277522e-09	3.445296159928426e-10	7.190461204279814e-08	4.168021155650326e-11	1.4318368980182756e-09	4.9958319788443535e-08	5.147297251831695e-08	1.6663551059183594e-08
1.265772117128561e-07	3.3296519665326213e-09	5.311713740208965e-08	1.1413660986764117e-09	3.408441882344428e-10	7.237053825559858e-08	4.130627710296285e-11	1.3890739662993953e-09	4.9958693722897075e-08	5.095896558963458e-08	1.624038777810203e-08
1.264823476070412e-07	3.3829445474593397e-09	5.2601946350996444e-08	1.144533235241986e-09	3.371966687402203e-10	7.282963973283538e-08	4.093613346706944e-11	1.3470220584825604e-09	4.995906386653297e-08	5.045021905096528e-08	1.582333820868206e-08
1.2638648759020956e-07	3.43780791490078e-09	5.209190173975609e-08	1.1478014536769774e-09	3.335866181359654e-10	7.328191913552424e-08	4.056975614213174e-11	1.3056835769231268e-09	4.99594302438579e-08	4.994668633143924e-08	1.5412397287552638e-08
1.2628958597406947e-07	3.494287003192911e-09	5.1586953597674156e-08	1.1511743882353609e-09	3.30013603123913e-10	7.372737789086637e-08	4.0207120031428554e-11	1.2650609686214859e-09	4.995979287996861e-08	4.9448321502817035e-08	1.5007561140512155e-08
1.261915964761825e-07	3.552427256038974e-09	5.1087052488769215e-08	1.1546557820296494e-09	3.2647719654506105e-10	7.416601627232097e-08	3.9848200841424797e-11	1.225156710796013e-09	4.996015179915861e-08	4.895507927509523e-08	1.4608827016883032e-08
1.2609247228221683e-07	3.6122745425971787e-09	5.059214950748342e-08	1.1582494870101147e-09	3.229769774426887e-10	7.45978334883479e-08	3.949297456161809e-11	1.1859732892666088e-09	4.996050702543842e-08	4.8466914991612464e-08	1.4216193222385503e-08
1.2599216611332205e-07	3.673875070446776e-09	5.0102196274447275e-08	1.1619594639359655e-09	3.1951253111742786e-10	7.50228277738212e-08	3.914141734902386e-11	1.147513178822028e-09	4.9960858582651016e-08	4.798378462461484e-08	1.3829659047356797e-08
1.2589063031461356e-07	3.737275270812138e-09	4.9617144932288607e-08	1.1657897811736128e-09	3.1608344921895236e-10	7.544099651056918e-08	3.8793505156712227e-11	1.1097788158180895e-09	4.9961206494843324e-08	4.750564476939996e-08	1.3449224673612754e-08
1.2578781694473434e-07	3.80252168619761e-09	4.913694814143221e-08	1.1697446131116258e-09	3.1268932980916116e-10	7.585233634506355e-08	3.844921419524044e-11	1.07277257385255e-09	4.996155078580479e-08	4.703245263892991e-08	1.3074891081083916e-08
1.2568367787173528e-07	3.869660851041021e-09	4.866155907592232e-08	1.1738282381046048e-09	3.0932977744794014e-10	7.625684331417108e-08	3.810852076122017e-11	1.0364967383286663e-09	4.996189147923881e-08	4.656416605734019e-08	1.2706659947500278e-08
