E	T	E_P_1	E_P_2	P2	M	E_M1	E_P21	E_M	P21	M1	E_P2	P
7.853738037491673e-05	0.005579484229955447	5.772634884068656e-05	6.941756656783267e-06	0.0032663470880998475	0.06395514217739587	1.1241682593983286e-12	4.1062224203878683e-22	3.6211091563133113e-06	1.6769006168720875e-11	1.4364716576470827e-08	2.8257692003188776e-08	0.9271306946495944
7.84868224126673e-05	0.006364364977687817	5.738019028278679e-05	6.900128370328773e-06	0.003488646021629325	0.06791386178847392	1.2810729682800223e-12	5.032997826239913e-22	3.842861066671015e-06	1.921102207357797e-11	1.6376120162399965e-08	3.016476693342453e-08	0.9221649574711109
7.843802347247465e-05	0.0071954067631135165	5.703755694036562e-05	6.8589240510017065e-06	0.0037095263022953397	0.07179812653423663	1.4469259638253373e-12	6.087019706437868e-22	4.060203514596569e-06	2.1813246403043892e-11	1.85037129733247e-08	3.2057798845545237e-08	0.9172289331310776
7.839095350361718e-05	0.008071692861606257	5.6698384212558556e-05	6.818135932733262e-06	0.003929002090596531	0.07560914027651569	1.6215136876445687e-12	7.275826229041466e-22	4.273225626332146e-06	2.4574658607442858e-11	2.0744854235984237e-08	3.393704898566457e-08	0.9123223203174115
7.834558322761384e-05	0.008992324997266527	5.6362609199037726e-05	6.77775644812547e-06	0.004147087288592255	0.07934808319256574	1.8046275798418997e-12	8.606850414182842e-22	4.482014101255298e-06	2.7494248277322753e-11	2.3096948382510707e-08	3.5802771676017355e-08	0.9074448232128091
7.830188408219189e-05	0.009956422883599474	5.603017054106723e-05	6.737778218951027e-06	0.00436379554611186	0.08301611235997575	1.9960639061433748e-12	1.0087422205934073e-21	4.686653430052156e-06	3.05710149681957e-11	2.5557444180090713e-08	3.765521491177584e-08	0.9025961513628976
7.82598282211608e-05	0.010963123707129773	5.5701008472975164e-05	6.69819405439932e-06	0.004579140267748664	0.08661436241474745	2.1956236230349133e-12	1.172477081064541e-21	4.887225838898418e-06	3.380396800220396e-11	2.8123833747645348e-08	3.949462016089374e-08	0.8977760195275553
7.821938846870179e-05	0.012011581792415571	5.537506466768403e-05	6.65899694060381e-06	0.004793134617399692	0.09014394597803632	2.403112245469141e-12	1.352602622597853e-21	5.083811495342864e-06	3.719212633798942e-11	3.079365191202225e-08	4.132122296098554e-08	0.8929841475845756
7.818053831250732e-05	0.013100968030462751	5.505228225620981e-05	6.6201800372704975e-06	0.005005791526014175	0.09360595438468436	2.6183396854085935e-12	1.549822185306641e-21	5.276488491946454e-06	4.0734518348313796e-11	3.3564475108153155e-08	4.313525289212063e-08	0.8882202603649733
7.814325187673952e-05	0.01423046945399818	5.473260577184084e-05	6.581736672418556e-06	0.005217123697360883	0.09700145822468133	2.8411201347027684e-12	1.7648296455362804e-21	5.465332928933411e-06	4.443018165287055e-11	3.643392055420654e-08	4.49369337478955e-08	0.8834840875304617
7.810750389753867e-05	0.015399288894079504	5.441598107292129e-05	6.543660335399975e-06	0.005427143612701018	0.1003315077810845	3.071271939043426e-12	1.9983095758005233e-21	5.6504190182505145e-06	4.827816298135291e-11	3.939964557783666e-08	4.6726483870187026e-08	0.8787753634742304
7.807326971658054e-05	0.016606644601930797	5.4102355349597076e-05	6.505944674029283e-06	0.005635863535932855	0.10359713351237068	3.308617483387186e-12	2.250937421320926e-21	5.831819081399319e-06	5.2277518021950686e-11	4.2459346871272536e-08	4.85041161567581e-08	0.8740938272116124
7.80405252520922e-05	0.017851769837567547	5.3791677059508116e-05	6.4685834890690534e-06	0.005843295519191287	0.10679934657713559	3.5529830688273656e-12	2.5233796923216293e-21	6.009603642892068e-06	5.642731125591475e-11	4.5610759678615676e-08	5.027003826560702e-08	0.8694392222611368
7.800924698351183e-05	0.01913391248126802	5.348389588934201e-05	6.4315707291466515e-06	0.006049451408141295	0.10993913932976962	3.8041987972679085e-12	2.816294146425313e-21	6.183841484068617e-06	6.072661580050579e-11	4.8851657025132427e-08	5.202445280372342e-08	0.8648112965320788
7.797941193441084e-05	0.020452334680002588	5.3178962719340436e-05	6.394900486429151e-06	0.0062543428468048706	0.11301748577172896	4.0620984668519856e-12	3.1303299566692513e-21	6.3545996954142994e-06	6.517451326382564e-11	5.2179849007046126e-08	5.376755747015454e-08	0.8602098022219202
7.795099765418817e-05	0.02180631247998618	5.2876829587096236e-05	6.358566992293831e-06	0.0064579812825736665	0.11603534202044617	4.326519459668508e-12	3.466127885278156e-21	6.521943730655852e-06	6.977009359479489e-11	5.559318205678681e-08	5.5499545192241636e-08	0.8556344957098609
7.792398220292386e-05	0.023195135508278612	5.2577449655086055e-05	6.3225646134089506e-06	0.006660377970570405	0.11899364671600049	4.597302646004218e-12	3.824320437562231e-21	6.685937454154292e-06	7.451245494936464e-11	5.9089538291457e-08	5.722060425847212e-08	0.8510851374641765
7.789834413648478e-05	0.024618106650992948	5.22807771753837e-05	6.286887847524325e-06	0.0068615439780532715	0.12189332143204985	4.874292287536711e-12	4.205532016819598e-21	6.846643191097918e-06	7.940070355584051e-11	6.266683485643623e-08	5.893091846858568e-08	0.8465614919486625
7.787406249072721e-05	0.026074541725167124	5.198676745857437e-05	6.251531319692951e-06	0.0070614901889082034	0.12473527109488504	5.157335940346129e-12	4.6103790825006994e-21	7.0041217739141346e-06	8.443395357725902e-11	6.63230232549046e-08	6.063066725588272e-08	0.8420633275272067
7.785111676727936e-05	0.027563769174504392	5.169537684233508e-05	6.216489778506397e-06	0.007260227307822325	0.12752038437215457	5.446284364096863e-12	5.039470298303439e-21	7.1584325877077414e-06	8.961132698207228e-11	7.005608871946291e-08	6.232002581599119e-08	0.8375904163751389
7.782948691964854e-05	0.029085129767907288	5.1406562662352415e-05	6.181758092604984e-06	0.00745776586442385	0.13024953405811954	5.740991435083405e-12	5.4934066797171834e-21	7.30963361280656e-06	9.493195341486167e-11	7.386404958497596e-08	6.399916522221085e-08	0.8331425343912947
7.78091533403473e-05	0.030637976316960913	5.112028322431721e-05	6.147331247294485e-06	0.007654116217168046	0.13292357743481392	6.041314064282004e-12	5.97278173335332e-21	7.457781465337502e-06	1.0039497007408972e-10	7.774495669659481e-08	6.566825254195236e-08	0.8287194611154755
7.779009684555526e-05	0.03222167335723326	5.083649777125012e-05	6.113204340627563e-06	0.007849288557703237	0.1355433566791103	6.347112100446397e-12	6.4781816111227295e-21	7.602931445014876e-06	1.0599952157766153e-10	8.169689275550757e-08	6.73274509678068e-08	0.8243209796357067
7.77722986648727e-05	0.033835596930709914	5.055516646008707e-05	6.079372580591191e-06	0.008043292913895075	0.13810969914147328	6.658248261534376e-12	7.010185223134673e-21	7.74513756873755e-06	1.1174475986177062e-10	8.571797183554333e-08	6.897691991605924e-08	0.8199468765240183
7.775574042847366e-05	0.03547913426100599	5.027625033838141e-05	6.045831282273523e-06	0.008236139154274657	0.14062341776079368	6.974588060883315e-12	7.569364394354634e-21	7.884452605393052e-06	1.1762984404465472e-10	8.980633871949171e-08	7.06168151134191e-08	0.8155969417419423
7.774040415999971e-05	0.037151683551837796	4.9999711331807585e-05	6.012575866333198e-06	0.008427836990849511	0.14308531132280308	7.295999764868269e-12	8.156283970678891e-21	8.020928094362685e-06	1.2365394033112206e-10	9.396016844441982e-08	7.224728864351228e-08	0.811270968580811
7.772627225141791e-05	0.03885265370267258	4.972551216697897e-05	5.979601849964365e-06	0.008618395983012343	0.145496164823437	7.622354202303795e-12	8.771501958992208e-21	8.15461445293814e-06	1.2981622188921862e-10	9.817766570450137e-08	7.386848929785332e-08	0.8069687535788156
7.77133274566539e-05	0.04058146407130055	4.945361636580402e-05	5.946904846132247e-06	0.008807825540829073	0.14785674977283098	7.953524734216915e-12	9.415569647957618e-21	8.285560986066334e-06	1.3611586874293127e-10	1.0245706433569304e-07	7.548056258595418e-08	0.8026900964511461
7.770155292046204e-05	0.042337544250789415	4.9183988392489524e-05	5.914480580073578e-06	0.008996134928132627	0.15016782448129593	8.289387524223018e-12	1.0089031722009777e-20	8.413815691853105e-06	1.4255206766986606e-10	1.0679662682577076e-07	7.708365001628944e-08	0.7984348000240002
7.769093212538764e-05	0.04412033382378906	4.89165934394486e-05	5.882324865046683e-06	0.009183333265919129	0.15243013437337577	8.629821109945849e-12	1.0792426386128194e-20	8.539425548815232e-06	1.491240120910181e-10	1.1119464378377151e-07	7.867789010332894e-08	0.7942026701627759
7.76814488264305e-05	0.04592928215748941	4.865139715798495e-05	5.850433572086164e-06	0.00936942953520644	0.15464441225024259	8.974705878059327e-12	1.1526285473212786e-20	8.66243687689272e-06	1.5583090197474918e-10	1.1564943348142662e-07	8.026341962685367e-08	0.7899935157117969
7.767308714952711e-05	0.04776384817078375	4.838836619371037e-05	5.818802688246449e-06	0.009554432580272675	0.15681137858907837	9.323924869238259e-12	1.229113455947262e-20	8.782894644880195e-06	1.626719437317058e-10	1.2015934134982326e-07	8.184037108509462e-08	0.785807148424631
7.766583159067308e-05	0.04962350014015554	4.812746803274145e-05	5.78742830299813e-06	0.009738351111309617	0.15893174179076577	9.677363879675605e-12	1.308749306811299e-20	8.900842635572642e-06	1.6964635012512025e-10	1.2472273954546847e-07	8.340887339301984e-08	0.7816433829078617
7.765966688620004e-05	0.05150771545381393	4.786867060602935e-05	5.756306559248971e-06	0.009921193707911103	0.161006198495477	1.0034910275545821e-11	1.39158744000169e-20	9.016324015023647e-06	1.7675334014783682e-10	1.2933802638023495e-07	8.496905379351814e-08	0.7775020365477499
7.765457809257844e-05	0.05341598045252386	4.761194260078076e-05	5.725433691186649e-06	0.010102968821254565	0.16303543378667154	1.0396453772518274e-11	1.477678601289801e-20	9.129380903031864e-06	1.8399213895489085e-10	1.3400362598528363e-07	8.652103630094792e-08	0.7733829294633048
7.765055056078841e-05	0.05534779027505868	4.735725336100165e-05	5.694806011797672e-06	0.010283684776242766	0.16502012138876682	1.0761886189138598e-11	1.5670729496100506e-20	9.240054508235278e-06	1.9136197779942438e-10	1.3871798798842508e-07	8.80649422077908e-08	0.7692858844609973
7.764756992344655e-05	0.05730264855718862	4.710457286655515e-05	5.664419910544671e-06	0.010463349775753776	0.16696092405422513	1.1131101369492575e-11	1.6598200745383303e-20	9.348385160274593e-06	1.9886209386412111e-10	1.4347958675830756e-07	8.960089015263004e-08	0.7652107269444257
7.764562209046128e-05	0.05928006734277026	4.6853871720148966e-05	5.634271851802121e-06	0.010641971901853998	0.16885849367693498	1.1503995155895462e-11	1.7559689997984736e-20	9.45441232754473e-06	2.0649173023700418e-10	1.4828692125502152e-07	9.11289961790471e-08	0.7611572848886289
7.764469324032009e-05	0.06127956687468119	4.6605121129543304e-05	5.604358372719685e-06	0.010819559118728624	0.170713471560574	1.188046533230791e-11	1.8555681945276425e-20	9.558174643072767e-06	2.1425013580779247e-10	1.5313851454262505e-07	9.264937380650236e-08	0.7571253887778525
7.764476981326237e-05	0.06330067542897883	4.6358292893667164e-05	5.574676081549781e-06	0.010996119275011363	0.1725264886315938	1.2260411580487612e-11	1.9586655823165388e-20	9.659709924707943e-06	2.221365651841864e-10	1.5803291339763154e-07	9.416213408486046e-08	0.7531148715560723
7.764583850424936e-05	0.06534292915597849	4.611335938533509e-05	5.5452216555770964e-06	0.011171660106013767	0.17429816564323322	1.2643735431659597e-11	2.065308549687029e-20	9.759055199382655e-06	2.3015027861445563e-10	1.629686879412693e-07	9.566738566934615e-08	0.7491255685796673
7.764788625546459e-05	0.06740587188833143	4.587029353808865e-05	5.5159918395155135e-06	0.01134618923642163	0.17602911342199754	1.3030340220398681e-11	2.1755439564353676e-20	9.856246722849638e-06	2.3829054189242726e-10	1.6794443119074773e-07	9.716523486871938e-08	0.7451573175601627
7.765090024866171e-05	0.06948905495840017	4.562906882930828e-05	5.486983443491398e-06	0.011519714182862538	0.17771993310221945	1.3420131034799187e-11	2.2894181454593353e-20	9.951320003812706e-06	2.4655662626736445e-10	1.7295875863254443e-07	9.865578571402628e-08	0.7412099585097208
7.76548679007931e-05	0.07159203709583563	4.5389659269899376e-05	5.458193341817926e-06	0.011692242355351634	0.17937121625771435	1.3813014687503344e-11	2.4069769482622833e-20	1.0044309818467114e-05	2.549478083936818e-10	1.7801030798232303e-07	1.0013914000184428e-07	0.7372833337104601
7.76597768574953e-05	0.0737143842742352	4.515203939001056e-05	5.42961847124174e-06	0.011863781059454879	0.18098354509888154	1.420889967072276e-11	2.5282656933448087e-20	1.0135250231001346e-05	2.634633702530353e-10	1.8309773881891187e-07	1.0161539735535429e-07	0.7333772876685284
7.766561498705566e-05	0.07585566955215212	4.491618422560821e-05	5.401255829355989e-06	0.012034337498532163	0.1825574926770714	1.4607696117776124e-11	2.6533292148938456e-20	1.0224174612529867e-05	2.7210259907370823e-10	1.8821973220472634e-07	1.03084655278082e-07	0.7294916670664798
7.767237037387027e-05	0.07801547292249669	4.4682069306460714e-05	5.3731024731432776e-06	0.012203918775866648	0.18409362307825472	1.5009315761433115e-11	2.78221186104216e-20	1.0311115659107534e-05	2.808647872537705e-10	1.9337499032405547e-07	1.0454700919937014e-07	0.7256263207180703
7.76800313133194e-05	0.08019338117924324	4.444967064312518e-05	5.3451555174131754e-06	0.01237253189654744	0.18559249159439462	1.541367189841779e-11	2.9149575011598136e-20	1.039610540964422e-05	2.8974923229347234e-10	1.985622361645059e-07	1.06002552531371e-07	0.7217810995282937
7.768858630577854e-05	0.08238898776874627	4.421896471599096e-05	5.317412133485664e-06	0.012540183769580295	0.18705464491481968	1.5820679352063654e-11	3.0516095340899154e-20	1.0479175262188958e-05	2.987552367180942e-10	2.0378021315438742e-07	1.0745137670935523e-07	0.7179558564485771
7.769802405152137e-05	0.0846018926648273	4.398992846310163e-05	5.28986954772422e-06	0.012706881209657097	0.1884806212869235	1.6230254437289922e-11	3.192210895039652e-20	1.0560355990994536e-05	3.078821080136319e-10	2.0902768486043756e-07	1.088935712443418e-07	0.7141504464392227
7.77083334454195e-05	0.08683170223509656	4.3762539269296555e-05	5.262525040230392e-06	0.012872630939055383	0.18987095068825763	1.6642314926284357e-11	3.3368040629978094e-20	1.0639677762194865e-05	3.1712915855726e-10	2.1430343466096138e-07	1.103292237660575e-07	0.7103647264290895
7.771950357260354e-05	0.08907802913149022	4.3536774956521377e-05	5.235375943678449e-06	0.013037439589203288	0.19122615496763765	1.7056780019094937e-11	3.485431066924462e-20	1.0717170147522527e-05	3.2649570555838776e-10	2.196062654704946e-07	1.1175842006320616e-07	0.7065985552823838
7.773152370264433e-05	0.09134049214477036	4.331261377149806e-05	5.208419641832262e-06	0.013201313702738004	0.1925467480322784	1.74735703057379e-11	3.6381334937398113e-20	1.0792862142000472e-05	3.359810709843366e-10	2.2493499938979092e-07	1.1318124413334535e-07	0.7028517937549605
7.774438328593242e-05	0.09361871610776956	4.309003437753436e-05	5.1816535685609095e-06	0.013364259734900437	0.19383323597274402	1.7892607741505056e-11	3.7949524939176545e-20	1.0866782175423639e-05	3.455845815060745e-10	2.302884774536979e-07	1.145977782171064e-07	0.6991243044647323
7.775807194820459e-05	0.09591233176178092	4.2869015843426674e-05	5.155075206502381e-06	0.013526284055431652	0.19508611723491232	1.8313815611410493e-11	3.955928788874307e-20	1.093895812848074e-05	3.553055684289966e-10	2.3566555930574078e-07	1.1600810284212547e-07	0.6954159518514159
7.777257948635518e-05	0.09822097564685509	4.264953763437388e-05	5.1286820859711926e-06	0.013687392950144758	0.19630588276146113	1.8737118502277395e-11	4.1211026772049744e-20	1.1009417345641547e-05	3.6514336763313555e-10	2.4106512291920403e-07	1.1741229686022097e-07	0.6917266021431736
7.778789586481391e-05	0.10054429000132264	4.2431579603725774e-05	5.102471783967623e-06	0.013847592622371813	0.1974930161215957	1.916244227833055e-11	4.290514040426975e-20	1.1078186646659711e-05	3.7509731951766e-10	2.464860643382291e-07	1.1881043748178441e-07	0.6880561233259147
7.780401120940473e-05	0.10288192261664389	4.221512198043902e-05	5.076441922666634e-06	0.014006889195015084	0.1986479936976914	1.9589714041107972e-11	4.464202350972898e-20	1.1145292344835008e-05	3.851667689266241e-10	2.519272973287081e-07	1.202026003258133e-07	0.6844043850997483
7.782091580578027e-05	0.10523352679141702	4.2000145364092594e-05	5.050590168820134e-06	0.01416528871125378	0.199771284745543	2.0018862116242252e-11	4.642206675198314e-20	1.1210760253490473e-05	3.9535106511612967e-10	2.573877532288476e-07	1.215888594439293e-07	0.680771258864018
7.783860009251041e-05	0.10759876115505708	4.17866307115655e-05	5.024914232153766e-06	0.014322797137020789	0.20086335162079658	2.044981601042248e-11	4.824565682954524e-20	1.1274615705483814e-05	4.05649561666882e-10	2.628663805365337e-07	1.2296928737100673e-07	0.6771566176647099
7.785705466144282e-05	0.10997728963809965	4.157455934109773e-05	4.99941186584375e-06	0.014479420361487876	0.20192464981843	2.0882506417954924e-11	5.0113176497484933e-20	1.1336883547888745e-05	4.1606161645854045e-10	2.68362144794443e-07	1.2434395510181623e-07	0.6735603361841844
7.787627025094094e-05	0.11236878132404426	4.1363912915162746e-05	4.974080864464374e-06	0.014635164199158984	0.20295562816324492	2.131686517224956e-11	5.2025004649074154e-20	1.1397588165939851e-05	4.2658659159394983e-10	2.7387402823367257e-07	1.2571293216641093e-07	0.6699822906967432
7.789623774053928e-05	0.11477291037856019	4.1154673416687586e-05	4.948919061189676e-06	0.014790034390911626	0.20395672890166713	2.1752825193735333e-11	5.398151635806921e-20	1.1456753513878882e-05	4.372238533560076e-10	2.7940102957455627e-07	1.2707628675143593e-07	0.6664223590465771
7.791694814792624e-05	0.11718935595278089	4.094682314497999e-05	4.923924327294233e-06	0.014944036605392213	0.20492838782666614	2.21903204731054e-11	5.598308293424771e-20	1.1514403121252161e-05	4.479727721537191e-10	2.849421637754572e-07	1.2843408571174767e-07	0.6628804206181554
7.79383926337071e-05	0.11961780207879025	4.074034476619272e-05	4.899094577950557e-06	0.01509717644051666	0.20587103441271878	2.262928615135685e-11	5.803007198250369e-20	1.1570560030789368e-05	4.5883272246508485e-10	2.904964617661569e-07	1.297863942899616e-07	0.6593563563042821
7.796056250200935e-05	0.12205793760340825	4.053522132889455e-05	4.874427773979517e-06	0.015249459424448964	0.2067850919018324	2.3069658538885687e-11	6.012284744250737e-20	1.1625246779667805e-05	4.698030827959999e-10	2.9606297025836045e-07	1.3113327602831095e-07	0.6558500484853097
7.798344915372681e-05	0.12450945606108378	4.033143593345469e-05	4.849921883389176e-06	0.015400891017418952	0.20767097746679852	2.3511374529133392e-11	6.226176966041402e-20	1.1678485811903039e-05	4.808832356133865e-10	3.0164075143227947e-07	1.3247479454099033e-07	0.6523613809911303
7.800704413901948e-05	0.12697205564401823	4.012897225015965e-05	4.825574943018523e-06	0.015551476612176407	0.20852910225123691	2.39543724876312e-11	6.444719540961108e-20	1.1730298848562226e-05	4.920725673206755e-10	3.0722888282433416e-07	1.3381101062559994e-07	0.6488902390906072
7.803133913959444e-05	0.12944543910562864	3.9927814120867637e-05	4.8013850087893866e-06	0.01570122153540677	0.20935987149392563	2.439859156232083e-11	6.66794779381298e-20	1.1780707349978242e-05	5.033704682131191e-10	3.128264571051971e-07	1.3514198456516513e-07	0.6454365094623493
7.805632594117677e-05	0.13192931358726312	3.972794569288877e-05	4.777350173873558e-06	0.015850131050220092	0.21016368475287028	2.484397185202091e-11	6.895896709010819e-20	1.1829732389712016e-05	5.147763323503593e-10	3.184325815488496e-07	1.3646777535607175e-07	0.6420000801414136
7.808199645401048e-05	0.13442339066287914	3.95293513962762e-05	4.753468566044452e-06	0.015998210355526087	0.21094093584773432	2.529045444672913e-11	7.128600925642257e-20	1.1877394660011336e-05	5.262895576144352e-10	3.2404637822545824e-07	1.3778844068685216e-07	0.6385808405328398
7.810834270504412e-05	0.13692738626259765	3.933201593883141e-05	4.72973834613143e-06	0.016145464587147114	0.21169201295875834	2.5737981364480126e-11	7.366094741834513e-20	1.1923714484983297e-05	5.379095456662555e-10	3.29666983795484e-07	1.3910403710219196e-07	0.6351786813880593
7.813535683069506e-05	0.13944102047380166	3.913592429515325e-05	4.706157707100859e-06	0.016291898820710395	0.21241729888435001	2.618649551260916e-11	7.608412128791935e-20	1.1968711837053848e-05	5.496357017943686e-10	3.352935488906548e-07	1.4041461998515268e-07	0.6317934947433083
7.816303107771597e-05	0.14196401755821264	3.894106170400329e-05	4.6827248736562015e-06	0.01643751807141489	0.21311717101911923	2.6635940691243845e-11	7.855586728080633e-20	1.2012406339322485e-05	5.61467434948755e-10	3.409252382128131e-07	1.417202435915146e-07	0.6284251739247517
7.81913578004233e-05	0.1444961058766786	3.8747413662813795e-05	4.659438101627897e-06	0.0165823272951336	0.21379200145136643	2.7086261577187222e-11	8.107651856034905e-20	1.2054817273411908e-05	5.734041576958747e-10	3.465612303256882e-07	1.4302096106304669e-07	0.6250736135251024
7.822032945756893e-05	0.14703701780149814	3.8554965921432666e-05	4.636295677200777e-06	0.016726331389698288	0.21444215707674058	2.7537403701481047e-11	8.364640509131837e-20	1.2095963588416849e-05	5.854452861628135e-10	3.5220071740414086e-07	1.4431682445526581e-07	0.6217387093763521
7.824993860999393e-05	0.14958648965102658	3.8363704477417386e-05	4.613295916351231e-06	0.016869535195860503	0.2150679996830593	2.798931343370515e-11	8.626585367913844e-20	1.2135863907619512e-05	5.975902399966383e-10	3.5784290504893175e-07	1.4560788475540512e-07	0.6184203585293836
7.828017791866197e-05	0.15214426163127343	3.8173615570165196e-05	4.590437164145131e-06	0.017011943498153482	0.2156698860261124	2.8441937967968095e-11	8.893518800318387e-20	1.217453653621068e-05	6.098384423301606e-10	3.6348701212494376e-07	1.468941919096993e-07	0.6151184592357064
7.831104014141863e-05	0.1547100777477044	3.798468567575217e-05	4.567717794110037e-06	0.017153561026189375	0.21624816794408475	2.8895225301572074e-11	9.165472866984469e-20	1.2211999469111219e-05	6.22189319726706e-10	3.691322705099547e-07	1.4817579484116987e-07	0.6118329109199332
7.834251813058481e-05	0.1572836857375102	3.779690150206241e-05	4.545136207649434e-06	0.017294392455662787	0.2168031924455441	2.934912421929413e-11	9.442479325074008e-20	1.2248270397896992e-05	6.346423021406052e-10	3.7477792490654597e-07	1.4945274146868572e-07	0.6085636141585181
7.83746048317796e-05	0.15986483703163823	3.761024998461348e-05	4.5226908335559696e-06	0.017434442408916194	0.21733530175882443	2.980358428459959e-11	9.724569630481493e-20	1.2283366716099015e-05	6.471968228937742e-10	3.8042323273296835e-07	1.5072507872652037e-07	0.6053104706677757
7.8407293281392e-05	0.16245328668378498	3.7424718281379775e-05	4.5003801273684015e-06	0.017573715455989923	0.2178448334242478	3.025855582224489e-11	1.0011774942040632e-19	1.2317305526566533e-05	6.598523186314321e-10	3.860674639193985e-07	1.5199285258675886e-07	0.6020733832816153
7.844057660474163e-05	0.16504879331736177	3.724029376875181e-05	4.478202570896337e-06	0.017712216115410215	0.21833212036307162	3.071398990598172e-11	1.0304126124592319e-19	1.2350103647084043e-05	6.726082292896715e-10	3.917099007562909e-07	1.5325610807507573e-07	0.5988522559348393
7.847444801379824e-05	0.16765111906042215	3.705696403689305e-05	4.456156671659992e-06	0.017849948855155007	0.21879749096207587	3.116983834301111e-11	1.0601653752860998e-19	1.2381777616950843e-05	6.854639980539458e-10	3.973498377041382e-07	1.5451488928934195e-07	0.5956469936426614
7.850890080501003e-05	0.17026002948115881	3.687471688502435e-05	4.434240962323594e-06	0.017986918093612688	0.2192412691574289	3.162605365920285e-11	1.0904388115215984e-19	1.2412343703536619e-05	6.984190713190618e-10	4.0298658120755724e-07	1.557692394189124e-07	0.5924575024803835
7.85439283575925e-05	0.17287529353898332	3.669354031743809e-05	4.412454000214436e-06	0.018123128200309674	0.21966377449830163	3.2082589087306816e-11	1.1212359216538175e-19	1.2441817907775179e-05	7.114728986586278e-10	4.086194495536079e-07	1.5701920076186047e-07	0.5892836895679748
7.857952413152385e-05	0.17549668352207587	3.6513422539367245e-05	4.390794366827191e-06	0.018258583496846788	0.2200653222282242	3.253939855346451e-11	1.152559678184709e-19	1.2470215969921269e-05	7.2462493278528e-10	4.14247772686727e-07	1.582648147413172e-07	0.586125463050226
