S1	DNA_111	DNA_110	DNA_011	DNA_001	DNA_100	DNA_010	DNA_1B1B1	DNA_101	DNA_1B11	DNA_1B10	DNA_01B1	DNA_11B1	DNA_000	Values[GAS_siteOccupancy]
9.761146038528112e-11	1.2245217842657035e-20	1.8644345620845641e-16	1.8644345620845644e-16	9.550595414576229e-15	9.550595414576246e-15	1.9101169285818966e-12	3.690847884452551e-15	9.32232681069815e-19	6.1533960913597914e-18	1.1186608906298509e-13	1.1186608906298491e-13	6.153396091359798e-18	9.784297271639605e-11	2.137925160542136e-12
9.761079611401583e-11	1.27203028333881e-20	1.8644100398307832e-16	1.864410039830783e-16	9.550510017512255e-15	9.550510017512249e-15	1.9101000212338597e-12	3.9191697992070096e-15	9.322191898539322e-19	6.533774264935761e-18	1.1186461651418385e-13	1.118646165141839e-13	6.533774264935759e-18	9.784276366140758e-11	2.1381343863382325e-12
9.761018488713495e-11	1.3157450727742884e-20	1.8643874753017532e-16	1.8643874753017534e-16	9.5504314399719e-15	9.550431439971905e-15	1.9100844640153254e-12	4.1292594595662295e-15	9.32206776094887e-19	6.883777992700974e-18	1.1186326151174172e-13	1.118632615117417e-13	6.8837779927009746e-18	9.784257130020642e-11	2.138326904706872e-12
9.760962246978296e-11	1.355969008376057e-20	1.8643667129792935e-16	1.8643667129792935e-16	9.550359137436336e-15	9.550359137436334e-15	1.910070149163597e-12	4.322572364645048e-15	9.321953537366498e-19	7.205832097064347e-18	1.1186201473423686e-13	1.1186201473423688e-13	7.205832097064347e-18	9.78423942999666e-11	2.1385040495631967e-12
9.760910496540288e-11	1.392980773873518e-20	1.8643476089044855e-16	1.8643476089044857e-16	9.550292608940394e-15	9.550292608940396e-15	1.9100569774904844e-12	4.5004478455643814e-15	9.321848436235577e-19	7.50216786767692e-18	1.1186086753551369e-13	1.1186086753551369e-13	7.50216786767692e-18	9.784223143440288e-11	2.1386670481944e-12
9.760862878539599e-11	1.4270370280168693e-20	1.864330030481146e-16	1.8643300304811464e-16	9.550231393103105e-15	9.550231393103106e-15	1.910044857645906e-12	4.664119383231421e-15	9.321751728513925e-19	7.774840250578497e-18	1.1185981195172792e-13	1.1185981195172793e-13	7.774840250578497e-18	9.784208157414906e-11	2.13881703088956e-12
9.760819063555939e-11	1.4583733720078825e-20	1.864313856078136e-16	1.8643138560781353e-16	9.55017506640023e-15	9.550175066400231e-15	1.9100337057785798e-12	4.814719257591878e-15	9.321662745003615e-19	8.025735593727213e-18	1.11858840679145e-13	1.1185884067914502e-13	8.025735593727215e-18	9.784194368248033e-11	2.1389550352205988e-12
9.760778747884486e-11	1.4872070153988862e-20	1.8642989735567294e-16	1.8642989735567294e-16	9.550123238370031e-15	9.550123238370033e-15	1.910023444583129e-12	4.9532913598421105e-15	9.321580868751315e-19	8.25659299180034e-18	1.1185794698396241e-13	1.118579469839624e-13	8.25659299180034e-18	9.78418168036015e-11	2.139082017763661e-12
9.760741651906917e-11	1.5137379411729927e-20	1.8642852796679187e-16	1.8642852796679187e-16	9.550075549523974e-15	9.550075549523974e-15	1.910014002885716e-12	5.080796791703574e-15	9.321505531764602e-19	8.469013614435029e-18	1.1185712466600741e-13	1.1185712466600738e-13	8.46901361443503e-18	9.784170005752041e-11	2.139198859229976e-12
9.760707518236378e-11	1.5381502318665817e-20	1.8642726793912921e-16	1.8642726793912921e-16	9.550031668956031e-15	9.550031668956031e-15	1.910005315172427e-12	5.198120238638084e-15	9.321436211214919e-19	8.664471323833702e-18	1.118563680195954e-13	1.118563680195954e-13	8.664471323833702e-18	9.784159263420817e-11	2.139306370310284e-12
9.760676109909742e-11	1.5606133635144338e-20	1.8642610852257334e-16	1.8642610852257336e-16	9.549991292019824e-15	9.549991292019822e-15	1.9099973211272916e-12	5.3060761884883275e-15	9.32137242577079e-19	8.84432303485192e-18	1.1185567179011781e-13	1.1185567179011783e-13	8.844323034851917e-18	9.784149378791343e-11	2.1394052973652635e-12
9.760647209527796e-11	1.5812828196023997e-20	1.864250416911423e-16	1.8642504169114222e-16	9.549954139222765e-15	9.549954139222765e-15	1.9099899654151404e-12	5.4054118820386115e-15	9.321313733849888e-19	9.009813630553374e-18	1.1185503115811012e-13	1.1185503115811009e-13	9.009813630553377e-18	9.784140283445329e-11	2.139496325136871e-12
9.760620616988847e-11	1.600301712795331e-20	1.8642406005608758e-16	1.864240600560875e-16	9.549919953311848e-15	9.549919953311848e-15	1.909983197103198e-12	5.496815106943344e-15	9.32125972901238e-19	9.162088946685183e-18	1.118544416864658e-13	1.1185444168646576e-13	9.162088946685186e-18	9.78413191440833e-11	2.139580083884095e-12
9.760596148146347e-11	1.617801744295425e-20	1.8642315681917584e-16	1.8642315681917577e-16	9.549888497547423e-15	9.549888497547424e-15	1.909976969320652e-12	5.580918808291656e-15	9.321210037232611e-19	9.30220345275472e-18	1.1185389929293342e-13	1.1185389929293338e-13	9.302203452754723e-18	9.784124213727051e-11	2.1396571536133715e-12
9.76057363343245e-11	1.6339041889208645e-20	1.8642232571927916e-16	1.864223257192792e-16	9.54985955393322e-15	9.549859553933217e-15	1.9099712389070335e-12	5.658305822844606e-15	9.321164314100678e-19	9.431128139141469e-18	1.118534002175578e-13	1.1185340021755781e-13	9.431128139141467e-18	9.784117128036393e-11	2.139728068411752e-12
9.760552916950975e-11	1.6487205431100704e-20	1.864215610017252e-16	1.8642156100172525e-16	9.54983292205041e-15	9.549832922050407e-15	1.9099659661826928e-12	5.729511993256918e-15	9.32112224298155e-19	9.549755705306845e-18	1.1185294100481256e-13	1.118529410048126e-13	9.549755705306841e-18	9.784110608273746e-11	2.139793319306194e-12
9.76053385475658e-11	1.6623537562899868e-20	1.8642085735221297e-16	1.86420857352213e-16	9.549808416844552e-15	9.549808416844556e-15	1.909961114509498e-12	5.79503208596188e-15	9.321083531515448e-19	9.658910418831289e-18	1.1185251846344536e-13	1.1185251846344536e-13	9.658910418831287e-18	9.784104609137653e-11	2.1398533596814293e-12
9.760516314889913e-11	1.6748982055348988e-20	1.8642020989889664e-16	1.8642020989889664e-16	9.549785868671211e-15	9.549785868671213e-15	1.909956650300206e-12	5.8553196693740135e-15	9.321047911691488e-19	9.759347912503228e-18	1.1185212966787076e-13	1.1185212966787076e-13	9.759347912503226e-18	9.784099089098793e-11	2.1399086051699264e-12
9.76050017550994e-11	1.6864410312446843e-20	1.864196141438078e-16	1.8641961414380782e-16	9.549765120894184e-15	9.549765120894181e-15	1.9099525425431592e-12	5.910793533044924e-15	9.321015136050974e-19	9.851765878460196e-18	1.1185177191707366e-13	1.1185177191707366e-13	9.851765878460194e-18	9.784094009812189e-11	2.1399594395348067e-12
9.760485324877009e-11	1.697062149342888e-20	1.8641906596183629e-16	1.8641906596183629e-16	9.549746029863957e-15	9.549746029863954e-15	1.90994876279782e-12	5.961837746290507e-15	9.320984977653964e-19	9.936804165860188e-18	1.1185144273391827e-13	1.1185144273391827e-13	9.936804165860188e-18	9.784089336111894e-11	2.140006214722824e-12
9.760471660067455e-11	1.7068351705564546e-20	1.8641856155342153e-16	1.864185615534215e-16	9.54972846326499e-15	9.549728463264989e-15	1.909945284867642e-12	6.0088060761719844e-15	9.320957227467445e-19	1.0015052141119315e-17	1.1185113983677166e-13	1.1185113983677166e-13	1.0015052141119315e-17	9.784085035606466e-11	2.1400492549130977e-12
9.760459086394235e-11	1.7158278147856474e-20	1.864180974231321e-16	1.8641809742313204e-16	9.549712299370797e-15	9.549712299370797e-15	1.9099420846525723e-12	6.052023978923944e-15	9.320931693188124e-19	1.0087052005577405e-17	1.1185086112663647e-13	1.1185086112663646e-13	1.0087052005577406e-17	9.784081078496618e-11	2.140088858341904e-12
9.760447516871028e-11	1.7241022944063726e-20	1.864176703597751e-16	1.8641767035977503e-16	9.549697426355043e-15	9.549697426355045e-15	1.9099391400126057e-12	6.091790442074747e-15	9.320908198154242e-19	1.015330186442109e-17	1.1185060467518533e-13	1.1185060467518532e-13	1.0153301864421091e-17	9.784077437406594e-11	2.140125298990522e-12
9.760436871201706e-11	1.7317160369694586e-20	1.8641727739918553e-16	1.8641727739918553e-16	9.549683740992183e-15	9.549683740992186e-15	1.909936430510589e-12	6.128381457678769e-15	9.32088657929191e-19	1.021426151299538e-17	1.1185036870243907e-13	1.1185036870243905e-13	1.021426151299538e-17	9.784074087066124e-11	2.1401588297681297e-12
9.76042707587425e-11	1.7387216180454464e-20	1.864169158276631e-16	1.8641691582766314e-16	9.549671148778377e-15	9.549671148778377e-15	1.90993393743614e-12	6.1620496995740964e-15	9.320866687306774e-19	1.0270351899123631e-17	1.1185015157882129e-13	1.118501515788213e-13	1.027035189912363e-17	9.784071004339975e-11	2.1401896822160258e-12
9.760418062643366e-11	1.745167846461692e-20	1.864165831259193e-16	1.8641658312591932e-16	9.549659561980457e-15	9.549659561980457e-15	1.909931643419363e-12	6.193029738943107e-15	9.320848383600604e-19	1.0321963812091328e-17	1.1184995179149791e-13	1.1184995179149792e-13	1.0321963812091326e-17	9.784068167750434e-11	2.140218071286857e-12
9.760409769403741e-11	1.7510991397332916e-20	1.8641627700138184e-16	1.8641627700138184e-16	9.54964890075893e-15	9.54964890075893e-15	1.9099295326532065e-12	6.221535042683887e-15	9.3208315420467e-19	1.0369452882013538e-17	1.1184976796378163e-13	1.1184976796378166e-13	1.0369452882013536e-17	9.784065557752111e-11	2.1402441925942114e-12
9.760402138266115e-11	1.7565569000726836e-20	1.8641599531709384e-16	1.8641599531709384e-16	9.549639090694183e-15	9.549639090694185e-15	1.9099275904036717e-12	6.247764586400036e-15	9.320816045080218e-19	1.0413150596898171e-17	1.1184959881243013e-13	1.1184959881243015e-13	1.041315059689817e-17	9.784063156126467e-11	2.1402682284723292e-12
9.76039511659191e-11	1.761578774413931e-20	1.8641573612994857e-16	1.8641573612994857e-16	9.549630064116868e-15	9.54963006411687e-15	1.9099258032732116e-12	6.271899298137712e-15	9.320801785800903e-19	1.045335837800749e-17	1.1184944317060777e-13	1.1184944317060777e-13	1.0453358378007488e-17	9.78406094630742e-11	2.140290344717368e-12
9.760388655553388e-11	1.7661996841901148e-20	1.8641549763751843e-16	1.8641549763751838e-16	9.549621758256666e-15	9.549621758256668e-15	1.909924158834219e-12	6.294107007411051e-15	9.320788665047844e-19	1.049035582480144e-17	1.1184929995595726e-13	1.1184929995595729e-13	1.0490355824801439e-17	9.784058912928214e-11	2.1403106951224663e-12
9.760382710435399e-11	1.7704516095255993e-20	1.8641527818918549e-16	1.8641527818918541e-16	9.549614115630163e-15	9.549614115630164e-15	1.9099226457058174e-12	6.3145414080482706e-15	9.320776592011951e-19	1.0524398987067154e-17	1.1184916817728328e-13	1.1184916817728331e-13	1.0524398987067154e-17	9.784057041916376e-11	2.140329420527301e-12
9.760377240036555e-11	1.7743640175165513e-20	1.864150762640355e-16	1.864150762640355e-16	9.54960708327101e-15	9.549607083271011e-15	1.9099212534014417e-12	6.333344116472363e-15	9.320765483019788e-19	1.0555723793959253e-17	1.1184904692127759e-13	1.1184904692127758e-13	1.0555723793959254e-17	9.784055320305266e-11	2.1403466507042243e-12
9.760372206437808e-11	1.7779640277282804e-20	1.8641489046235388e-16	1.8641489046235395e-16	9.54960061243284e-15	9.549600612432841e-15	1.909919972270022e-12	6.350645467066522e-15	9.320755261065844e-19	1.0584547379057256e-17	1.1184893534741108e-13	1.11848935347411e-13	1.0584547379057259e-17	9.784053736161236e-11	2.1403625050872333e-12
9.76036757481407e-11	1.7812765469261867e-20	1.8641471949866893e-16	1.8641471949866893e-16	9.549594658347084e-15	9.549594658347082e-15	1.9099187934480285e-12	6.366565159679997e-15	9.320745855429805e-19	1.061106915909293e-17	1.1184883268375623e-13	1.1184883268375624e-13	1.061106915909293e-17	9.78405227852434e-11	2.1403770933653008e-12
9.760363313011471e-11	1.784324571450565e-20	1.8641456218605392e-16	1.8641456218605372e-16	9.54958917967844e-15	9.549589179678433e-15	1.9099177087516774e-12	6.3812137128190216e-15	9.320737200812439e-19	1.0635473254927368e-17	1.1184873821756484e-13	1.11848738217565e-13	1.0635473254927362e-17	9.784050937275313e-11	2.1403905168137536e-12
9.76035939158006e-11	1.7871291638281e-20	1.864144174373186e-16	1.864144174373186e-16	9.549584138566678e-15	9.549584138566676e-15	1.909916710685215e-12	6.394692351244147e-15	9.32072923740082e-19	1.0657928304291173e-17	1.1184865129598549e-13	1.118486512959855e-13	1.0657928304291173e-17	9.784049703145872e-11	2.1404028681912042e-12
9.760355783266682e-11	1.789709815405204e-20	1.8641428424649685e-16	1.8641428424649722e-16	9.549579499977275e-15	9.549579499977286e-15	1.9099157923123086e-12	6.407094748749726e-15	9.32072190985183e-19	1.0678590365208143e-17	1.118485713149333e-13	1.11848571314933e-13	1.0678590365208156e-17	9.784048567559059e-11	2.1404142333372457e-12
9.760352463208231e-11	1.7920843081040205e-20	1.8641416169608506e-16	1.8641416169608481e-16	9.549575231951166e-15	9.54957523195116e-15	1.909914947305467e-12	6.4185063637714826e-15	9.320715167691559e-19	1.0697601809135272e-17	1.118484977234292e-13	1.1184849772342928e-13	1.0697601809135266e-17	9.784047522690061e-11	2.1404246905639503e-12
9.76034940818538e-11	1.794269248270724e-20	1.8641404892909516e-16	1.8641404892909284e-16	9.549571304640415e-15	9.549571304640352e-15	1.909914169755209e-12	6.429007005029396e-15	9.320708963773744e-19	1.0715095595255052e-17	1.1184843000684446e-13	1.1184843000684604e-13	1.0715095595254975e-17	9.784046561231411e-11	2.140434313005669e-12
9.76034659725366e-11	1.7962796155678596e-20	1.8641394517154573e-16	1.8641394517154398e-16	9.549567691108974e-15	9.549567691108927e-15	1.9099134543288347e-12	6.4386686635669975e-15	9.320703255506157e-19	1.0731191658711609e-17	1.1184836770047098e-13	1.1184836770047225e-13	1.0731191658711549e-17	9.784045676591761e-11	2.1404431666298013e-12
9.760344010728253e-11	1.798129488641178e-20	1.8641384969635344e-16	1.8641384969635719e-16	9.549564366045264e-15	9.54956436604536e-15	1.9099127960151583e-12	6.447559000203332e-15	9.320698002881576e-19	1.0746002720611244e-17	1.1184831036773308e-13	1.1184831036773078e-13	1.0746002720611367e-17	9.784044862576112e-11	2.140451313436954e-12
9.760341630735322e-11	1.7998316503853053e-20	1.8641376184510877e-16	1.864137618451159e-16	9.549561306490359e-15	9.549561306490547e-15	1.9099121902681792e-12	6.455739448426383e-15	9.320693169699404e-19	1.0759631127493137e-17	1.1184825761313397e-13	1.1184825761312924e-13	1.0759631127493373e-17	9.784044113559055e-11	2.1404588097271303e-12
9.760339440811693e-11	1.8013978744676332e-20	1.8641368101255805e-16	1.864136810125536e-16	9.549558491313436e-15	9.549558491313337e-15	1.909911632903469e-12	6.463266591426878e-15	9.320688722700506e-19	1.0772171145431029e-17	1.1184820907300158e-13	1.1184820907300353e-13	1.0772171145430903e-17	9.784043424358928e-11	2.1404657073591953e-12
9.760337425677383e-11	1.8028390892163385e-20	1.8641360663419885e-16	1.864136066341711e-16	9.549555900864292e-15	9.549555900863603e-15	1.909911120030828e-12	6.470192949860697e-15	9.320684630816706e-19	1.0783710272426353e-17	1.1184816440841072e-13	1.1184816440842699e-13	1.0783710272425473e-17	9.784042790167004e-11	2.1404720544597306e-12
9.760335571503566e-11	1.804165187936753e-20	1.864135381896144e-16	1.8641353818960685e-16	9.549553517226139e-15	9.54955351722592e-15	1.9099106481068916e-12	6.476566070460584e-15	9.320680865234187e-19	1.0794327720063369e-17	1.1184812330782516e-13	1.1184812330783136e-13	1.0794327720063089e-17	9.784042206633095e-11	2.14047789456648e-12
9.760333865320455e-11	1.8053854484478668e-20	1.8641347519379095e-16	1.864134751938827e-16	9.549551323637142e-15	9.549551323639327e-15	1.909910213815631e-12	6.482430541863091e-15	9.320677399149154e-19	1.0804097771815637e-17	1.1184808548062771e-13	1.118480854805794e-13	1.0804097771818417e-17	9.784041669676647e-11	2.140483268518487e-12
9.760332295416718e-11	1.8065082369009815e-20	1.864134172469836e-16	1.8641341724706026e-16	9.549549305513742e-15	9.549549305515637e-15	1.9099098142551526e-12	6.487826570002951e-15	9.320674211251406e-19	1.0813087409671617e-17	1.1184805068327313e-13	1.1184805068322889e-13	1.0813087409674028e-17	9.784041175605548e-11	2.140488213266053e-12
9.760330850830794e-11	1.8075413880330663e-20	1.8641336396103103e-16	1.8641336396087733e-16	9.54954744900675e-15	9.549547449003284e-15	1.909909446675734e-12	6.492791807417268e-15	9.320671280550396e-19	1.082135936173681e-17	1.1184801868082866e-13	1.1184801868089878e-13	1.0821359361732402e-17	9.784040720966789e-11	2.1404927633669377e-12
9.760329521587152e-11	1.808492047661936e-20	1.8641331492980482e-16	1.8641331492945215e-16	9.549545740716498e-15	9.549545740708246e-15	1.9099091084444395e-12	6.497360597629252e-15	9.320668583770662e-19	1.0828970843420153e-17	1.1184798923400486e-13	1.1184798923418232e-13	1.0828970843409656e-17	9.784040302628497e-11	2.140496950166723e-12
9.760328298553612e-11	1.8093667769975628e-20	1.864132697163592e-16	1.8641326971647854e-16	9.54954416739919e-15	9.549544167401482e-15	1.9099087969904172e-12	6.501564476715307e-15	9.32066609448434e-19	1.0835974393035551e-17	1.1184796209226056e-13	1.1184796209222813e-13	1.0835974393038474e-17	9.784039917736505e-11	2.1405008022335085e-12
9.760327173209663e-11	1.8101716753411264e-20	1.864132279879391e-16	1.8641322798931375e-16	9.549542717832208e-15	9.549542717863021e-15	1.909908510100453e-12	6.505432758032219e-15	9.320663793977224e-19	1.0842418845857986e-17	1.1184793705783253e-13	1.118479370572157e-13	1.0842418845897195e-17	9.784039563612898e-11	2.140504346368919e-12
9.7603261377574e-11	1.810912244374362e-20	1.8641318970824324e-16	1.8641318970998357e-16	9.549541385856958e-15	9.54954138589635e-15	1.9099082464172163e-12	6.508991873410714e-15	9.320661686671774e-19	1.084834823645743e-17	1.1184791407758598e-13	1.1184791407678393e-13	1.0848348236507552e-17	9.784039237753204e-11	2.14050760763001e-12
9.760325184896068e-11	1.8115936958744073e-20	1.864131546401477e-16	1.8641315464111954e-16	9.54954016262186e-15	9.549540162644653e-15	1.909908004166219e-12	6.512266869032719e-15	9.32065976053811e-19	1.0853804291079118e-17	1.1184789300438808e-13	1.1184789300389583e-13	1.0853804291108121e-17	9.78403893785314e-11	2.140510609077335e-12
9.76032430805079e-11	1.812220745379669e-20	1.864131224968428e-16	1.8641312249624373e-16	9.549539038949171e-15	9.549539038937308e-15	1.909907781560236e-12	6.51528040899959e-15	9.320657998423567e-19	1.0858824767534935e-17	1.1184787367242964e-13	1.1184787367261134e-13	1.0858824767519837e-17	9.784038661852527e-11	2.140513371331012e-12
9.760323501331156e-11	1.812797678970617e-20	1.864130928162319e-16	1.8641309281500093e-16	9.549538003364492e-15	9.549538003338166e-15	1.909907576478488e-12	6.518053100629374e-15	9.32065636792187e-19	1.0863443997214135e-17	1.1184785583746077e-13	1.1184785583794253e-13	1.0863443997180636e-17	9.784038407947152e-11	2.140515912456122e-12
9.760322759047275e-11	1.8133285860329173e-20	1.8641306532152604e-16	1.8641306532111993e-16	9.549537047435641e-15	9.549537047426006e-15	1.9099073872989983e-12	6.520604599644026e-15	9.320654851623957e-19	1.0867694726064601e-17	1.1184783934336764e-13	1.1184783934357952e-13	1.086769472605234e-17	9.784038174360066e-11	2.1405182502389696e-12
9.760322076061166e-11	1.8138170881200878e-20	1.8641304000044953e-16	1.8641304000095223e-16	9.549536167523506e-15	9.549536167532643e-15	1.90990721317537e-12	6.522952304363095e-15	9.320653454631559e-19	1.0871605939103993e-17	1.1184782415602326e-13	1.1184782415591644e-13	1.0871605939115621e-17	9.784037959437785e-11	2.140520401221723e-12
9.760321447594547e-11	1.814266576927913e-20	1.8641301676255893e-16	1.8641301676333595e-16	9.549535358988587e-15	9.549535359003848e-15	1.9099070531200843e-12	6.5251125117135885e-15	9.320652175113004e-19	1.0875204786516298e-17	1.1184781020686904e-13	1.1184781020664036e-13	1.0875204786535722e-17	9.78403776165857e-11	2.1405223806310716e-12
9.760320869197341e-11	1.8146802204826295e-20	1.8641299549257568e-16	1.864129954925336e-16	9.549534617028334e-15	9.549534617028086e-15	1.909906906135643e-12	6.527100445003202e-15	9.320651008838183e-19	1.087851662988724e-17	1.1184779741736832e-13	1.1184779741734836e-13	1.0878516629886925e-17	9.784037579611442e-11	2.1405242025864094e-12
9.760320337049947e-11	1.8150608060913815e-20	1.86412975863706e-16	1.8641297586343455e-16	9.549533933321546e-15	9.549533933317564e-15	1.909906770743513e-12	6.528929507138915e-15	9.32064993019119e-19	1.0881563798232371e-17	1.118477856252008e-13	1.1184778562520555e-13	1.0881563798227299e-17	9.784037412133736e-11	2.1405258787309897e-12
9.760319847379241e-11	1.815411014659753e-20	1.8641295779541292e-16	1.8641295779510795e-16	9.549533303924515e-15	9.549533303919676e-15	1.909906646130562e-12	6.530612580270677e-15	9.320648936261396e-19	1.0884367752832182e-17	1.1184777477460105e-13	1.1184777477462674e-13	1.0884367752826019e-17	9.784037258026198e-11	2.140527421065267e-12
9.7603193967872e-11	1.815733280396338e-20	1.864129411490025e-16	1.8641294114903053e-16	9.549532724162825e-15	9.549532724163e-15	1.909906531390907e-12	6.532161363622243e-15	9.320648018546743e-19	1.0886947984290998e-17	1.1184776478592048e-13	1.1184776478593302e-13	1.0886947984291223e-17	9.784037116222487e-11	2.1405288402619832e-12
9.760318982196584e-11	1.8160297927949817e-20	1.8641292584933954e-16	1.8641292584943332e-16	9.549532191140568e-15	9.549532191141277e-15	1.9099064258721624e-12	6.533586377663129e-15	9.320647176339518e-19	1.0889322019386665e-17	1.1184775560018102e-13	1.1184775560021639e-13	1.088932201938757e-17	9.784036985744673e-11	2.140530146106258e-12
9.760318600697109e-11	1.8163026402936207e-20	1.8641291176569178e-16	1.864129117657624e-16	9.549531700729171e-15	9.549531700729728e-15	1.909906328772631e-12	6.5348976601120626e-15	9.32064640170072e-19	1.0891506580703836e-17	1.1184774714235817e-13	1.1184774714238358e-13	1.0891506580704546e-17	9.784036865681668e-11	2.140531347717203e-12
9.760318249657589e-11	1.8165537041691558e-20	1.8641289880255308e-16	1.864128988025447e-16	9.549531249516895e-15	9.549531249516897e-15	1.909906239423153e-12	6.536104252255456e-15	9.320645689135296e-19	1.0893516730783882e-17	1.1184773935593542e-13	1.118477393559287e-13	1.0893516730783885e-17	9.78403675520525e-11	2.140532453383876e-12
9.76031792666763e-11	1.8167847061750198e-20	1.8641288687756402e-16	1.8641288687753925e-16	9.549530834305302e-15	9.549530834305305e-15	1.9099061572131204e-12	6.537214428772072e-15	9.320645033231217e-19	1.0895366255023354e-17	1.118477321945003e-13	1.118477321944804e-13	1.0895366255023357e-17	9.784036653556189e-11	2.1405334707049858e-12
9.760317629442743e-11	1.816997279324541e-20	1.8641287590907298e-16	1.8641287590906384e-16	9.549530452214806e-15	9.549530452214806e-15	1.9099060815697985e-12	6.538236037670657e-15	9.320644429648678e-19	1.0897068227991658e-17	1.1184772560835986e-13	1.1184772560835253e-13	1.0897068227991658e-17	9.78403656001487e-11	2.1405344068824287e-12
9.760317356012284e-11	1.8171928358403235e-20	1.864128658155505e-16	1.8641286581553755e-16	9.549530100713001e-15	9.549530100713001e-15	1.909906011977608e-12	6.5391758660768305e-15	9.320643874386383e-19	1.0898633956857464e-17	1.1184771954706534e-13	1.1184771954705495e-13	1.0898633956857462e-17	9.784036473962489e-11	2.1405352681092775e-12
9.760317104448352e-11	1.817372753043786e-20	1.8641285653061543e-16	1.8641285653060718e-16	9.549529777321032e-15	9.54952977732103e-15	1.909905947952986e-12	6.540040533228205e-15	9.320643363528945e-19	1.0900074469092845e-17	1.118477139715757e-13	1.1184771397156905e-13	1.0900074469092841e-17	9.784036394791592e-11	2.1405360604650863e-12
9.760316872953318e-11	1.817538314777818e-20	1.8641284799371667e-16	1.8641284799375545e-16	9.549529479727416e-15	9.549529479727413e-15	1.9099058890468305e-12	6.540836209100595e-15	9.320642893425423e-19	1.0901400043711816e-17	1.1184770884653039e-13	1.1184770884656148e-13	1.090140004371181e-17	9.784036321935577e-11	2.14053678962048e-12
9.760316659914218e-11	1.8176906753834375e-20	1.8641284014297311e-16	1.8641284014308752e-16	9.549529205858885e-15	9.549529205858877e-15	1.909905834844846e-12	6.541568441388114e-15	9.320642460800467e-19	1.0902619923023617e-17	1.118477041343731e-13	1.1184770413446488e-13	1.090261992302361e-17	9.78403625488719e-11	2.140537460652111e-12
