DR	DRG	G_GDP	DRG_GTP	DRG_GDP	GDP	D	GTP	G_GTP	R
4.375713396308129e-13	4.805832524819135e-11	9.99879019002383e-07	4.289361305710858e-11	8.582259854577913e-12	3.685477907883665e-09	3.099990002823051e-05	9.996362580417373e-06	2.1446799455206582e-11	2.8230500494532365e-14
4.3757029808468994e-13	4.805841254302533e-11	9.998790190555492e-07	4.289350692116814e-11	8.58227980442678e-12	3.72837144840016e-09	3.0999900028230444e-05	9.99631968696415e-06	2.1446745180473422e-11	2.8230433298305023e-14
4.375692564980094e-13	4.805849983340286e-11	9.998790191084852e-07	4.289340078046204e-11	8.582299763541028e-12	3.771264882746209e-09	3.0999900028230376e-05	9.996276793617095e-06	2.1446691135745822e-11	2.8230366099369634e-14
4.3756821486759e-13	4.805858711895634e-11	9.998790191611732e-07	4.2893294634614984e-11	8.58231973266694e-12	3.814158210921025e-09	3.099990002823031e-05	9.996233900376205e-06	2.1446637338933086e-11	2.823029889751357e-14
4.3756717319025005e-13	4.805867439931814e-11	9.998790192135952e-07	4.28931884832517e-11	8.5823397125508e-12	3.857051432923825e-09	3.099990002823024e-05	9.996191007241483e-06	2.144658380794451e-11	2.823023169252421e-14
4.3756613146280833e-13	4.8058761674120665e-11	9.998790192657337e-07	4.289308232599692e-11	8.582359703938885e-12	3.899944548753819e-09	3.099990002823017e-05	9.996148114212927e-06	2.1446530560689387e-11	2.8230164484188926e-14
4.3756508968208334e-13	4.80588489429963e-11	9.998790193175702e-07	4.289297616247536e-11	8.582379707577482e-12	3.9428375584102245e-09	3.0999900028230105e-05	9.99610522129054e-06	2.1446477615077015e-11	2.823009727229509e-14
4.3756404784489357e-13	4.8058936205577427e-11	9.998790193690872e-07	4.289286999231174e-11	8.582399724212867e-12	3.9857304618922534e-09	3.099990002823004e-05	9.99606232847432e-06	2.1446424989016688e-11	2.8230030056630082e-14
4.3756300594805774e-13	4.805902346149645e-11	9.998790194202668e-07	4.2892763815130793e-11	8.582419754591326e-12	4.028623259199122e-09	3.099990002822997e-05	9.99601943576427e-06	2.144637270041771e-11	2.822996283698127e-14
4.3756196398839426e-13	4.805911071038575e-11	9.998790194710907e-07	4.289265763055723e-11	8.582439799459142e-12	4.071515950330041e-09	3.09999000282299e-05	9.995976543160387e-06	2.144632076718937e-11	2.8229895613136033e-14
4.3756092196272177e-13	4.805919795187772e-11	9.998790195215414e-07	4.2892551438215776e-11	8.582459859562592e-12	4.114408535284229e-09	3.0999900028229834e-05	9.995933650662676e-06	2.144626920724097e-11	2.822982838488174e-14
4.375598798678589e-13	4.805928518560474e-11	9.998790195716009e-07	4.2892445237731155e-11	8.58247993564796e-12	4.157301014060896e-09	3.0999900028229766e-05	9.995890758271133e-06	2.1446218038481808e-11	2.8229761152005764e-14
4.37558837700624e-13	4.8059372411199204e-11	9.998790196212512e-07	4.2892339028728086e-11	8.58250002846153e-12	4.20019338665926e-09	3.09999000282297e-05	9.99584786598576e-06	2.1446167278821173e-11	2.8229693914295486e-14
4.3755779545783584e-13	4.805945962829352e-11	9.998790196704744e-07	4.28922328108313e-11	8.58252013874958e-12	4.243085653078532e-09	3.099990002822963e-05	9.995804973806557e-06	2.1446116946168367e-11	2.8229626671538275e-14
4.375567531363129e-13	4.8059546836520047e-11	9.998790197192525e-07	4.2892126583665516e-11	8.582540267258392e-12	4.285977813317927e-09	3.099990002822956e-05	9.995762081733527e-06	2.1446067058432683e-11	2.8229559423521504e-14
4.3755571073287373e-13	4.8059634035511195e-11	9.998790197675677e-07	4.289202034685546e-11	8.582560414734252e-12	4.328869867376659e-09	3.09999000282295e-05	9.995719189766666e-06	2.1446017633523426e-11	2.8229492170032553e-14
4.3755466824433694e-13	4.805972122489935e-11	9.998790198154022e-07	4.2891914100025846e-11	8.582580581923437e-12	4.371761815253943e-09	3.0999900028229434e-05	9.99567629790598e-06	2.1445968689349882e-11	2.8229424910858793e-14
