ADPi	ATP	Cri	PCr	Pii	ATPi	PCri	Pi	ADP	Cr
57645.74606886887	0.08217040491152632	155996.80260716865	0.14578502377007108	73796.65099808053	554.2539311271366	3.1973928311058977	6170.263517734768	4849.917829595403	12999.854214976212
57645.74606886747	0.0821704049118379	155996.8026071686	0.1457850237738192	73796.65099807916	554.2539311291772	3.1973928311703252	6170.263517734704	4849.91782959535	12999.854214976209
57645.74606886595	0.0821704049121753	155996.80260716853	0.14578502377790112	73796.65099807766	554.2539311313865	3.1973928312404656	6170.263517734634	4849.9178295952925	12999.854214976205
57645.746068864304	0.08217040491253855	155996.80260716844	0.1457850237823169	73796.65099807606	554.2539311337648	3.1973928313163196	6170.263517734558	4849.917829595231	12999.854214976202
57645.74606886254	0.08217040491292764	155996.80260716839	0.14578502378706645	73796.65099807433	554.2539311363118	3.197392831397886	6170.263517734477	4849.917829595165	12999.854214976198
57645.746068860666	0.08217040491334258	155996.8026071683	0.14578502379214983	73796.65099807251	554.2539311390278	3.197392831485166	6170.263517734391	4849.917829595095	12999.85421497619
57645.7460688528	0.0821704049151085	155996.80260716792	0.14578502381270944	73796.65099806472	554.2539311506056	3.1973928318393137	6170.263517734024	4849.917829594783	12999.85421497617
57645.74606885327	0.08217040491500302	155996.80260716795	0.14578502381150213	73796.65099806518	554.2539311499137	3.197392831818494	6170.263517734048	4849.917829594801	12999.85421497617
57645.74606885373	0.08217040491489752	155996.80260716798	0.14578502381029482	73796.65099806566	554.2539311492217	3.197392831797674	6170.26351773407	4849.91782959482	12999.854214976172
57645.74606885419	0.08217040491479204	155996.80260716798	0.14578502380908748	73796.65099806612	554.2539311485298	3.1973928317768543	6170.263517734092	4849.9178295948395	12999.854214976172
57645.746068854656	0.08217040491468655	155996.802607168	0.14578502380788017	73796.65099806659	554.2539311478379	3.1973928317560345	6170.263517734112	4849.9178295948595	12999.854214976172
57645.74606885513	0.08217040491458107	155996.80260716804	0.14578502380667285	73796.65099806705	554.2539311471459	3.1973928317352147	6170.2635177341335	4849.917829594878	12999.854214976176
57645.74606885559	0.08217040491447557	155996.80260716807	0.1457850238054655	73796.65099806752	554.253931146454	3.197392831714395	6170.263517734157	4849.917829594898	12999.854214976176
57645.74606885605	0.08217040491437007	155996.80260716807	0.1457850238042582	73796.65099806798	554.2539311457618	3.1973928316935747	6170.263517734179	4849.917829594916	12999.854214976178
57645.74606885651	0.0821704049142646	155996.8026071681	0.1457850238030509	73796.65099806845	554.2539311450699	3.1973928316727553	6170.263517734201	4849.917829594936	12999.854214976178
57645.74606885698	0.0821704049141591	155996.80260716812	0.14578502380184358	73796.65099806892	554.2539311443779	3.197392831651935	6170.263517734221	4849.917829594955	12999.85421497618
57645.74606885744	0.0821704049140536	155996.80260716815	0.14578502380063627	73796.65099806938	554.253931143686	3.1973928316311153	6170.263517734243	4849.917829594974	12999.85421497618
57645.74606885791	0.08217040491394813	155996.80260716818	0.14578502379942895	73796.65099806985	554.253931142994	3.1973928316102955	6170.263517734266	4849.917829594992	12999.854214976183
57645.746068858374	0.08217040491384263	155996.80260716818	0.1457850237982216	73796.65099807031	554.2539311423021	3.1973928315894753	6170.263517734288	4849.917829595011	12999.854214976183
57645.74606885884	0.08217040491373713	155996.8026071682	0.1457850237970143	73796.65099807078	554.2539311416101	3.197392831568656	6170.26351773431	4849.9178295950305	12999.854214976185
57645.7460688593	0.08217040491363163	155996.80260716824	0.145785023795807	73796.65099807124	554.2539311409182	3.1973928315478357	6170.26351773433	4849.9178295950505	12999.854214976185
57645.746068859764	0.08217040491352616	155996.80260716827	0.14578502379459965	73796.65099807171	554.2539311402263	3.1973928315270164	6170.263517734352	4849.917829595069	12999.854214976187
57645.746068859924	0.0821704049134879	155996.8026071683	0.14578502379416167	73796.65099807188	554.2539311399753	3.1973928315194637	6170.263517734359	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348782	155996.8026071683	0.14578502379416045	73796.65099807188	554.2539311399748	3.197392831519443	6170.263517734359	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348775	155996.8026071683	0.14578502379415922	73796.65099807188	554.2539311399743	3.1973928315194224	6170.263517734359	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348765	155996.8026071683	0.145785023794158	73796.65099807188	554.2539311399737	3.1973928315194016	6170.263517734359	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348758	155996.8026071683	0.1457850237941568	73796.65099807188	554.2539311399731	3.1973928315193807	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.0821704049134875	155996.8026071683	0.1457850237941556	73796.65099807188	554.2539311399726	3.1973928315193603	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348741	155996.8026071683	0.14578502379415437	73796.65099807188	554.2539311399721	3.1973928315193394	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348733	155996.8026071683	0.14578502379415315	73796.65099807188	554.2539311399717	3.197392831519319	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348725	155996.8026071683	0.14578502379415192	73796.65099807188	554.2539311399711	3.197392831519298	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348718	155996.8026071683	0.1457850237941507	73796.65099807188	554.2539311399705	3.1973928315192772	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348708	155996.8026071683	0.1457850237941495	73796.65099807188	554.25393113997	3.197392831519257	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.082170404913487	155996.8026071683	0.1457850237941483	73796.65099807188	554.2539311399695	3.197392831519236	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348693	155996.8026071683	0.14578502379414707	73796.65099807188	554.2539311399689	3.1973928315192155	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348683	155996.8026071683	0.14578502379414585	73796.65099807188	554.2539311399684	3.197392831519195	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348677	155996.8026071683	0.14578502379414462	73796.65099807188	554.2539311399678	3.1973928315191746	6170.263517734361	4849.917829595076	12999.85421497619
57645.74606885993	0.08217040491348668	155996.8026071683	0.1457850237941434	73796.65099807188	554.2539311399673	3.1973928315191538	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885993	0.0821704049134866	155996.8026071683	0.1457850237941422	73796.65099807188	554.2539311399669	3.197392831519133	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885993	0.08217040491348652	155996.8026071683	0.145785023794141	73796.65099807188	554.2539311399663	3.1973928315191125	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348643	155996.8026071683	0.14578502379413977	73796.65099807188	554.2539311399657	3.1973928315190916	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348636	155996.8026071683	0.14578502379413857	73796.65099807188	554.2539311399652	3.197392831519071	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348628	155996.8026071683	0.14578502379413735	73796.65099807188	554.2539311399647	3.1973928315190503	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348618	155996.8026071683	0.14578502379413613	73796.65099807188	554.2539311399642	3.1973928315190294	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348611	155996.8026071683	0.1457850237941349	73796.65099807188	554.2539311399636	3.197392831519009	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348603	155996.8026071683	0.1457850237941337	73796.65099807188	554.2539311399631	3.197392831518988	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348596	155996.8026071683	0.14578502379413247	73796.65099807188	554.2539311399626	3.1973928315189677	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348586	155996.8026071683	0.14578502379413125	73796.65099807188	554.2539311399621	3.197392831518947	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348578	155996.8026071683	0.14578502379413003	73796.6509980719	554.2539311399615	3.197392831518927	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.0821704049134857	155996.8026071683	0.1457850237941288	73796.6509980719	554.253931139961	3.197392831518906	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348561	155996.8026071683	0.1457850237941276	73796.6509980719	554.2539311399604	3.197392831518885	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348555	155996.8026071683	0.1457850237941264	73796.6509980719	554.2539311399598	3.1973928315188647	6170.263517734361	4849.917829595077	12999.85421497619
57645.74606885994	0.08217040491348546	155996.8026071683	0.14578502379412517	73796.6509980719	554.2539311399594	3.197392831518844	6170.263517734361	4849.917829595077	12999.85421497619
