LIP	HFE	TfR	TfR2	FT	HFE-TfR	Tf-Fe-TfR2	Tf-Fe-TfR1	Heme	FT1	Fpn	IRP	Hamp	HO-1	2HFE-TfR2	2HFE-TfR	Fe-FT	2(Tf-Fe)-TfR2	2(Tf-Fe)-TfR1	Values[Fe2GutQUant]
2.368163204956593e-05	7.481790683013438e-08	2.8312789295525384e-08	5.338263178899407e-07	1.754950497705681e-11	1.928938986671379e-08	1.7255568530542522e-06	1.9648144852140628e-07	5.367137902918122e-09	1.174089765863875e-06	9.111104272938286e-09	1.1598755875332324e-06	4.9961687717890455e-09	3.5606387772154305e-11	4.0000406636584215e-08	1.300364427300751e-08	1.4951499025223971e-10	7.008183761902236e-07	1.4294198223336446e-07	1e-07
2.6156513616699134e-05	7.150086363321813e-08	2.8275700139099656e-08	5.33682162470744e-07	1.6058776828665436e-11	1.951442973741983e-08	1.7249655745588228e-06	1.9612066865065696e-07	5.367118083647304e-09	1.1868225928080288e-06	9.92171070721849e-09	1.1598586086032008e-06	4.996076613994094e-09	3.560705174863972e-11	4.104982073207726e-08	1.3506216014571797e-08	1.5111256017232079e-10	7.005253099659165e-07	1.426152137808364e-07	1e-07
2.8570318732126984e-05	6.857942640179274e-08	2.824527185496642e-08	5.335537220215103e-07	1.4831798939011767e-11	1.9709991362915666e-08	1.7244181824710639e-06	1.9581879520957793e-07	5.3670977063367816e-09	1.1974395639695313e-06	1.0732225802276441e-08	1.1598414966542682e-06	4.995985594483693e-09	3.5607715702752324e-11	4.200321198189808e-08	1.3921762591152049e-08	1.5244639695233753e-10	7.002685829564473e-07	1.423393813131753e-07	1e-07
3.0918545529725476e-05	6.599880256865413e-08	2.822072011892545e-08	5.334366932837416e-07	1.3807074943449882e-11	1.987938357425818e-08	1.7239148302525811e-06	1.9556863857912228e-07	5.36707720991133e-09	1.2064369277763436e-06	1.1542649592403997e-08	1.1598242755657117e-06	4.9958957645125335e-09	3.5608379634477814e-11	4.287528153333011e-08	1.4261320401933304e-08	1.5357799418176965e-10	7.00037651066849e-07	1.4210811355896094e-07	1e-07
3.319707140601815e-05	6.371279496184344e-08	2.820135418575935e-08	5.333278283128452e-07	1.2940885215080717e-11	2.0025225952272587e-08	1.7234517806515967e-06	1.953639721018891e-07	5.367056688584579e-09	1.2141667105070476e-06	1.2352982108942968e-08	1.1598069635724863e-06	4.995807157573098e-09	3.560904354381368e-11	4.3678032435600854e-08	1.453467136558408e-08	1.545510693366204e-10	6.998275026291424e-07	1.4191592643437997e-07	1e-07
3.540212993295448e-05	6.168224508705343e-08	2.8186565724201596e-08	5.332253962093302e-07	1.2201310743492689e-11	2.0149663398456177e-08	1.7230240994138706e-06	1.9519937019996814e-07	5.367036162580398e-09	1.2208854465873953e-06	1.3163223380914459e-08	1.1597895749186851e-06	4.99571979721015e-09	3.5609707430759984e-11	4.442133564305092e-08	1.4750447942651754e-08	1.5539753972593878e-10	6.996349371415185e-07	1.4175807649737698e-07	1e-07
3.7530296860062365e-05	5.987380143486078e-08	2.8175817965822203e-08	5.331284344112965e-07	1.1564513532590681e-11	2.0254510140962394e-08	1.7226270775854653e-06	1.9507008473508248e-07	5.367015636239227e-09	1.2267844194323794e-06	1.3973373435469396e-08	1.1597721209477932e-06	4.995633700436697e-09	3.561037129531735e-11	4.511336295148898e-08	1.4916243997704065e-08	1.5614124197625952e-10	6.994574588841478e-07	1.4163044057076885e-07	1e-07
3.957848282862935e-05	5.825893723231651e-08	2.8168636323718994e-08	5.330362925648495e-07	1.1012338855595249e-11	2.034134630585064e-08	1.7222566401175833e-06	1.9497194585075536e-07	5.366995110492462e-09	1.2320091084951848e-06	1.478343229821983e-08	1.1597546108450833e-06	4.99554887967308e-09	3.561103513748648e-11	4.5760920870502916e-08	1.5038723724073943e-08	1.5680032969495284e-10	6.992929906938252e-07	1.4152941878565345e-07	1e-07
4.1543930082467896e-05	5.681315978289648e-08	2.8164600438202102e-08	5.329484533347573e-07	1.053072238872247e-11	2.0411582478855287e-08	1.7219093531719986e-06	1.9490128083081128e-07	5.366974585539963e-09	1.2366720805614019e-06	1.5593399993487975e-08	1.1597370521573468e-06	4.995465344098944e-09	3.561169895726816e-11	4.636971070906541e-08	1.512372456938199e-08	1.573888662784763e-10	6.991397858630193e-07	1.414518561901782e-07	1e-07
4.342421108855352e-05	5.551536871307442e-08	2.8163337426505316e-08	5.328644747771912e-07	1.0108604092516282e-11	2.0466502605766006e-08	1.7215823298265476e-06	1.9485484691670467e-07	5.3669540614246055e-09	1.2408617633636862e-06	1.640327654449694e-08	1.1597194511654827e-06	4.995383100665545e-09	3.5612362754663117e-11	4.694453299853075e-08	1.5176352204520522e-08	1.5791791098884048e-10	6.989963757212075e-07	1.4139497881336096e-07	1e-07
4.5217227708096415e-05	5.43473312871889e-08	2.816451612457295e-08	5.32783971946324e-07	9.737170402609398e-12	2.0507292245228992e-08	1.7212731321866042e-06	1.9482977517660378e-07	5.366933538155556e-09	1.2446485576684652e-06	1.7213061973518964e-08	1.1597018131571528e-06	4.995302154855496e-09	3.5613026529672125e-11	4.748944940823761e-08	1.520106679300017e-08	1.5839627673159308e-10	6.988615240688495e-07	1.4135634103227286e-07	1e-07
4.692121006463822e-05	5.329324991393819e-08	2.816784213763534e-08	5.327066084570059e-07	9.40931460615047e-12	2.0535056990489736e-08	1.7209796905828297e-06	1.9482352315160454e-07	5.366913015734759e-09	1.2480891829137053e-06	1.802275630199259e-08	1.1596841426302357e-06	4.9952225112449646e-09	3.56136902822959e-11	4.80079120836207e-08	1.520176066057458e-08	1.588310696558205e-10	6.987341871345558e-07	1.413337817840597e-07	1e-07
4.853471463081369e-05	5.2339404165363846e-08	2.8173053571480663e-08	5.326320902203298e-07	9.119245570706419e-12	2.0550834304929525e-08	1.7207002396201944e-06	1.9483383469326244e-07	5.366892494162591e-09	1.2512298241220623e-06	1.883235955061593e-08	1.1596664434468004e-06	4.9951441739112445e-09	3.5614354012535244e-11	4.850286743252456e-08	1.5181827556426155e-08	1.5922808040723692e-10	6.986134800501875e-07	1.413253879005713e-07	1e-07
5.005662123482653e-05	5.1473851816688135e-08	2.8179917319442563e-08	5.325601598819382e-07	8.862199329905286e-12	2.0555601065358238e-08	1.7204332671225912e-06	1.9485870555742992e-07	5.366871973439111e-09	1.2541084490980443e-06	1.9641871739422e-08	1.1596487189517124e-06	4.9950671467234045e-09	3.561501772039087e-11	4.89768401913571e-08	1.51442242727953e-08	1.5959207252855297e-10	6.98498649440079e-07	1.4132946306474862e-07	1e-07
5.148612882891479e-05	5.068617850600999e-08	2.8188225826571192e-08	5.324905918900053e-07	8.63422331990366e-12	2.0550278327546487e-08	1.7201774729600342e-06	1.948963538220749e-07	5.366851453564287e-09	1.2567565397407119e-06	2.045129288784007e-08	1.1596309720649039e-06	4.99499143354373e-09	3.561568140586359e-11	4.943200173178543e-08	1.509152510543173e-08	1.5992699821204074e-10	6.983890512511147e-07	1.4134450140276556e-07	1e-07
5.282274995015222e-05	4.996728663514213e-08	2.8197794252410027e-08	5.324231881986307e-07	8.432012799515617e-12	2.0535734383075846e-08	1.7199317354310759e-06	1.9494519425916124e-07	5.366830934538088e-09	1.2592004035922105e-06	2.1260623014745907e-08	1.159613205354189e-06	4.994917038362793e-09	3.561634506895412e-11	4.987022599511897e-08	1.5025969922281583e-08	1.6023616187069133e-10	6.982841327593805e-07	1.4136916482393125e-07	1e-07
5.40663038486358e-05	4.9309216456376916e-08	2.820845797292654e-08	5.323577745680417e-07	8.25278528736577e-12	2.0512786812126773e-08	1.71969508359798e-06	1.9500381600721742e-07	5.366810416360475e-09	1.2614621797223987e-06	2.206986213850339e-08	1.1595954210933505e-06	4.994843965384868e-09	3.5617008709663225e-11	5.029313556020043e-08	1.494950650966753e-08	1.6052234569406645e-10	6.981834178895447e-07	1.4140226344730535e-07	1e-07
5.521690832531668e-05	4.870499421220516e-08	2.8220070380236696e-08	5.322941973975843e-07	8.094183115798682e-12	2.048220399710201e-08	1.719466674452131e-06	1.9507096308484042e-07	5.366789899031405e-09	1.2635606185922274e-06	2.287901027699903e-08	1.159577621308808e-06	4.9947722190764504e-09	3.561767232799165e-11	5.070213967554331e-08	1.486382769910997e-08	1.607879070887359e-10	6.980864952034592e-07	1.414427386480932e-07	1e-07
5.627497027836831e-05	4.8148502190578916e-08	2.8232500930804315e-08	5.322323210071606e-07	7.954196976404027e-12	2.044470641062834e-08	1.7192457738921784e-06	1.9514551724252625e-07	5.366769382550838e-09	1.2655116935012933e-06	2.3688067447670917e-08	1.1595598078176099e-06	4.994701804187611e-09	3.561833592394017e-11	5.109846594206177e-08	1.47704040001379e-08	1.6103485512812676e-10	6.979930079741573e-07	1.414896482368598e-07	1e-07
5.7241175107875814e-05	4.763436760952156e-08	2.824563341794124e-08	5.321720253048686e-07	7.831105398915675e-12	2.0400967852648443e-08	1.7190317408721074e-06	1.9522648288717932e-07	5.366748866918731e-09	1.2673290843031872e-06	2.4497033667533006e-08	1.1595419822584932e-06	4.994632725753667e-09	3.5618999497509537e-11	5.1483186720636777e-08	1.4670512120479822e-08	1.6126491106982383e-10	6.979026459764429e-07	1.4154215350528423e-07	1e-07
5.811647500603096e-05	4.71578669988869e-08	2.825936443461926e-08	5.321132037791496e-07	7.723426393837384e-12	2.0351616753494337e-08	1.7188240140928863e-06	1.953129737452161e-07	5.366728352135045e-09	1.2690245637555442e-06	2.5305908953195596e-08	1.1595241461175436e-06	4.9945649890826524e-09	3.561966304870049e-11	5.185724130499418e-08	1.4565259940626175e-08	1.6147955670979078e-10	6.978151386421092e-07	1.4159950782264608e-07	1e-07
5.890207622833994e-05	4.671484376243496e-08	2.827360200472359e-08	5.320557617664615e-07	7.629878500170762e-12	2.0297237599144784e-08	1.7186221007966794e-06	1.9540420104453457e-07	5.36670783819974e-09	1.270608308385477e-06	2.611469332088274e-08	1.1595063007495258e-06	4.994498599732893e-09	3.562032657751382e-11	5.2221454595746397e-08	1.4455608337103112e-08	1.6168007333200987e-10	6.977302493342099e-07	1.416610465741018e-07	1e-07
5.9599425496873266e-05	4.63016370055814e-08	2.828826436447008e-08	5.31999614957651e-07	7.549349132473933e-12	2.023837248934086e-08	1.718425567305231e-06	1.954994630354462e-07	5.366687325112771e-09	1.2720891509775579e-06	2.6923386786447023e-08	1.1594884473957037e-06	4.994433563483912e-09	3.562099008395025e-11	5.25765528700685e-08	1.4342390211861413e-08	1.61867573359216e-10	6.976477705413983e-07	1.417261782708552e-07	1e-07
6.021019555926949e-05	4.59150196298174e-08	2.830327887062727e-08	5.319446880986429e-07	7.480868730679607e-12	2.0175522838534813e-08	1.7182340309628278e-06	1.955981356334871e-07	5.366666812874102e-09	1.2734747865817492e-06	2.773198936538223e-08	1.159470587198901e-06	4.994369886303029e-09	3.562165356801054e-11	5.292317721478416e-08	1.422632715437135e-08	1.620430262012069e-10	6.975675198087877e-07	1.4179437663609971e-07	1e-07
6.0736270167109004e-05	4.555214498695041e-08	2.8318581032573233e-08	5.318909138745663e-07	7.42358951065431e-12	2.0109151182396816e-08	1.718047153329975e-06	1.956996641456911e-07	5.366646301483688e-09	1.274771942593396e-06	2.854050107283406e-08	1.1594527212161431e-06	4.99430757430971e-09	3.562231702969546e-11	5.326189487435365e-08	1.4108043856973342e-08	1.6220727950270735e-10	6.974893363186804e-07	1.4186517362484556e-07	1e-07
6.117972840781224e-05	4.5210500113377285e-08	2.8334113640655342e-08	5.318382319324956e-07	7.376767669304975e-12	2.003968308931928e-08	1.7178646343266832e-06	1.958035558365279e-07	5.366625790941491e-09	1.2759865191711606e-06	2.9348921923609545e-08	1.1594348504294972e-06	4.99424663373868e-09	3.5622980469005756e-11	5.3593209019107455e-08	1.398808076813428e-08	1.6236107693690715e-10	6.974130779620133e-07	1.4193815316487264e-07	1e-07
6.15428286734013e-05	4.488786518876538e-08	2.8349825990839176e-08	5.317865880362693e-07	7.339748784258418e-12	1.9967509126253447e-08	1.7176862072432428e-06	1.959093733261564e-07	5.366605281247468e-09	1.2771237067199327e-06	3.01572519321849e-08	1.1594169757552835e-06	4.994187070903117e-09	3.5623643885942184e-11	5.3917567067789275e-08	1.386690505268371e-08	1.6250507280462675e-10	6.973386188551428e-07	1.420129456077629e-07	1e-07
6.18279922503471e-05	4.458227803824368e-08	2.836567318877837e-08	5.317359333282681e-07	7.311955389749187e-12	1.9892986871732945e-08	1.7175116344428192e-06	1.96016728672752e-07	5.366584772401577e-09	1.2781880842028437e-06	3.096549111271257e-08	1.1593990980520053e-06	4.994128892158497e-09	3.562430728050551e-11	5.423536785752927e-08	1.3744920159818578e-08	1.6263984445743293e-10	6.972658472098028e-07	1.4208922276148114e-07	1e-07
6.203778674192016e-05	4.42920031827842e-08	2.8381615528744563e-08	5.316862236870633e-07	7.292876552738278e-12	1.9816442933784525e-08	1.7173407036710735e-06	1.9612527809648025e-07	5.366564264403779e-09	1.2791837021730316e-06	3.177363947902715e-08	1.1593812181271586e-06	4.9940721038677615e-09	3.562497065269648e-11	5.4546967802365384e-08	1.3622474126531089e-08	1.6276590272066195e-10	6.971946635110605e-07	1.4216669346613645e-07	1e-07
6.217490938069498e-05	4.4015504714617255e-08	2.8397617937038606e-08	5.316374191663785e-07	7.282058999262521e-12	1.9738174958080525e-08	1.7171732248671484e-06	1.9623471725456693e-07	5.3665437572540335e-09	1.2801141532629423e-06	3.258169704465068e-08	1.1593633367431285e-06	4.994016712368026e-09	3.5625634002515854e-11	5.4852686215584484e-08	1.3499866810017826e-08	1.6288370076632675e-10	6.971249789483052e-07	1.422450996349414e-07	1e-07
6.224217036405045e-05	4.3751422565772614e-08	2.8413649474558513e-08	5.315894835048539e-07	7.279099583340638e-12	1.9658453601489433e-08	1.7170090274103907e-06	1.9634477702041486e-07	5.366523250952299e-09	1.2809826322438244e-06	3.33896638227971e-08	1.15934545462229e-06	4.99396272393923e-09	3.562629732996439e-11	5.515280990620617e-08	1.3377356167082686e-08	1.6299364164356593e-10	6.97056714065141e-07	1.4232421271957468e-07	1e-07
6.224247630400674e-05	4.349855167700003e-08	2.8429682891325043e-08	5.31542383697183e-07	7.283638768052575e-12	1.957752445572997e-08	1.716847957732434e-06	1.9645521970456044e-07	5.366502745498532e-09	1.2817919876585122e-06	3.4197539826376376e-08	1.159327572451439e-06	4.993910144774776e-09	3.562696063504283e-11	5.544759716568981e-08	1.3255163718423249e-08	1.630960847970038e-10	6.969897975919745e-07	1.4240383054675868e-07	1e-07
6.217881389861925e-05	4.325582371670306e-08	2.8445694227994145e-08	5.314960896183512e-07	7.295355039518297e-12	1.949560990603615e-08	1.7166898772452608e-06	1.9656583567453286e-07	5.3664822408926965e-09	1.2825447662554744e-06	3.500532506799791e-08	1.1593096908856552e-06	4.993858980954283e-09	3.562762391775194e-11	5.5737281227975574e-08	1.313347929738263e-08	1.6319135165228254e-10	6.969241654358804e-07	1.4248377448946992e-07	1e-07
6.205423391438535e-05	4.3022291027792934e-08	2.8461662459521335e-08	5.314505736944395e-07	7.313960021421021e-12	1.9412910913759927e-08	1.716534660540605e-06	1.9667644033210157e-07	5.366461737134748e-09	1.2832432515512524e-06	3.581301955997375e-08	1.1592918105516592e-06	4.993809238418491e-09	3.5628287178092474e-11	5.602207327674814e-08	1.301246517582685e-08	1.6327973050111314e-10	6.968597598050687e-07	1.4256388693754616e-07	1e-07
6.187183555674321e-05	4.279711249345337e-08	2.8477569175953612e-08	5.314058106133376e-07	7.339194311577385e-12	1.9329608718936508e-08	1.7163821938197889e-06	1.9678687140500333e-07	5.366441234224645e-09	1.2838894974063817e-06	3.6620623314321416e-08	1.159273932050748e-06	4.993760922946327e-09	3.562895041606519e-11	5.630216506825746e-08	1.289225965527123e-08	1.6336148066433356e-10	6.967965284472243e-07	1.426440290314737e-07	1e-07
6.163475133910337e-05	4.257954114441486e-08	2.8493398298030495e-08	5.31361777071629e-07	7.370823708108104e-12	1.9245866445438662e-08	1.7162323735290896e-06	1.9689698653347612e-07	5.366420732162347e-09	1.2844853574435076e-06	3.7428136342766354e-08	1.1592560559613477e-06	4.993714040133991e-09	3.562961363167085e-11	5.6577731211096376e-08	1.277298017922304e-08	1.6343683626541425e-10	6.967344239889801e-07	1.4272407864275382e-07	1e-07
6.134613250503404e-05	4.2368913219749783e-08	2.8509135822187864e-08	5.313184515514927e-07	7.408635976104816e-12	1.916183062023331e-08	1.7160851051649824e-06	1.9700666110553636e-07	5.366400230947816e-09	1.2850325109268444e-06	3.823555865674426e-08	1.159238182841242e-06	4.993668595376178e-09	3.56302768249102e-11	5.684893116248894e-08	1.2654726045391902e-08	1.6350600946350924e-10	6.966734033588156e-07	1.4280392856215223e-07	1e-07
6.1009134967930114e-05	4.216463847854675e-08	2.8524769591446924e-08	5.312758141233614e-07	7.45243796821151e-12	1.90776326050101e-08	1.7159403022239018e-06	1.9711578631126697e-07	5.366379730581009e-09	1.2855324855779924e-06	3.904289026740319e-08	1.159220313229526e-06	4.993624593849089e-09	3.5630939995783993e-11	5.711591098338925e-08	1.2537580777627592e-08	1.635691933326275e-10	6.96613427280716e-07	1.4288348487095385e-07	1e-07
6.0626906096891405e-05	4.1966191787988416e-08	2.8540289093681975e-08	5.312338462748169e-07	7.502053052126925e-12	1.899338991486804e-08	1.7157978852966642e-06	1.9722426742891878e-07	5.3663592310618846e-09	1.2859866779311998e-06	3.9850131185605474e-08	1.159202447648276e-06	4.993582040495525e-09	3.5631603144292984e-11	5.7378804851969764e-08	1.2421614157907498e-08	1.6362656443391968e-10	6.965544598384027e-07	1.4296266550591685e-07	1e-07
6.02025720620222e-05	4.177310557921758e-08	2.8555685278418423e-08	5.311925307574056e-07	7.557318837317955e-12	1.8909207463874497e-08	1.7156577812612127e-06	1.9733202226772224e-07	5.3663387323904004e-09	1.2863963713861288e-06	4.0657281421929595e-08	1.1591845866040207e-06	4.993540940011546e-09	3.563226627043794e-11	5.763773641289144e-08	1.230688402532866e-08	1.6367828508877952e-10	6.964964680874263e-07	1.430413989551099e-07	1e-07
5.9739226026417504e-05	4.1584963262331136e-08	2.857095039489213e-08	5.31151851452848e-07	7.618085141336894e-12	1.8825178709551455e-08	1.715519922582218e-06	1.974389797907156e-07	5.366318234566519e-09	1.2867627524175643e-06	4.146434098667188e-08	1.1591667305889976e-06	4.9935012968349205e-09	3.5632929374219606e-11	5.789281994828735e-08	1.219343782448854e-08	1.637245054123689e-10	6.96439421719192e-07	1.4311962310415523e-07	1e-07
5.9239917102017334e-05	4.1401393389606235e-08	2.8586077846885574e-08	5.311117932546565e-07	7.684212047294583e-12	1.8741386713809517e-08	1.7153842466933252e-06	1.9754507887966172e-07	5.366297737590197e-09	1.2870869250431763e-06	4.2271309889848224e-08	1.159148880082231e-06	4.9934631151350825e-09	3.5633592455638756e-11	5.814416141054006e-08	1.2081313959834242e-08	1.637653652560101e-10	6.963832927650455e-07	1.4319728420119024e-07	1e-07
5.870764014362895e-05	4.122206449640754e-08	2.8601062063015925e-08	5.310723419634574e-07	7.755568503937897e-12	1.8657905122102394e-08	1.7152506954536794e-06	1.976502672308157e-07	5.366277241461396e-09	1.287369924051e-06	4.3078188141195665e-08	1.1591310355504523e-06	4.993426398804629e-09	3.563425551469612e-11	5.83918593310634e-08	1.197054297615074e-08	1.6380099560699388e-10	6.96328055336293e-07	1.4327433593116723e-07	1e-07
5.814532635879779e-05	4.1046680560579203e-08	2.861589838142185e-08	5.310334841948962e-07	7.832030562954131e-12	1.857479905900335e-08	1.7151192146716778e-06	1.9775450037280202e-07	5.36625674618007e-09	1.2876127266499595e-06	4.388497575017394e-08	1.1591131974488707e-06	4.993391151452074e-09	3.563491855139246e-11	5.863600561674929e-08	1.1861148584014919e-08	1.6383152035118084e-10	6.962736853966723e-07	1.4335073859225658e-07	1e-07
5.75558348076539e-05	4.087497698211666e-08	2.863058294668912e-08	5.30995207298048e-07	7.913480173629808e-12	1.8492125951317395e-08	1.7149897536847572e-06	1.978577407882181e-07	5.366236251746182e-09	1.2878162632228088e-06	4.469167272596719e-08	1.1590953662218106e-06	4.993357376395976e-09	3.5635581565728545e-11	5.8876686252786386e-08	1.1753148555044087e-08	1.638570574782642e-10	6.962201605618539e-07	1.434264583589557e-07	1e-07
5.694194468721987e-05	4.0706717003955665e-08	2.8645112617276123e-08	5.309574992827222e-07	7.999803932040503e-12	1.8409936285948457e-08	1.7148622649865232e-06	1.9795995712429206e-07	5.366215758159691e-09	1.2879814269279368e-06	4.549827907748543e-08	1.1590775423032404e-06	4.993325076660193e-09	3.563624455770512e-11	5.9113981926390246e-08	1.1646555508358522e-08	1.6387772033251692e-10	6.961674599217391e-07	1.435014666196736e-07	1e-07
5.630634856180317e-05	4.0541688591601466e-08	2.8659484884132617e-08	5.309203487560306e-07	8.090892000168101e-12	1.832827429195575e-08	1.7147367039025883e-06	1.980611234986149e-07	5.366195265420554e-09	1.2881090824561481e-06	4.630479481336625e-08	1.1590597261171811e-06	4.993294254970256e-09	3.5636907527322933e-11	5.934796856911026e-08	1.1541377587016826e-08	1.6389361869362659e-10	6.961155638861601e-07	1.4357573939388712e-07	1e-07
5.565164637223229e-05	4.037970163666559e-08	2.8673697797225476e-08	5.308837448654718e-07	8.18663707682737e-12	1.824717856951615e-08	1.714613028300684e-06	1.9816121887198092e-07	5.366174773528732e-09	1.2882000738195276e-06	4.711121994197636e-08	1.159041918078029e-06	4.993264913750747e-09	3.5637570474582765e-11	5.9578717841848165e-08	1.1437619056379566e-08	1.6390485980573197e-10	6.960644540470349e-07	1.4364925680544688e-07	1e-07
5.49803403110646e-05	4.0220585499416294e-08	2.8687749900509603e-08	5.308476772488098e-07	8.286933531156243e-12	1.8166682658060685e-08	1.7144911983364064e-06	1.982602264930061e-07	5.3661542824841844e-09	1.2882552315344426e-06	4.7917554471413364e-08	1.1590241185907823e-06	4.993237055123573e-09	3.563823339948533e-11	5.980629756033109e-08	1.1335280822972407e-08	1.639115492439084e-10	6.96014113057606e-07	1.4372200261598738e-07	1e-07
5.429483049249473e-05	4.0064186823877535e-08	2.870164017374425e-08	5.308121359894067e-07	8.391676606797974e-12	1.808681555412427e-08	1.7143711762274494e-06	1.9835813340092797e-07	5.366133792286869e-09	1.2882753788392088e-06	4.8723798409507384e-08	1.1590063280511967e-06	4.9932106809071335e-09	3.5638896302031425e-11	6.003077207295956e-08	1.1234360889882573e-08	1.6391379170997073e-10	6.959645245253253e-07	1.437939638070629e-07	1e-07
5.359741142688722e-05	3.9910367608956304e-08	2.871536798082282e-08	5.307771115766861e-07	8.500761685351307e-12	1.800760217937445e-08	1.7142529260544608e-06	1.984549299838281e-07	5.3661133029367455e-09	1.288261337443313e-06	4.952995176382291e-08	1.1589885468458645e-06	4.993185792616218e-09	3.563955918222178e-11	6.025220259414063e-08	1.1134854753603153e-08	1.6391169176901752e-10	6.959156729174741e-07	1.4386513020872135e-07	1e-07
